filename,year,month,num_citations,file_size,forward_links
2013 Indian embassy attack,2013,11,2,32755,59
Mes Aynak,2008,10,2,33870,71
Khalid Bin Whalid training camp,2009,12,2,33175,63
Ak Toba,2014,3,1,33017,54
"Saghar, Afghanistan",2008,6,1,27004,31
Greater Iran,2006,11,24,101736,416
Rabatak inscription,2010,2,2,56104,124
Da Afghanistan Bank,2012,5,1,63517,246
Miss Afghanistan,2015,1,0,25215,36
Kushan Empire,2014,2,57,288094,1023
"Hari River, Afghanistan",2009,5,0,38934,59
Nuristan Province,2008,12,5,115530,580
Fighter kite,2014,6,19,75309,173
Afghanistan Study Group,2010,12,3,31942,47
Shomali Plain,2012,9,4,35019,60
Chapan,2006,10,0,25504,39
Buddhas of Bamiyan,2010,2,22,167876,636
Hakim Khan Sur,2012,5,1,28934,49
Geography of Afghanistan,2004,12,0,48178,93
Treaty of Saadabad,2009,2,0,36878,80
Afghanistan Meteorological Authority,2005,5,0,25609,50
Wakhan Corridor,2010,10,16,86217,194
Sasanian Empire,2009,8,72,319519,1143
Sasanian Empire,2009,1,69,307149,1080
Rabatak inscription,2007,10,2,40142,68
Pakthas,2008,6,4,27776,58
Mihirakula,2009,5,0,27704,54
Kushan Empire,2011,10,35,224621,648
Golden Needle Sewing School,2006,6,0,28378,49
Kushan Empire,2014,6,59,290542,1025
Roxana,2006,8,0,37929,69
Wakhan Corridor,2009,1,0,78059,226
Loya jirga,2011,6,15,66634,211
Mes Aynak,2005,4,0,25688,43
Jaghalkani i Takhta Pul massacres,2009,8,0,25690,40
Ghaychak,2013,4,0,53304,147
Pader Watan,2009,11,0,22618,32
Forward Operating Base Gibraltar,2011,4,2,31773,55
Istanbul Process,2014,7,3,34886,73
Buzkashi,2013,9,9,106405,510
Bactria,2003,8,0,39491,55
Hotak dynasty,2012,4,11,143592,566
Geography of Afghanistan,2009,9,7,102818,441
Surkh Kotal,2009,1,1,35346,52
Kiligai,2013,11,5,33709,57
Buddhas of Bamiyan,2013,6,56,202923,710
Wakhan Corridor,2015,1,21,69136,142
Maurya Empire,2014,1,63,273747,1015
Gandh%C4%81ran Buddhist texts,2009,12,11,90793,475
At Five in the Afternoon,2007,4,0,29724,50
Kingdom of Balhara,2008,1,0,37434,98
Wakhan Corridor,2006,2,0,29469,49
Chamkanni,2007,7,0,27961,51
Istanbul Process,2013,10,3,34725,72
Khyber Afghan Airlines,2008,4,0,35867,88
Demographics of Afghanistan,2004,7,0,31201,39
Uttarapatha,2009,1,2,79450,319
The Forever War (non fiction book),2014,8,7,43352,81
Zamindawar,2006,2,0,26307,44
"Hari River, Afghanistan",2007,11,0,36267,54
Jalalabad,2009,12,4,74413,180
Sasanian Empire,2014,12,144,512896,1834
"Hari River, Afghanistan",2005,11,0,32642,38
Greater Iran,2014,7,83,264809,1065
Bakhtar Institute of Higher Education,2014,12,0,28958,48
Nava Vihara,2010,3,1,36066,88
Index of Afghanistan related articles,2012,7,0,163054,1357
Habibia High School,2011,8,1,32382,57
Economy of Afghanistan,2014,6,55,178575,581
Laghman Province,2009,10,17,117022,593
MarcoPolo Airways,2005,3,0,31176,77
Timeline of Afghan history,2010,1,6,53308,198
Greco Buddhism,2012,1,35,183610,976
Kharosthi,2008,1,0,57742,175
Afghanistanism,2011,2,15,52265,127
Lokottarav%C4%81da,2011,5,22,89139,459
Afghan New Beginnings Programme,2012,3,2,29968,47
Jingle truck,2014,1,0,31194,56
Index of Afghanistan related articles,2008,10,0,261219,1850
Bamyan Airfield,2014,12,0,34179,56
Taymani,2012,4,2,30281,52
Turkmun,2006,7,0,23892,33
Kapisa Province,2011,6,40,143251,629
Education in Afghanistan,2012,11,19,88425,269
Kabul,2015,4,93,314299,910
Afghanistan National Olympic Committee,2012,2,1,39635,102
Povindah,2011,2,3,33153,52
Islamic State of Afghanistan,2012,9,1,44005,84
Afghan Armed Forces,2008,8,20,82493,275
Omar Sa%27if Center,2012,9,4,38859,82
Loya jirga,2003,4,0,31582,70
"Hadda, Afghanistan",2010,2,3,56146,129
Persianate society,2007,12,59,131421,289
Kapisa Province,2009,4,101,179804,710
List of universities in Afghanistan,2010,5,0,46548,128
Education in Afghanistan,2008,9,4,50120,110
Lokottarav%C4%81da,2009,10,0,64024,405
Bactria%E2%80%93Margiana Archaeological Complex,2006,5,0,39962,80
Afghan Armed Forces,2010,10,39,123191,360
Wakhan Corridor,2010,9,15,81091,174
Afghanistan,2014,3,298,810642,2220
Afghan National Army,2013,5,129,247533,483
Da Afghanistan Bank,2013,7,3,66819,248
Kabul Military Training Center,2013,1,5,36571,50
Fighter kite,2008,5,2,42788,49
Kambojas,2009,7,411,288918,729
Da Afghanistan Bank,2008,1,0,28653,41
Turkmun,2006,8,0,24128,37
List of Taliban leaders,2006,7,12,62236,214
Bactria,2006,2,0,58961,157
Afghan,2011,8,0,28497,44
Jaghori (Hazara tribe),2012,5,2,40106,84
Hazaragi cuisine,2015,3,2,55541,146
Ethnic violence in Afghanistan,2013,1,9,39605,58
Da Afghanistan Bank,2008,7,0,60084,245
Surkh Kotal,2010,4,1,52133,109
Indo Scythians,2005,1,0,37656,88
Islamic and National Revolution Movement of Afghanistan,2013,9,1,32709,61
Kharosthi,2006,1,0,33972,64
Zirak,2010,12,0,26885,53
Golden Crescent,2008,6,1,36163,59
Afghanistan,2012,3,287,763300,2284
Tourism in Afghanistan,2015,3,1,56394,212
Persianate society,2010,12,59,142716,382
Afghan National Army,2011,11,108,255927,537
Outline of Afghanistan,2008,5,10,79768,211
Kharosthi,2015,1,1,140586,723
Roxana,2011,10,1,45503,98
Economic Cooperation Organization,2011,4,7,103335,294
Yavana Kingdom,2008,1,0,49733,176
Jalalabad,2011,12,8,91454,225
Kharosthi,2009,2,0,61962,178
Pakthas,2013,9,9,39120,102
Kafiristan,2015,3,18,72352,186
Gandh%C4%81ran Buddhist texts,2013,6,11,91867,480
Template:Afghanistan stub,2005,2,0,27710,32
ISO 3166 2:AF,2012,4,0,90580,728
Bahlika people,2009,1,52,66695,224
List of Baloch tribes,2011,8,1,53138,224
Buddhism in Afghanistan,2008,11,1,41663,106
Afghan National Army,2010,4,83,205446,414
List of Baloch tribes,2010,7,0,49529,221
Judiciary of Afghanistan,2013,12,0,43320,82
"Hari River, Afghanistan",2013,7,5,48738,86
List of Baloch tribes,2011,5,1,53137,228
Bactria,2008,7,5,71898,193
List of Baloch tribes,2007,3,0,35030,142
Kabul Dreams,2010,3,1,31510,54
Communications in Afghanistan,2011,6,13,67399,245
Afghan War order of battle 2012,2007,10,9,101135,297
Ansarlu,2011,4,0,25803,41
United Nations General Assembly Resolution 3737,2006,11,0,28800,42
Afghan National Solidarity Programme,2008,11,0,26236,41
Buddhism in Afghanistan,2012,5,9,93193,497
Hotak dynasty,2014,4,11,171903,777
Mohammad Haider Zhobal,2012,12,0,27420,42
Yuezhi,2012,11,38,113985,378
Persian speakers of Afghanistan,2011,5,0,25124,36
Caravans (novel),2011,11,1,39614,107
Xionites,2013,1,12,56445,118
List of places in Afghanistan,2004,6,0,27711,71
Paropamisadae,2005,10,0,26458,43
Participants in Operation Enduring Freedom,2009,1,6,125312,354
Greater Iran,2009,5,26,118611,506
Jugroom Fort,2012,9,2,32449,56
Treaty of Saadabad,2013,5,1,44243,104
Persian speakers of Afghanistan,2009,2,0,35028,44
Timeline of Afghan history,2005,2,0,37341,115
Hotak dynasty,2007,11,3,51219,123
Kafiristan,2013,3,17,68539,175
Oryakhel,2012,11,0,26504,49
List of monarchs of Afghanistan,2004,12,0,53069,246
Index of Afghanistan related articles,2007,5,0,308333,2261
"Mangwal, Afghanistan",2008,6,1,27941,31
Afghanistan,2003,6,0,96474,180
Task Force Helmand,2011,2,0,29115,48
History of Afghanistan,2003,4,0,52630,167
Bactria,2012,3,18,102987,297
Indo Sasanians,2008,10,8,66780,269
Zabid Zahir,2011,5,7,42191,67
Anglo Afghan Treaty of 1919,2010,11,2,32058,54
Ghazni Airport,2013,9,5,64952,187
Kapisa Province,2014,12,47,193769,687
Jaghalkani i Takhta Pul massacres,2012,4,0,28144,52
List of diplomatic missions of Afghanistan,2012,6,0,82039,256
Nuristan Province,2011,3,20,132226,614
Taliban,2012,8,311,570949,1183
Pashtun dress,2012,10,1,31408,71
Hotak dynasty,2013,2,11,147861,590
Kabul,2014,3,105,363433,1091
Mining in Afghanistan,2011,8,17,71139,139
Ahrar ul Hind,2014,4,8,79609,374
History of Afghanistan,2014,9,144,472183,1278
Indo Sasanians,2005,6,8,46277,156
Helmand and Arghandab Valley Authority,2010,4,0,31038,51
Siege of Khost,2010,7,0,37154,81
Name of Afghanistan,2009,6,0,22057,25
List of monarchs of Afghanistan,2010,9,0,68335,140
Demographics of Afghanistan,2011,8,41,181453,664
Ashku,2014,1,0,26938,42
Zamindawar,2011,8,3,31029,62
Kingdom of Kapisi,2010,12,5,32165,60
M Pesa,2014,1,40,87865,198
Maurya Empire,2011,10,55,219454,808
Fighter kite,2013,5,17,69949,156
Jihad Wahl training camp,2014,1,9,44989,95
Country Development Unit,2008,7,3,35477,42
Environmental issues in Afghanistan,2013,3,12,86944,284
Afghan National Army,2008,3,52,132962,272
Ethnic violence in Afghanistan,2014,6,9,39082,53
Gandh%C4%81ran Buddhist texts,2006,10,0,44068,132
Melmastia,2014,10,3,31937,49
D.C. Five,2011,4,32,131150,265
Tora Bora,2005,12,0,30391,46
Roxana,2007,9,0,34549,60
Afghan Independence Day,2007,1,0,28547,53
Khalid Bin Whalid training camp,2009,11,2,33423,63
Mongol conquest of the Kara Khitai,2015,1,11,58569,177
Kushan Empire,2012,7,47,287558,980
"Hadda, Afghanistan",2012,3,3,59025,129
Kabul Library,2008,1,0,27108,49
Buzkashi,2010,6,5,79498,367
Buzkashi,2012,1,6,97063,484
History of Afghanistan,2008,9,15,150461,530
Buddhas of Bamiyan,2015,2,57,216474,746
Pakthas,2008,9,4,28072,62
Afghan Independence Day,2007,8,0,28204,53
Mir Masjidi Khan,2014,4,19,38830,72
Balkh University,2011,11,3,39664,98
Alexander the Great and the Kambojas,2010,6,72,102147,161
Paropamisadae,2009,6,0,34209,77
National Workers%27 Union of Afghanistan,2007,4,0,26925,39
Forward Operating Base Gibraltar,2014,12,2,35258,61
Kidarites,2012,10,0,56847,155
Encyclopedia of Afghan Jihad,2007,3,0,26627,38
Qal%60eh ye Vali,2010,10,1,33437,53
Pre Islamic Hindu and Buddhist heritage of Afghanistan,2009,10,7,37592,79
List of Baloch tribes,2014,3,1,59631,222
Action at Kalmas,2012,9,0,31766,61
