filename,year,month,num_citations,file_size,forward_links
Albania,2009,10,81,437785,1710
Illyrians,2008,2,29,79308,248
Kosovo Albanians,2009,5,3,90836,323
Reparti i Operacioneve Speciale,2005,8,0,24799,35
Bank of Albania,2011,6,1,68410,266
Greater Albania,2014,2,28,104923,278
Illyria,2008,2,11,56253,144
Arnauts,2009,7,1,26588,40
Mehdi Frash%C3%ABri,2011,10,10,75715,185
Sotir Pe%C3%A7i,2011,9,6,41316,83
Parliament of Albania,2011,10,2,117483,409
Parliament of Albania,2009,4,1,72779,276
District courts in Albania,2013,12,2,31986,52
Swedish%E2%80%93Albanian Association,2014,8,4,37278,84
Festivali i K%C3%ABng%C3%ABs 11,2013,8,1,41816,61
Albanian passport,2008,9,1,107464,378
Odhise Paskali,2011,6,3,46204,118
Bill Kovach,2008,8,1,29160,65
Albanian National Awakening,2013,5,30,148834,527
History of Albania,2013,10,77,321023,1177
Vehicle registration plates of Albania,2011,2,3,61570,169
Chameria,2008,7,0,30404,63
List of Albanian Americans,2009,10,10,51690,177
Albanian nationalism,2010,2,76,148846,485
List of Albanian Americans,2013,12,19,84643,325
Feel the Passion,2011,7,5,37516,57
Ministry of Defence (Albania),2014,6,0,43801,127
Arms of Skanderbeg,2006,12,0,37681,100
Regions of Albania,2011,2,3,35130,71
House of Zogu,2007,3,0,24734,35
Dra%C4%8D County,2014,1,13,61135,90
Haxhi Qamili,2013,3,12,37003,57
Nikoll%C3%AB Nikprelaj,2007,4,0,31493,55
Battle of Torvioll,2009,7,15,52322,96
Albanians,2014,5,69,262813,836
Thanas Floqi,2014,11,1,26605,39
2011 Albanian opposition demonstrations,2014,7,33,104720,259
Albanians,2013,5,64,241746,807
Rudaj Organization,2007,6,8,34213,72
The Castle (Kadare),2012,1,1,30303,54
Origin of the Albanians,2011,12,98,186548,496
TeleNorba,2010,2,0,31932,60
Albanian Joint Forces Command,2010,3,3,40392,122
Albanophobia,2010,6,16,68990,246
Religion in Albania,2008,7,11,86014,250
Ded Gjo Luli,2010,1,2,26747,46
Kosovar,2005,12,0,36642,105
Tav%C3%AB kosi,2013,3,0,29109,55
Politics of Albania,2003,9,0,54132,185
Arms of Skanderbeg,2008,4,1,39264,101
Albanian Joint Forces Command,2008,5,3,40982,142
Eqrem Vlora,2013,3,2,36394,82
Kor%C3%A7%C3%AB frange,2011,1,0,43407,149
HSH Class 72,2014,8,2,33520,65
Bunkers in Albania,2014,7,40,136493,366
Greater Albania,2012,2,24,105312,288
Kostandin Kristoforidhi,2011,7,3,39577,98
Albanian Wikipedia,2006,6,0,40594,62
"Albanian parliamentary election, 2009",2013,7,9,118888,397
Zogist salute,2011,3,3,42389,137
Religion in Albania,2009,11,21,109960,299
Albania (periodical),2014,8,3,36096,77
Albanians in Montenegro,2012,7,2,52606,187
Greater Albania,2012,9,24,107004,293
Tefik Mborja,2010,2,4,27366,38
List of Albanian monarchs,2007,7,0,39364,126
Albanian diaspora,2010,2,26,97678,230
European route E762,2008,5,0,50789,296
Albanian hip hop,2010,5,0,45580,210
Leader of the Opposition (Albania),2012,9,0,47566,138
Timeline of Albanian history to 1993,2006,4,0,66997,222
Carry Me in Your Dreams,2013,2,3,74288,265
Confederation of Trade Unions (Albania),2006,9,0,28566,45
Tosks,2014,2,31,84014,141
Hoxhaism,2009,12,0,30085,54
Albanian National Awakening,2012,5,29,145368,518
List of diplomatic missions in Albania,2008,3,0,91787,165
Albania,2013,1,115,528024,1837
Greater Albania,2009,1,14,65829,148
Dervish Hima,2014,2,3,37639,71
Albanian Identity Card,2010,7,2,51841,167
Geraldine of Albania,2006,8,0,35049,107
List of Albanian Air Force aircraft,2007,8,0,33649,67
