filename,year,month,num_citations,file_size,forward_links
Tin Hinan,2006,1,0,25706,38
Algerian Air Force,2012,2,5,57392,148
Hasan ibn al Nu%27man,2007,10,3,31855,69
Tanezrouft,2005,5,0,27903,41
Almohad Caliphate,2007,3,0,48396,127
Friends of the Manifesto and Liberty,2005,8,0,26082,38
Sebkha Azzel Matti,2012,6,0,26792,45
Messali Hadj,2006,7,0,31292,68
Praetorian prefecture of Africa,2007,9,19,81999,264
Gaetuli,2011,9,2,34986,83
Algerian Muslim Scouts,2007,2,0,33586,45
Messali Hadj,2006,1,0,26714,31
Almoravid dynasty,2015,1,27,224666,733
Tin Hinan,2014,10,2,32863,57
Kassaman,2010,12,0,49472,105
Algerian Braille,2013,12,2,99411,324
Kabylie,2011,2,5,59913,143
Censorship in Algeria,2012,9,8,60541,142
Saharan Arabic,2009,9,1,56198,146
Battle of Sidi Brahim,2015,4,2,38385,57
Economy of Algeria,2014,9,23,133445,447
Mustafa Bouyali,2014,5,0,30068,44
Oru%C3%A7 Reis,2012,12,21,98497,491
Mozabite language,2006,6,0,29488,49
French conquest of Algeria,2013,6,14,123751,445
Air Express Algeria,2013,11,2,44162,110
Numhyd,2012,4,0,26204,47
List of Ottoman governors of the Regency of Algiers,2013,12,0,43075,89
Tugurt language,2015,4,3,44328,117
Flag of Algeria,2010,4,1,60159,159
Princess Rym,2010,2,5,39832,90
Algeria,2013,6,124,490357,1393
Mozabite language,2011,8,0,42794,117
Salah Rais,2008,9,0,57969,216
Si Kaddour Benghabrit,2014,2,10,39385,81
Zayyanid dynasty,2011,7,1,56559,154
Mauretania Caesariensis,2007,7,0,33421,60
Ahlam Mosteghanemi,2011,4,0,38424,76
Mustapha Benboula%C3%AFd,2012,3,1,44443,92
Gaetuli,2006,7,0,26506,48
Gemellae,2011,12,14,39376,84
Mining industry of Algeria,2008,6,3,52135,89
Saharan Arabic,2015,4,2,56972,149
Smain Lamari,2013,12,6,43778,87
Praetorian prefecture of Africa,2013,10,24,104727,363
List of heads of state of Algeria,2012,8,9,61889,139
Numidia,2008,1,0,75485,278
Chenouas,2011,12,0,32467,71
Sabir Mahfouz Lahmar,2006,7,3,38345,76
Numhyd,2013,5,0,26530,48
Military of Algeria,2009,7,3,57739,168
Si Kaddour Benghabrit,2014,6,11,42153,83
Outline of Algeria,2009,7,2,109248,381
Almoravid dynasty,2006,6,0,59242,175
Template:Economy of Algeria,2013,2,0,26620,38
ENMTP,2009,2,0,28667,56
Moussa Ag Amastan,2013,3,0,30096,53
Mustapha Benboula%C3%AFd,2010,10,1,40483,66
Battle of Vescera,2013,3,2,42956,101
History of Algeria,2014,2,13,133855,477
Algiers putsch of 1961,2008,2,4,45482,118
Barbary Wars,2004,7,0,26963,42
Zayyanid dynasty,2014,12,8,90903,242
Djerid,2006,3,0,24575,48
Zoghman Mebkhout,2012,3,5,32432,55
Algerian National Movement,2011,12,0,31750,55
French Algeria,2009,6,16,161501,495
List of Algerians,2008,2,0,57818,166
List of colonial heads of Algeria,2006,6,0,106977,657
Mustapha Benboula%C3%AFd,2009,8,1,38885,63
Mozabite language,2011,6,0,42690,118
President of Algeria,2007,5,0,40716,94
List of earthquakes in Algeria,2014,6,0,26730,52
Almoravid dynasty,2014,9,27,225746,737
Fethi Boucetta,2008,7,13,56052,132
List of governors of Oran,2004,11,0,58671,215
Ahlam Mosteghanemi,2006,10,0,28706,44
S%C3%A9tif and Guelma massacre,2010,11,7,39888,63
Air Express Algeria,2007,7,1,37940,91
Germaine Tillion,2008,12,0,37320,85
History of Algeria,2013,8,13,135921,482
Marinid dynasty,2012,2,6,113764,521
Portal:Algeria,2006,2,0,33364,42
People%27s National Army (Algeria),2013,2,8,70180,241
Coat of arms of Algiers,2013,12,0,29962,65
Dida Diafat,2012,4,2,56970,121
Sonacome,2014,1,0,25449,39
Marinid dynasty,2007,12,3,68439,299
List of governors of Oran,2013,4,0,53474,57
Provisional Government of the Algerian Republic,2008,4,5,44058,133
Yaghmurasen Ibn Zyan,2012,9,1,28875,56
Adil Hadi bin Hamlili,2010,1,14,65912,115
List of heads of government of Algeria,2004,10,0,37125,124
Hussein Dey,2011,7,0,32414,61
Ahlam Mosteghanemi,2013,11,9,58083,68
Princess Rym,2011,9,5,41333,94
List of Algerians,2007,6,0,55225,162
Geography of Algeria,2006,10,0,61030,165
Jedars,2013,3,15,44454,72
