filename,year,month,num_citations,file_size,forward_links
Jugarem a estimar nos,2009,5,0,30312,53
Politics of Andorra,2002,10,0,36623,41
Cr%C3%A8dit Andorr%C3%A0,2013,12,0,29323,52
Music of Andorra,2005,12,0,31128,56
Politics of Andorra,2005,6,0,52566,150
History of Andorra,2011,11,2,73887,276
Jacques Chirac,2010,9,54,242976,839
Andorra at the Olympics,2011,1,0,72624,334
Andorra,2015,3,70,313846,848
Andorran Democratic Centre,2007,10,0,36683,69
Salvem el m%C3%B3n,2008,8,0,33838,56
Environment of Andorra,2012,7,0,48530,106
Marca Hispanica,2008,12,0,49994,179
Fran%C3%A7ois Hollande,2006,6,0,55611,88
FC Andorra,2009,9,0,97498,219
Our Lady of Meritxell,2011,2,1,31993,60
Casanova (Gisela song),2009,1,1,33660,65
Pa%C3%AFsos Catalans,2005,9,0,35628,57
Geography of Andorra,2004,4,0,28868,32
Roman Catholicism in Andorra,2006,5,0,38268,114
Roman Catholicism in Andorra,2008,1,0,38824,115
ISO 3166 2:AD,2010,2,0,84633,694
FC Andorra,2010,10,0,98714,219
Televisi%C3%B3 de Catalunya,2006,1,0,34053,69
Century 21 (political party),2009,8,0,35508,71
Pa%C3%AFsos Catalans,2004,10,0,33456,45
Epipactis phyllanthes,2013,3,0,32941,61
Catalans,2011,4,9,98455,298
List of Andorrans,2009,5,0,31925,69
Sense tu,2006,11,0,26185,46
Social Democratic Party (Andorra),2005,3,0,37993,62
Postal services in Andorra,2008,11,0,28160,57
History of the Jews in Andorra,2015,3,2,72996,343
Islam in Andorra,2007,3,1,58000,312
Democrats for Andorra,2012,8,2,46810,109
Scouts d%27Andorra,2006,5,0,26162,38
Boris Skossyreff,2013,2,5,56476,128
Taxation in Andorra,2009,11,0,35811,86
Scouts d%27Andorra,2005,12,0,23972,34
Boris Skossyreff,2005,5,0,26858,45
Andorra,2005,1,0,103371,280
Ministry of External Affairs (Andorra),2012,11,0,33829,66
Jacques Chirac,2011,12,64,272740,887
Marca Hispanica,2012,12,1,53501,172
List of heads of government of Andorra,2010,5,0,65787,200
La teva decisi%C3%B3 (Get a Life),2013,1,4,71094,231
Jugarem a estimar nos,2013,3,0,62851,205
History of Andorra,2012,5,2,73716,276
Nicolas Sarkozy,2010,9,135,390668,1113
Salvem el m%C3%B3n,2009,9,0,33669,56
