filename,year,month,num_citations,file_size,forward_links
Angola%E2%80%93Japan relations,2008,9,2,58097,191
Angola Telecom,2009,7,0,28700,50
Alada,2015,1,3,45931,125
Treaty of Simulambuco,2013,6,6,35454,61
Contemporary Dance Company of Angola,2010,3,0,28448,43
Dutch%E2%80%93Portuguese War,2011,7,3,147064,494
Early Congolese history,2005,8,0,48580,129
Sama language (Angola),2012,7,0,36835,110
Battle of Cuito Cuanavale,2010,9,74,147696,216
List of colonial and provincial heads of Cabinda,2006,1,0,44081,147
Nakuru Agreement,2008,7,2,27134,56
Banco de Desenvolvimento de Angola,2012,4,0,34905,65
National Bank of Angola,2012,12,5,72476,266
List of Ambassadors of the United Kingdom to Angola,2014,3,13,73240,215
Kianda,2007,3,0,26260,45
Aero Tropical,2009,5,0,30207,55
Kwanyama dialect,2006,3,0,30815,41
Henrique Galv%C3%A3o,2013,2,0,38984,83
MPLA,2006,2,0,49093,103
Angolan Communist Party,2005,8,0,24673,41
Demographics of Angola,2003,10,0,26736,27
SonAir,2007,7,3,34860,86
Aeron%C3%A1utica (Angola),2007,8,1,36646,97
Independent National Alliance of Angola,2008,8,3,27319,42
Liberal Socialist Party (Angola),2011,8,3,28022,36
Front for the Liberation of the Enclave of Cabinda,2005,11,0,33538,54
Battle of Cuito Cuanavale,2013,11,74,156918,294
Movement of Young Intellectuals,2009,12,4,29346,40
.ao,2006,11,0,67822,407
List of football clubs in Angola,2014,5,0,52509,143
Demographics of Angola,2010,10,2,51189,146
.ao,2008,5,1,69250,404
Angolan Armed Forces,2007,5,0,45250,147
Dutch%E2%80%93Portuguese War,2009,9,0,137113,446
Bush%E2%80%93Aznar memo,2010,7,2,39290,69
Geography of Angola,2003,8,0,31366,55
Angolan passport,2013,2,4,85281,359
Minister of External Relations (Angola),2011,5,0,33920,61
Sonangol Group,2006,4,0,28021,33
Blood diamond,2013,4,43,110299,199
List of heads of government of Angola,2012,7,0,41736,98
Banco Esp%C3%ADrito Santo Angola,2006,8,0,26810,44
Lus%C3%ADada University,2006,11,0,31104,62
Emblem of Angola,2008,10,0,47903,123
Angola,2013,10,84,343318,1002
Dutch%E2%80%93Portuguese War,2006,7,0,47568,92
Early Congolese history,2007,9,3,61745,196
History of Angola,2006,12,0,76758,251
Second Congo War,2014,6,38,187997,522
Secil Maritima,2006,6,0,25977,46
Battle of Cuito Cuanavale,2008,10,52,145580,249
History of Angola,2004,1,0,37578,92
Battle of Katole,2011,12,1,34165,50
Second Congo War,2008,9,20,176903,570
List of heads of state of Democratic People%27s Republic of Angola,2009,12,0,29287,48
Geography of Angola,2011,4,1,105040,483
Angolan Armed Forces,2015,1,26,100868,338
Confedera%C3%A7%C3%A3o Nacional dos Trabalhadores de Angola,2013,9,6,33076,48
National Bank of Angola,2012,8,5,71698,271
Nyaneka language,2013,2,1,37120,109
1960s in Angola,2010,4,5,35501,76
Dutch%E2%80%93Portuguese War,2011,4,3,147730,496
List of heads of government of Angola,2012,8,0,41584,93
Dutch%E2%80%93Portuguese War,2006,10,0,55117,133
Sonangol Group,2011,7,0,36766,85
MPLA,2010,10,9,65500,164
Battle of Kitombo,2010,1,12,45212,77
List of heads of state of Cabinda,2005,11,0,28288,53
Kingdom of Kongo,2013,9,22,158657,273
Angola,2004,5,0,89783,223
List of football clubs in Angola,2007,7,0,28919,67
Angola,2012,8,69,331077,926
Angolan War of Independence,2011,10,51,153310,359
Roman Catholic Diocese of Dundo,2009,6,0,31504,53
Kimpa Vita,2006,2,0,36315,49
"Jamba, Cuando Cubango",2009,9,5,42087,88
Angolan War of Independence,2009,10,45,144090,367
Front for the Liberation of the Enclave of Cabinda,2006,3,0,33498,54
Pal%C3%A1cio de Ferro,2009,10,6,36387,66
Ndonga dialect,2010,2,0,39150,79
Front for the Liberation of the Enclave of Cabinda,2015,1,8,55868,103
Kingdom of Kongo,2005,11,0,43552,89
Blood diamond,2005,5,0,31450,54
Ndonga dialect,2007,9,0,34354,57
Operation Protea,2012,4,1,41810,74
Portal:Angola,2011,9,2,83717,113
Mbwila,2007,6,0,34171,61
List of heads of state of Cabinda,2013,1,0,29481,49
Precolonial history of Angola,2015,2,2,66391,167
Central Zambezian Miombo woodlands,2010,1,1,38638,108
Second Congo War,2007,10,11,139527,417
Lus%C3%ADada University,2011,2,0,32823,69
Luanda Trial,2010,4,1,34284,64
Portuguese Angola,2010,3,12,111816,396
Pink Map,2014,4,62,85275,149
Endiama,2008,10,0,39453,80
Ethnic groups in Angola,2012,3,0,43728,89
Kaokoveld,2010,3,0,26127,40
1960s in Angola,2007,11,4,35051,70
Transport in Angola,2008,8,4,74458,281
Colonial history of Angola,2008,1,3,91868,284
Roman Catholic Diocese of Ndalatando,2009,12,0,32422,56
Demographics of Angola,2014,11,10,64238,164
Economy of Angola,2012,2,25,102346,327
Umbundu,2011,7,0,43740,119
History of education in Angola,2010,8,2,37183,56
Air Gemini,2013,2,3,46140,124
Antonianism,2009,5,1,30688,50
Battle of Mufilo,2013,12,0,58366,139
Kingdom of Kongo,2008,6,20,142669,243
Angolan War of Independence,2006,10,0,37109,86
Bicesse Accords,2006,5,0,28167,53
.ao,2008,10,1,69352,408
Lusaka Protocol,2008,9,2,38455,89
MPLA,2014,6,31,97574,212
Kwanyama dialect,2006,10,0,34294,48
Kingdom of Kongo,2008,12,20,143416,245
Kimpa Vita,2005,10,0,29505,45
ISO 3166 2:AO,2008,11,0,29235,57
Movement for the Democracy of Angola,2013,6,2,28185,45
Jo%C3%A3o I of Kongo,2007,1,0,31098,55
Education in Angola,2014,2,10,86687,253
Portuguese Colonial War,2007,10,1,134982,527
Yaka people,2005,5,0,23918,27
Congo Basin,2013,4,1,37208,78
Bush%E2%80%93Aznar memo,2010,6,2,39292,71
Central Zambezian Miombo woodlands,2012,12,1,41993,121
Roman Catholic Diocese of Ndalatando,2009,6,0,32252,54
Emblem of Angola,2004,3,0,32748,34
John Stockwell,2005,12,0,32542,69
Angolan Navy,2015,2,10,63675,117
ISO 3166 2:AO,2009,1,0,83710,698
Portuguese Colonial War,2009,6,46,221061,745
ISO 3166 2:AO,2009,12,0,84162,702
Roman Catholic Diocese of Dundo,2011,10,0,41448,82
Air Gemini,2006,6,0,34889,92
List of colonial heads of Angola,2009,5,0,82043,132
Transport in Angola,2010,12,0,63765,243
Cuba%E2%80%93Angola airbridge,2013,8,0,28243,45
Nyengo language,2012,3,0,35954,111
Luimbi language,2014,6,3,38909,115
Angola at the Olympics,2010,11,0,72995,302
List of colonial heads of Angola,2009,12,0,78086,57
United Nations Angola Verification Mission II,2008,4,0,33868,65
Movement for the Democracy of Angola,2008,8,2,26940,42
Revolutionary Government of Angola in Exile,2011,12,3,32311,53
Kingdom of Matamba,2009,5,0,51446,126
Operation Protea,2007,1,0,33449,64
Kaokoveld,2012,9,0,26417,43
Imbangala,2007,9,0,30334,48
Cingolo,2009,2,0,27120,47
Roman Catholic Archdiocese of Malanje,2008,5,0,32375,54
Angolan Armed Forces,2005,12,0,27052,29
Economy of Angola,2014,1,29,117761,361
Rulers of Mbundaland,2013,9,24,125695,408
MPLA,2015,2,30,97277,215
Ndonga dialect,2007,3,0,33948,57
Angolan Armed Forces,2004,9,0,26661,31
History of Angola,2004,10,0,38375,95
Unitel (Angola),2012,3,0,25173,40
.ao,2008,11,1,69448,409
Democratic International,2006,8,0,28684,56
Heli Malongo Airways,2012,1,3,34630,66
Umbundu,2006,11,0,29825,42
Angola,2005,1,0,96786,229
SonAir,2014,8,6,55119,151
Communist Committee of Cabinda,2006,3,0,30535,67
History of Angola,2005,4,0,44413,104
List of heads of government of Angola,2010,1,0,57470,222
Dutch%E2%80%93Portuguese War,2014,9,7,159984,564
Economy of Angola,2004,12,0,37120,85
Ngola (ruler),2009,6,0,24199,38
Portuguese Colonial War,2010,7,54,244503,786
Battle of Cuito Cuanavale,2012,8,70,153868,270
Angolan Armed Forces,2011,3,4,94134,283
Angolan Navy,2013,6,9,48826,90
Ndonga dialect,2013,10,3,52172,159
Pink Map,2007,10,0,32785,60
Portuguese Colonial War,2011,10,96,303061,876
Angola,2014,8,91,361725,1017
Emblem of Angola,2006,6,0,33825,33
Roman Catholic Diocese of Caxito,2010,5,0,32233,58
Angola%E2%80%93Nigeria relations,2008,6,2,45413,114
Yaka people,2006,1,0,25274,37
Portuguese Angola,2010,12,17,130659,462
MONUA,2009,6,3,38918,87
Movement for the Democracy of Angola,2008,9,2,27747,42
Republican Party of Angola,2010,9,0,36122,74
Ministry of External Relations (Angola),2013,1,0,30940,57
Angolan montane forest grassland mosaic,2014,5,2,32652,49
Central Zambezian Miombo woodlands,2010,5,1,38274,106
Communist Organization of Angola,2013,11,0,38573,91
Kingdom of Kongo,2015,2,22,161256,278
.ao,2008,2,0,68747,407
MPLA,2011,7,10,68523,169
Movement for the National Independence of Angola,2009,12,0,35540,79
Action Committee of the Cabinda National Union,2013,12,1,30454,54
Economy of Angola,2013,9,29,117925,365
Angola Air Charter,2008,11,3,34817,72
Democratic International,2009,8,1,28434,64
Nyumbu,2011,12,0,30886,65
Yaka people,2008,3,0,29540,54
Transporte Colectivo Urbano de Luanda,2012,2,0,26260,41
Blood diamond,2010,8,34,95866,166
Angolan National Democratic Party,2007,6,0,33030,63
Santoro Finance,2011,6,3,24936,38
Economy of Angola,2008,1,21,107907,472
Angolan Armed Forces,2015,2,26,100154,338
Demographics of Angola,2013,9,7,60942,161
Citata,2008,12,0,25323,42
Dutch%E2%80%93Portuguese War,2007,3,0,91776,282
List of heads of state of Cabinda,2009,6,0,29542,60
Angolan Armed Forces,2004,6,0,26951,31
Kaokoveld,2009,2,0,26095,36
Air 26,2010,10,0,29669,57
For%C3%A7as Armadas de Cabinda,2011,5,0,38656,120
Angola%E2%80%93Argentina relations,2010,12,1,49072,134
Portal:Angola,2010,8,2,83205,109
Angolanidade,2007,10,1,24408,37
Roman Catholic Diocese of Sumbe,2007,8,0,26759,40
Angola%E2%80%93Cape Verde relations,2008,6,2,39618,90
Demographics of Angola,2004,6,0,27460,38
MPLA,2008,5,8,62198,148
John Stockwell,2008,1,0,42648,87
Treaty of Simulambuco,2007,6,0,27919,55
Banco de Com%C3%A9rcio e Ind%C3%BAstria,2012,5,3,39622,76
Front for the Liberation of the Enclave of Cabinda,2005,8,0,33161,47
Fortress of Kambambe,2013,5,3,29596,43
