filename,year,month,num_citations,file_size,forward_links
SAP FC,2008,10,0,57135,100
Flag of Antigua and Barbuda,2007,6,0,59255,66
Flag of Antigua and Barbuda,2007,12,0,54149,109
Economy of Antigua and Barbuda,2012,3,1,71720,206
Coat of arms of Antigua and Barbuda,2012,6,0,48054,107
"Fair Antigua, We Salute Thee",2011,8,0,55926,145
Prime Minister of Antigua and Barbuda,2008,11,0,43158,103
Parishes and dependencies of Antigua and Barbuda,2006,12,0,40279,73
ISO 3166 2:AG,2012,6,0,85496,700
List of political parties in Antigua and Barbuda,2011,2,0,47665,128
Parliament of Antigua and Barbuda,2007,9,0,34579,67
Post Amazers,2007,4,0,24872,39
Barbuda People%27s Movement,2010,11,0,41807,99
"Fair Antigua, We Salute Thee",2009,8,0,51659,132
List of football clubs in Antigua and Barbuda,2011,5,0,43408,92
Economy of Antigua and Barbuda,2004,7,0,31759,59
Antigua Labour Party,2005,12,0,32937,59
Antigua and Barbuda,2014,7,15,297252,1100
Coat of arms of Antigua and Barbuda,2012,1,0,46259,98
Economy of Antigua and Barbuda,2010,2,0,69096,200
Antigua and Barbuda,2014,6,14,296614,1106
List of diplomatic missions of Antigua and Barbuda,2015,3,0,44556,90
List of Antiguans and Barbudans,2011,7,0,30432,71
John Fenn (pirate),2014,11,1,63423,342
Economy of Antigua and Barbuda,2007,7,0,79715,374
Economy of Antigua and Barbuda,2009,2,0,66801,187
Antigua Workers%27 Union,2006,9,0,29580,49
A Small Place,2006,2,0,24015,38
Flag of Antigua and Barbuda,2005,5,0,41310,39
Royal Antigua and Barbuda Defence Force,2006,5,0,31027,42
Telecommunications in Antigua and Barbuda,2002,8,0,23261,27
Order of Princely Heritage,2015,1,1,30712,41
Betty%27s Hope,2008,1,0,25421,43
Antigua and Barbuda Branch of The Scout Association,2015,3,1,47826,95
Antigua and Barbuda,2006,4,0,99047,263
List of Ambassadors of Russia to Antigua and Barbuda,2014,10,2,60102,223
"Antigua and Barbuda general election, 1984",2009,12,0,40782,93
Flag of Antigua and Barbuda,2006,11,0,56664,59
Antigua and Barbuda,2009,10,10,262805,1031
Area code 268,2009,12,0,49390,208
Area code 268,2009,8,0,49276,208
Antigua and Barbuda Branch of The Scout Association,2008,10,0,44896,96
Geography of Antigua and Barbuda,2004,6,0,27621,45
"Codrington, Barbuda",2007,7,0,29446,39
Kingdom of Redonda,2007,4,0,36456,64
Aerowings,2008,11,0,28959,56
Economy of Antigua and Barbuda,2004,8,0,31595,59
Senate (Antigua and Barbuda),2010,4,0,48485,170
Barbuda Codrington Airport,2008,7,0,28699,42
Senate (Antigua and Barbuda),2008,12,0,45972,162
Barbuda People%27s Movement,2007,12,0,40291,99
SAP FC,2010,10,0,55374,99
Barbuda,2004,8,0,31699,38
LGBT rights in Antigua and Barbuda,2015,4,2,52609,113
List of birds of Antigua and Barbuda,2013,2,0,80314,378
Outline of Antigua and Barbuda,2010,10,1,97913,260
Hurricane Omar (2008),2010,11,35,114965,181
Flag of Antigua and Barbuda,2006,1,0,42553,46
Antigua and Barbuda Public Service Association,2008,12,0,31356,52
Taxation in Antigua and Barbuda,2009,12,0,39669,62
Antigua and Barbuda,2010,6,9,263419,1005
LGBT rights in Antigua and Barbuda,2012,11,2,42754,96
ISO 3166 2:AG,2009,11,1,84857,694
John Fenn (pirate),2012,2,1,63221,341
John Fenn (pirate),2008,5,0,58746,328
Progressive Labour Movement,2009,12,0,32991,67
Monarchy of Antigua and Barbuda,2011,12,3,106225,404
Prime Minister of Antigua and Barbuda,2013,1,0,44634,89
Benjamin Pine,2007,3,0,36720,89
.ag,2013,3,2,72967,415
Leeward Islands Airline Pilots Association,2010,6,0,32034,56
Catholic Nunciature to Antigua and Barbuda,2010,11,0,42639,113
Area code 268,2012,4,0,49959,209
Environmental issues in Antigua and Barbuda,2010,5,0,36526,51
Politics of Antigua and Barbuda,2014,4,3,62476,193
Christ the King High School (Antigua),2015,3,0,33227,55
Demographics of Antigua and Barbuda,2004,6,0,26253,31
Outline of Antigua and Barbuda,2008,12,0,79366,163
Post Amazers,2008,8,0,30657,59
Demographics of Antigua and Barbuda,2012,3,1,45376,85
Demographics of Antigua and Barbuda,2012,8,1,45440,85
Bishop of North East Caribbean and Aruba,2009,12,2,30126,53
List of international cricket centuries at the Antigua Recreation Ground,2011,6,30,210687,337
Royal Antigua and Barbuda Defence Force,2010,2,2,43680,94
Parliament of Antigua and Barbuda,2013,12,0,47730,142
List of diplomatic missions in Antigua and Barbuda,2012,12,0,43109,79
National Reform Movement (Antigua and Barbuda),2007,11,0,34315,68
List of diplomatic missions of Antigua and Barbuda,2014,11,0,43874,91
Benjamin Pine,2007,11,0,36565,73
A Small Place,2006,12,0,25392,38
"Fair Antigua, We Salute Thee",2009,7,0,51957,132
Bishop of North East Caribbean and Aruba,2013,3,2,30720,57
