filename,year,month,num_citations,file_size,forward_links
First Ladies and Gentlemen of Argentina,2013,9,1,49326,158
Argentina,2003,2,0,69994,41
MERVAL,2006,6,0,29028,48
President of Argentina,2012,4,1,133590,516
Argentine Chamber of Deputies,2015,3,4,96190,276
Argentine Industrial Union,2013,2,10,49793,107
Hungarians in Argentina,2009,2,0,42802,136
Argentine Chamber of Deputies,2005,4,0,37066,77
INVAP,2011,1,26,57147,112
Kirchnerism,2011,1,4,34973,63
Magellanic subpolar forests,2008,8,1,41050,100
Same sex marriage in Argentina,2014,1,66,159947,349
Outline of Argentina,2008,11,0,99978,328
Argentine National Congress,2013,5,13,94039,370
President of Argentina,2015,4,3,138318,523
Argentines,2008,10,0,25291,25
Argentines in Uruguay,2013,12,5,49271,132
Prostitution in Argentina,2012,2,2,33538,65
Treaty of Peace and Friendship of 1984 between Chile and Argentina,2012,9,4,58884,111
List of Argentine flags,2009,10,0,84378,263
List of political parties in Argentina,2011,1,1,106908,360
History of Argentina,2009,5,37,172570,564
Coat of arms of Buenos Aires,2012,8,0,33593,53
Human rights in Argentina,2009,9,13,131223,123
Argentine Industrial Union,2015,2,12,56528,119
Template:Argentina stub,2005,6,0,27534,30
Radio Club Argentino,2009,1,2,34198,67
Transporte A%C3%A9reo Rioplatense,2010,9,8,44023,90
Landmarks in Buenos Aires,2010,2,29,115628,323
Asociaci%C3%B3n Argentina de Medicina Respiratoria,2015,3,2,31585,52
Amaicha,2011,3,0,29468,54
Lejos de Frin,2010,7,0,29733,53
Forestry in Argentina,2011,1,1,59335,120
List of Argentines,2008,9,0,152448,836
Treaty of Peace and Friendship of 1984 between Chile and Argentina,2012,5,4,58459,105
Roman Catholic Diocese of San Miguel (Argentina),2012,6,0,27358,31
Documento Nacional de Identidad (Argentina),2013,3,5,50221,146
Indigenous peoples in Argentina,2011,5,16,72730,223
History of Argentina,2005,11,0,74692,307
List of Argentine flags,2008,7,0,79109,254
Politics of Argentina,2010,7,1,96785,358
Unnamed Patagonian titanosaur (2014),2014,6,5,36066,58
Landmarks in Buenos Aires,2011,7,29,112500,287
Same sex marriage in Argentina,2012,9,62,155136,364
Politics of Argentina,2014,3,1,109980,447
Mi Buenos Aires querido (tango),2011,2,0,28429,48
Politics of Argentina,2009,3,0,95127,349
Argentine National Congress,2005,4,0,35203,70
Politics of Argentina,2012,8,1,109916,445
Bank of the South,2012,3,12,81156,264
President of Argentina,2005,10,0,51538,167
Sea Star Awards,2006,10,0,24355,31
Atucha I Nuclear Power Plant,2009,8,1,39785,84
Argentines of European descent,2010,11,57,181519,726
Gualichu,2003,12,0,22573,33
Politics of Argentina,2007,6,0,90813,318
List of Argentine flags,2011,2,0,85159,270
Nahuelito,2011,6,6,60310,286
List of political parties in Argentina,2009,3,0,71230,252
First Ladies and Gentlemen of Argentina,2011,4,1,48106,115
List of Argentine provinces by gross domestic product,2013,6,6,80199,186
Nivacl%C3%A9 language,2013,8,1,34151,65
National Institute of Statistics and Census of Argentina,2007,4,0,31406,50
Movimiento Cultural Canyengue Argentino,2013,11,2,29666,47
Mercado a T%C3%A9rmino de Buenos Aires,2007,10,0,27350,41
Argentine defense industry,2010,6,13,50149,141
List of Argentines,2010,6,0,210056,1254
CITEDEF,2015,2,3,39999,84
Argentinien schwyzert%C3%BCtsch dialect,2011,12,0,30089,54
Chamam%C3%A9,2010,9,0,32725,68
Argentine passport,2012,11,4,91728,374
Federaci%C3%B3n Agraria Argentina,2009,12,0,26868,44
Argentine passport,2013,12,5,95331,378
Extreme points of Argentina,2008,9,0,43288,71
Armed Forces of the Argentine Republic,2014,10,17,118881,369
Economy of Argentina,2010,4,44,159021,544
Congreso de laS LenguaS,2013,10,0,31662,59
INVAP,2006,6,0,26915,51
List of Argentine flags,2006,10,0,76521,253
Argentine National Congress,2010,8,0,55422,138
Argentine nationalism,2012,9,7,41604,96
National Atomic Energy Commission,2006,10,0,41970,102
Iyo%27wujwa Chorote language,2011,9,0,33966,67
Festival Nacional del Cabrito,2013,3,0,26675,45
Magellanic subpolar forests,2012,1,2,45876,123
List of Argentine provinces by Human Development Index,2008,1,0,60350,101
List of political parties in Argentina,2010,1,0,72214,257
Sea Star Awards,2006,9,0,24247,30
Supreme Court of Argentina,2011,12,4,69384,182
Argentine National Gendarmerie,2008,6,0,51585,121
Hungarians in Argentina,2013,3,0,45371,145
El Gen Argentino,2014,4,108,245663,325
Argentine Senate,2010,6,1,54655,207
Politics of Argentina,2011,12,1,109553,443
List of car models commercialized in Argentina,2007,8,0,43961,131
Flag of Buenos Aires,2014,3,2,34382,59
Jefatura de Inteligencia del Estado Mayor Conjunto de las Fuerzas Armadas,2005,11,0,25357,33
Te So%C3%B1%C3%A9,2008,4,0,35080,110
List of hospitals in Argentina,2010,5,0,51535,58
Hombre Gato,2007,7,2,29486,52
List of Argentine sports governing bodies,2015,1,0,27995,52
List of Argentines,2011,3,4,218547,1272
Argentine Naval Prefecture,2009,2,2,66409,185
62: A Model Kit,2013,12,0,48597,82
President of Argentina,2006,3,0,58579,170
Ronald Richter,2007,2,0,38958,61
ISO 3166 2:AR,2003,9,0,30447,61
Comisi%C3%B3n Nacional de Actividades Espaciales,2009,11,8,98826,249
Fundaci%C3%B3n Favaloro,2011,6,0,27481,37
Atucha II Nuclear Power Plant,2009,12,4,34977,59
Argentine Senate,2012,5,2,60368,213
Science and technology in Argentina,2013,3,17,57621,122
Macanudo,2010,11,0,28794,46
Uruguayan savanna,2008,11,0,27758,49
Quebracho (group),2010,10,3,30278,48
Landmarks in Buenos Aires,2014,1,28,114156,300
Economy of Argentina,2014,8,127,276872,750
Les Luthiers (volumen 3),2009,2,0,29610,48
Lule%E2%80%93Vilela languages,2012,4,0,68600,367
Coat of arms of Buenos Aires,2006,8,0,25875,33
World of Labor Institute,2006,4,0,24783,39
Ronald Richter,2008,9,11,49931,77
Comisi%C3%B3n Nacional de Actividades Espaciales,2010,2,8,99379,255
Pehuenche people,2009,6,0,51919,194
Jefatura de Inteligencia del Estado Mayor Conjunto de las Fuerzas Armadas,2006,1,0,31134,57
Argentina,2011,8,156,573144,2007
National Civil Aviation Administration,2013,7,6,42787,67
Canning Club,2013,4,0,31819,65
List of political parties in Argentina,2010,11,1,106521,358
Politics of Argentina,2005,7,0,66904,224
Portal:Argentina,2015,3,0,128047,334
President of Argentina,2007,8,0,60385,173
Argentine Senate,2005,5,0,34690,71
Geography of Argentina,2007,4,0,57845,240
Comparison between Argentine provinces and countries by GDP (PPP) per capita,2010,4,2,145158,263
Supreme Court of Argentina,2009,12,4,69459,177
"A veinte a%C3%B1os, Luz",2011,11,1,34634,65
Villa miseria,2013,4,1,37595,75
Facultad de Ciencias Exactas y Naturales (UBA),2010,5,0,31280,35
President of Argentina,2005,11,0,51634,167
Bitu%C3%ADn bitu%C3%ADn Natacha,2012,3,1,32656,52
Name of Argentina,2014,1,5,41813,92
Argentine peso,2010,9,3,97705,258
List of Argentine flags,2011,11,35,146520,287
Pampero (wind),2011,7,0,31298,49
Museum of Foreign Debt,2005,8,0,26167,45
Pehuenche people,2010,11,1,52225,197
Ley de Lemas,2009,7,0,57234,174
Guachi language,2013,4,0,29096,52
Minister of Economy of Argentina,2009,3,0,35224,89
Tres de Febrero,2010,6,0,24508,35
Mapuche religion,2013,3,0,47446,157
Rio Colorado Formation,2010,7,11,55221,99
National Institute of Industrial Technology,2012,7,3,39158,56
Politics of Argentina,2012,4,1,109708,441
Argentine peso,2005,12,0,57958,170
Argentine Naval Prefecture,2012,1,5,80984,215
Foreign relations of Argentina,2015,4,85,251633,743
Civil Code of Argentina,2011,2,13,111898,289
Armed Forces of the Argentine Republic,2013,5,17,123253,378
PAMI,2013,5,12,48732,96
Argentina and weapons of mass destruction,2007,12,0,40720,110
Argentina and weapons of mass destruction,2009,2,0,42041,117
Economy of Argentina,2014,12,122,272865,751
Ethnography of Argentina,2008,9,9,62755,215
Las Parinas,2011,10,2,27582,38
Mercado a T%C3%A9rmino de Buenos Aires,2012,5,0,28727,41
Coat of arms of Buenos Aires,2006,12,0,28011,40
Matambre,2010,2,0,28315,51
List of Argentines,2010,9,0,210120,1254
Gualichu,2012,8,0,35784,82
Argentine Coca Cola billboard,2010,9,0,33795,76
Argentine passport,2007,12,0,119180,415
Premios Gardel,2014,9,0,30022,53
INVAP,2012,5,27,58253,110
Quebracho (group),2007,6,3,28378,54
Matambre,2008,8,0,27507,42
Argentine passport,2013,4,4,94055,371
Politics of Argentina,2003,2,0,42212,127
Delegaci%C3%B3n de Asociaciones Israelitas Argentinas,2010,5,1,29192,50
Armed Forces of the Argentine Republic,2012,1,16,115142,354
Quebracho (group),2006,10,3,27854,46
Facultad de Ciencias Exactas y Naturales (UBA),2013,3,0,32798,48
Argentinien schwyzert%C3%BCtsch dialect,2006,3,0,24025,34
President of Argentina,2006,8,0,59340,171
Pehuenche people,2010,8,0,51889,199
List of massacres in Argentina,2012,8,0,43195,166
Constitution of Argentina,2008,8,0,54095,91
Flag of Buenos Aires,2010,8,0,31052,55
Armed Forces of the Argentine Republic,2006,4,0,52516,150
Foreign relations of Argentina,2007,2,0,55279,177
INVAP,2010,3,21,48608,81
El simulacro,2014,12,1,29356,51
National Institute of Statistics and Census of Argentina,2010,1,8,43805,63
"Olivos, Buenos Aires Province",2008,2,0,39300,70
Pehuenche people,2011,4,2,53389,203
List of tallest buildings in Argentina,2010,2,0,59761,230
Mercado a T%C3%A9rmino de Buenos Aires,2013,1,0,30761,40
Armed Forces of the Argentine Republic,2011,8,14,112014,350
Federaci%C3%B3n Anarco Comunista de Argentina,2014,5,2,37195,79
Ley de Lemas,2006,3,0,53400,172
List of Argentine provinces by gross domestic product,2012,9,4,80526,200
Correaje Tempex,2011,7,4,25564,38
Template:Argentina stub,2013,3,0,35195,51
Environment of Argentina,2014,8,4,63599,264
Erkencho,2009,4,0,24570,37
Argentine Chamber of Deputies,2014,10,4,94249,278
Unnamed Patagonian titanosaur (2014),2015,2,7,41347,65
Buenos Aires Forum,2007,7,0,40767,169
List of Argentines,2004,10,0,49861,200
ANSES,2011,7,40,92402,144
Foreign trade of Argentina,2010,9,5,67109,152
Atucha II Nuclear Power Plant,2011,5,7,36003,62
Viveza criolla,2012,11,3,38285,78
Foreign trade of Argentina,2006,6,0,33916,81
Atucha I Nuclear Power Plant,2009,5,1,39953,84
Necessity and Urgency Decree,2014,4,18,50437,71
History of Argentina,2010,12,44,209633,706
Foreign trade of Argentina,2007,2,0,35237,77
Puelche people,2011,3,0,43042,138
Huemul Project,2010,9,3,44157,92
Provoleta,2006,10,0,24766,43
National Institute of Statistics and Census of Argentina,2010,7,8,44127,59
Armed Forces of the Argentine Republic,2008,8,3,81029,250
List of political parties in Argentina,2004,11,0,32581,73
ISO 3166 2:AR,2011,3,0,101418,715
El grito,2010,11,0,30857,60
Ethnography of Argentina,2013,1,8,61175,136
Argentina and weapons of mass destruction,2010,2,1,42420,105
Comisi%C3%B3n Nacional de Actividades Espaciales,2009,5,6,96142,252
Name of Argentina,2015,4,5,43958,100
Ethnography of Argentina,2006,11,0,39360,124
List of political parties in Argentina,2009,4,0,71348,250
Terrorism in Argentina,2015,2,11,38130,45
Junta de Investigaci%C3%B3n de Accidentes de Aviaci%C3%B3n Civil,2013,8,3,128061,325
Index of Argentina related articles,2011,3,0,257507,2072
Argentine Naval Prefecture,2007,1,1,53576,133
Matambre,2012,9,0,28703,46
Economy of Argentina,2011,9,93,204992,648
Bank of the South,2009,5,10,43199,83
Geography of Argentina,2007,10,0,57874,242
Foreign relations of Argentina,2014,1,82,242435,743
Industrias Aeron%C3%A1uticas y Mec%C3%A1nicas del Estado,2010,9,0,35648,44
Government of Argentina,2009,2,1,53652,161
Argentines of European descent,2014,4,90,218912,654
President of Argentina,2011,3,1,133994,517
Inversiones y Representaciones Sociedad An%C3%B3nima (IRSA),2012,2,13,42885,79
Comisi%C3%B3n Nacional de Actividades Espaciales,2012,7,13,73655,142
Argentines,2015,1,19,117070,430
Nivacl%C3%A9 language,2009,8,0,32964,66
2006 Argentine nuclear reactivation plan,2007,5,3,33137,67
Landmarks in Buenos Aires,2014,8,28,134989,448
Mi Buenos Aires querido (tango),2009,10,0,28547,49
Uruguay River pulp mill dispute,2007,4,60,161327,264
List of wars involving Argentina,2010,4,0,32905,91
We Tripantu,2012,6,3,40291,132
Atucha I Nuclear Power Plant,2011,12,1,43372,84
Argentines,2012,9,24,137927,506
Argentine University Federation,2008,7,0,47536,79
Ronald Richter,2007,4,0,39631,67
Argentine National Congress,2014,8,11,91256,355
Provinces of Argentina,2009,9,3,90569,272
Provinces of Argentina,2013,12,5,183272,479
Argentine Senate,2015,3,4,73826,226
Geography of Argentina,2006,9,0,55838,199
Uruguay River pulp mill dispute,2010,8,74,155195,170
Argentine peso,2012,11,7,121935,333
Rural Bandits,2009,12,0,25929,49
Human rights in Argentina,2012,7,15,135181,139
Argentine peso,2007,10,0,92744,252
Argentines,2013,11,17,111122,432
Les Luthiers (volumen 7),2011,1,0,31141,57
Chicoana,2011,4,0,27932,46
Economy of Argentina,2011,1,44,175642,584
Cuyo Spanish,2011,4,0,34372,93
