filename,year,month,num_citations,file_size,forward_links
List of regions of old Armenia,2009,3,0,34714,107
Shivini,2007,1,0,25349,34
List of Armenian kings,2005,10,0,57483,98
LGBT rights in Armenia,2007,12,0,43445,121
Erivan Fortress,2012,6,17,65655,150
Armenia,2014,10,126,606758,2248
Armenian nobility,2012,1,0,78312,154
ArmSCII,2010,9,1,131942,452
Hemshin peoples,2006,5,0,39086,121
Mugni Gospels,2009,12,0,30329,59
The Last Tightrope Dancer in Armenia,2012,10,1,32425,48
Hossein Khan Sardar,2013,2,1,31066,54
Armenian Wikipedia,2014,8,9,76347,193
Name of Armenia,2011,10,18,112199,456
Public holidays in Armenia,2008,7,0,38551,121
Kurdish recognition of the Armenian genocide,2013,9,39,83573,180
Armenians,2011,9,85,252554,872
Siunia dynasty,2009,7,4,31859,57
Armenische Legion,2006,7,6,30365,53
Armenian proverbs,2013,9,0,24046,34
Russian Armenia,2014,3,30,145028,507
Bagramyan Battalion,2009,8,4,43197,113
Anjewaci,2013,8,2,27350,45
United States Ambassador to Armenia,2008,9,5,38740,62
Sasanian Empire,2009,8,72,319519,1143
Orbelian%27s Caravanserai,2014,6,1,40296,58
Erzurum Province,2008,11,1,77471,292
Sasanian Empire,2009,1,69,307149,1080
List of Armenian kings,2008,4,0,55673,142
Red Armenian Army,2007,3,2,28426,47
Armenian Stock Exchange,2007,9,0,28018,44
Pepo (film),2008,10,3,35346,49
Russo Turkish War (1806%E2%80%9312),2014,1,0,86132,303
Prehistory of the Armenians,2011,1,39,73526,59
Public holidays in Armenia,2006,10,0,28319,52
Weightlifting in Armenia,2014,1,79,254759,348
Armenian Genocide,2011,1,242,474978,1191
Byzantine%E2%80%93Sasanian War of 602%E2%80%93628,2011,8,181,250449,495
Shvi,2008,4,0,30704,56
Armenia,2006,5,0,163859,557
Armenische Legion,2011,3,14,49172,84
Armenian dress,2012,2,1,34440,93
Gikor (film),2009,6,0,31439,56
Armenian nationalism,2010,4,6,57799,143
Shulaveri Shomu culture,2014,6,5,78290,442
Yerevan,2013,2,88,388038,1278
Sajid dynasty,2012,4,3,44858,101
Erzurum Province,2012,8,4,91175,385
List of Armenian kings,2010,2,2,58214,153
List of leaders of Armenia,2008,5,0,85931,402
Mongol invasions of Georgia and Armenia,2015,3,18,102887,407
Ani,2010,3,28,136791,484
ArmSCII,2008,5,0,82524,243
Emblem of the Armenian Soviet Socialist Republic,2012,11,1,43422,86
Football in Armenia,2014,5,3,90320,410
Somkhiti,2013,3,4,29002,56
Bible translations into Armenian,2010,12,0,29695,44
List of diplomatic missions of Armenia,2010,12,0,80649,268
Cinema of Armenia,2009,5,0,75411,369
Nairi,2013,6,8,92948,300
Occupation of Turkish Armenia,2014,10,25,114606,312
Armenian Datacom Company,2009,4,3,40069,72
Syunik Province,2012,6,22,131048,560
Elisabethpol Governorate,2007,3,2,31667,62
Erivan Governorate,2013,2,6,70125,259
Togarmah,2012,1,6,53526,190
French Armenian Legion,2007,7,7,37132,75
Tehcir Law,2013,4,29,73358,136
Arsamosata,2013,3,1,33419,69
Telecommunications in Armenia,2014,6,14,159862,751
Agos,2009,3,0,34370,70
Cathedral of Ani,2012,11,7,70631,271
Areni 1 shoe,2010,6,9,41805,53
Sasanian Empire,2014,12,144,512896,1834
Sahakian,2010,9,0,28698,58
Armenian studies,2009,6,0,34956,86
History of Armenia (book),2012,3,3,39771,89
Armenian Kingdom of Cilicia,2005,9,0,44110,93
Eastern Anatolia Region,2012,5,3,87847,137
David of Sassoun,2007,2,0,33951,50
Armenia in the Eurovision Song Contest 2008,2009,6,2,62946,118
Hamidian massacres,2009,3,21,62823,137
Hajduk,2009,9,5,59648,171
Hayasa Azzi,2010,9,21,107383,328
Melik,2007,12,2,35833,74
Occupation of the Ottoman Bank,2012,11,15,77044,195
Cherkesogai,2012,1,2,51860,207
List of Armenian Genocide memorials,2012,4,4,78169,189
Fadl ibn Muhammad,2011,9,2,26942,49
List of leaders of Armenia,2006,3,0,32355,60
Armenian Soviet Socialist Republic,2014,4,37,192336,554
Cathedral of Ani,2009,7,2,63134,252
Armenian dram,2004,9,0,35803,26
Housaper,2008,11,0,26513,43
Tayk,2013,7,0,44429,130
Armenian Populist Party,2013,2,3,27503,44
Paytakaran,2008,4,3,40589,115
David of Sassoun,2007,5,0,33943,47
Stepanavan Airport,2013,8,0,40184,75
Harees,2013,2,1,37762,84
Armed Forces of Armenia,2008,5,9,113906,462
Russo Turkish War (1877%E2%80%9378),2013,4,66,267120,702
"Hask%C3%B6y, Mu%C5%9F",2012,8,0,44859,148
Sanasarian College,2015,4,9,43072,65
First Republic of Armenia,2011,3,30,169041,560
Armenian national awakening,2006,11,22,88242,276
Air Armenia,2010,12,1,42479,112
Armenian Army,2008,1,6,43176,127
List of earthquakes in Armenia,2012,11,2,27015,40
Paytakaran,2007,3,4,40493,117
Template:Armenia stub,2007,1,0,27200,31
Economy of Armenia,2012,6,56,232564,749
Hayk,2011,6,12,92781,330
Armenian Genocide,2005,12,0,89067,210
Osroene,2010,2,19,104430,442
Armenian Red Cross Society,2008,8,0,160241,342
Rshtuni,2007,6,0,29142,52
Tayk,2008,9,0,38984,118
Anjewaci,2013,4,2,25164,38
Hajduk,2008,2,5,47903,122
Musa Dagh,2011,7,3,58908,183
List of diplomatic missions of Armenia,2010,3,0,77809,261
Gethsemane Chapel,2014,12,1,95543,474
Peace of Nisibis,2013,12,2,29771,66
Erebuni Airport,2010,5,3,36722,53
Index of Nagorno Karabakh related articles,2013,3,0,46479,122
2008 Armenian presidential election protests,2012,3,60,325615,504
Armenian Medical Association,2012,4,4,31814,50
President of Armenia,2013,3,0,90216,357
Wings of Tatev,2013,4,1,38542,53
Armenian Genocide,2008,10,157,338420,995
Subartu,2012,4,3,37854,82
Adana massacre,2014,4,34,111886,271
"Edremit, Van",2011,7,1,53967,186
Erebuni Airport,2009,5,3,37266,63
Colombo Yogurt,2012,12,3,41355,127
Byzantine%E2%80%93Sasanian War of 602%E2%80%93628,2010,12,144,222199,452
Demographics of Armenia,2015,3,11,130075,446
Orontid Dynasty,2010,7,1,75211,283
Battle of Sarikamish,2010,7,40,169188,485
Harichavank Monastery,2008,6,1,34637,59
Russians in Armenia,2008,11,2,43471,126
Prehistory of the Armenians,2012,10,39,74079,59
Akhtala Monastery,2009,7,14,106928,351
Armenian dram,2007,9,0,74201,210
Peace of Amasya,2015,2,4,56028,173
Persian Campaign,2007,11,1,52835,143
Weightlifting in Armenia,2012,11,63,192217,313
Gugunian Expedition,2008,2,0,26898,47
Armenian nobility,2014,12,0,107859,303
Elisabethpol Governorate,2011,12,6,72064,252
Mushki,2006,7,2,39637,127
Adana massacre,2008,2,24,82994,206
Emblem of the Armenian Soviet Socialist Republic,2009,1,1,41706,80
Joan and the Voices,2012,4,2,31701,48
Armenian nationality law,2015,3,0,50655,196
Armenians,2005,1,0,61284,167
Kingdom of Commagene,2006,8,0,27625,25
Kingdom of Commagene,2008,8,4,66937,200
Armenians,2006,5,0,75276,237
Osroene,2011,10,18,107393,456
Persian Campaign,2008,1,1,96621,387
Islamic Army of the Caucasus,2012,9,8,76213,176
Eurasia International University,2009,8,0,33194,73
Armenians,2013,11,45,216474,771
Name of Armenia,2010,12,20,105679,394
Economy of Armenia,2014,8,62,246092,761
Jamanak,2009,4,3,31057,56
Football in Armenia,2008,2,0,36830,111
Armenian volunteer units,2011,7,14,56300,120
Islamic Army of the Caucasus,2012,2,8,75505,165
Adana massacre,2009,4,24,85182,209
Syunik Province,2006,12,2,76242,212
Sport in Armenia,2008,6,4,82390,402
List of political parties in Armenia,2005,11,0,41126,101
Kaymakl%C4%B1 Monastery,2007,9,6,53066,101
Arubani,2014,4,0,33082,58
Corruption in Armenia,2009,11,9,67204,206
Armenian Soviet Socialist Republic,2005,8,0,51614,77
St. Nerses I,2011,8,3,34259,65
Battle of Baku,2007,6,0,48407,123
Akhtala,2013,12,7,63523,211
Kurdish recognition of the Armenian genocide,2013,11,39,83272,174
Tigranakert of Artsakh,2012,2,6,50314,79
List of earthquakes in Armenia,2015,3,4,31193,44
List of leaders of Armenia,2005,9,0,25353,34
Armenian%E2%80%93Tatar massacres of 1905%E2%80%9307,2006,7,0,40507,86
Armenian dram,2010,10,2,128342,422
"Hask%C3%B6y, Mu%C5%9F",2012,3,0,45789,150
Armenian Stock Exchange,2012,9,0,72710,329
Kingdom of Commagene,2008,6,4,67190,206
First Republic of Armenia,2009,10,27,147923,483
Sahakian,2010,6,0,29766,60
Roman Armenia,2013,2,14,144772,540
Russo Turkish War (1877%E2%80%9378),2014,12,68,274135,709
Armenian volunteer units,2011,10,14,56492,120
Shusha massacre,2013,12,46,98665,221
Armenians,2006,12,19,108399,435
"Edremit, Van",2015,2,3,56341,174
Mushki,2009,1,3,48779,176
Russo Turkish War (1806%E2%80%9312),2006,11,0,43452,95
Russo Turkish War (1877%E2%80%9378),2013,2,66,223925,675
ISO 3166 2:AM,2014,12,2,85654,699
Erivan Governorate,2012,6,6,68779,251
Armenian ruble,2011,4,0,31769,56
Armenian Air Force,2008,12,24,121437,472
Yerevan Children%27s railway,2011,7,0,29983,53
Battle of Sarikamish,2015,2,39,172088,500
Greater Armenia,2014,11,1,29467,57
Stepanavan Airport,2009,3,0,32708,54
Hamidian massacres,2006,1,0,36824,65
Islamic Army of the Caucasus,2010,10,0,64740,150
Air Armenia,2011,6,2,42184,107
Hayk,2008,5,8,61962,208
Music of Nagorno Karabakh,2013,10,0,33653,103
Satrapy of Armenia,2013,6,7,115581,443
Akdamar Island,2010,10,14,98732,308
Shvi,2008,2,0,30946,58
Persian Campaign,2015,2,17,217501,750
Armenians,2004,7,0,52852,138
Samosata,2009,1,6,41444,108
Mamikonian,2007,3,4,42282,100
Bagramyan Battalion,2013,3,4,43616,117
Armenian Genocide,2009,10,187,369360,1041
Russians in Armenia,2009,3,2,43764,131
Armenian International Airways,2005,5,0,34285,84
Syunik Province,2004,10,0,32646,38
Armenian Soviet Socialist Republic,2012,10,29,175244,506
United States Ambassador to Armenia,2009,6,6,75616,295
Sajid dynasty,2012,12,4,46171,108
Hajduk,2015,2,5,68605,247
The Armenian Review,2014,5,0,27473,39
Musasir,2012,1,2,40585,91
Armenia,2008,10,53,395256,1593
Armenians,2014,6,48,229406,800
First Republic of Armenia,2011,10,32,174079,569
Occupation of Turkish Armenia,2008,8,21,88300,235
Lake Van,2011,11,20,102422,257
Vardan Areveltsi,2012,5,5,48462,137
Roman Armenia,2015,4,15,151419,565
Hemshin peoples,2009,7,63,109950,243
Flag of the Armenian Soviet Socialist Republic,2005,4,0,37098,63
Demographics of Armenia,2012,8,6,130323,452
Tehcir Law,2006,11,17,50932,117
National Statistical Service of the Republic of Armenia,2013,4,2,30496,49
Public holidays in Armenia,2009,11,0,47729,183
Persian Campaign,2014,11,17,184794,649
Nagorno Karabakh Defense Army,2012,1,13,69631,197
Sport in Armenia,2007,7,4,59825,225
Armed Forces of Armenia,2009,12,25,135669,510
Azat Or,2013,4,0,26337,50
Battle of Baku,2008,9,15,107540,257
Lake Van,2007,7,3,53251,90
Armenian Sailing Federation,2012,6,1,58482,109
Akhtala Monastery,2009,1,14,80730,162
Shusha massacre,2012,2,43,96082,207
Samosata,2012,10,7,65204,392
Mithrenes,2011,2,3,30711,61
Kingdom of Commagene,2014,9,6,98757,377
Armenians,2014,1,45,216244,771
Erivan Governorate,2013,4,6,70371,261
Arran (Caucasus),2008,5,14,54082,159
Yerevan,2006,12,5,135241,414
National Assembly (Armenia),2011,4,0,103221,391
Armenian Genocide,2011,3,245,477366,1199
"Saint Gregory the Illuminator Church, Yerevan",2013,10,0,95478,473
Arminco,2006,8,0,22482,34
Air Van Airlines,2012,5,2,42650,103
Armenian National Constitution,2014,4,3,30571,50
Armenian%E2%80%93Tatar massacres of 1905%E2%80%9307,2011,2,14,92968,359
Cinema of Armenia,2007,5,0,57676,253
Hayasa Azzi,2008,8,25,50503,84
Kingdom of Commagene,2008,12,4,72916,230
Armenian national awakening,2008,9,21,74701,200
Armenian ruble,2007,12,0,30510,52
Atlantis European Airways,2011,9,0,39336,106
Constitution of Nagorno Karabakh,2011,4,1,77908,317
Bagras,2014,2,5,43240,123
Arsamosata,2006,12,0,28003,45
Nagorno Karabakh Defense Army,2011,5,13,69304,192
Sport in Armenia,2007,11,4,65268,296
Historical regions of Armenia,2009,11,1,50910,172
Administrative divisions of Armenia,2010,6,1,91584,362
Administrative divisions of Armenia,2013,11,1,89421,362
"Hello, That%27s Me!",2010,5,1,32014,54
Armenian Stock Exchange,2009,4,0,56741,210
Nerses IV the Gracious,2010,12,0,33236,52
Armenians in the Persianate,2011,3,3,57451,167
List of leaders of Armenia,2013,2,0,94519,379
Pepo (film),2014,4,4,44494,83
Sallarid dynasty,2013,7,6,74788,235
Armenian Soviet Socialist Republic,2009,3,27,161611,472
Vertir Airlines,2010,1,0,35138,95
Demographics of Armenia,2009,2,5,105807,450
Battle of Sarikamish,2011,8,38,164193,478
Hajduk,2004,1,0,26911,26
Geography of Armenia,2003,10,0,31887,50
Roman relations with the Armenians,2010,7,1,44004,104
Cathedral of Ani,2010,11,3,67563,263
List of Armenian Olympic medalists,2012,8,77,232356,505
List of Armenian flags,2009,9,0,61841,188
Armenian Genocide,2010,1,189,368345,1027
South Kipchakya,2009,2,3,30709,64
Musasir,2013,3,2,40410,85
Yerevan,2005,12,0,77727,197
"Isabella of Armenia, Princess of Tyre",2007,9,0,27277,47
Roman Armenia,2012,11,14,144418,536
Adana massacre,2009,12,24,80393,163
Armed Forces of Armenia,2004,7,0,29851,39
Ani,2011,8,33,149925,502
Occupation of the Ottoman Bank,2012,6,15,76154,187
National Competitiveness Report of Armenia,2014,3,9,55084,92
Battle of Baku,2012,10,25,166417,504
Shvi,2008,6,0,30692,61
First Republic of Armenia,2008,12,11,119042,419
Flag of the Armenian Soviet Socialist Republic,2008,6,1,46977,92
Hajduk,2007,5,0,44268,103
List of Armenian flags,2013,3,0,64800,186
Nerses IV the Gracious,2008,5,0,31374,52
Armenian Kingdom of Cilicia,2014,11,43,252804,805
Trade unions in Armenia,2013,4,1,41207,76
Transport in Armenia,2007,12,0,25471,32
Elisabethpol Governorate,2009,4,5,43644,86
Subartu,2014,6,32,98148,377
Anytime You Need,2008,4,0,29027,50
Stephen Orbelian,2013,2,5,39439,99
St. Nerses I,2013,1,4,35630,73
Arsacid dynasty of Armenia,2009,2,10,78696,227
Paikuli inscription,2010,6,6,30651,42
Nagorno Karabakh Defense Army,2013,4,14,78993,272
Erivan Fortress,2013,8,17,90760,322
"Edremit, Van",2009,9,0,50635,175
Armenian Genocide,2006,2,0,153611,391
Massacres of Diyarbak%C4%B1r (1895),2013,2,28,83205,200
Armenian ruble,2009,11,0,31326,59
Greater Armenia,2006,3,0,22407,25
Shupria,2007,3,1,23627,34
First Republic of Armenia,2014,12,48,165907,496
Adana massacre,2010,2,24,79889,159
Armenian Army,2008,10,5,63362,243
Occupation of the Ottoman Bank,2013,1,15,76882,193
Yerevan,2013,7,89,390886,1291
Eastern Armenia,2007,3,0,28779,54
Kurdish recognition of the Armenian genocide,2008,6,21,58231,112
Syunik Province,2009,5,17,102970,369
Template:Armenia stub,2009,9,0,35401,45
David of Sassoun,2013,9,1,35268,57
Air Armenia,2014,3,5,58638,151
List of Armenian flags,2013,7,0,65674,185
2008 Armenian presidential election protests,2008,11,59,289437,335
Melik,2012,4,4,41658,100
Armenian Army,2009,11,12,74864,275
Byzantine%E2%80%93Sasanian wars,2009,8,67,102750,233
Cataphract,2012,1,30,128541,474
Index of Armenia related articles,2011,8,0,165961,1291
Armenian printing,2011,4,5,102715,327
National Assembly (Armenia),2010,12,0,103566,388
Anti Azerbaijani sentiment in Armenia,2014,11,18,86570,227
Wildlife of Armenia,2013,3,2,47236,150
Persian Campaign,2009,9,15,169573,571
Monte Melkonian Fund,2010,12,0,31687,57
Marz (country subdivision),2013,12,0,25189,40
Armenian%E2%80%93Tatar massacres of 1905%E2%80%9307,2010,2,9,65668,217
French%E2%80%93Armenian Agreement (1916),2010,5,3,42652,107
LGBT rights in Armenia,2009,2,0,58716,204
Russian Armenia,2006,11,0,60967,189
French Armenian Legion,2009,12,9,39235,76
Sasanian Empire,2003,10,0,48175,141
Lake Van,2014,7,19,101464,255
Bible translations into Armenian,2010,3,0,26305,30
Armed Forces of Armenia,2013,8,52,157052,534
Erzurum Province,2005,2,0,61684,235
Defense of Van (1915),2011,10,102,222933,442
"Edremit, Van",2008,8,0,49057,173
Politics of Armenia,2008,5,4,88311,286
Caucasus Military District,2011,3,0,30946,52
Prehistory of the Armenians,2011,6,39,74064,64
Hayk,2005,7,0,28954,45
Eastern Anatolia Region,2007,8,0,48366,95
Armenian Air Force,2008,9,25,121211,462
Atlantis European Airways,2010,9,0,36737,90
Melikdoms of Karabakh,2012,10,20,56767,144
Armed Forces of Armenia,2011,7,44,146375,509
Battle of Sarikamish,2014,7,39,169654,489
Shivini,2009,9,3,34547,68
Arran (Caucasus),2006,6,0,40425,130
Armenian Oblast,2010,6,3,39180,80
Byzantine%E2%80%93Sasanian wars,2009,12,67,111239,254
Armenians in the Persianate,2011,8,3,57267,168
Melik,2011,9,4,41392,99
Armenian nationalism,2009,11,6,57804,143
Index of Nagorno Karabakh related articles,2011,11,0,45833,117
Armenia,2007,12,40,327195,1245
Armenian Genocide reparations,2010,12,36,180520,584
Koryun,2008,3,1,30925,58
Byzantine%E2%80%93Sasanian wars,2013,2,69,121659,308
Ararat International Airlines,2013,2,2,48083,122
Armenian passport,2009,8,0,120257,404
Battle of Sarikamish,2008,2,3,57655,124
Hajduk,2004,12,0,28078,34
Eastern Anatolia Region,2010,4,0,71310,169
French Armenian Legion,2008,4,7,37019,77
Tehcir Law,2014,12,29,73192,131
Ani,2012,11,38,159626,505
Armenian dram,2006,2,0,49394,114
Sasanian Empire,2007,6,56,247313,792
Defense of Van (1915),2011,9,102,222739,445
Geography of Armenia,2005,8,0,37424,79
Matagh,2007,10,1,25220,33
Template:Armenia film stub,2010,1,0,29762,49
Vertir Airlines,2010,4,1,35356,95
