filename,year,month,num_citations,file_size,forward_links
Surf lifesaving,2005,12,0,32258,72
AusLink,2009,9,40,74221,227
Operation Sovereign Borders,2015,4,55,120861,109
Transport in Australia,2007,2,0,68511,259
List of Australian place names of Aboriginal origin,2008,1,2,98947,501
Table of precedence for the Commonwealth of Australia,2015,4,1,82688,271
East Australian Current,2010,4,3,48917,141
List of Australian inventions,2009,2,69,128847,198
Beating Retreat,2005,1,0,26433,30
Australian governments,2014,5,0,66952,297
Table of precedence for the Commonwealth of Australia,2013,3,0,77271,236
Official cash rate,2010,8,0,55774,179
Foreign relations of Australia,2005,10,0,94758,318
Australian Senate,2006,5,0,74850,240
Centre for Ultrahigh Bandwidth Devices for Optical Systems,2009,2,5,30045,41
Politics of Australia,2003,5,0,36815,57
CSIRAC,2007,2,3,32856,58
The bush,2012,11,8,50010,121
Geography of Australia,2005,3,0,46305,139
Superannuation in Australia,2007,12,6,55807,93
List of Oceanic and Australian folk music traditions,2009,11,5,47548,113
Australia%E2%80%93Solomon Islands Maritime Boundary Agreement,2014,12,1,38445,88
Mackerras pendulum,2011,7,1,32728,78
Time in Australia,2008,12,2,62973,167
Outline of Australia,2009,2,3,127958,497
List of diplomatic missions in Australia,2009,9,0,139357,274
"Centre for Water Economics, Environment and Policy",2012,12,1,29189,49
Australian Height Datum,2014,2,2,27609,43
Sport in Australia,2010,6,53,180686,782
Top End,2011,11,1,38495,96
Driving licence in Australia,2008,3,2,47990,59
Bluey (dog),2011,7,4,32890,51
Canadian Australian,2013,7,1,54373,212
Geography of Australia,2007,11,0,67264,230
List of festivals in Australia,2015,3,117,226969,467
Camponotus triodiae,2010,8,1,31536,58
Soakage (source of water),2007,6,6,53236,199
Australian Jews in Israel,2015,3,5,51087,133
American Association for Australian Literary Studies,2007,4,0,25289,36
Blitz Magazine,2014,9,1,34934,62
Mawson Station,2008,8,0,50043,147
Health and social services access card (Australia),2009,2,21,66296,118
Women in the Australian military,2011,5,14,55925,83
Shared lane marking,2007,8,6,31654,45
Video gaming in Australia,2011,7,6,42661,57
Contents of the United States diplomatic cables leak (Australia),2012,8,9,75002,285
History of Australia,2010,2,147,256025,701
Flag of the Cocos (Keeling) Islands,2008,8,1,45982,113
Australia%E2%80%93United States Free Trade Agreement,2010,9,16,125089,235
Triangulation station,2009,10,0,45203,91
Australian and New Zealand Standard Industrial Classification,2008,1,0,28180,60
Shared lane marking,2012,6,22,48075,93
Birmingham Solar Oscillations Network,2006,6,0,26680,49
Child Support Agency (Australia),2009,8,8,34992,48
Minister for Defence (Australia),2008,2,0,60672,362
Inspiring Australia,2014,12,25,50137,60
Sport in Australia,2013,9,172,405245,1138
List of Meredith Music Festival lineups by year,2013,2,3,55319,290
History of Australia,2013,7,405,710658,1938
High Flux Australian Reactor,2004,11,0,25231,40
Divisions of the Australian House of Representatives,2012,2,3,89847,400
East Australian Current,2008,10,3,35707,58
Demographics of Australia,2004,9,0,34891,68
Productivity Commission,2007,5,0,27804,42
Demographics of Australia,2012,7,90,339379,968
Basslink,2005,12,0,24362,37
106 emergency,2005,9,0,24331,32
Australian Defence Force,2006,7,0,57607,187
Surf lifesaving,2014,1,3,59598,170
