filename,year,month,num_citations,file_size,forward_links
Habsburg Monarchy,2011,10,6,110880,402
Austria in the time of National Socialism,2011,7,2,70750,238
Upper Styria,2009,12,0,30192,67
Teutonic Order,2005,9,0,85138,334
Reflection (Bobbie Singer song),2010,10,0,29842,56
Austrians,2011,8,36,118879,371
Holy Roman Empire,2012,7,26,253962,965
U.S.%E2%80%93Austrian Peace Treaty (1921),2012,1,2,32555,47
Grand Duchy of Tuscany,2006,5,0,39131,85
Austrian National Socialism,2008,8,0,29211,55
Vienna microbreweries,2010,2,0,29370,37
Baumgarten an der March,2009,11,0,27160,44
Count Gustav K%C3%A1lnoky,2008,10,0,33418,77
Austria,2005,4,0,130152,408
List of rulers of Tuscany,2008,11,0,42162,108
Danube Swabians,2011,1,16,97677,392
Austria,2008,9,58,297258,1077
German toponymy,2014,2,0,53213,233
List of Ministers President of Austria,2008,5,0,43852,231
Chief of the General Staff (Austria),2014,7,0,76248,212
Christian Social Party (Austria),2008,4,0,38486,90
Novotny %26 Maroudi %E2%80%93 Zahng%C3%B6tter in Wei%C3%9F,2013,8,0,33011,52
Theodor Innitzer,2006,4,0,33465,85
East Francia,2011,6,1,70320,197
Austrian Football League,2014,8,1,40605,77
Aktion Leben,2006,11,0,28388,46
First Austrian Republic,2007,9,0,60281,186
Martin Gusinde,2011,6,0,31547,50
Weil der Mensch z%C3%A4hlt,2013,4,0,47976,164
United States Ambassador to Austria,2011,7,26,105381,349
Declaration of Neutrality,2006,1,0,28519,52
Teutonic Order,2010,4,28,208650,555
Wilhelminers,2008,4,0,24686,39
Austrian Empire,2005,12,0,52087,113
Felix Unger,2013,11,4,28546,45
List of political parties in Austria,2009,6,0,70028,226
Danube Swabians,2008,9,2,79425,352
List of Austrian flags,2012,1,0,67443,193
Privilegium Maius,2008,12,0,27485,58
Hungarians in Austria,2012,4,6,56015,116
March of Carniola,2007,6,7,44207,126
States of Austria,2010,5,2,82063,229
Bosna (sausage),2006,4,0,23863,42
Ministry of National Defence and Sport (Austria),2012,3,1,46432,83
Telecommunications in Austria,2013,5,1,107869,516
Military Frontier,2011,9,5,93609,341
Vienna Environmental Research Accelerator,2008,7,0,27723,38
Austrian National Socialism,2011,1,0,79756,389
Roman Catholic Diocese of Feldkirch,2014,1,0,42335,75
Austria Hungary,2011,9,31,303346,1033
List of political parties in Austria,2006,12,0,53203,140
Austrian State Treaty,2010,10,0,45178,107
Der K und K Kalypso aus Wien,2012,4,0,41935,107
Generalstabsarzt,2014,9,2,85868,295
Template:Zoos of Austria,2014,11,0,26420,45
Western Ukrainian clergy,2012,1,20,64487,119
History of Austria,2004,3,0,50625,150
Austrian Air Force,2011,4,9,135848,506
Politics of Austria,2005,11,0,69964,264
Liberalism in Austria,2006,3,0,50216,169
Treaty of Passarowitz,2013,2,0,60688,199
%C3%96sterreichische Industrieholding,2009,9,1,34139,58
Vienna Summer of Logic,2013,12,1,26198,35
Austromarxism,2006,1,0,33960,61
Spinnerin am Kreuz,2014,11,2,39321,59
Reflection (Bobbie Singer song),2008,8,0,29545,55
Austrian Brazil Expedition,2008,3,0,28096,50
List of Ministers President of Austria,2014,7,0,55546,172
Magyarization,2006,3,3,43761,93
Slavic settlement of the Eastern Alps,2013,10,6,45077,111
List of Austrians,2008,8,0,102068,680
Treaty of Passarowitz,2011,3,0,53808,168
July Revolt of 1927,2013,3,1,33411,65
Conservatory of Vienna,2007,8,0,28075,51
Serbs in Austria,2015,2,3,66358,228
Teutonic Order,2008,5,22,127611,473
A.E.I.O.U.,2011,11,2,33675,48
Austrian post offices in the Ottoman Empire,2013,9,12,63098,188
Austrian Silesia,2011,3,0,95349,342
Treaty of Saint Germain en Laye (1919),2009,3,1,113531,402
Hans Moravec,2008,9,4,42462,94
List of Ministers President of Austria,2013,2,0,56077,183
Austrian air defense,2008,1,0,37542,50
Hans Moravec,2011,8,8,44154,85
Austrian Empire,2005,7,0,51821,117
List of political parties in Austria,2012,3,0,72136,264
Austrian Football League,2011,7,1,30625,43
Holy Roman Empire,2013,6,39,273005,1008
Austria in the time of National Socialism,2008,7,0,61911,174
List of princes of Austria Hungary,2012,12,29,81227,155
Wirtschaftswunder,2010,8,9,54143,127
Holy Roman Empire,2014,11,51,289126,1032
Prince%27s Stone,2012,9,2,38083,75
Economy of Austria,2014,11,13,106420,321
