filename,year,month,num_citations,file_size,forward_links
Anecdote (film),2009,5,0,37453,83
Azerbaijani Legion,2010,12,3,27809,45
Isa Aydin Studios,2014,11,0,30610,47
Greater Iran,2006,11,24,101736,416
Nizami Mausoleum,2012,10,9,41418,84
Eldiguzids,2011,2,10,78628,201
Khazar University,2010,12,1,47398,96
President of Azerbaijan,2007,10,0,67254,240
Siunia dynasty,2009,7,4,31859,57
Talysh Mughan Autonomous Republic,2011,11,9,47989,73
Asma kasma,2007,5,0,26596,49
Flag of Azerbaijan,2012,11,27,137083,287
Azerbaijan State Agricultural Academy,2010,10,1,34574,52
Caucasian Albanian alphabet,2012,6,14,41929,76
Azerbaijan National Academy of Sciences,2014,9,4,96725,298
Sasanian Empire,2009,8,72,319519,1143
Takam Chi,2008,4,0,24065,37
Sasanian Empire,2009,1,69,307149,1080
Abayi,2012,7,0,28183,52
Panah Ali Khan,2008,8,6,34128,73
AtaBank,2015,2,2,33437,62
The Precinct,2013,3,5,37354,54
Nakhchivan Autonomous Republic,2008,2,85,206909,549
List of universities in Azerbaijan,2009,9,0,39292,108
Dinara Gimatova,2008,9,0,31655,54
Qarapapaqs,2010,7,11,63197,268
Yox!,2009,10,0,26834,55
Timur,2012,4,62,188763,533
Azeri SS Volunteer Formations,2008,5,15,63537,121
11th Army (Soviet Union),2014,12,7,67222,200
Azerbaijani manat,2013,9,4,125970,418
Sajid dynasty,2012,4,3,44858,101
Beer in Azerbaijan,2009,10,0,41105,144
Extreme points of Azerbaijan,2008,9,0,46795,110
ANS Group of Companies,2012,3,6,37790,75
Southern Azerbaijan National Awakening Movement,2010,9,2,35889,57
Baku State University,2013,11,1,78665,260
Azerbaijan,2009,8,106,469168,1782
Armenian%E2%80%93Azerbaijani War,2006,6,0,46006,99
Kazakhsky Uyezd,2013,12,7,45442,78
Elisabethpol Governorate,2007,3,2,31667,62
Transcaucasian Democratic Federative Republic,2011,7,3,58947,113
History of Azerbaijan,2010,7,43,190316,724
Erivan Governorate,2013,2,6,70125,259
Sara Khatun,2012,9,5,31813,44
Azerbaijan,2006,10,9,182875,559
Azerbaijani Navy,2006,4,0,28499,45
Sasanian Empire,2014,12,144,512896,1834
Papravand Mausoleum,2013,3,4,39340,69
Greater Iran,2014,7,83,264799,1065
Democratic Azerbaijan%27s World,2009,10,0,29351,43
Qarapapaqs,2010,3,11,65223,270
Azerbaijani population,2014,1,60,127333,293
Economy of Azerbaijan,2014,6,32,145289,474
National Hero of Azerbaijan,2010,11,2,54413,99
Nizami Mausoleum,2005,1,0,25292,34
Nizami Museum of Azerbaijani Literature,2009,2,0,31027,60
Chirag Gala,2013,7,0,32628,65
Shirvani Arabic,2008,6,3,57220,160
Eastern Anatolia Region,2012,5,3,87847,137
Ayrums,2010,11,1,30553,66
Farewell Ceremony for His Majesty Emir of Bukhara on %22Velikiy Kniaz Alexei%22 Steamboat,2011,3,0,38366,72
Azerbaijan,2011,6,222,673459,2008
Khazar University,2013,10,6,144994,401
Gulustan Palace,2013,3,5,57524,185
Flag of Azerbaijan,2014,3,28,149729,318
Azerbaijan National Academy of Sciences,2008,8,2,34991,54
Turan Air,2006,10,2,39771,97
Paytakaran,2008,4,3,40589,115
Transcaucasian Democratic Federative Republic,2007,6,0,50499,96
Sport in Azerbaijan,2012,6,14,77462,303
Mineral industry of Azerbaijan,2009,5,1,57083,72
German Caucasus Expedition,2008,4,7,35266,76
Template:Azerbaijan stub,2011,10,0,36494,47
Paytakaran,2007,3,4,40488,117
Azerbaijan Democratic Republic,2008,12,33,112838,276
President of Azerbaijan,2014,2,2,106184,403
Azerbaijan Democratic Republic,2014,7,32,163742,493
Azad Azerbaijan TV,2014,11,2,37091,59
History of Azerbaijan,2014,11,44,234584,944
AtaBank,2011,12,1,32108,65
Battle of Nakhchivan (1406),2013,6,0,43013,142
Index of Nagorno Karabakh related articles,2013,3,0,46479,122
Azerbaijan,2007,4,11,203500,756
Azerbaijan State Oil Academy,2011,9,2,41413,87
Armenian%E2%80%93Azerbaijani War,2007,11,13,75642,203
Southern Azerbaijan National Awakening Movement,2011,10,8,40712,61
March Days,2009,7,65,152727,345
Asma kasma,2009,6,1,30062,51
Caspiane,2009,8,1,28372,45
Parigala,2008,10,0,26998,42
Mud volcanoes in Azerbaijan,2013,3,2,32965,50
Johannes de Galonifontibus,2010,4,1,28718,54
National Assembly (Azerbaijan),2013,1,10,135155,536
Baku Stock Exchange,2009,1,0,31660,56
Geography of Azerbaijan,2013,2,0,128681,556
Anar Mammadli,2014,6,1,34551,60
Shushinsky Uyezd,2013,3,7,48696,85
ISO 3166 2:AZ,2005,2,0,37456,46
Caspian Hyrcanian mixed forests,2012,3,5,78116,313
Elisabethpol Governorate,2011,12,6,72064,252
Darvish Mohammed Khan,2011,12,0,27475,38
Shirvan,2009,10,20,61272,106
Economic Cooperation Organization,2011,4,7,103336,294
Shirvan,2012,8,20,61709,90
Russo Persian War (1826%E2%80%9328),2007,7,0,35595,62
Demographics of Azerbaijan,2006,1,0,33923,44
Mihranids,2010,2,7,31429,51
Caspian expeditions of the Rus%27,2009,7,21,70409,218
Turan Information Agency,2008,8,0,32114,54
Black January,2006,5,4,41497,77
List of companies of Azerbaijan,2013,11,0,72758,323
Islamic Army of the Caucasus,2012,9,8,76198,176
Flag of Azerbaijan,2010,9,9,85509,258
Zeynab Javadli,2010,5,0,32212,59
Azerbaijani manat,2009,11,2,99447,267
Islamic Army of the Caucasus,2012,2,8,75509,165
Atropates,2013,8,10,43502,90
Outline of Azerbaijan,2014,11,4,126441,539
Third Perso Turkic War,2010,5,17,62095,204
Battle of Chalagan,2006,11,0,28551,61
Azerbaijan State Agricultural Academy,2006,10,0,33048,56
Battle of Baku,2007,6,0,48421,123
Atropatene,2014,9,13,69922,166
Caspian Hyrcanian mixed forests,2010,12,5,75937,311
Telecommunications in Azerbaijan,2009,5,0,54994,186
Armenian%E2%80%93Tatar massacres of 1905%E2%80%9307,2006,7,0,40500,86
Campaign on granting Nizami the status of the national poet of Azerbaijan,2014,9,153,215658,108
ISO 3166 2:AZ,2005,10,0,46948,193
Internal Troops of Azerbaijan,2013,3,2,65709,236
Prime Minister of Azerbaijan,2007,11,0,51600,193
Fatali Khan,2013,11,60,137565,155
Economic Research Center,2013,6,1,27626,46
Mamayi Mosque,2010,11,9,42671,81
Mughan Soviet Republic,2014,9,0,32082,60
Novruz in Azerbaijan,2012,4,7,52438,135
Transcaucasian Democratic Federative Republic,2005,4,0,37904,43
Public holidays in Azerbaijan,2013,7,8,60273,201
Economy of the Nagorno Karabakh Republic,2008,6,2,46540,134
