filename,year,month,num_citations,file_size,forward_links
Abdulwahab Hussain,2012,7,36,111136,215
Jabrids,2010,4,0,29749,67
Salman bin Hamad Al Khalifa I,2009,5,0,32180,57
Salah Al Bandar,2009,10,4,33520,41
United States Navy dog handler hazing scandal,2010,6,11,59663,90
Abdullah al Samahiji,2013,3,3,31393,68
Abu Sa%27id Jannabi,2012,5,2,26176,38
"Tree of Life, Bahrain",2010,2,5,33238,58
"Central Business District, Manama",2011,2,1,35572,85
List of shopping malls in Bahrain,2014,6,0,40691,67
Politics of Bahrain,2006,8,0,51338,129
Islamic Front for the Liberation of Bahrain,2006,8,0,33287,76
Al Eslah Society,2008,5,0,23829,37
Adhari Park,2012,8,4,31022,52
Bahrain%E2%80%93United States relations,2013,11,4,88071,368
Bahrain,2006,5,0,142157,441
Bahrain,2013,5,241,564879,1374
Economy of Bahrain,2012,9,4,93913,410
History of Bahrain,2009,1,65,152462,511
National Action Charter of Bahrain,2011,5,2,40707,95
King of Bahrain,2014,2,0,62034,175
"Ethnic, cultural and religious groups of Bahrain",2011,1,0,29815,44
List of Bahranis,2014,7,0,56513,212
History of Bahrain,2006,4,0,52700,149
Bahrain Bourse,2007,11,0,43915,58
Eastern Arabia,2013,12,56,114624,345
Al Enma Mall,2014,5,3,31186,46
Bahrain,2008,8,84,301889,1047
Torture in Bahrain,2011,10,78,126474,126
Jalila al Salman,2012,12,26,87067,168
Bahrain,2014,2,263,599150,1454
"First Oil Well, Bahrain",2011,11,3,40751,93
Coat of arms of Bahrain,2008,11,0,46499,117
Tylos,2012,5,19,47474,102
Eastern Arabia,2007,9,0,38086,99
History of Bahrain,2010,7,57,150959,437
LGBT rights in Bahrain,2011,1,13,75201,195
Bahrain,2009,4,94,301118,1092
Gulf Centre for Democratic Development,2007,12,0,24646,41
Outline of Bahrain,2012,9,2,143139,596
Prime Minister of Bahrain,2010,2,0,36863,84
"Tree of Life, Bahrain",2014,1,6,39269,60
Duarte Barbosa,2005,8,0,30591,53
Politics of Bahrain,2011,6,2,76941,241
Duarte Barbosa,2012,8,2,39494,99
Salman bin Hamad Al Khalifa I,2007,10,0,31681,50
Jabrids,2014,8,0,38446,98
Bahrain Bourse,2011,8,1,44185,52
Demographics of Bahrain,2011,10,7,63442,179
Template:Bahrain school stub,2014,4,0,30757,47
Bahrain Defence Force,2012,10,3,54337,157
Salih Al Karzakani,2013,8,2,43601,158
Hamad ibn Isa Al Khalifa (1872%E2%80%931942),2013,5,2,40558,69
"First Oil Well, Bahrain",2007,7,0,26251,38
Amiri decree,2010,8,0,23750,40
Telecommunications Regulatory Authority of Bahrain,2006,10,0,26557,34
Bahrain Olympic Committee,2010,7,0,38751,99
Al Wefaq,2012,8,7,114385,464
Bahrain%E2%80%93United States Free Trade Agreement,2006,7,0,26328,38
Economy of Bahrain,2008,4,0,82561,385
Bahrani people,2011,2,17,107142,415
2014 in Bahrain,2015,1,2,39046,116
Hamad ibn Isa Al Khalifa (1872%E2%80%931942),2012,6,4,39019,64
Ahmed ibn Muhammad ibn Khalifa,2010,3,0,29680,44
Jarwanid dynasty,2010,11,8,40883,103
Isa ibn Ali Al Khalifa,2008,12,0,32966,50
Banagas,2010,8,2,28536,43
Bahrain,2007,4,1,232662,840
Shabeeba Society of Bahrain,2010,1,2,27622,52
Al Wefaq,2006,1,0,39255,99
Sport in Bahrain,2013,5,26,80644,199
Bahrain Workers%27 Union,2008,9,0,28722,48
Ministry of Foreign Affairs (Bahrain),2011,4,0,37649,81
Politics of Bahrain,2013,2,7,84470,264
Law of Bahrain,2012,10,0,33566,73
Jarwanid dynasty,2011,6,8,40470,101
Bahrain Defence Force,2007,5,0,47200,72
Ali Abdulla Al Ubaydli,2009,3,0,28499,41
Prostitution in Bahrain,2013,6,4,38208,96
Isa ibn Ali Al Khalifa,2012,7,1,38004,67
Bahrain Human Rights Watch Society,2006,7,0,28033,37
Ajam of Bahrain,2014,1,24,79807,238
Bahrain Bourse,2006,6,0,33535,36
Bahrain Human Rights Watch Society,2012,5,5,35424,59
Workers Trade Union Law,2007,8,0,30011,59
Amiri decree,2012,4,0,24343,46
Consultative Council (Bahrain),2008,4,0,37217,87
Bahrain Human Rights Watch Society,2012,9,5,35982,55
Prime Minister of Bahrain,2010,1,0,37465,84
Bahrain%E2%80%93United States Free Trade Agreement,2009,5,0,39244,74
Prime Minister of Bahrain,2012,5,0,51523,161
March Intifada,2012,5,5,46463,99
Abdullah al Samahiji,2008,6,3,26607,51
Tylos,2010,4,18,47173,102
Bahrain election 2006 women candidates,2010,3,22,66435,123
Max Thornburg,2014,5,10,40350,62
Adhari Park,2010,11,3,30917,52
Politics of Bahrain,2011,9,2,76942,246
March Intifada,2012,4,5,45859,89
"First Oil Well, Bahrain",2008,5,0,34543,71
Ajam of Bahrain,2007,3,0,27496,56
List of parks in Bahrain,2010,9,0,29933,48
List of diplomatic missions in Bahrain,2012,3,0,68990,188
Transport in Bahrain,2014,6,7,56254,182
Bahrani people,2015,1,25,97994,421
Bahrain,2001,10,0,61065,27
"Tree of Life, Bahrain",2008,6,1,28879,45
Fifi ship wreck,2012,9,1,50074,189
Abu%27l Walid Muslim,2014,7,0,25010,37
Transport in Bahrain,2011,2,3,42219,135
Islamic Front for the Liberation of Bahrain,2010,9,1,32247,77
