filename,year,month,num_citations,file_size,forward_links
Bangladesh Liberation War,2007,7,58,206480,637
1971 Dhaka University massacre,2013,3,11,54899,82
Saifuddin Hamza Shah,2010,11,0,28488,52
Bangladesh Academy for Rural Development,2008,8,0,31063,51
Ghulam Azam,2011,6,19,68172,144
Shamsuddin Ahmad Shah,2011,9,2,31543,58
Citrus macroptera,2015,3,6,63036,249
"Bangladesh Association of Librarians, Information Scientists and Documentalists",2010,2,0,32199,44
Indian independence movement,2006,7,7,175031,632
Bhawal case,2007,12,0,47684,83
Pehlwani,2012,3,3,75678,340
Chittagong Hill Tracts Peace Accord,2010,2,13,62522,130
Bangladesh Civil Service,2010,5,0,37993,90
C. M. Shafi Sami,2007,3,0,27529,49
Begun Bari,2012,5,2,30303,48
Huseyn Shaheed Suhrawardy,2004,7,0,31588,60
Rice production in Bangladesh,2012,8,1,40192,83
Rukunuddin Barbak Shah,2013,1,1,32656,63
Janata Bank,2007,10,1,28216,42
Simla Agreement,2013,3,6,74380,242
Origin of the Gupta dynasty,2010,2,4,37339,90
Operation Barisal,2012,8,1,96354,427
Zogam,2013,5,0,33408,69
Outline of Bangladesh,2012,2,2,107650,384
Bangladesh Awami League,2011,1,27,110167,247
Zohur Ahmed Chowdhury Stadium,2010,12,0,38504,83
The Concert for Bangladesh,2003,6,0,30416,54
National Emblem of Bangladesh,2011,8,1,51573,125
Pohela Falgun,2013,7,2,56625,214
Jatiyo Sangshad,2011,5,0,63036,198
LGBT rights in Bangladesh,2013,8,20,102418,347
Daily Brahmanbaria,2011,2,0,32190,60
Bir Protik,2007,11,3,35130,57
Bengali people,2011,9,33,130024,457
Chittagong armoury raid,2011,10,2,70124,346
Outline of Bangladesh,2015,2,3,215991,1094
Defence of KamalPur,2009,5,1,69227,253
Shafi Imam Rumi,2014,3,12,48237,91
Bengal,2003,2,0,38454,66
The Concert for Bangladesh,2005,4,0,35376,67
Roman Catholicism in Bangladesh,2006,7,0,34366,99
Battle of Plassey,2012,1,112,209503,648
Bayazid Khan Karrani,2010,12,0,28916,58
Godagari School %26 College,2014,11,0,27898,45
.bd,2012,6,1,70113,407
Shihabuddin Bayazid Shah,2015,2,1,30569,58
Bangladesh Krira Shikkha Protishtan,2012,12,1,34764,60
Greater Bangladesh,2014,12,36,103873,389
Bengali people,2009,2,30,107170,363
Sundarbans,2010,9,28,146945,465
Jaunpur Sultanate,2013,9,4,66427,185
Geography of Bangladesh,2009,12,1,78377,229
List of Bangladeshi people,2015,1,5,108599,604
Bangladesh Army,2006,8,0,38970,79
Sher Khan (Bengal),2015,1,1,31068,63
Hamidur Rahman,2006,2,0,28098,51
Indian numbering system,2010,7,0,44827,87
Bangladesh Civil Service,2009,6,0,30744,50
Bangladeshi taka,2007,12,0,74480,224
Sur Empire,2010,1,11,44285,77
Supreme Court of Bangladesh,2012,9,5,65429,155
Portal:Bangladesh,2008,4,0,54968,116
Bengal,2004,2,0,40002,79
