filename,year,month,num_citations,file_size,forward_links
Barbadian Canadian,2011,11,0,76484,322
History of Barbados,2009,11,5,93192,384
Dame Lorraine,2014,3,0,31160,63
USPG,2011,9,7,46802,107
Barbadian dollar,2013,5,4,81619,257
"James Hay, 1st Earl of Carlisle",2005,6,0,29364,62
Public holidays in Barbados,2008,11,0,37099,91
Barbados Defence Force,2008,12,0,30583,46
Barbados,2009,7,25,337782,1348
Barbados Wildlife Reserve,2011,6,0,33174,57
Monarchy of Barbados,2010,1,30,140463,483
White Barbadian,2015,2,5,45047,161
Culture of Barbados,2008,10,0,31380,68
Barbados Defence Force,2006,8,0,27310,41
Drax Hall Estate,2008,10,0,27941,54
Barbados Stock Exchange,2005,12,0,28498,47
Gospelfest,2009,9,0,28274,46
List of Governors of Barbados,2012,7,1,54435,134
"Government House, Barbados",2013,12,1,52039,95
Alan Emtage,2006,2,0,27610,78
Chase Vault,2008,2,3,41368,75
List of diplomatic missions in Barbados,2011,7,0,102823,210
Barbados,2010,2,35,368208,1532
Barbados Regiment,2010,6,0,35731,78
Samuel Hall Lord,2013,10,9,70877,348
History of Barbados,2013,4,16,130835,489
"James Hay, 1st Earl of Carlisle",2006,6,0,29748,63
Bussa%27s Rebellion,2013,6,3,42474,76
Government of Barbados,2011,9,2,64533,175
Tea meeting,2007,5,0,28527,48
Central Bank of Barbados,2006,6,0,29031,46
Crozerville,2012,12,9,37293,61
Coat of arms of Barbados,2004,6,0,32333,40
Geography of Barbados,2002,2,0,24089,24
Alan Emtage,2006,4,0,29596,85
Stede Bonnet,2013,12,82,157292,576
List of Barbadian flags,2014,1,0,59553,173
List of Governors of Barbados,2012,3,1,53988,131
Caribbean Broadcasting Corporation,2006,8,0,28554,55
Lloyd Erskine Sandiford Centre,2011,4,4,45946,73
Port of Bridgetown,2006,10,0,23697,39
Francia Great House,2008,10,0,24330,38
Barbados passport,2010,6,0,79447,355
List of political parties in Barbados,2006,1,0,40033,88
Project HARP,2012,12,0,51069,109
Fairmont Royal Pavilion (Resort),2009,2,0,27695,39
Fairmont Royal Pavilion (Resort),2013,5,0,32630,48
List of Speakers of the House of Assembly of Barbados,2010,10,0,43911,99
Oistins Fish Festival,2012,7,0,25956,33
Chase Vault,2011,1,4,40393,55
HM Glendairy Prison,2007,6,0,30056,41
The Alexandra School,2010,7,0,27307,46
Queen%27s Personal Barbadian Flag,2008,9,0,39127,74
Barbados Defence Force,2006,9,0,27975,44
"Barbadian general election, 2008",2009,3,3,53518,130
Fauna of Barbados,2011,3,21,89009,187
Barbados Civil Aviation Department,2013,12,6,124729,306
Politics of Barbados,2012,12,2,79523,282
Robert Byng,2005,9,0,25800,48
"Government House, Barbados",2013,5,1,51613,87
Barbados Slave Code,2005,1,0,24387,39
Judiciary of Barbados,2011,11,23,89523,147
Economy of Barbados,2003,5,0,29798,53
Barbados,2005,7,0,116071,293
Barbados and CARICOM,2011,11,0,44844,109
HM Glendairy Prison,2010,1,6,41120,68
Barbados passport,2014,7,6,94103,366
Robert Hermann Schomburgk,2008,9,1,36306,94
Francia Great House,2007,11,0,23488,36
United States Ambassador to Barbados,2009,1,9,76587,314
Flag of Barbados,2005,2,0,38695,47
William Courten,2008,1,1,37723,80
List of Presidents of the Legislative Council of Barbados,2012,5,0,29254,43
Timeline of Barbadian history,2012,2,4,56196,154
Stede Bonnet,2006,12,0,29257,52
Chase Vault,2010,10,4,40331,53
Politics of Barbados,2007,5,0,59767,205
Monarchy of Barbados,2011,12,33,160060,597
Project HARP,2010,7,0,45151,106
Cathedral Church of Saint Michael and All Angels,2014,5,2,41929,79
Barbados,2002,11,0,57780,41
Coat of arms of Barbados,2009,10,0,44752,97
Fauna of Barbados,2010,9,21,89595,191
People%27s Empowerment Party (Barbados),2006,2,0,24989,42
USPG,2009,9,4,42934,107
Sharon Moravian Church,2006,7,0,25936,51
Flag of Barbados,2011,2,2,51621,121
People%27s Empowerment Party (Barbados),2011,10,1,32811,62
"Greenland Landfill, Barbados",2013,10,0,29032,44
Rastacap,2006,5,0,26065,49
Trans Island Air 2000,2009,7,1,30144,54
Coat of arms of Barbados,2008,1,0,49525,56
Sharon Moravian Church,2013,4,0,42380,98
Chase Vault,2007,11,1,38616,71
Flag of Barbados,2013,2,3,56289,132
List of diplomatic missions of Barbados,2008,8,0,32737,58
Stede Bonnet,2008,9,80,141301,488
Barbados Stock Exchange,2006,10,0,31829,55
List of plantations in Barbados,2011,9,0,27731,43
Royal Barbados Police Band,2007,5,0,29443,42
Chase Vault,2013,3,5,38911,62
Politics of Barbados,2006,1,0,50929,157
Judiciary of Barbados,2011,9,23,88196,148
Bajan pepper sauce,2015,2,0,45320,153
Barbados Port Incorporated,2007,4,0,27660,44
Barbados Red Cross Society,2008,8,0,22812,29
List of Governors of Barbados,2010,2,0,44173,107
Transport in Barbados,2014,11,6,61214,155
Monarchy of Barbados,2012,7,33,159746,594
Chase Vault,2005,11,0,26677,43
Province of Carolina,2011,5,2,62411,152
History of Barbados,2012,12,16,129326,472
Barbados Slave Code,2005,2,0,28516,51
Barbados passport,2008,10,0,119380,403
House of Assembly of Barbados,2008,11,0,41163,81
People%27s Progressive Movement (Barbados),2012,5,2,46170,106
William Conrad Reeves,2007,5,0,27554,54
Province of Carolina,2009,10,0,53671,144
Central Bank of Barbados,2012,5,8,99983,371
Barbados Port Incorporated,2009,2,0,25187,40
Leeward Islands Airline Pilots Association,2010,6,0,32034,56
List of historic buildings in Bridgetown and Saint Ann%27s Garrison,2013,2,1,46869,44
Culture of Barbados,2013,4,9,87076,326
Trans Island Air 2000,2015,1,4,35359,59
"United States Navy Facility, Barbados",2011,11,0,25940,45
William Conrad Reeves,2013,5,0,29894,61
William Courten,2012,3,2,53888,152
Redlegs,2009,12,0,43904,166
Royal Barbados Police Band,2007,3,0,29448,41
Coat of arms of Barbados,2007,10,0,50115,56
List of postal codes in Barbados,2012,10,0,58651,75
Economy of Barbados,2007,2,0,81678,297
English place names in Barbados,2009,9,4,34430,49
Religion in Barbados,2012,3,1,59498,213
Drax Hall Estate,2006,12,0,29251,58
Barbadian dollar,2006,9,0,71462,250
English place names in Barbados,2013,2,4,35692,57
Clifton Hill Moravian Church,2011,1,0,43061,102
Vehicle registration plates of Barbados,2009,5,0,38251,63
United Nations Security Council Resolution 230,2012,10,0,43725,74
Outline of Barbados,2011,5,3,96427,292
Bridgetown Heliport,2013,3,0,37343,74
George Washington House (Barbados),2011,12,2,28242,37
Culture of Barbados,2012,10,9,80296,307
Economy of Barbados,2011,10,13,154886,504
Project HARP,2011,5,0,44680,104
Parliament of Barbados,2006,11,0,44465,100
"Sir John Alleyne, 1st Baronet",2010,11,8,41968,54
Barbadian British,2011,6,38,94569,202
Barbados National Trust,2009,4,0,26781,49
Monarchy of Barbados,2013,6,42,170258,611
Flag of Barbados,2008,4,0,51023,120
White Barbadian,2009,9,4,29836,65
List of diplomatic missions in Barbados,2011,1,0,99719,204
Culture of Barbados,2007,2,0,32141,69
Senate of Barbados,2013,7,4,80214,298
Ice Records,2006,11,0,24204,45
Moidore,2011,1,1,33613,58
Barbadian American,2014,6,7,76024,270
Chase Vault,2008,10,3,41794,77
List of Governors of Barbados,2011,3,0,46413,102
Index of Barbados related articles,2009,11,3,128723,616
List of diplomatic missions in Barbados,2007,10,0,78613,137
Barbados National Trust,2011,9,0,31960,62
History of the Jews in Barbados,2013,3,2,52059,116
Barbadian dollar,2008,6,0,75554,261
Francia Great House,2011,8,1,27400,52
History of the Jews in Barbados,2009,2,1,34309,66
Project HARP,2005,4,0,28003,62
Fauna of Barbados,2007,3,21,52676,131
Culture of Barbados,2011,4,8,38680,78
"James Hay, 1st Earl of Carlisle",2010,6,0,37442,84
Area code 246,2008,12,0,45990,159
Miss Barbados World,2007,10,0,28653,48
Flag of Barbados,2004,4,0,36992,39
Lloyd Erskine Sandiford Centre,2009,12,2,36504,60
Ice Records,2009,7,1,29250,52
List of Barbadian organisations,2006,10,0,31587,44
Timeline of Barbadian history,2009,2,0,26978,58
Telecommunications in Barbados,2009,10,3,65051,243
Workers Party of Barbados,2013,8,1,46323,106
Southern Caribbean,2007,7,0,61562,241
All Saints Chapel of Ease (Anglican),2009,8,0,30827,54
Queen%27s Personal Barbadian Flag,2007,8,0,24865,40
List of political parties in Barbados,2004,8,0,37988,79
