filename,year,month,num_citations,file_size,forward_links
Telecommunications in Belarus,2013,3,13,127843,542
Bobr (air base),2009,10,0,29848,45
Communist Party of Belarus,2008,9,1,84456,371
Elections in Belarus,2007,4,0,45676,102
Communist Party of Belarus,2005,11,0,37779,77
Folwark,2013,10,2,38236,83
Treaty of Brest Litovsk (Ukraine%E2%80%93Central Powers),2012,12,8,82424,255
Vladimir Yarets,2015,2,7,41797,74
Lev Razgon,2012,11,14,64410,108
Vitebsk Vostochny Airport,2008,7,0,32647,52
Minsk family of computers,2008,8,0,35855,80
Postage stamps and postal history of Belarus,2013,8,0,58306,171
Belarusian heraldry,2008,9,0,40783,103
Francysk Skaryna,2007,7,0,34276,68
Roman Catholic Diocese of Vitebsk,2009,6,0,34474,55
Marcin Odlanicki Poczobutt,2009,12,0,34318,71
Litvin,2010,8,7,43535,101
Simon Halkin,2008,4,0,23975,40
Belavia Flight 1834,2008,8,8,52633,83
Young Front,2014,8,25,86417,139
All Russian nation,2014,11,64,173274,311
Brest Airport,2009,11,2,33355,53
Basovi%C5%A1%C4%8Da,2010,9,1,38738,62
Freedom Day (Belarus),2015,1,0,34401,63
Treaty of Brest Litovsk,2014,3,14,196389,681
Minsk (motorcycle),2005,7,0,25387,30
Belarusian People%27s Republic,2007,4,0,57927,152
Nikolai Sukhozanet,2010,11,0,36776,80
Bobr (air base),2013,3,0,32005,59
Elections in Belarus,2010,7,5,68604,203
Randomajestiq,2009,3,0,31343,63
Kievan Rus%27,2005,2,0,68186,211
List of Belarusian flags,2013,4,2,78988,201
Belarus,2008,12,120,338524,751
Portal:Belarus,2005,8,0,36061,81
National Assembly of Belarus,2009,3,0,57363,191
ISO 3166 2:BY,2011,2,0,87040,714
List of Belarusians (ethnic group),2010,9,0,46330,106
Belarusian Social Democratic Party (People%27s Assembly),2007,11,1,41431,92
Communist Party of Belarus,2007,10,1,53787,180
Collective Security Treaty Organization,2015,1,33,123782,315
"Katera, Brest Voblast",2013,8,0,33234,66
Telecommunications in Belarus,2007,9,3,41118,114
Velcom,2007,9,0,27527,43
Collective Security Treaty Organization,2011,1,28,102897,273
List of rulers of Belarus,2007,10,0,67368,325
Dnieper%E2%80%93Bug Canal,2009,3,0,32412,51
Rus%27 (region),2011,5,0,37645,91
Russification,2009,6,30,130245,366
List of diplomatic missions in Belarus,2014,12,0,92977,217
Telecommunications in Belarus,2008,4,2,52723,138
Belarus,2012,5,174,438256,911
Belarus%E2%80%93Poland border,2015,3,3,45863,74
Belarusian Labour Party,2014,10,0,39679,91
Armed Forces of Belarus,2014,2,26,110516,315
United Democratic Forces of Belarus,2010,1,0,43162,108
Belarusian Women%27s Party %22Nadzieja%22,2009,8,0,37217,92
Transport in Belarus,2010,2,0,56221,197
Elena Korosteleva,2012,9,3,58575,132
Communist Party of Belarus,2007,1,0,37466,71
Aist Bicycles,2012,8,1,30922,52
Kopytka,2013,4,0,53675,220
Lipka Tatars,2010,8,5,73290,224
Elena Korosteleva,2014,4,15,75267,146
ES EVM,2005,3,0,27872,65
Sovietization,2009,4,3,41097,126
Collective Security Treaty Organization,2014,6,34,118629,316
Bohdanow,2011,6,3,30044,46
Kievan Rus%27,2015,3,117,316406,1125
United Democratic Forces of Belarus,2011,2,0,41997,108
Belarusians,2002,2,0,33913,21
Hasta la Vista (Ruslan Alekhno song),2008,6,0,32596,51
Economy of Belarus,2008,2,0,75118,193
Criminal Code of Belarus,2014,8,0,30393,52
Nikolai Sukhozanet,2011,6,0,36419,81
Day of Solidarity with Belarus,2005,12,0,26189,33
Telecommunications in Belarus,2011,12,13,114932,473
2007 Russia%E2%80%93Belarus energy dispute,2009,7,27,81690,156
List of rulers of Belarus,2009,8,0,60515,183
Lithuanization,2008,5,29,98604,233
Vitebsk (air base),2014,12,1,31922,56
Hrodna Airport,2013,12,1,45291,83
Belavia Flight 1834,2012,11,11,75327,133
Pyotr Mstislavets,2007,4,0,26723,61
Bohdanow,2010,2,3,28881,42
Belarusian Helsinki Committee,2011,3,1,33270,60
Litvin,2009,11,6,39174,86
Template:Belarus party stub,2011,2,0,29742,48
Molodyozhnaya (Minsk Metro),2014,10,0,44914,108
Roman Catholic Archdiocese of Minsk Mohilev,2011,3,1,41558,73
Treaty of Brest Litovsk,2001,12,0,38026,46
Kurapaty,2006,6,0,33910,65
People%27s Coalition 5 Plus,2005,9,0,31806,69
List of diplomatic missions of Belarus,2013,12,0,95165,297
List of Belarus related topics,2013,2,0,266642,1687
Belarusian ruble,2007,10,4,90454,154
Belarus,2011,10,173,434950,880
Hasta la Vista (Ruslan Alekhno song),2008,5,0,31956,55
Treaty of Brest Litovsk,2014,2,14,195912,679
Elections in Belarus,2010,5,5,66396,197
Khorovod,2007,8,0,33761,69
Transport in Belarus,2003,5,0,25023,29
Treaty of Brest Litovsk,2011,6,7,191687,689
Treaty of Brest Litovsk,2001,10,0,34257,22
Belarusian citizenship,2010,1,0,45246,120
Higher Attestation Commission,2009,2,1,36156,84
Belarus in the T%C3%BCrkvizyon Song Contest,2014,2,3,56679,91
Kurapaty,2013,2,8,86365,314
Belarusian ruble,2010,12,6,103983,237
Belarusian People%27s Republic,2014,3,10,93235,217
Belarusians,2005,1,0,40476,67
Kievan Rus%27,2007,12,19,118062,403
Grand Duchy of Lithuania,2008,4,43,140164,459
Public holidays in Belarus,2011,3,1,41003,113
State Security Committee of the Republic of Belarus,2006,9,0,35656,57
Folwark,2012,9,0,37297,89
Belavia Flight 1834,2011,4,10,69390,127
ES EVM,2013,5,1,46491,114
Korchak culture,2012,6,1,31267,57
Supreme Court of Belarus,2012,3,0,45203,116
Belarusian Railway,2011,8,3,53576,149
Merilo Pravednoye,2014,12,0,53294,152
People%27s Coalition 5 Plus,2006,1,0,34602,81
Kievan Rus%27,2008,7,23,121299,410
Economy of Belarus,2014,5,44,173120,366
Belarus Free Theatre,2012,7,57,93588,184
Pyotr Mstislavets,2008,8,0,29068,66
Belarusian Labour Party,2007,10,0,37968,92
Nikolai Sukhozanet,2008,9,0,34443,81
State Security Committee of the Republic of Belarus,2008,5,0,37589,62
List of people from Belarus,2006,5,0,41182,155
List of diplomatic missions of Belarus,2015,1,0,103492,325
Francysk Skaryna,2008,1,0,35039,73
Belarusian rock,2008,1,0,26747,39
Belarusian Social Democratic Party (People%27s Assembly),2005,12,0,38842,78
Belarus,2013,11,185,473766,927
Niva (newspaper),2006,10,0,28510,51
Belarus,2005,1,0,116077,319
Belarus Orienteering Federation,2009,10,1,46134,84
Khorovod,2011,3,0,36655,81
The Wall (short stories),2010,1,0,28453,51
Rada of the Belarusian Democratic Republic,2013,11,20,71198,140
Francysk Skaryna,2007,5,0,32325,64
Russification,2009,10,41,146549,397
Belarusians,2012,11,27,121667,344
Minsk (motorcycle),2006,8,0,29039,46
Belarus Orienteering Federation,2010,2,1,49767,88
Outline of Belarus,2009,12,2,97437,284
Roman Catholicism in Belarus,2009,7,0,50451,173
ES PEVM,2012,10,0,36026,80
Minsk family of computers,2005,10,0,27766,51
Podlachia,2008,8,0,42160,115
