filename,year,month,num_citations,file_size,forward_links
Olivier Brunel,2008,11,0,25939,47
Royal Institute for Cultural Heritage,2014,11,0,35737,65
Battle of Roosebeke,2010,4,3,36144,63
Wibald,2007,11,0,31149,72
Cougnou,2010,8,0,32872,73
De Warande (club),2014,8,0,29321,61
Holy Roman Empire,2012,7,26,253983,965
Outline of Belgium,2013,7,1,99457,352
"Godfrey I, Count of Namur",2013,1,0,38318,82
Roman Catholic Archdiocese of Cambrai,2007,11,0,55384,191
Golden Owl,2012,4,1,38475,78
Ministry of Defence (Belgium),2011,3,0,47469,120
Charter of Kortenberg,2014,1,0,29521,57
Sabena,2013,10,35,129368,425
Flanders Multimedia Valley,2006,12,0,25039,39
Malmedy massacre,2007,8,30,91269,141
Vehicle registration plates of Belgium,2010,9,1,59380,120
Belgium and the Franco Prussian War,2013,5,4,37619,78
Geography of Belgium,2004,3,0,30921,35
Economy of Belgium,2008,9,2,116059,506
List of Belgian monarchs,2013,3,0,43905,75
Economy of Belgium,2010,3,10,112569,513
Counts of Flanders family tree,2007,3,0,24498,40
Pays de Herve,2008,10,0,26771,44
Belgian Revolution,2013,7,14,100191,278
Barrier Treaty,2012,10,2,34530,80
Belgian Armed Forces,2004,3,0,27479,23
Basic Flying Training School (Belgian Air Component),2014,7,2,35645,57
Battle of Roosebeke,2011,5,3,36566,67
Atlas V (tugboat),2008,8,0,28523,51
German speaking Community of Belgium,2012,3,8,97626,304
2010%E2%80%9311 Belgian government formation,2012,5,54,107934,190
Atlas V (tugboat),2013,3,0,38505,83
Pillarisation,2013,9,1,123338,479
Low Countries,2012,5,14,91198,270
Seventeen Provinces,2005,5,14,83912,234
Belgian colonial empire,2007,2,0,48260,104
Environment of Belgium,2007,2,1,47088,127
Seventeen Provinces,2006,11,28,126300,362
2008%E2%80%9309 Belgian financial crisis,2013,1,30,98335,251
Sailing at the 1920 Summer Olympics %E2%80%93 12 Metre,2011,9,1,51599,95
Index of Belgium related articles,2011,11,0,132292,1108
Sabena,2012,12,34,127833,416
List of governments in Belgium,2006,6,0,37702,79
French Fury,2010,1,0,26616,41
History of rail transport in Belgium,2013,3,0,47842,110
Joyous Entry of 1356,2012,6,7,42513,92
Guelders,2014,4,3,77639,270
European Cooperation in Science and Technology,2010,3,1,31948,42
Belgium%E2%80%93Luxembourg Economic Union,2009,2,1,36426,62
Charter of Kortenberg,2015,2,0,30027,55
First School War,2014,5,5,41415,69
Joyous Entry,2007,8,33,61636,161
Order of Flemish Militants,2010,4,2,41634,115
2013 in Belgium,2013,1,0,68430,118
Soci%C3%A9t%C3%A9 R%C3%A9gionale Wallonne du Transport,2011,4,0,39599,86
Isabella Clara Eugenia,2012,1,0,236470,671
List of Belgian monarchs,2012,3,0,40090,50
Dawes Plan,2009,8,2,42233,82
Brussels Halle Vilvoorde,2006,10,0,35452,49
Sport in Belgium,2011,6,10,89885,428
Eupen Malmedy,2007,3,0,51138,148
Belgian Medical Component,2009,5,0,37194,85
Dallas Barr,2007,3,0,27482,52
Battle of Waterloo,2008,12,129,222786,354
Holy Roman Empire,2013,6,39,273003,1008
Pillarisation,2006,1,0,38152,117
French Community of Belgium,2008,11,2,69577,217
EPO (publisher),2007,8,0,22978,33
Arab European League,2012,7,25,61282,116
Partition of Belgium,2012,6,91,278709,608
Holy Roman Empire,2014,11,51,289126,1032
Brussels International 1910,2015,1,6,84498,302
Vehicle registration plates of Belgium,2008,3,1,52128,117
Malmedy massacre,2011,2,19,102536,173
Batetela Rebellions,2012,5,0,37370,58
History of Belgian Limburg,2013,5,29,101334,293
List of German exonyms for places in Belgium,2013,3,0,42952,117
Battle of Waterloo,2005,2,0,61363,88
Jef Colruyt,2014,8,6,36148,46
Belgium in the Eurovision Song Contest 2003,2010,4,1,65184,227
Barrier Treaty,2009,2,2,32803,79
Belgian franc,2007,8,0,84397,342
Municipalities with language facilities,2012,11,15,86149,147
Battle of Tournay,2009,2,0,52336,203
RomanRed,2011,11,0,26301,50
Duke of Brabant,2012,7,1,49333,151
Silva Carbonaria,2011,7,16,43577,99
Sabena,2003,11,0,27724,45
French Community of Belgium,2004,10,0,39096,66
Adolf Daens,2008,9,0,27938,59
Jodocus Hondius,2010,2,0,38604,81
Casterman,2008,6,0,34735,71
Compromise of Nobles,2009,12,7,39682,83
Heerlijkheid,2008,2,6,51732,49
Blokwatch,2006,9,0,28923,63
ISO 3166 2:BE,2013,2,0,96067,744
Malmedy massacre,2009,11,27,92827,140
English Fury at Mechelen,2014,9,0,50822,174
Council of Troubles,2012,5,13,55390,84
Belgium and the Franco Prussian War,2014,8,6,42469,86
Chiro,2012,7,8,39412,71
Military Cross (Belgium),2013,2,3,67272,141
Municipalities with language facilities,2013,4,15,87949,157
Young Green (Flanders),2008,9,0,35473,88
William I de La Marck,2007,12,0,30607,61
Low Countries,2005,10,14,77766,191
Wibald,2007,7,0,29439,53
Template:Belgium stub,2009,8,0,35986,55
Belgian franc,2005,7,0,54084,185
Belgian franc,2006,6,0,59050,216
Sailing at the 1920 Summer Olympics %E2%80%93 30m%C2%B2 Skerry cruiser,2010,6,1,39425,59
De Gordel,2008,8,2,29813,53
Flemish Community,2009,2,1,56142,123
Dioxin Affair,2009,9,2,30205,47
Peasants%27 War (1798),2012,10,4,118743,502
Transport in Belgium,2010,7,6,78002,378
Federation of Belgian Enterprises,2011,12,0,43650,90
Eupen Malmedy,2006,10,0,43490,121
Gracht,2014,8,4,47527,101
Benelux,2008,1,3,56299,97
High Fens,2013,11,17,90492,172
Cumerio,2011,12,2,37099,87
Belgian Armed Forces,2013,2,18,126822,461
Silco incident,2007,10,0,30402,69
70 point plan (Belgium),2006,5,1,27295,35
Belgian general strike of 1893,2010,11,5,33409,64
Partition of Belgium,2010,6,71,227604,519
Vehicle registration plates of Belgium,2007,7,1,51503,90
Council of Troubles,2008,11,13,50526,75
Seventeen Provinces,2010,10,15,121854,365
Battle of Waterloo,2003,6,0,43952,55
Notker of Li%C3%A8ge,2009,7,0,32647,69
4th Engineer Battalion (Belgium),2010,1,0,30256,57
Carnival in the Netherlands,2013,10,15,113170,305
Eupen Malmedy,2006,6,0,30124,62
Language legislation in Belgium,2008,10,0,49521,107
Renaissance in the Low Countries,2011,9,5,67852,213
Hesbaye,2008,6,1,30443,63
Line of succession to the Belgian throne,2009,6,0,41917,104
Index of Belgium related articles,2009,7,0,78885,639
Joyous Entry,2007,3,33,62063,160
