filename,year,month,num_citations,file_size,forward_links
.bj,2010,5,0,68904,408
List of diplomatic missions in Benin,2015,3,29,81066,152
Star Alliance (Benin),2007,11,0,31412,67
Movement for Citizens%27 Commitment and Awakening,2009,2,0,32245,64
COTAIR,2010,6,1,41037,109
Communes of Benin,2012,1,1,58940,234
Oba of Benin,2008,1,0,40573,141
United States Ambassador to Benin,2007,1,4,36065,60
Roman Catholic Archdiocese of Parakou,2008,1,0,27928,41
Democratic Renewal Party (Benin),2005,9,0,30125,67
Zircon Airways Benin,2010,6,0,34141,87
The Comedians in Africa,2010,3,0,30413,62
People%27s Revolutionary Party of Benin,2013,2,3,35216,69
Flag of the Benin Empire,2014,5,6,31648,43
Zircon Airways Benin,2008,7,0,34267,89
Social Democratic Party (Benin),2005,9,0,31978,67
Z%C3%A9midjan,2009,8,2,30656,48
Politics of Benin,2015,4,0,73097,243
National Library of Benin,2008,2,0,22877,34
Oba of Benin,2011,2,0,40347,60
Telecommunications in Benin,2006,11,0,36477,103
Trans Air Benin,2012,7,0,44231,124
Zircon Airways Benin,2012,6,1,39882,104
Cadjehoun Airport,2011,4,0,42385,87
Benin Golf Air,2005,6,0,32138,90
Borgu,2006,8,0,27818,51
Roman Catholic Diocese of Djougou,2008,5,0,26746,37
CFA franc,2008,8,0,62288,226
The Greens (Benin),2015,2,1,68664,245
Jews of Bilad el Sudan,2013,8,24,81456,171
"Royal Palace, Porto Novo",2014,1,1,28814,48
Roman Catholic Archdiocese of Cotonou,2013,2,0,39745,86
List of rulers of the Yoruba state of Dassa,2009,12,0,26965,46
Okada (commercial motorcycle),2012,12,4,45460,82
Agence Nationale de l%27Aviation Civile du B%C3%A9nin,2013,6,2,32359,47
ISO 3166 2:BJ,2003,9,0,26125,35
Template:Benin stub,2010,8,0,32858,45
Roman Catholic Diocese of Natitingou,2009,6,0,28684,42
Party of Salvation,2005,9,0,30620,64
New Alliance (Benin),2007,11,0,31116,66
Agongointo Zoungoudo Underground Town,2009,8,1,29215,41
List of rulers of the Yoruba state of Dassa,2005,7,0,26153,45
Socialist Revolution Party of Benin,2007,4,2,30362,54
List of heads of state of Benin,2008,8,0,46817,180
History of Benin,2007,6,0,44540,159
Erediauwa,2011,8,3,28661,49
Jews of Bilad el Sudan,2012,5,24,84021,198
Roman Catholicism in Benin,2006,4,0,38319,111
Outline of Benin,2008,5,0,66575,130
Dantokpa Market,2012,11,0,27522,48
Benin Golf Air,2008,6,1,36227,105
Zomahoun Idossou Rufin,2007,12,0,32143,66
List of rulers of the Bariba state of Nikki,2005,7,0,32423,60
Ketu (Benin),2012,7,1,26036,44
Oba of Benin,2006,12,0,29725,49
Christianity in Benin,2009,10,3,47069,119
List of heads of state of Benin,2008,12,0,51412,191
RNIE 2,2012,6,0,28857,59
Partners in South South Cooperation,2013,2,4,37903,41
Second Franco Dahomean War,2007,9,55,60894,73
Alfred Am%C3%A9d%C3%A9e Dodds,2013,4,0,38478,99
Social Democratic Party (Benin),2006,2,0,32211,62
Zircon Airways Benin,2007,7,0,34248,87
Communist Party of Benin,2009,12,0,39777,92
Benin Golf Air,2008,2,1,36463,106
National Rally for Democracy (Benin),2005,9,0,29049,59
French West Africa,2010,5,6,109405,344
Borgu,2014,5,2,41009,110
"Minister of Foreign Affairs, African Integration, La Francophonie, and Beninese Abroad",2011,4,0,29483,61
Alounloun,2011,6,2,29030,44
Telecommunications in Benin,2008,12,0,43452,122
Communes of Benin,2008,11,1,57021,222
Politics of Benin,2014,6,0,70387,240
.bj,2009,3,0,68122,404
LGBT rights in Benin,2007,8,1,46545,136
Africa Rice Center,2006,11,0,28224,45
List of rulers of the Bariba state of Kwande,2006,9,0,30352,73
.bj,2008,11,0,68262,408
French West Africa,2011,1,6,110933,355
Sahel Benin Union,2013,4,2,36437,72
Autonomous Trade Unions Centre,2006,11,0,29684,52
Bank of West Africa (BAO),2009,8,7,68786,217
List of rulers of the Bariba state of Kwande,2015,4,1,31102,41
List of heads of government of Benin,2015,3,0,68201,179
CFA franc,2011,12,1,73741,218
Scouting and Guiding in Benin,2007,5,0,29450,54
Geology of Benin,2014,5,2,41178,73
Benin Armed Forces,2013,10,9,84481,247
List of heads of state of Benin,2010,3,0,45151,86
Roman Catholicism in Benin,2012,2,0,44484,142
Panth%C3%A8res FC,2011,6,0,34447,67
Z%C3%A9midjan,2007,10,2,28333,42
List of diplomatic missions in Benin,2011,8,1,53939,120
Benin%E2%80%93Russia relations,2011,3,6,71347,260
Benin Golf Air,2007,5,2,38237,107
Impulse to Progress and Democracy,2007,11,0,31754,65
List of rulers of the Bariba state of Paraku,2006,12,0,29715,50
Dahomey Gap,2008,3,0,27987,62
List of rulers of the Yoruba state of Ketu,2010,7,0,29350,68
ISO 3166 2:BJ,2006,5,0,27556,49
Borgu,2009,9,1,32874,69
Dutch Slave Coast,2014,1,13,77653,187
RNIE 7,2013,3,0,28379,54
Roman Catholic Diocese of Natitingou,2010,11,0,28992,42
Panth%C3%A8res FC,2012,9,0,34306,70
CFA franc,2011,3,1,73165,214
Template:Benin struct stub,2010,11,0,31351,51
Jews of Bilad el Sudan,2010,4,25,84649,203
French Dahomey,2014,8,0,70643,240
Cadjehoun Airport,2012,6,0,45035,92
Office de Radiodiffusion et T%C3%A9l%C3%A9vision du B%C3%A9nin,2011,5,0,29477,47
People%27s Revolutionary Party of Benin,2011,3,3,32301,51
Roman Catholic Diocese of Porto Novo,2008,5,0,28001,42
Bembereke Airport,2013,3,0,31684,61
Benin,2004,10,0,98191,319
History of Benin,2005,5,0,31343,75
List of rulers of the Yoruba state of Ketu,2010,12,0,29045,46
Law enforcement in Benin,2007,8,0,22498,29
Soleil FC,2013,4,0,48255,103
Alfred Am%C3%A9d%C3%A9e Dodds,2012,11,0,35471,76
.bj,2007,7,0,68414,405
Sav%C3%A9 Airport,2010,4,0,31654,58
List of heads of state of Benin,2010,11,0,79513,278
List of diplomatic missions in Benin,2012,3,30,81907,149
LGBT rights in Benin,2014,9,10,67331,194
Cadjehoun Airport,2014,9,5,55921,151
Coat of arms of Benin,2012,10,2,51366,139
Hope Force,2007,4,1,32162,72
Amedzofe (history),2005,12,0,23006,34
French West Africa in World War II,2007,5,1,95550,447
Demographics of Benin,2006,9,0,46660,120
Benin,2013,5,45,259089,865
Ministry of Foreign Affairs and African Integration (Benin),2009,1,0,29382,49
Jews of Bilad el Sudan,2007,7,24,83485,200
National University of Benin,2007,10,0,29376,44
List of governors of French West Africa,2011,11,0,36324,77
Ketu (Benin),2012,3,1,25670,47
"Minister of Foreign Affairs, African Integration, La Francophonie, and Beninese Abroad",2011,5,0,29634,60
Languages of Benin,2013,8,2,60131,210
La Poste du B%C3%A9nin,2013,9,2,31899,82
List of rulers of the Yoruba state of Sabe,2008,11,0,26961,49
Second Franco Dahomean War,2010,11,13,73220,194
Cadjehoun Airport,2009,6,0,39320,79
First Franco Dahomean War,2011,4,8,58915,172
List of heads of government of Benin,2008,12,0,52785,213
Second Franco Dahomean War,2012,12,13,77858,213
Index of Benin related articles,2011,12,1,96455,682
Benin Armed Forces,2007,2,1,45265,130
Dutch Slave Coast,2014,8,13,78634,184
Action Front for Renewal and Development,2005,10,0,32026,70
Republic of Dahomey,2011,10,0,51656,140
National University of Benin,2009,4,0,29552,45
List of Presidents of the National Assembly of Benin,2009,12,11,31340,37
Benin Armed Forces,2014,4,13,86545,242
Cadjehoun Airport,2010,11,0,41611,88
Roman Catholic Archdiocese of Cotonou,2011,2,0,31741,54
People%27s Republic of Benin,2007,10,0,29974,38
Erediauwa,2014,3,3,31029,57
Ovonramwen,2006,11,0,30470,52
Telephone numbers in Benin,2010,4,0,36543,109
Builders and Managers of Freedom and Development,2005,11,0,31920,66
Z%C3%A9midjan,2013,3,3,31928,53
Benin at the Olympics,2007,12,0,61779,293
Index of Benin related articles,2011,6,1,94171,666
Movement for Citizens%27 Commitment and Awakening,2013,5,0,33684,66
Action Front for Renewal and Development,2005,9,0,31975,67
First Franco Dahomean War,2009,3,8,44214,71
Trans Air Benin,2009,5,0,24177,41
Benin,2011,7,31,231208,770
Star Alliance (Benin),2005,9,0,30912,67
List of rulers of the Mahi state of Savalu,2008,9,0,26847,38
List of colonial governors of Dahomey,2009,7,0,55982,240
African Movement for Development and Progress,2008,3,6,36854,77
LGBT rights in Benin,2011,1,3,62911,207
Agongointo Zoungoudo Underground Town,2012,10,1,29174,39
Novotel Orisha Cotonou,2013,10,3,51061,78
Telephone numbers in Benin,2015,2,1,43519,113
Geography of Benin,2015,3,2,67591,278
Cadjehoun Airport,2008,6,0,33400,59
List of supermarket chains in Benin,2013,10,1,36173,85
National Union for Democracy and Progress (Benin),2009,12,1,32658,66
"Beninese parliamentary election, 2003",2007,9,0,47623,134
Crime in Benin,2010,6,1,23673,32
Kingdom of Whydah,2007,10,0,26408,42
List of supermarket chains in Benin,2014,10,3,40233,89
Ewuare,2012,9,9,48117,51
Benin Armed Forces,2009,12,2,71024,225
Alexandre S%C3%A8nou Adand%C3%A9 Ethnographic Museum,2013,3,0,28712,49
List of rulers of the Bariba state of Nikki,2009,12,0,31900,38
ISO 3166 2:BJ,2009,7,0,83204,695
French Dahomey,2011,3,0,63677,214
ISO 3166 2:BJ,2009,2,0,82844,698
Geography of Benin,2012,2,2,64724,259
Roman Catholic Diocese of Natitingou,2007,12,0,27157,40
Cotonou Cathedral,2010,9,0,32287,62
French West Africa,2011,8,6,109026,343
List of rulers of the Fon state of Savi Hweda,2015,4,0,27797,43
Parakou Airport,2012,6,0,42016,127
Dahomey Gap,2005,9,0,27819,59
List of rulers of the Gurmanche state of Jugu,2009,12,0,29704,48
Economy of Benin,2013,4,4,57026,167
Benin Armed Forces,2014,11,13,88568,246
Transport in Benin,2013,5,6,57197,178
ISO 3166 2:BJ,2010,8,0,83880,706
Shia Islam in Benin,2014,6,3,57128,134
Roman Catholicism in Benin,2005,5,0,25370,34
Novotel Orisha Cotonou,2012,10,3,50611,74
Benin at the Olympics,2007,7,0,34917,65
Royal Palaces of Abomey,2011,4,8,43593,60
Borgu,2008,10,1,32279,66
CFA franc,2014,10,9,90951,250
Gangb%C3%A9 Brass Band,2007,11,0,29476,52
Bank of West Africa (BAO),2009,2,7,69817,228
List of governors of French West Africa,2012,9,0,36504,80
History of Benin,2007,4,0,43975,157
List of rulers of the Bariba state of Kandi,2008,7,0,27541,41
People%27s Revolutionary Party of Benin,2007,4,3,29342,42
Union for the Nation,2009,8,0,31671,62
Yorubaland,2013,8,8,65700,232
List of heads of state of Benin,2004,8,0,27303,25
Congress of People for Progress,2014,8,0,33742,76
Benin,2011,5,28,229055,798
Benin,2003,12,0,72887,121
Coat of arms of Benin,2009,9,2,50964,143
Coalition for an Emerging Benin,2007,11,1,31866,67
Kingdom of Whydah,2010,2,3,36949,63
Ewuare,2011,12,6,30473,31
Aero Benin,2008,9,0,26492,44
Second Franco Dahomean War,2008,4,55,57586,79
