filename,year,month,num_citations,file_size,forward_links
Archery in Bhutan,2013,2,34,103881,240
ISO 3166 2:BT,2010,7,0,82797,710
Bhutan: A Visual Odyssey Across the Last Himalayan Kingdom,2005,5,0,26354,35
Bibliography of Bhutan,2015,3,0,75256,175
Dorji family,2014,12,15,62424,148
Motithang Higher Secondary School,2014,6,3,34619,58
Forestry in Bhutan,2010,2,1,45014,120
Simtokha Dzong,2010,6,0,39555,105
Politics of Bhutan,2003,8,0,30533,75
Gho,2006,2,0,25983,33
List of Prime Ministers of Bhutan,2011,1,0,42323,102
Economy of Bhutan,2010,1,0,51398,146
Drukgyal Dzong,2011,12,0,37238,100
ISO 3166 2:BT,2013,2,0,83551,716
Ngawang Namgyal,2005,7,0,30895,45
Kira (Bhutan),2006,8,0,28751,43
Politics of Bhutan,2007,1,0,54719,173
Gross National Happiness,2008,12,4,51625,77
Gongduk language,2013,2,2,47508,125
Dechen Phodrang Monastery,2009,5,2,38076,75
Prostitution in Bhutan,2013,6,2,36452,103
Battle of Five Lamas,2012,5,0,58225,219
Military of Bhutan,2011,10,3,55590,188
Chagri Monastery,2011,12,1,58517,210
Demographics of Bhutan,2004,9,0,31978,54
Lunana dialect,2012,7,2,40262,112
Transport in Bhutan,2011,8,10,60840,153
Gho,2011,3,0,62792,374
Royal Bhutan Army,2014,9,24,80559,138
Bhutan,2011,11,84,354036,990
Years in Bhutan,2014,11,0,68991,87
Bhutanese refugees,2008,1,3,47753,79
Lam Dorji,2014,2,4,39859,58
Bhutanese refugees,2011,2,19,88151,183
Health in Bhutan,2009,10,1,40696,123
Foreign Minister of Bhutan,2010,12,0,28267,47
Ema datshi,2013,2,5,36206,60
History of Bhutan,2015,2,30,202461,657
Gross National Happiness,2013,11,16,85881,188
Economy of Bhutan,2003,7,0,29224,35
Immigration to Bhutan,2010,12,17,79247,173
Lhotshampa,2003,5,0,23961,28
Military of Bhutan,2013,12,3,52382,186
The Cup (1999 film),2008,11,0,33784,64
Hotel Druk,2010,8,2,33582,52
Bhutan,2001,4,0,59423,24
Politics of Bhutan,2005,1,0,42942,138
Bhutanese ngultrum,2013,5,5,91161,245
Royal Monetary Authority of Bhutan,2011,2,19,70605,242
Royal Bhutan Police,2014,1,33,76263,129
Druk Nyamrup Tshogpa,2015,2,2,36963,65
Royal Bodyguard of Bhutan,2014,8,0,26681,40
Index of Bhutan related articles,2012,3,0,49755,186
Ngawang Namgyal,2013,2,7,82019,264
The Cup (1999 film),2007,6,0,32883,60
Royal Bodyguard of Bhutan,2012,6,0,26902,45
Milarepa (2006 film),2010,1,0,33970,68
Lhotshampa,2010,3,1,38873,94
Geography of Bhutan,2006,3,0,58677,219
Geography of Bhutan,2004,12,0,34374,92
Economy of Bhutan,2005,2,0,32578,48
Digor (sports),2008,7,0,26010,41
Bhutanese ngultrum,2007,1,0,59632,146
Demographics of Bhutan,2009,1,3,58609,170
Constitution of Bhutan,2014,10,36,187073,510
Gross National Happiness,2006,1,0,39153,62
Royal Monetary Authority of Bhutan,2013,10,20,77725,262
Partners in South South Cooperation,2013,2,4,37903,41
Lhop people,2009,11,0,28003,52
Kyichu Lhakhang,2007,6,0,25512,40
History of Bhutan,2009,9,16,110239,212
Bhutanese refugees,2014,7,43,154152,344
Bhutanese ngultrum,2004,8,0,33569,36
People%27s Democratic Party (Bhutan),2008,1,2,29397,36
Military of Bhutan,2014,7,3,51596,186
Geography of Bhutan,2012,5,21,121838,462
Ogyen Choeling Monastery,2010,6,0,35060,98
Lhodrakarchu Monastery,2015,1,1,39115,105
Trashigang Nunnery,2010,6,0,34297,97
Tiger hunting,2012,2,17,72915,132
Bhutan Peace and Prosperity Party,2011,10,5,44613,77
Prostitution in Bhutan,2013,10,2,35895,92
Dorji family,2013,2,18,64185,154
History of Bhutan,2004,9,0,40868,85
Royal Court of Justice,2011,1,2,53411,145
Bhutan,2008,11,35,222309,715
Bhutanese refugees,2013,12,42,154559,344
ISO 3166 2:BT,2008,12,0,80766,695
Bhutan,2013,6,99,393273,1060
Royal Court of Justice,2010,7,1,38757,87
Judiciary of Bhutan,2011,1,10,69129,151
Est%C3%AAv%C3%A3o Cacella,2015,2,0,38380,90
Bhutan at the Olympics,2013,2,6,82782,389
Bhutanese refugees,2009,8,5,63729,121
Emblem of Bhutan,2007,7,0,52951,70
Transport in Bhutan,2011,12,10,73362,228
Kungzandra Monastery,2010,4,0,35235,98
Timeline of Bhutanese history,2012,5,63,177181,395
Ngawang Namgyal,2010,7,5,67285,175
Chali language,2011,10,2,40743,111
Bhutan,2014,9,108,419738,1114
Royal Bhutan Army,2008,2,0,30338,51
History of Bhutan,2006,6,0,66424,242
Bhutan Peace and Prosperity Party,2012,6,5,43281,69
Choedrak Monastery,2010,5,1,37669,102
Lamay Monastery,2011,1,1,37492,107
LGBT history in Bhutan,2014,2,1,49803,156
Geography of Bhutan,2007,2,0,62229,243
Judiciary of Bhutan,2010,8,2,29694,42
Bhutan at the Olympics,2010,12,1,58828,273
Gross National Happiness,2011,5,13,82949,171
Bhutanese refugees,2010,10,13,78001,152
Brokkat language,2011,2,2,41052,105
Military history of Bhutan,2012,3,49,149542,447
National Library of Bhutan,2014,1,0,64007,128
Lhotshampa,2009,8,1,38028,87
Demographics of Bhutan,2002,10,0,27354,25
Department of Civil Aviation of Bhutan,2013,12,4,33661,45
Gross National Happiness,2006,7,2,40867,66
.bt,2004,12,0,37280,47
Kabney,2007,4,0,28744,46
Gross National Happiness,2005,12,0,39077,63
Gaeddu College of Business Studies,2014,12,0,31315,49
Gross National Happiness,2007,10,3,45492,75
Emblem of Bhutan,2011,3,0,46437,129
Boedra,2005,10,0,23361,35
Kabney,2013,2,0,38803,155
Ema datshi,2014,2,5,38791,63
Kira (Bhutan),2012,1,6,69357,376
Lhotshampa,2013,10,6,64574,184
Batoo Tshering,2014,3,11,46765,69
The Cup (1999 film),2007,12,0,33069,54
Royal Bhutan Army,2014,3,26,81818,165
Lingzhi Y%C3%BCgyal Dzong,2009,10,2,32148,53
Tourism in Bhutan,2012,9,2,55848,190
Law of Bhutan,2011,5,42,168847,441
Bhutanese ngultrum,2013,4,5,91034,245
Bhutan: A Visual Odyssey Across the Last Himalayan Kingdom,2010,7,3,29826,46
Bhutanese ngultrum,2012,12,5,90905,247
Health in Bhutan,2008,9,1,40191,120
Royal Bodyguard of Bhutan,2011,9,0,27703,48
Gho,2009,4,0,29898,54
National Library of Bhutan,2009,3,0,42581,63
The Bhutanese,2013,9,0,28450,46
Students Union of Bhutan,2013,10,3,31727,58
Blessed Rainy Day,2005,7,0,23806,33
Demographics of Bhutan,2005,8,0,35700,38
"Tibetan Primary School, Jigmenang",2009,3,0,28934,47
Emblem of Bhutan,2013,11,0,47345,130
List of Prime Ministers of Bhutan,2006,9,0,39036,121
Ngawang Namgyal,2008,6,0,38296,73
Ministry of Education (Bhutan),2014,10,1,25772,35
K%C3%B6nchogsum Lhakhang,2014,11,4,45573,115
Index of Bhutan related articles,2010,9,0,48112,175
Kesang Choden Wangchuck,2010,9,3,35748,70
Royal Bhutan Army,2008,12,24,71117,123
Laya dialect,2013,3,5,46129,127
.bt,2005,11,0,65869,400
Template:Bhutan party stub,2010,11,0,30333,50
Bhutanese ngultrum,2011,12,5,85171,230
Kingdom of Bumthang,2011,12,18,87653,241
Bhutanese refugees,2014,11,44,156253,344
Royal Bhutan Police,2011,12,31,74021,138
Gongduk language,2011,11,2,46138,117
Hotel Druk,2014,11,2,35100,54
List of diplomatic missions of Bhutan,2012,12,0,49744,133
Index of Bhutan related articles,2009,4,0,44021,170
Demographics of Bhutan,2003,5,0,29482,47
Chocangaca language,2011,10,3,44317,117
Digor (sports),2014,11,0,33464,78
Bhutan Today,2013,9,0,28909,46
Kira (Bhutan),2010,7,0,62126,362
Bamboo Curtain,2005,3,0,35664,72
Lhodrak Seykhar Dratshang,2013,3,1,37591,105
Geography of Bhutan,2007,5,0,62987,251
