filename,year,month,num_citations,file_size,forward_links
Camiri,2007,2,0,27127,40
Correo del Sur,2012,12,0,25521,42
1869 in Bolivia,2014,6,0,60159,76
Congress of Tucum%C3%A1n,2009,12,0,48086,168
Military of Bolivia,2011,4,7,91846,180
Treaty of Petr%C3%B3polis,2005,11,0,29453,48
Public holidays in Bolivia,2010,8,0,30526,54
Revolutionary Nationalist Movement,2012,2,0,48030,109
Carlos Quintanilla,2006,12,0,33076,66
Pukllay,2011,4,1,31734,57
Gonzalo S%C3%A1nchez de Lozada,2010,12,10,73480,195
Route 36 (bar),2009,8,1,29334,62
Ram%C3%B3n Garc%C3%ADa de Le%C3%B3n y Pizarro,2012,9,0,35876,53
Sim%C3%B3n Bol%C3%ADvar,2007,6,4,107766,365
President of Bolivia,2012,3,1,161472,468
Military of Bolivia,2013,2,7,110754,255
Template:Bolivia university stub,2012,6,0,30869,49
American Visa,2008,12,0,28140,48
Guat%C3%B3 people,2007,5,0,27400,47
Bolivian gas conflict,2010,1,31,121178,313
2000 Cochabamba protests,2011,2,23,111920,128
Fighting Cholitas,2012,11,8,32340,60
Viceroyalty of the R%C3%ADo de la Plata,2007,7,0,63536,259
President of Bolivia,2009,4,0,87811,320
List of Bolivian drinks,2006,7,0,25095,37
V%C3%ADctor Paz Estenssoro,2011,5,2,72509,218
List of Bolivia related topics,2008,4,0,163148,1082
Sim%C3%B3n Bol%C3%ADvar,2011,5,28,227324,816
V%C3%ADctor Paz Estenssoro,2008,5,0,65858,226
Camiri,2007,12,0,26914,40
Andean Trade Promotion and Drug Eradication Act,2013,12,16,46538,64
Viceroyalty of the R%C3%ADo de la Plata,2005,6,0,55342,224
President of Bolivia,2009,6,0,87440,318
Pukllay,2008,5,0,24986,36
Catavi,2009,10,0,27505,50
Juan de la Rosa (novel),2015,2,0,28163,50
Los Jairas,2006,5,0,25590,35
El Deber,2012,7,1,27452,48
Coat of arms of Bolivia,2013,8,0,45870,86
Economy of Bolivia,2010,12,8,124440,489
Fighting Cholitas,2011,10,8,32840,63
T%C3%BApac Amaru,2005,9,0,33574,54
Transport in Bolivia,2011,10,0,59004,202
V%C3%ADctor Paz Estenssoro,2013,6,4,77392,231
History of Bolivia,2009,3,10,107962,330
Politics of Bolivia,2011,11,4,86289,256
2000 Cochabamba protests,2007,5,2,36537,71
Peru%E2%80%93Bolivian Confederation,2011,10,0,77514,207
.bo,2006,7,0,65456,398
Bolivian Constituent Assembly of 2006%E2%80%9307,2013,9,14,67495,128
Spanish conquest of the Inca Empire,2009,3,15,135823,376
Yungas,2012,2,6,56574,183
Spanish conquest of the Inca Empire,2013,2,17,171501,619
President of Bolivia,2009,8,0,87802,320
Cochabamba social unrest of 2007,2014,11,9,66245,90
President of Bolivia,2013,6,3,166444,479
Inkallaqta,2008,12,0,29005,54
Plurinational Legislative Assembly,2013,5,6,86634,232
Military career of Sim%C3%B3n Bol%C3%ADvar,2009,12,8,131257,481
Army of the North,2009,4,2,89820,348
T%C3%BApac Amaru,2011,11,1,60778,111
Tupac Katari Guerrilla Army,2005,12,0,26073,40
Bolivian Naval Force,2010,5,2,54289,90
Sim%C3%B3n Bol%C3%ADvar,2008,11,6,151733,492
1582 Ancuancu earthquake,2013,1,2,27524,45
.bo,2007,12,0,66206,398
Bartolina Sisa,2014,6,2,40250,70
Porvenir Massacre,2014,4,6,38834,67
Battle of Top%C3%A1ter,2007,5,0,36851,87
Catavi,2009,11,0,27359,44
List of Bolivian drinks,2014,10,0,36961,85
Coat of arms of Bolivia,2004,12,0,32941,35
Sim%C3%B3n Bol%C3%ADvar,2006,4,3,87955,197
Bolivia,2009,11,38,247634,714
TV Boliviana,2012,2,3,35212,53
El Mut%C3%BAn,2013,3,11,40272,61
Mining in Bolivia,2009,10,0,47788,61
2000 Cochabamba protests,2006,10,0,32370,60
Bolivisi%C3%B3n,2008,5,2,29054,40
Bolivian Naval Force,2012,11,3,50952,85
Economy of Bolivia,2009,2,3,101380,362
Mocochinchi,2014,6,1,32931,56
Iyo%27wujwa Chorote language,2011,9,0,33966,67
Third Upper Peru campaign,2012,1,0,77768,238
Carlos Quintanilla,2013,7,0,42188,132
Pedro Domingo Murillo,2011,2,0,33244,48
Bolivisi%C3%B3n,2010,12,2,32981,59
Viceroyalty of the R%C3%ADo de la Plata,2004,11,0,53468,184
Public holidays in Bolivia,2010,2,0,30634,58
Bolivisi%C3%B3n,2013,4,2,32556,54
Plurinational Legislative Assembly,2005,6,0,40942,100
Mining in Bolivia,2013,1,7,71879,114
Bolivisi%C3%B3n,2010,1,2,29345,46
Spanish conquest of the Inca Empire,2005,1,0,42207,71
