filename,year,month,num_citations,file_size,forward_links
Kalahari Acacia Baikiaea woodlands,2009,4,2,27726,56
List of rulers of Ngwaketse,2009,6,0,32650,46
Tshabong Airport,2012,5,1,32328,50
Botswana International University of Science and Technology,2014,6,5,39623,59
Botswana Defence Force,2014,8,6,58142,156
Lake Makgadikgadi,2010,5,2,32974,55
Franco and Afro Musica,2008,6,1,31488,49
Botswana Institute of Development Management Workers%27 Union,2006,10,0,30950,49
Botswana,2013,3,43,304944,937
Bechuanaland Protectorate,2005,4,0,37020,88
Mining industry of Botswana,2013,4,1,60979,127
Human rights in Botswana,2012,2,2,45595,116
Moralane,2013,8,5,36875,44
Cancer Association of Botswana,2010,5,1,30245,38
Botswana Defence Force,2011,2,1,53240,134
LGBT rights in Botswana,2014,5,9,59129,132
Botswana Defence Force,2009,7,1,49334,152
Christ the King Cathedral (Gaborone),2013,3,2,42262,81
Kgalagadi language,2010,3,1,27370,47
Politics of Botswana,2006,11,0,58383,105
Outline of Botswana,2009,1,0,71459,160
Botswana Meat Industry Workers%27 Union,2010,6,0,31027,51
List of heads of government of Botswana,2012,12,0,27573,42
Telecommunications in Botswana,2002,2,0,23906,25
Corruption in Botswana,2013,10,3,43174,63
Botswana,2011,5,37,276080,853
List of supermarket chains in Botswana,2014,10,3,40937,99
LGBT rights in Botswana,2013,5,9,55247,135
Kasane Airport,2013,3,0,37406,75
Coat of arms of Botswana,2010,4,0,49677,133
Roman Catholic Diocese of Gaborone,2009,5,0,34944,66
Economy of Botswana,2006,3,0,62926,274
Child labour in Botswana,2011,10,1,43970,71
Constitution of Botswana,2014,6,2,49040,127
Corruption in Botswana,2014,1,3,44309,74
Outline of Botswana,2008,5,0,67796,130
Kgalagadi language,2011,5,1,30528,57
List of diplomatic missions of Botswana,2007,10,0,30161,49
Botswana Federation of Trade Unions,2014,7,0,31675,54
Transport in Botswana,2006,5,0,40390,120
Politics of Botswana,2006,2,0,53008,176
.bw,2008,11,0,67230,407
National Assembly (Botswana),2014,10,0,66131,266
Geography of Botswana,2007,9,0,44537,127
Botswana People%27s Party,2007,6,0,31599,59
Telecommunications in Botswana,2006,8,0,37114,105
Botswana International University of Science and Technology,2015,3,5,42273,55
Botswana Independence Party,2009,8,0,34050,75
Outline of Botswana,2014,11,2,91575,261
Islam in Botswana,2007,5,0,37778,109
Botswana Wildlife Training Institute,2013,6,1,28323,43
Franco and Afro Musica,2008,12,1,31211,44
Apostolic Vicariate of Francistown,2010,4,0,33485,58
Botswana Mining Workers%27 Union,2012,4,0,30086,48
First Lady of the Republic of Botswana,2012,10,11,57589,140
Media of Botswana,2013,1,0,42365,94
National Assembly (Botswana),2009,5,0,41854,106
Geography of Botswana,2011,7,4,59857,227
Shia Islam in Botswana,2013,8,3,57244,130
List of diplomatic missions in Botswana,2012,10,29,144345,220
Botswana,2011,2,38,272201,820
Mmamashia,2013,12,12,44039,51
Botswana Manufacturing %26 Packaging Workers%27 Union,2013,1,0,30815,53
Languages of Botswana,2013,3,0,46078,152
Botswana Girl Guides Association,2007,6,1,31240,49
Health in Botswana,2015,3,4,44870,97
Kgalagadi language,2014,6,4,35463,67
Constitution of Botswana,2010,12,0,44364,113
Selebi Phikwe Airport,2008,4,0,28657,45
Botswana People%27s Party,2011,4,1,33260,58
Botswana,2013,11,45,302685,892
Geography of Botswana,2010,4,4,59950,222
High Commissioner for Southern Africa,2011,1,0,35236,87
Politics of Botswana,2006,10,0,50284,161
ISO 3166 2:BW,2012,11,0,83303,701
List of diplomatic missions in Botswana,2012,8,29,146239,219
