filename,year,month,num_citations,file_size,forward_links
Icelandic Brazilian,2013,2,0,58327,224
Campo de Provas Brigadeiro Velloso,2011,6,3,57880,181
Hup language,2012,8,5,38203,78
Forma%C3%A7%C3%A3o econ%C3%B4mica do Brasil,2013,8,1,30144,51
Mestre Gabriel,2011,7,0,32294,64
Brazilian Silicon Valley,2006,8,0,38371,115
Brazilian Armed Forces,2012,1,41,185623,492
Favela,2010,9,14,71718,143
Brazilian Silicon Valley,2007,6,0,39447,113
Brazilian Armed Forces,2014,5,31,205774,492
Brazil and weapons of mass destruction,2011,10,28,84150,192
Brazilian science and technology,2007,11,0,72423,261
Municipal Chamber of Porto Alegre,2012,2,7,61007,58
Lobster War,2014,9,16,58488,93
Federa%C3%A7%C3%A3o das Sociedades de Biologia Experimental,2010,9,0,34484,61
Ministry of Tourism (Brazil),2015,3,2,39135,77
Brazilian Press,2009,3,0,30668,51
Landless Workers%27 Movement,2008,2,3,59117,113
H%C3%A9lio Viana,2012,5,0,25792,38
Indigenous peoples in Brazil,2013,5,20,163188,581
Geography of Brazil,2006,9,0,112332,477
President of the Senate of Brazil,2009,12,2,44478,132
Amawaka language,2012,3,0,33325,61
Fortaleza Canyon,2015,2,1,30282,53
Theatre of the Oppressed,2010,4,7,65136,76
List of postal codes in Brazil,2014,9,0,80253,292
Instituto Tecnol%C3%B3gico de Aeron%C3%A1utica,2006,11,0,29374,46
Censorship in Brazil,2010,5,13,50816,148
National Congress of Brazil,2010,3,0,90140,271
Santos Basin,2010,10,0,30072,54
Wildlife of Brazil,2011,9,29,115265,355
Campomanesia hirsuta,2009,12,0,32201,65
List of federal institutions of Brazil,2011,5,0,86210,186
Human rights in Brazil,2010,11,18,149785,528
Capital of Brazil,2012,6,0,27572,51
Amawaka language,2014,6,2,35236,69
Triple Frontier,2012,2,6,44058,100
Sert%C3%A3o,2007,9,0,34496,75
Santana Formation,2007,1,0,32552,61
SESI Citizenship,2014,8,30,69975,113
Academia Militar das Agulhas Negras,2007,5,0,34177,57
University of S%C3%A3o Paulo,2006,3,0,55246,115
Sert%C3%A3o,2013,9,1,62561,81
Caipiroska,2011,9,0,30564,53
AI 5,2012,5,3,36086,52
Attorney General of Brazil,2013,9,1,58454,125
Sistema %C3%9Anico de Sa%C3%BAde,2009,11,2,28852,43
Cabinet of Brazil,2011,6,0,64954,183
Brazil and weapons of mass destruction,2010,6,14,69801,166
A%C3%A7a%C3%AD na tigela,2009,3,0,29638,47
Legal status of homosexuality in Brazil,2010,8,8,64678,233
Bife a cavalo,2014,1,2,29978,51
List of current state governors in Brazil,2007,11,0,69581,209
Universidade Federal do Pampa,2013,1,1,71914,276
LGBT rights in Brazil,2007,8,11,56016,133
Bandeirantes Anthem,2009,10,1,30853,39
Tri%C3%A2ngulo Mineiro,2007,3,0,24571,37
Amaz%C3%B4nia Legal,2011,3,0,30075,66
Academia Militar das Agulhas Negras,2010,11,0,50817,95
Ministry of Finance (Brazil),2009,4,0,28724,46
Supreme Federal Court,2009,2,0,49857,132
Estrada de Ferro Santos Jundia%C3%AD,2009,10,0,30439,52
Theatre of the Oppressed,2009,5,0,47176,67
Arroio do S%C3%B3,2013,6,2,49836,141
Pardo,2010,9,18,81337,246
Quinto constitucional,2007,10,0,24665,36
Universidade Cat%C3%B3lica de Petr%C3%B3polis,2010,9,2,71710,311
CETIQT,2012,1,0,27215,42
Caboclo,2011,5,1,38703,71
Carlota De Camargo Nascimento (Loty),2013,2,0,31235,32
List of automobiles manufactured in Brazil,2012,6,1,52253,192
Brazilian Electricity Regulatory Agency,2007,12,0,28857,39
Umberto Tachinardi,2013,1,9,40165,60
Italian Brazilian,2008,5,18,125097,465
Tarc%C3%ADsio Filho,2012,6,2,36360,103
