filename,year,month,num_citations,file_size,forward_links
Bumiputera (Brunei),2006,5,0,25974,44
Bruneian Malay people,2013,8,4,106552,514
North Borneo,2011,5,0,162810,616
List of banks in Brunei,2011,1,0,35550,77
Borneo campaign (1945),2013,4,3,58625,172
Royal Brunei Land Forces,2011,1,16,56035,107
Brunei Currency and Monetary Board,2010,10,3,64532,237
History of Brunei,2009,6,3,56518,166
Borneo Campaign (1945) order of battle,2010,12,1,66693,248
Muara%E2%80%93Tutong Highway,2014,6,0,43265,91
Japanese government issued dollar in Malaya and Borneo,2015,3,1,107983,294
Brunei dollar,2005,11,0,48291,132
Indonesia%E2%80%93Malaysia confrontation,2004,11,0,34573,83
ISO 3166 2:BN,2010,6,0,80274,688
Visa policy of Brunei,2013,7,0,148818,603
Economy of Brunei,2005,6,0,81275,297
Royal Brunei Armed Forces,2015,4,11,86186,236
History of Brunei,2007,7,2,59587,250
Jefri Bolkiah Engineering College,2014,4,0,35405,46
North Borneo Federation,2008,4,0,35389,78
LGBT rights in Brunei,2014,5,2,48900,137
North Borneo Federation,2011,10,2,34379,81
North Borneo,2014,3,2,180514,661
Emblem of Brunei,2009,6,0,46058,120
North Borneo Federation,2010,9,1,35112,79
History of Brunei,2002,6,0,29954,62
Japanese government issued dollar in Malaya and Borneo,2014,7,1,102723,277
Royal Brunei Air Force,2013,3,16,53891,107
Line of succession to the Bruneian throne,2007,3,0,33285,87
Royal Brunei Land Forces,2006,12,0,31919,63
Yang di Pertuan Negara,2011,5,1,31047,58
Japanese government issued dollar in Malaya and Borneo,2009,9,1,59646,156
Belait people,2009,1,0,27756,55
List of hospitals in Brunei,2009,3,0,27416,48
Tomb of the King of Boni,2012,8,15,89769,233
Emblem of Brunei,2011,10,0,45512,123
.bn,2007,11,0,69265,412
Brunei,2011,12,64,288702,917
Sekolah Menengah Sayyidina Ali,2008,1,0,29527,46
Sekolah Menengah Sayyidina Ali,2009,1,0,30689,60
Royal Brunei Armed Forces,2012,5,10,55160,139
Royal Brunei Land Forces,2013,5,19,51977,80
Brunei Darussalam Red Crescent Society,2007,8,0,24146,29
Rasau,2008,11,12,38579,74
Jerudong Park Medical Centre,2014,11,1,33855,53
Brunei at the Olympics,2010,3,1,60688,275
Brunei Revolt,2011,10,11,71134,147
North Borneo Federation,2013,2,2,34570,77
Indonesia%E2%80%93Malaysia confrontation,2010,10,60,192789,420
Brunei,2008,5,4,153342,501
North Borneo,2010,8,0,163135,620
Kingdom of Tondo,2014,4,18,109484,324
Indonesia%E2%80%93Malaysia confrontation,2009,4,15,117896,381
North Borneo,2008,8,0,122942,521
.bn,2012,2,0,69770,413
Bruneian Empire,2012,10,1,30526,47
Malaya and British Borneo dollar,2006,3,0,40106,107
Kingdom of Tondo,2010,1,16,106370,312
Japanese government issued dollar in Malaya and Borneo,2008,5,0,49359,114
Royal Brunei Navy,2014,8,19,87083,247
Legislative Council of Brunei,2011,9,0,48833,133
Bumiputera (Brunei),2004,10,0,21716,27
Outline of Brunei,2008,12,0,70350,155
Brunei Revolt,2011,9,11,68814,143
Brunei,2013,10,114,380340,1089
Malaya and British Borneo dollar,2010,3,0,72849,239
List of High Commissioners of the United Kingdom to Brunei,2011,5,2,61791,216
Economy of Brunei,2011,4,3,86027,198
North Borneo Federation,2009,12,0,34542,83
Geography of Brunei,2008,3,0,36692,111
Brunei Darussalam Red Crescent Society,2011,3,0,161632,344
Brunei Civil War,2012,1,4,32878,51
Brunei,2007,2,1,126827,365
Brunei Darussalam National Olympic Council,2010,7,0,40096,98
Sultanate of Sulu,2010,4,3,78034,227
Geography of Brunei,2011,7,0,51565,198
North Borneo,2005,12,0,63663,190
Sekolah Menengah Awang Semaun,2006,7,0,27981,46
Islam in Brunei,2010,9,4,63541,331
Combat operations in 1963 during the Indonesian Malaysian Confrontation,2015,2,8,44755,47
Brunei Currency and Monetary Board,2009,4,3,66425,250
Media Permata,2006,8,0,26379,43
Silat Melayu,2011,3,26,81565,220
Shannon Marketic,2012,12,3,68751,300
Japanese government issued dollar in Malaya and Borneo,2008,12,1,56485,147
Royal Brunei Air Force,2014,10,19,79855,170
Rimba Secondary School,2008,5,0,25355,35
Bruneian Empire,2011,9,1,29339,42
Template:Brunei struct stub,2008,10,0,22324,32
Indonesia%E2%80%93Malaysia confrontation,2012,5,62,234273,598
Shannon Marketic,2010,8,4,41479,93
British Military Garrison Brunei,2009,11,4,39932,86
Royal Brunei Air Force,2007,10,11,48041,90
Indonesia%E2%80%93Malaysia confrontation,2010,11,60,190609,413
Malaya and British Borneo dollar,2006,5,0,39659,108
Brunei Polytechnic,2014,12,1,37122,64
Rasau,2012,1,12,37375,56
Bruneian Empire,2011,12,1,29447,40
Line of succession to the Bruneian throne,2008,5,0,34089,92
List of Sultans of Brunei,2013,6,2,64861,222
Brunei dollar,2010,6,6,99375,296
Straits dollar,2013,7,1,65132,232
Brunei,2013,8,114,379135,1073
Legislative Council of Brunei,2012,7,0,52661,166
Royal Brunei Land Forces,2007,6,14,44469,81
Royal Brunei Land Forces,2015,1,19,75355,159
Silat Melayu,2004,12,0,32735,52
Sultanate of Sulu,2007,8,0,66893,152
Malaya and British Borneo dollar,2007,1,0,51275,197
Tungku Highway,2011,3,0,31376,58
British Military Garrison Brunei,2007,8,4,38772,86
Sport in Brunei,2007,11,0,28516,57
Royal Brunei Armed Forces,2012,11,10,54904,143
List of banks in Brunei,2013,3,0,35959,77
Brunei and Malaysia,2013,12,1,35691,76
Brunei Revolt,2007,1,0,54036,128
Brunei Cup,2013,7,0,46341,80
Brunei at the 2006 Commonwealth Games,2006,4,0,41162,119
Brunei Museum Journal,2013,3,0,25526,42
Islam in Brunei,2013,5,4,64452,336
Royal Brunei Air Force,2011,11,12,53508,98
Economy of Brunei,2014,1,8,92992,204
List of diplomatic missions of Brunei,2007,1,0,33024,73
Brunei,2010,9,37,250140,816
Cabinet of Brunei,2009,12,0,36869,65
Indonesia%E2%80%93Malaysia confrontation,2003,7,0,31757,47
Rasau,2007,4,12,36964,66
Borneo campaign (1945),2008,12,2,47736,141
RTB1,2014,3,0,38644,92
Economy of Brunei,2006,8,0,80496,281
Brunei at the Olympics,2010,11,1,60632,275
LGBT rights in Brunei,2011,3,1,40294,121
Royal Brunei Land Forces,2008,3,14,44529,78
List of Sultans of Brunei,2011,4,2,53726,153
List of diplomatic missions of Brunei,2012,12,0,67862,185
Sport in Brunei,2007,3,0,26422,42
Crown Colony of Labuan,2013,7,0,107240,466
Crown Colony of Labuan,2015,4,0,115194,534
Brunei Investment Agency,2014,7,12,44232,66
International rankings of Brunei,2010,9,0,36212,107
Royal Brunei Air Force,2008,3,11,48400,92
Lapau,2010,3,0,24929,37
Sultanate of Sulu,2004,8,0,29398,29
Brunei,2004,10,0,75753,135
Islam in Brunei,2013,11,4,64506,335
Demographics of Brunei,2006,8,0,37114,68
Indonesia%E2%80%93Malaysia confrontation,2013,8,61,275694,784
Brunei Postal Services Department,2011,9,1,26246,34
British Military Garrison Brunei,2014,9,7,42693,94
List of football clubs in Brunei,2012,8,0,41103,110
Telecommunications in Brunei,2010,10,0,43114,129
Women in Brunei,2014,9,2,66955,319
Brunei,2004,9,0,75919,131
List of Sultans of Brunei,2011,12,2,55308,160
Brunei,2013,1,108,365323,1072
Borneo campaign (1945),2008,1,0,46067,155
Borneo campaign (1945),2011,10,1,55295,163
Shannon Marketic,2008,5,5,39095,84
Internal Security Department (Brunei),2012,5,1,67334,294
North Borneo,2006,1,0,63705,192
Royal Brunei Navy,2013,6,18,59416,131
List of hospitals in Brunei,2013,3,0,27675,41
Cabinet of Brunei,2008,4,0,36209,65
Politics of Brunei,2006,12,0,49333,141
Yang di Pertuan Negara,2006,2,0,28505,71
United States Ambassador to Brunei,2011,11,0,74144,290
Silat Melayu,2009,9,12,69024,234
Silat Melayu,2007,9,0,67896,259
National Development Party (Brunei),2008,4,2,31478,56
.bn,2004,12,0,36963,47
Rimba Secondary School,2009,2,0,27878,46
History of Sabah,2011,12,28,104962,264
Bumiputera (Brunei),2009,8,12,32409,43
