filename,year,month,num_citations,file_size,forward_links
Kubrat,2006,12,3,46375,134
Houdbaad,2006,6,0,28305,56
%C3%87orbac%C4%B1,2007,1,0,27390,55
Mobikom,2012,10,2,34234,67
Balkan%E2%80%93Danubian culture,2014,4,6,43758,82
Bulgarian Exarchate,2007,7,0,42213,149
Stefan Stambolov,2004,5,0,30556,50
Glad (duke),2009,5,0,35093,81
Bulgarian Labor Youth Union,2007,8,0,26792,43
Bulgarian Crisis (1885%E2%80%9388),2009,12,1,28734,50
Odrysian kingdom,2014,1,28,85986,273
Bulgarian Exarchate,2011,2,6,58432,185
Danube Swabians,2011,1,16,97678,392
Demographic history of Macedonia,2010,3,86,277412,735
Bulgarian identity card,2010,4,1,52683,148
Miss Stone Affair,2012,4,0,29846,55
Bulgars,2014,11,94,171418,539
Bulgarian Crisis (1885%E2%80%9388),2014,3,7,50356,122
Ivanko of Bulgaria,2011,5,0,37334,113
Treaty of Berlin (1878),2006,7,0,37624,62
First Bulgarian Empire,2012,7,88,264065,1098
PC Mania,2011,10,2,40272,75
Still White Danube Undulates,2006,2,0,26465,31
Dacians,2005,9,0,29875,44
Atlantic Club of Bulgaria,2010,4,0,41018,152
Early Cyrillic alphabet,2005,3,0,76378,227
List of Prime Ministers of Bulgaria,2010,7,0,116848,483
Sinnion,2013,1,0,30021,60
Danube Swabians,2008,9,2,79425,352
Obelya Metro Station,2013,1,0,391603,435
Boila,2014,3,0,27013,46
First Bulgarian Empire,2007,12,43,126263,371
Diocese of Thrace,2009,7,0,61274,235
Hamangia culture,2011,1,3,46445,147
Ottoman Bulgaria,2015,2,7,77101,239
Architecture of the Tarnovo Artistic School,2009,4,4,78005,236
Odrysian kingdom,2013,2,28,85179,270
Samuil%27s Inscription,2012,5,1,32516,47
%C3%87orbac%C4%B1,2007,8,0,27634,55
Bulgarian Declaration of Independence,2013,9,2,44338,95
Anatolian Bulgarians,2008,7,0,42859,127
Bulgaria 1300,2009,12,1,40172,81
Kingdom of Balhara,2008,1,0,37434,98
Supreme Macedonian Adrianople Committee,2013,2,0,32982,60
Radetzky (steamship),2008,4,0,38080,90
Independent Macedonia (1944),2011,8,4,48145,99
Prince of Tarnovo,2013,9,1,40932,80
History of Bulgaria,2005,4,0,102131,426
