filename,year,month,num_citations,file_size,forward_links
State Peace and Development Council,2012,9,10,102676,331
Kaba Ma Kyei,2008,8,0,54721,162
Frank Messervy,2006,12,0,34327,124
Effect of the 2004 Indian Ocean earthquake on Burma,2009,4,10,32072,50
Than Tun,2009,1,2,35017,63
Template:Burma stub,2008,6,0,25761,35
Edward Michael Law Yone,2010,11,0,33267,70
State Peace and Development Council,2010,9,4,100158,385
Migration period of ancient Burma,2008,3,0,33202,103
Nung Rawang,2009,10,0,49742,103
Zogam,2013,5,0,33408,69
Wet Tha Dote Htoe,2013,1,1,26203,42
British rule in Burma,2007,2,4,59928,162
List of Burmese monarchs,2014,9,9,129886,562
Wa State,2008,7,0,34841,73
Geography of Burma,2005,2,0,28072,44
Edward Michael Law Yone,2008,8,0,33068,72
Politics of Burma,2007,7,14,95160,274
Zomi National Congress,2006,8,0,37154,84
Economy of Burma,2013,5,75,195756,550
Tamil diaspora,2010,2,3,67696,302
Migration period of ancient Burma,2010,9,38,103843,342
Burmese passport,2009,12,0,75559,341
Ming Shilu,2011,7,2,29103,45
James George Scott,2006,12,0,30873,73
Love and Liquor,2010,9,2,33352,64
List of capitals of Burma,2012,4,32,61737,114
Panglong Conference,2008,9,4,67915,177
History of Burma,2013,2,51,239130,719
Burmese Indians,2014,12,23,116303,371
Television in Burma,2009,12,0,24963,35
Tada U,2008,7,0,35592,103
Battle of Oktwin,2011,8,0,28432,41
World%27s largest book,2009,11,1,42001,85
Demographics of Burma,2003,8,0,26069,25
Canadian Friends of Burma,2006,7,0,31526,46
Roman Catholic Archdiocese of Yangon,2011,4,1,38512,79
Tatmadaw,2010,6,18,111451,317
Tedim language,2011,11,0,30657,56
The Burman: His Life and Notions,2008,3,0,25900,37
Myanmar National Literature Award for Collected Short Stories,2007,7,0,33638,48
Ming dynasty Tai history,2007,12,4,33327,52
Tong Seal,2012,8,0,42766,57
List of hotels in Burma,2010,2,0,33798,44
Burmese%E2%80%93Siamese War (1594%E2%80%931605),2013,6,3,53742,102
History of Burma,2010,7,28,188402,621
Prome Kingdom,2011,9,5,45952,98
House of Nationalities,2012,8,2,71063,200
Lethwei,2008,5,0,61014,198
Edward Michael Law Yone,2012,9,8,50284,116
National Coalition Government of the Union of Burma,2006,12,0,49373,120
Saffron Revolution,2009,5,194,282720,528
8888 Uprising,2006,5,0,30147,47
Adoniram Judson,2010,2,3,98747,235
Than Tun,2007,12,0,30641,51
Ming Shilu,2014,3,3,32062,53
Timeline of Burmese history,2012,3,2,84764,256
Politics of Burma,2005,5,0,53258,189
Karen National Union,2010,5,3,37817,62
Adoniram Judson,2011,2,4,107827,252
Wuntho,2007,4,0,29015,53
Lethwei,2011,2,1,58788,186
Burmese%E2%80%93Siamese War (1547%E2%80%9349),2013,11,55,121773,280
Asia World,2014,2,38,82024,97
Massage Practitioner,2008,3,0,30828,55
Burmese kyat,2012,8,9,106815,273
Sone Yay,2010,12,0,30229,58
List of capitals of Burma,2012,11,33,65397,128
Zogam,2012,11,0,32616,61
Karen National Union,2015,1,15,76235,141
Mong Tai Army,2014,10,7,48419,96
Mun Awng,2010,9,9,38397,61
Myanmar Police Force,2013,2,2,63399,195
Demographics of Burma,2002,2,0,26131,24
Tatmadaw,2006,11,3,41087,109
Roman Catholic Diocese of Banmaw,2011,2,0,34115,61
History of Burma,2008,12,8,160035,600
Assembly of the Union,2014,7,21,111518,341
Myanmar Olympic Committee,2010,12,0,38975,98
Bagan,2006,9,1,50862,117
Union of Burma Boy Scouts,2008,4,1,44693,129
Thirty Comrades,2007,3,9,51255,110
Template:Burma newspaper stub,2010,11,0,30878,52
Yangon City Development Committee,2012,3,7,38345,53
Khumi language,2011,10,0,30742,56
Japanese occupation of Burma,2013,3,2,77078,285
Thein Oo,2007,1,0,24877,38
Myanmar Economic Corporation,2014,1,10,39847,53
Burmese kyat,2010,11,2,79209,227
Names of Burma,2010,6,14,90260,219
Order of Burma,2014,6,3,57933,123
Saya San,2006,12,2,27966,43
United Wa State Army,2008,12,6,41169,79
Military intelligence of Burma,2012,6,0,25502,30
Burmah Oil,2014,11,7,48147,140
Mizzima News,2008,3,4,30491,44
Pyatthat,2014,6,3,36795,64
