filename,year,month,num_citations,file_size,forward_links
Television in Burundi,2014,1,1,40716,55
Public holidays in Burundi,2009,11,0,48674,195
Ruanda Urundi,2010,5,0,45595,82
Outline of Burundi,2008,3,0,41804,59
Geography of Burundi,2011,11,2,68969,275
Rally for Democracy and Economic and Social Development,2006,4,0,32584,71
List of diplomatic missions of Burundi,2012,2,0,54961,148
Mining industry of Burundi,2008,3,7,41163,111
Livingstone%E2%80%93Stanley Monument,2007,4,2,29134,40
Telephone numbers in Burundi,2013,4,2,41293,111
Persecution of people with albinism,2014,6,65,139538,264
German East African rupie,2006,11,0,42973,118
Persecution of people with albinism,2011,11,20,84915,267
Gatumba,2014,2,2,36334,58
Burundi,2010,5,73,253627,703
National Assembly (Burundi),2009,8,0,48429,127
.bi,2006,3,0,68091,408
Second Congo War,2014,6,38,188121,522
Ethnic groups in Burundi,2011,7,0,40872,80
Second Congo War,2008,9,20,177019,570
.bi,2006,1,0,68590,408
Burundi Workers%27 Party,2005,7,0,25783,46
List of universities in Burundi,2012,10,1,39575,106
Economy of Burundi,2006,7,0,40156,122
"Party for Peace, Democracy, Reconciliation, and Reconstruction",2012,1,0,37581,89
Coat of arms of Burundi,2013,2,2,49989,136
History of Burundi,2009,12,12,85084,274
Urewe,2011,12,0,41165,57
Party for National Concord %E2%80%93 Abasangirajambo,2005,9,0,25465,36
Persecution of people with albinism,2012,2,20,85799,267
Burundi Tribune,2011,4,0,26368,46
United Nations Operation in Burundi,2006,3,0,54867,192
Parliament of Burundi,2006,4,0,41739,144
"Burundian legislative election, 2005",2007,1,0,44544,109
Parliament of Burundi,2013,10,0,49172,167
Transport in Burundi,2008,3,0,39863,121
List of protected areas of Burundi,2013,5,0,39648,47
Central Zambezian Miombo woodlands,2010,1,1,38638,108
Supreme Court of Burundi,2013,12,1,45602,101
Postage stamps and postal history of Burundi,2013,1,1,53545,185
Second Congo War,2007,10,11,139530,417
Persecution of people with albinism,2009,7,10,42580,63
Titanic Express massacre,2010,8,0,34486,71
Liberal Alliance for Democracy,2005,9,0,24596,36
List of colonial governors of Ruanda Urundi,2004,9,0,44537,142
National Council for the Defense of Democracy,2010,2,0,39708,98
Military of Burundi,2008,7,2,55686,187
National Council for the Defense of Democracy %E2%80%93 Forces for the Defense of Democracy,2005,4,0,28281,35
Green Party Intwari,2005,12,0,24286,32
Martyazo,2015,4,2,33290,62
List of universities in Burundi,2011,6,1,37953,97
United Nations Operation in Burundi,2009,11,3,60787,208
"Burundian constitutional referendum, 2005",2010,2,0,44345,105
Bank of the Republic of Burundi,2014,2,1,66823,263
Cuisine of Burundi,2011,8,0,33657,83
List of heads of government of Burundi,2010,6,0,67220,277
Congo Basin,2013,4,1,37208,78
Central Zambezian Miombo woodlands,2012,12,1,41995,121
Titanic Express massacre,2010,7,0,27734,49
Military of Burundi,2008,4,1,55184,188
.bi,2008,2,0,69039,410
List of current provincial governors in Burundi,2009,8,0,29252,71
Burundi,2003,11,0,60448,48
Burundo African Alliance for Salvation,2006,1,0,25211,36
Roman Catholic Diocese of Bururi,2013,6,0,34739,63
Kaze %E2%80%93 Forces for the Defense of Democracy,2010,8,0,36916,88
Burundi at the Olympics,2008,1,0,61174,281
Coat of arms of Burundi,2011,4,1,47538,123
Royal Drummers of Burundi,2006,9,0,29236,60
Islam in Burundi,2007,4,0,37516,110
List of ecoregions in Burundi,2011,5,0,44689,144
Roman Catholicism in Burundi,2006,8,0,34799,98
Burundi,2008,4,4,170870,580
Demographics of Burundi,2008,4,0,54780,178
Party for National Concord %E2%80%93 Abasangirajambo,2007,3,0,34763,76
Mugamba,2009,11,1,27939,40
Social Democratic Party %E2%80%93 Dusabikanye,2006,4,0,32020,70
History of Burundi,2007,3,0,53093,193
List of colonial governors of Ruanda Urundi,2005,7,0,44511,142
"Burundian legislative election, 2010",2010,12,4,45740,107
Front for Democracy in Burundi,2006,8,0,37606,95
.bi,2006,4,0,68063,408
ISO 3166 2:BI,2008,12,0,80737,697
Burundi at the Paralympics,2010,7,2,55369,245
Coat of arms of Burundi,2014,1,2,50191,134
Geography of Burundi,2010,7,2,66819,264
Central Zambezian Miombo woodlands,2010,5,1,38274,106
Outline of Burundi,2008,5,0,67266,133
Kingdom of Burundi,2005,8,0,26380,40
Transport in Burundi,2013,10,1,57039,202
List of heads of government of Burundi,2008,1,0,44746,191
Gatumba,2007,11,0,30476,52
Party for National Recovery,2009,12,0,39056,97
Kingdom of Burundi,2006,6,0,28614,50
Gustave (crocodile),2007,11,0,30170,33
Burundi Workers%27 Party,2005,8,0,33190,83
History of rail transport in Burundi,2013,9,4,54527,105
Military of Burundi,2004,9,0,24263,28
Transport in Burundi,2007,9,0,37133,110
List of Presidents of Burundi,2011,3,0,80181,318
Persecution of people with albinism,2012,8,20,84209,261
Livingstone%E2%80%93Stanley Monument,2009,12,2,29980,45
Independent Labor Party,2008,8,0,33503,78
Military of Burundi,2006,6,0,28254,41
Demographics of Burundi,2012,8,1,62280,185
University of Burundi,2006,5,0,23978,27
Second Congo War,2006,7,3,119561,386
Burundi,2011,3,77,257732,717
Burundo African Alliance for Salvation,2007,3,0,34262,77
Geography of Burundi,2006,7,0,38684,112
Ruanda Urundi,2013,7,3,65362,148
List of diplomatic missions of Burundi,2009,2,0,43249,88
"Burundian constitutional referendum, 2005",2007,1,0,41425,104
Politics of Burundi,2002,10,0,30009,33
Ethnic groups in Burundi,2012,3,0,45394,94
Roman Catholic Diocese of Bururi,2009,5,0,33875,59
German East African rupie,2009,11,0,49300,129
Law enforcement in Burundi,2013,8,0,49816,160
Guardians of the Peace,2007,8,1,24677,34
Kingdom of Burundi,2011,5,0,52716,155
Gustave (crocodile),2010,2,6,36830,58
Congo Basin,2013,5,1,37161,77
Gustave (crocodile),2014,7,4,38969,53
Roman Catholicism in Burundi,2007,10,0,40301,122
Second Congo War,2005,4,0,115869,344
Politics of Burundi,2012,12,0,72706,280
Burundi,2015,2,88,293279,788
Party for National Concord %E2%80%93 Abasangirajambo,2005,11,0,25396,35
Barundi,2014,1,0,24980,39
Council of Ministers (Burundi),2005,9,0,42290,132
List of heads of government of Burundi,2004,8,0,35382,133
Ruzagayura famine,2013,12,4,34434,58
Roman Catholic Diocese of Ngozi,2011,1,0,34561,58
Geography of Burundi,2013,2,2,71416,283
List of ministers of the Belgian Congo,2013,3,0,35164,56
List of football clubs in Burundi,2013,12,0,46181,111
Roman Catholic Archdiocese of Bujumbura,2013,3,0,37036,69
Politics of Burundi,2007,5,0,66577,142
Burundi Workers%27 Party,2014,12,0,29831,58
Burundi National Museum,2008,6,0,26793,43
List of Kings of Burundi,2009,12,0,30709,56
Ruanda Urundi,2011,8,0,53119,118
List of diplomatic missions in Burundi,2015,2,32,77521,147
Burundo African Alliance for Salvation,2006,4,0,31861,71
History of Burundi,2002,3,0,32236,68
National Alliance for Law and Economic Development,2010,1,2,36796,79
Party for the Integral Renewal of Burundi %E2%80%93 Intahemana,2005,9,0,25329,36
List of ministers of the Belgian Congo,2011,10,0,37448,57
Mugamba,2009,8,2,25504,27
Cuisine of Burundi,2012,2,0,34065,87
List of heads of government of Burundi,2006,7,0,44604,193
Roman Catholic Diocese of Muyinga,2010,12,0,34109,58
Roman Catholic Diocese of Muyinga,2013,12,0,34868,67
ISO 3166 2:BI,2009,7,1,83925,701
List of current provincial governors in Burundi,2008,2,0,29026,68
University of Burundi,2009,5,0,30439,41
History of Burundi,2009,11,12,85110,276
Burundi Geological Museum,2013,1,0,25842,40
Marguerite Barankitse,2007,1,0,27459,42
Politics of Burundi,2004,9,0,36884,79
List of colonial governors of Burundi,2009,12,0,35408,86
Roman Catholicism in Burundi,2006,4,0,36650,102
Martyazo,2009,12,0,31680,64
List of colonial governors of Ruanda Urundi,2013,7,0,40015,60
.bi,2007,2,0,68786,408
List of universities in Burundi,2011,9,1,38708,99
Music of Burundi,2012,2,0,47069,173
List of ministers of the Belgian Congo,2014,10,0,35678,56
List of ecoregions in Burundi,2011,4,0,44955,146
Media of Burundi,2014,1,0,46631,106
Rally for the People of Burundi,2005,8,0,24556,39
Ruanda Urundi,2006,11,0,33114,65
History of Burundi,2004,9,0,38474,95
Politics of Burundi,2006,5,0,59621,206
Burundi at the Paralympics,2013,11,2,57189,243
National Alliance for Law and Economic Development,2006,4,0,32372,71
Burundi,2008,10,67,220773,640
Persecution of people with albinism,2014,7,65,139577,270
Second Congo War,2013,5,27,203668,568
Burundi at the Olympics,2012,9,0,69546,308
Burundi,2009,12,74,248162,685
National Liberation Front (Burundi),2006,6,0,36936,92
Economy of Burundi,2011,9,2,67629,252
Party for National Recovery,2005,9,0,33057,77
Second Congo War,2007,2,7,140323,440
Burundi,2013,4,83,281547,756
List of diplomatic missions of Burundi,2008,12,0,41320,82
Burundian passport,2009,11,0,113890,385
ISO 3166 2:BI,2005,8,0,27639,54
Congo Basin,2012,2,2,39196,80
LGBT rights in Burundi,2010,6,5,49863,137
List of colonial governors of Burundi,2004,8,0,34658,115
Union for National Progress,2005,4,0,34908,90
Ruanda Urundi,2007,1,0,34346,61
Party for the Economic Independence of Burundi,2005,9,0,24775,36
Postage stamps and postal history of Burundi,2015,2,1,60680,190
Kingdom of Burundi,2010,9,0,52751,155
Marguerite Barankitse,2014,8,6,35373,56
Burundian Genocide,2012,5,25,63570,109
Council of Ministers (Burundi),2014,11,1,63831,157
Burundian passport,2009,7,0,113834,385
Economy of Burundi,2012,11,1,66042,249
Music of Burundi,2006,6,0,28169,48
.bi,2011,10,0,71683,420
Burundian passport,2010,12,0,77805,347
Vice President of Burundi,2005,8,0,39659,136
German East African rupie,2006,6,0,42557,111
Central Zambezian Miombo woodlands,2012,10,1,41255,118
Royal Drummers of Burundi,2011,12,0,33933,68
Front for Democracy in Burundi,2012,12,4,44629,98
List of Kings of Burundi,2005,8,0,30189,55
Communications in Burundi,2006,5,0,35312,110
Gustave (crocodile),2007,6,1,29591,32
Front for Democracy in Burundi,2007,8,0,39497,102
Congo Nile Divide (Rwanda Burundi),2013,4,9,43311,74
Union for National Progress,2013,2,0,43988,116
History of Burundi,2012,10,13,101368,326
"Party for Peace, Democracy, Reconciliation, and Reconstruction",2005,9,0,25694,36
Kingdom of Burundi,2010,7,0,52504,151
Education in Burundi,2008,6,1,39311,107
Roman Catholic Diocese of Ngozi,2007,8,0,33433,56
Burundi at the Olympics,2009,11,0,62133,281
Military of Burundi,2004,7,0,24264,30
Party for the Economic Independence of Burundi,2006,4,0,32128,70
Template:Burundi stub,2012,12,0,31749,47
Parliament of Burundi,2014,12,0,49639,172
Politics of Burundi,2007,1,0,66632,135
National Council for the Defense of Democracy,2006,2,0,31429,64
Ruanda Urundi,2005,7,0,32517,59
Second Congo War,2009,3,22,182658,597
List of Presidents of Burundi,2011,2,0,80567,318
Transport in Burundi,2014,7,2,61204,203
.bi,2009,9,0,69174,405
List of colonial governors of Ruanda Urundi,2004,8,0,42428,136
Demographics of Burundi,2003,11,0,28457,61
2013%E2%80%9314 Burundi Premier League,2014,8,1,69151,218
Public holidays in Burundi,2006,9,0,36845,127
Telephone numbers in Burundi,2014,1,2,43411,123
United Nations Operation in Burundi,2006,10,0,56727,201
.bi,2012,8,0,70095,415
Burundi,2011,2,77,257907,713
Communications in Burundi,2002,2,0,22532,25
Congo Basin,2013,3,1,37028,78
Guardians of the Peace,2012,1,1,29692,53
Gustave (crocodile),2013,8,5,41630,57
Martyazo,2005,4,0,25156,43
People%27s Party (Burundi),2014,12,3,45470,127
"Burundian legislative election, 2005",2009,12,0,47912,116
List of Presidents of the National Assembly of Burundi,2009,7,10,30432,37
LGBT rights in Burundi,2008,9,1,46061,131
Roman Catholic Diocese of Ruyigi,2013,3,0,33743,61
Polygamy in Burundi,2014,11,1,49452,197
