filename,year,month,num_citations,file_size,forward_links
Khmer Empire,2008,4,0,72761,190
"Central Market, Phnom Penh",2011,9,0,34179,51
Provinces of Cambodia,2006,3,0,29342,61
Cooper%E2%80%93Church Amendment,2007,4,1,38445,93
Cambodian riel,2009,4,3,68925,164
Khmer Republic,2010,2,26,77973,164
Kingdom of Funan,2006,12,0,40836,96
Angkor Thom,2004,11,0,34585,50
Kingdom of Funan,2008,11,33,75731,180
Telecommunications in Cambodia,2008,5,0,50444,129
AH1,2012,9,4,97686,416
Nataing,2009,7,0,28884,53
Coconut custard,2013,8,3,50417,184
Dark ages of Cambodia,2010,6,1,53684,118
Cambodian%E2%80%93Vietnamese War,2012,3,103,231903,379
Preah Thong and Neang Neak,2010,12,0,29592,54
Vyadhapura,2012,11,2,25323,36
Rajendravarman II,2013,2,0,33289,73
Sdok Kok Thom,2009,10,6,71120,166
Kingdom of Funan,2011,11,28,89895,191
United Nations Security Council Resolution 717,2010,2,1,49443,114
Rajendravarman II,2008,9,0,31015,63
Provinces of Cambodia,2004,11,0,28763,54
Cambodian%E2%80%93Vietnamese War,2007,12,0,58058,128
%C3%93c Eo,2011,11,16,78910,221
Angkor Airways,2008,11,2,37238,94
Cambodia Airlines,2014,6,5,46443,102
Funcinpec Party,2014,10,7,71430,181
Kingdom of Funan,2011,6,29,82191,151
Ministry of Economy and Finance (Cambodia),2009,1,1,35236,69
United Nations Transitional Authority in Cambodia,2007,8,0,38200,50
AH1,2008,2,3,44617,174
Vishnupalita Kambhoja,2010,12,21,40784,77
GRUNK,2014,5,11,49931,102
Kingdom of Cambodia (1953%E2%80%9370),2013,3,1,102000,235
French Protectorate of Cambodia,2015,2,8,121921,401
Peter L. Pond,2008,9,6,28034,55
French Protectorate of Cambodia,2015,4,10,126412,400
Khmer Mekong Films,2013,5,2,36019,60
New People,2007,11,0,27015,52
Battambang Airport,2011,7,2,41027,85
National Bank of Cambodia,2011,10,7,66155,248
Khloy,2013,7,1,36520,73
Khmer National Army,2014,3,38,102515,269
Khmer Empire,2013,10,19,131356,349
Chenla Kingdom,2004,9,0,27360,37
Cambodian%E2%80%93Vietnamese War,2007,8,0,56482,126
Transport in Cambodia,2009,8,8,78177,300
Indrapura (Khmer),2011,7,2,51872,141
History of Cambodia,2012,8,39,155929,431
Dap Prampi Mesa Chokchey,2012,7,1,37508,45
Demographics of Cambodia,2009,2,1,57391,150
Royal Cambodian Army,2009,12,2,156850,443
Baray,2012,9,0,28101,51
