filename,year,month,num_citations,file_size,forward_links
Hausa people,2004,7,0,31511,36
Hausa people,2010,1,4,73435,235
Bamileke languages,2013,1,0,31769,66
Index of Cameroon related articles,2015,3,0,210394,969
Ndol%C3%A9,2014,2,1,41219,132
Wovea people,2009,3,4,35157,83
Mengisa language,2013,10,2,31896,64
Bafia people,2010,11,5,33321,38
Camrail,2015,3,5,38376,70
Cameroun,2006,12,0,28118,56
Kanuri people,2008,5,0,35571,74
Fanji language,2009,10,3,35323,62
Battle of Kouss%C3%A9ri,2008,3,0,27706,53
Chinese people in Cameroon,2013,8,12,71668,164
Brasseries du Cameroun,2006,11,4,37830,106
Association des Guides du Cameroun,2007,7,0,30719,44
Cameroon,2008,7,115,213458,602
Prime Minister of Cameroon,2005,10,0,30860,108
List of colonial governors of French Cameroons,2005,12,0,40782,160
Kanem Empire,2010,8,3,50359,123
Vincent Ndumu,2012,12,1,29302,37
French Equatorial Africa,2005,10,0,87632,323
Sao civilisation,2014,12,9,33645,56
Duala language,2006,2,0,26856,45
Bakossi people,2012,11,28,83735,110
Wovea people,2011,4,4,35107,75
Jimi language (Cameroon),2008,10,1,28755,50
Bebele language,2014,6,3,33384,67
Cameroon,2013,11,148,349773,962
LGBT rights in Cameroon,2009,12,4,49635,135
Buduma people,2006,7,0,26425,41
Cameroonian Armed Forces,2008,8,1,44663,128
Cameroon,2009,6,120,260218,719
Refugees in Cameroon,2014,7,18,54840,73
Moise Fokou,2015,3,9,81339,332
Aro Confederacy,2008,5,0,33202,82
Camrail,2006,12,0,31237,63
Departments of Cameroon,2014,11,3,81149,322
Cameroon,2015,4,162,380663,1016
Transport in Cameroon,2007,2,0,48235,161
Aro people,2006,8,0,33050,75
Battle of Tepe,2014,11,4,40685,84
Fon (title),2013,12,0,31096,44
"Greystoke: The Legend of Tarzan, Lord of the Apes",2012,11,2,87429,314
Anglophone Cameroonian,2007,4,0,31994,56
Bamena,2014,8,0,27327,47
Bikya language,2009,3,0,33002,60
Lake Nyos,2007,6,1,55234,130
Bamileke people,2012,1,1,53355,117
Greentree Agreement,2013,8,8,31161,54
Kongo Wara rebellion,2014,7,12,74957,210
Kanem Empire,2013,1,3,52533,152
List of diplomatic missions of Cameroon,2008,7,0,55279,128
Adamawa Emirate,2007,10,1,34256,65
Wodaabe,2012,5,16,56760,101
List of diplomatic missions of Cameroon,2010,6,0,71088,190
Tikar people,2012,12,2,32389,56
Bornu Empire,2012,4,5,75290,347
Nkambe languages,2015,4,1,30814,64
Reunification of Cameroon,2013,3,1,29569,41
Lake Nyos,2004,7,0,31486,38
Cameroon,2006,5,0,121593,321
Adamawa Emirate,2011,1,3,39298,68
Cameroonian Armed Forces,2010,7,1,45956,129
F%C3%A9lix Roland Moumi%C3%A9,2008,1,1,30699,67
Economy of Cameroon,2009,11,0,68003,341
Index of Cameroon related articles,2008,5,0,199702,972
Coffea charrieriana,2011,12,2,56630,218
Coffea charrieriana,2009,12,3,37232,73
Elysian Airlines,2008,12,0,32127,87
Nzanyi language,2011,7,1,33298,66
French Equatorial Africa,2011,10,2,86290,245
British Cameroons,2010,10,0,76402,314
FORUDEF,2011,9,0,25436,42
Economy of Cameroon,2010,2,0,67940,340
Douala Stock Exchange,2007,7,0,30562,53
Cameroon,2013,8,149,349013,958
Ewondo language,2012,1,1,36185,65
1984 Cameroonian coup attempt,2006,9,0,27958,48
Politics of Cameroon,2007,2,0,72721,169
Brasseries du Cameroun,2008,10,5,40495,110
Battle of Nsanakong,2013,1,6,42504,82
List of ecoregions in Cameroon,2009,9,0,30569,51
Politics of Cameroon,2012,2,1,69461,240
Rey Bouba,2009,8,1,26337,31
Coat of arms of Cameroon,2009,6,0,48450,126
Malgbe language,2013,10,2,32813,64
Mesaka language,2012,5,0,27897,47
Mbalam,2010,11,4,34918,48
Matal language,2008,2,1,25915,43
Bakossi people,2011,2,28,83718,112
Wovea people,2006,11,6,35074,86
Cameroon,2006,9,0,128371,349
Cuvok language,2012,1,1,31557,56
Kera language,2015,4,2,42708,109
Hausa people,2014,12,17,116433,424
Index of Cameroon related articles,2011,5,0,204315,968
French Equatorial Africa,2013,4,2,86644,250
Claire Ndi samba,2008,9,3,25738,31
Index of Cameroon related articles,2007,3,0,179434,789
Transport in Cameroon,2010,10,6,76839,287
Ngondo,2007,3,0,28419,54
Economic Community of Central African States,2009,10,6,103876,330
Hausa people,2014,10,17,116641,433
Ndol%C3%A9,2009,12,1,29268,55
Banda people,2012,6,1,36357,76
Makaa%E2%80%93Njem languages,2015,3,9,38726,76
Battle of Kouss%C3%A9ri,2006,10,0,32570,68
Politics of Cameroon,2007,1,0,72712,171
Kanem Empire,2010,9,3,50721,129
Transport in Cameroon,2008,3,1,55257,189
Transport in Cameroon,2006,5,0,42551,128
Bulu language,2007,2,0,29929,54
Mount Cameroon Race of Hope,2009,1,8,34221,72
Maga Dam,2007,2,0,24437,34
Bamileke people,2011,6,0,47754,114
List of diplomatic missions in Cameroon,2012,2,18,84558,163
Second Battle of Edea,2013,2,8,43922,86
Cameroonian Armed Forces,2006,2,0,25541,32
Mengisa language,2012,5,0,30980,68
Wife selling,2013,9,345,427686,1113
Duala language,2009,5,0,29468,50
1984 Cameroonian coup attempt,2005,8,0,23505,35
Cuvok language,2014,6,3,33207,62
Constitution of Cameroon,2011,1,16,69877,160
Nzakambay language,2011,11,0,30099,58
Mandara Kingdom,2013,3,0,45466,97
Bulu language,2010,12,0,30345,51
Battle of Maroua%E2%80%93Miskin,2010,7,0,30982,58
Congo Basin,2013,4,1,37208,78
Bornu Empire,2014,2,5,76375,355
Index of Cameroon related articles,2010,9,0,206979,982
William I of Bimbia,2007,5,0,27527,53
Une Affaire de n%C3%A8gres,2012,5,0,28667,42
Aro Confederacy,2013,11,0,52323,184
Mbalam,2012,12,4,34754,51
Cameroon Air Force,2012,5,7,54506,99
Equinox TV,2012,11,0,28429,48
Abbia: Cameroon Cultural Review,2005,10,0,26971,45
Lake Nyos,2008,1,8,59097,130
Ministry of Justice of Cameroon,2006,5,0,32437,40
Nzakambay language,2012,1,0,30143,56
Kirdi,2012,5,3,35695,118
Traditional administrative system of Bafut,2011,3,0,27100,30
F%C3%A9lix Roland Moumi%C3%A9,2013,4,2,33715,70
Kirdi,2012,10,3,36499,116
Massa language,2013,7,1,33133,62
British Cameroons,2007,4,0,75029,311
Abbia: Cameroon Cultural Review,2011,7,0,31094,55
History of Cameroon,2004,3,0,31721,76
List of heads of state of Cameroon,2005,6,0,32960,57
Mofu,2013,12,1,26053,39
Tiv people,2010,6,2,53387,120
Kanem Bornu Empire,2011,11,4,53000,191
Aro Confederacy,2014,1,0,52364,189
Cameroon,2010,10,105,299732,938
History of Cameroon,2014,12,10,88856,291
Ethnic groups in Cameroon,2013,4,0,47168,108
Maga Dam,2008,12,0,28071,46
Wovea people,2007,6,6,35007,84
Transport in Cameroon,2009,2,4,65595,212
Muna Moto,2012,2,0,29178,38
Sweet Mother,2005,10,0,21139,25
Kanem Empire,2012,12,3,53029,158
Adamawa Emirate,2010,6,1,34494,66
Kom language,2011,5,0,33029,58
Ma%C9%97a language,2008,5,1,27900,44
Tiv people,2006,10,2,31146,44
Prime Minister of Cameroon,2011,3,0,67882,278
Mazagway language,2013,9,2,31118,58
F%C3%A9lix Roland Moumi%C3%A9,2009,10,1,31037,64
Supreme Court of Cameroon,2012,11,9,41334,63
Fang language,2006,6,0,29653,47
Hausa people,2010,12,4,73504,231
Islam in Cameroon,2008,12,1,63759,343
Islam in Cameroon,2013,2,2,65358,344
Prime Minister of Cameroon,2010,8,0,57231,221
Aro people,2008,5,0,34806,79
Fang language,2009,4,0,42413,92
Bung language,2013,8,1,32143,59
Cameroun Express,2012,12,3,30093,52
Coat of arms of Cameroon,2008,8,0,46955,120
List of governors of Kamerun,2004,7,0,25977,70
Cameroun,2007,12,2,43187,113
Bank of Central African States,2009,7,1,66550,269
National Airways Cameroon,2011,12,1,43063,113
Beboid languages,2008,3,0,33459,65
Decree number 2004320,2012,5,6,35345,47
Medumba language,2013,10,1,31997,58
Second Battle of Jaunde,2014,10,1,40340,91
Vengo people,2007,6,0,31988,58
Ngwe language,2015,4,3,34120,62
Afriland First Bank,2010,3,0,33345,71
Afo A Kom,2015,1,1,32124,52
Timeline of Douala,2013,8,29,85456,123
List of Cameroonians,2006,8,0,30720,67
Template:Cameroon ethno group stub,2013,3,0,31504,58
Aghem language,2013,2,0,33815,72
History of Cameroon,2004,7,0,32157,80
