filename,year,month,num_citations,file_size,forward_links
Book:Canadian Cities Flags,2014,1,0,30870,63
List of tallest structures in Canada,2009,2,4,90738,439
Index of articles related to Aboriginal Canadians,2010,10,0,258130,1677
System for Electronic Document Analysis and Retrieval,2006,7,0,24755,28
Economy of Canada,2007,12,2,79491,175
Franklin%27s lost expedition,2009,8,77,170118,389
List of festivals in Canada,2009,10,0,57690,167
District municipality,2009,1,1,105191,549
Bibliography of Canadian history,2011,12,0,277687,781
Parliament of Canada,2013,4,30,211919,835
Canada%27s Deadly Secret,2010,5,1,25454,40
Snowbelt,2009,6,0,37244,104
List of Ambassadors and High Commissioners to Canada,2010,8,0,66320,237
English speaking Quebecer,2007,5,22,156545,381
Canadian sovereignty,2012,3,26,75272,144
Canada Book Day,2005,9,0,23084,36
List of Ambassadors and High Commissioners to Canada,2010,4,0,65714,231
Judicial Compensation and Benefits Commission,2011,10,3,28102,45
English speaking Quebecer,2009,6,34,178207,430
Earth Rangers,2013,11,18,51438,82
The bush,2012,11,8,50043,121
NAFTA superhighway,2008,5,0,30782,65
List of Ambassadors and High Commissioners to Canada,2004,4,0,52965,193
Canadian public debt,2013,10,20,66422,75
Minimum wage in Canada,2011,6,16,82101,349
Boreal forest of Canada,2008,9,30,59118,40
CCGS Provo Wallis,2011,11,0,33069,68
List of foreign countries with coinage struck at the Royal Canadian Mint,2006,10,1,30589,109
List of mutual fund families in Canada,2014,11,2,61702,136
Cabinet of Canada,2005,8,0,93340,368
List of years in Canada,2008,3,0,47965,368
Treasury Board,2009,5,0,30055,51
Oath of Citizenship (Canada),2006,5,0,28022,45
Canadian poetry,2011,7,2,62931,222
Canadian Australian,2013,7,1,54377,212
Canadiana,2006,4,0,25490,48
Bibliography of British Columbia,2013,2,0,68486,159
Flag of Quebec City,2011,2,0,37311,93
Earth Rangers,2012,6,19,49836,79
Comparison of Canadian and American economies,2014,7,35,91991,184
Extreme communities of Canada,2007,7,0,31498,76
States headed by Elizabeth II,2008,11,1,93008,226
Minimum wage in Canada,2007,4,0,32310,97
Area code 600,2011,2,2,26895,44
Universal Market Integrity Rules,2011,9,0,25696,38
Canadian identity,2005,12,0,60977,168
Flag of Alberta,2008,10,1,52883,163
Prorogation in Canada,2010,10,18,77164,165
Midwestern Greenhouse Gas Reduction Accord,2010,8,1,33321,59
Portal:Geography of Canada,2010,7,0,142978,410
The Canadas,2003,1,0,22678,40
Four corners (Canada),2008,3,1,39351,85
Million Tree Initiative,2009,2,2,28717,47
Time in Canada,2008,6,1,44594,108
Beauregard v Canada,2007,8,20,43620,70
Senate of Canada,2012,4,42,236245,844
First Nations,2009,8,109,313383,1050
Flag of Prince Edward Island,2012,10,0,41511,89
Canadian Biodiversity Strategy,2009,5,5,29678,43
List of tallest structures in Canada,2009,3,1,92871,393
Cabinet reshuffle,2006,11,0,24870,37
Google Street View in Canada,2014,11,19,108034,444
Equalization payments in Canada,2011,8,8,50206,65
List of breweries in Canada,2013,12,2,30941,44
List of festivals in Canada,2013,5,2,90783,355
1956 Governor General%27s Awards,2004,8,0,38472,130
CCGS Cape Roger,2007,9,0,27242,43
History of Canada,2007,9,14,109282,404
Canadian order of precedence,2008,6,5,175981,1046
List of years in Canada,2008,1,0,48395,369
Monarchy of Canada,2005,7,0,146617,582
Harkat ul Mujahideen,2005,11,0,30587,60
Iceberg Vodka,2010,12,0,28699,55
Bay Street,2008,2,0,43309,163
List of Nelvana programs,2009,11,12,72200,261
List of Canadian awards,2005,8,0,37107,54
Franklin%27s lost expedition,2009,3,76,160103,337
List of festivals in Canada,2010,1,0,58675,173
Time in Canada,2010,8,1,60640,124
List of tallest structures in Canada,2011,4,25,149022,505
The Canadas,2011,12,0,81649,369
"Flag of Richmond, British Columbia",2009,11,0,28206,45
Canada Book Day,2010,11,0,25494,45
Environment of Canada,2014,1,0,42172,72
Prime Minister of Canada,2006,8,1,80252,243
Economic impact of immigration to Canada,2011,10,67,129816,324
Aboriginal peoples in Canada,2009,1,8,71687,173
Canadian Pacific Survey,2012,1,2,33103,74
Parliament of Canada,2010,3,23,183210,729
Auditor General of Canada,2013,3,4,43535,80
Canadian poetry,2004,11,0,34495,93
Austria%E2%80%93Canada relations,2011,12,0,63185,229
Governor General of Canada,2004,2,0,35922,62
Book:Canadian Cities Flags,2011,9,0,30358,61
English Canada,2007,2,0,29692,58
Prime Minister of Canada,2014,2,65,215766,601
Governor General of Canada,2007,3,8,112417,423
English speaking Quebecer,2013,2,37,178138,411
Parliament of Canada,2004,4,0,35878,57
Time in Canada,2008,3,1,44796,109
Social programs in Canada,2012,1,5,93941,310
History of Canada,2010,11,178,468388,1360
Persons of National Historic Significance,2012,8,7,235380,1386
List of Canadian flags,2006,9,0,126914,427
Oath of Citizenship (Canada),2014,8,58,157369,344
List of Canadian Royal Commissions,2009,11,1,39246,56
List of years in Canada,2010,9,0,107812,702
List of films banned in Canada,2013,11,23,52456,113
List of Canadian tornadoes and tornado outbreaks,2008,1,12,95432,494
List of Ministry of Environment Regions of British Columbia,2012,7,0,32519,100
List of Chinook Jargon place names,2009,6,1,213923,532
Security and Prosperity Partnership of North America,2014,2,24,77169,147
Government of Canada,2009,6,9,90220,287
Embassy of Canada in Zagreb,2014,12,4,45028,84
Canada,2010,10,223,706590,2153
GE Free BC,2007,1,0,29609,40
Maritime Sign Language,2007,4,0,29092,50
Flora of Saskatchewan,2012,12,38,146737,328
History of Canada,2013,10,215,542782,1726
Prime Minister of Canada,2008,7,5,139582,544
CCGH 045,2014,10,0,32945,71
List of years in Canada,2014,4,0,146996,951
Canadian identity,2008,6,7,83150,254
List of regions of Canada,2006,4,0,63671,252
Georgians in Canada,2014,4,3,70557,302
Canadian diaspora,2014,7,7,39745,66
List of Median household income of cities in Canada,2014,4,0,28858,51
List of ski areas and resorts in Canada,2012,12,0,57095,194
Taxation in Canada,2010,4,2,106098,451
CCGH 045,2014,4,0,33343,75
Earth Rangers,2011,2,19,49932,73
Principal Secretary (Canada),2011,5,0,30001,54
Geography of Canada,2014,4,27,200825,807
Canadians,2011,6,113,356974,1004
Rassemblement pour l%27alternative progressiste,2004,12,0,25831,40
Environmental policy of Canada,2011,4,52,112112,169
Social programs in Canada,2007,12,1,34549,72
Minimum wage in Canada,2014,2,24,90776,346
Canada%E2%80%93Colombia relations,2014,6,3,62377,224
Auditor General of Canada,2010,11,2,32596,53
Common Look and Feel,2014,7,6,36998,50
Emergency Government Headquarters,2009,12,0,41989,95
List of highest points of Canadian provinces and territories,2015,3,2,54140,97
Public Service of Canada,2011,6,14,79855,244
Flag of Manitoba,2009,4,0,41884,105
CCGS Bartlett,2006,8,0,27894,49
National Topographic System,2010,7,0,26820,44
First Nations,2008,9,34,114465,299
Civil Service Act 1918,2009,11,0,37071,102
Cabinet of Canada,2014,7,34,163931,447
