filename,year,month,num_citations,file_size,forward_links
Democratic and Independent Cape Verdean Union,2006,4,0,33295,73
Telecommunications in Cape Verde,2001,7,0,22913,33
Cabo Verdean Armed Forces,2006,3,0,24917,30
Cape Verde%E2%80%93Mauritania Maritime Delimitation Treaty,2010,11,1,34912,73
History of Cape Verde,2011,5,3,76576,269
Cape Verde type hurricane,2009,9,0,42905,114
R%C3%A1dio Barlavento,2009,6,0,28264,55
Monografia Descritiva Regional,2011,3,0,29553,57
"Maio, Cape Verde (municipality)",2013,2,3,39719,74
Cape Verde,2014,9,55,345972,1037
United States Ambassador to Cape Verde,2011,5,0,73195,294
Revolutionary Armed Forces of the People,2011,12,0,26437,49
"Cape Verdean presidential election, 2006",2008,7,0,44595,107
History of Cape Verde,2005,12,0,45558,136
Telecommunications in Cape Verde,2011,10,0,57712,198
Cape Verde,2004,9,0,92568,231
Associa%C3%A7%C3%A3o dos Escuteiros de Cabo Verde,2014,9,0,42280,104
Jews of Bilad el Sudan,2013,8,24,81457,171
Cape Verde,2010,7,24,290431,880
Maio Airport,2008,5,0,31074,44
Cape Verdeans in Portugal,2010,8,3,37912,79
List of Cape Verdeans,2010,8,0,67631,220
LGBT rights in Cape Verde,2009,2,1,50451,146
"Mosteiros, Cape Verde",2010,6,0,35462,57
Template:CapeVerde stub,2008,1,0,24889,31
Agostinho Neto Airport,2010,4,0,35083,55
Halcyonair,2009,5,0,36291,99
Terra Nova (newspaper),2007,7,0,28585,53
Effie M. Morrissey,2010,4,5,82110,226
Cabo Verde Express,2013,12,3,49177,127
Politics of Cape Verde,2013,3,4,80446,287
Artiletra,2007,12,0,29594,59
Tarrafal camp,2005,4,0,26029,37
History of Cape Verde,2012,6,3,82998,283
Demographics of Cape Verde,2012,8,2,71943,239
Demographics of Cape Verde,2008,2,0,47956,149
Chuva Braba,2011,3,0,29394,63
Halcyonair,2011,3,0,40908,116
Effie M. Morrissey,2009,3,5,82431,233
Cabo Verdean Armed Forces,2007,2,0,38426,114
LGBT rights in Cape Verde,2008,7,2,45515,142
Jews of Bilad el Sudan,2012,5,24,84021,198
Centro Nacional de Artesanato,2007,5,0,25662,46
Lan%C3%A7ados,2005,11,0,27203,48
Federa%C3%A7%C3%A3o Caboverdiana de Atletismo,2014,1,7,83953,167
Cape Verde,2008,12,17,251106,684
Halcyonair,2011,4,0,41319,115
Effie M. Morrissey,2006,5,0,45368,146
Effie M. Morrissey,2014,6,5,89726,236
Hartwell (ship),2012,9,6,36028,55
LGBT rights in Cape Verde,2007,3,2,43637,91
Jean Piaget University of Cape Verde,2007,10,0,32258,61
"Brava, Cape Verde (municipality)",2012,3,4,40019,68
Agostinho Neto Airport,2013,3,0,34465,63
RTC (Cape Verde),2013,3,0,34855,81
Cape Verdean diaspora,2008,9,0,33500,75
Vehicle registration plates of Cape Verde,2012,10,0,47538,91
Trade Unions of Cape Verde Unity Centre,2009,5,0,34695,59
ISO 3166 2:CV,2007,12,0,31983,76
Social Democratic Party (Cape Verde),2010,9,1,34343,63
Telecommunications in Cape Verde,2004,10,0,24217,43
ISO 3166 2:CV,2012,6,0,91843,748
Portuguese Cape Verde,2011,12,1,35237,69
"Cape Verdean parliamentary election, 2006",2015,2,1,45336,97
Cape Verde type hurricane,2010,12,7,65477,191
Roman Catholicism in Cape Verde,2014,6,0,39089,109
Transport in Cape Verde,2012,10,1,71208,273
Social Democratic Party (Cape Verde),2009,2,0,34623,68
Portal:Cape Verde,2009,2,2,100757,127
Cape Verde type hurricane,2012,10,8,69937,206
History of Cape Verde,2006,10,2,56292,153
Outline of Cape Verde,2008,8,0,68872,162
Federa%C3%A7%C3%A3o Caboverdiana de Atletismo,2013,3,6,80964,167
Human rights in Cape Verde,2011,11,1,42537,110
Transport in Cape Verde,2007,2,0,35625,111
Elections in Cape Verde,2013,3,0,59914,192
Bolsa de Valores de Cabo Verde,2008,7,0,40601,117
Roman Catholic Diocese of Mindelo,2010,4,0,33859,55
History of Cape Verde,2011,6,3,75927,261
Cape Verde type hurricane,2008,7,0,43374,148
African Party for the Independence of Guinea and Cape Verde,2010,8,21,85843,209
List of lighthouses in Cape Verde,2013,4,0,45858,61
Cape Verdean American,2010,5,6,53798,154
List of buildings and structures in Cape Verde,2011,3,0,55616,66
African Party for the Independence of Guinea and Cape Verde,2007,7,9,63985,175
"Cape Verdean presidential election, 2006",2006,9,0,38907,88
LGBT rights in Cape Verde,2007,10,2,44947,136
Youth of PAICV,2008,9,0,28662,54
Cape Verdean Cuban,2007,12,4,30994,56
Cape Verdean American,2013,12,17,81631,216
Roman Catholic Diocese of Santiago de Cabo Verde,2011,2,0,39017,54
Demographics of Cape Verde,2010,1,0,71004,239
List of diplomatic missions in Cape Verde,2007,10,0,52219,82
List of Cape Verdeans,2008,9,0,63802,209
Halcyonair,2009,3,0,37126,101
Jews of Bilad el Sudan,2010,4,25,84649,203
Labour and Solidarity Party,2008,11,0,31916,62
Politics of Cape Verde,2002,10,0,34656,97
Hartwell (ship),2012,4,0,28810,59
Transport in Cape Verde,2011,6,1,69458,246
History of Cape Verde,2013,5,3,83607,286
Labour and Solidarity Party,2007,11,0,31448,58
Effie M. Morrissey,2015,4,5,91578,234
Cape Verdean real,2012,6,0,29596,49
Telecommunications in Cape Verde,2002,2,0,23377,33
