filename,year,month,num_citations,file_size,forward_links
Minister of Foreign Affairs (Central African Republic and Central African Empire),2014,10,0,31729,39
Bangui M%27Poko International Airport,2007,2,0,33381,47
Ubangi Shari,2013,7,0,71354,224
List of colonial governors of Ubangi Shari,2008,12,0,49904,212
EUFOR TchadRCA,2011,10,30,78832,121
Fer language,2011,5,0,31653,66
Roman Catholic Diocese of Kaga%E2%80%93Bandoro,2008,5,0,32542,52
French Equatorial Africa,2005,10,0,87632,323
Economy of the Central African Republic,2006,10,0,77334,417
Central African Republic,2014,3,76,352359,1015
Central African Empire,2011,6,3,50816,97
Foreign relations of the Central African Republic,2007,8,0,101182,467
Geography of the Central African Republic,2008,2,0,43052,129
Economy of the Central African Republic,2014,1,5,110674,473
Law enforcement in the Central African Republic,2014,7,1,53433,141
Kongo Wara rebellion,2014,7,12,74957,210
Central African Empire,2009,12,0,43785,80
LGBT rights in the Central African Republic,2007,4,0,46013,132
Postage stamps and postal history of the Central African Republic,2012,12,1,53770,180
List of colonial governors of Ubangi Shari,2009,12,0,42854,49
Yulu people,2011,7,0,31373,62
French Equatorial Africa,2011,10,2,86290,245
Central African Empire,2007,9,0,46650,89
Aja language (Nilo Saharan),2006,6,0,30855,54
Aja language (Nilo Saharan),2005,6,0,26874,41
Foreign relations of the Central African Republic,2008,12,8,106865,459
Roman Catholic Archdiocese of Bangui,2012,8,3,43629,96
Wadai Empire,2007,10,0,34596,67
Saint Sylvestre coup d%27%C3%A9tat,2008,8,35,91060,165
History of the Central African Republic,2012,10,1,74570,230
French Equatorial Africa,2013,4,2,86644,250
List of heads of government of the Central African Republic,2014,11,61,177250,494
Economic Community of Central African States,2009,10,6,103876,330
Banda people,2012,6,1,36357,76
List of colonial governors of Ubangi Shari,2006,1,0,46852,197
Central African Empire,2003,1,0,27338,27
Ubangi Shari,2010,6,0,70344,220
Gounda Airport,2008,4,0,27779,41
Politics of the Central African Republic,2004,9,0,31325,38
Freedom of religion in the Central African Republic,2014,8,5,66368,101
M%27Boki Airport,2012,12,0,31516,49
Central African Republic Air Force,2014,1,4,33583,48
List of heads of government of the Central African Republic,2006,7,0,52871,205
Islam in the Central African Republic,2007,5,0,37958,109
Aka language,2011,2,2,32769,61
National Assembly (Central African Republic),2011,1,0,46372,143
Central African Republic Bush War,2009,10,25,66440,126
List of heads of government of the Central African Republic,2004,11,0,42806,167
Congo Basin,2013,4,1,37208,78
Roman Catholic Diocese of Bossangoa,2007,10,0,32238,52
Yulu people,2007,6,0,31191,59
Politics of the Central African Republic,2007,3,0,69401,149
ISO 3166 2:CF,2011,1,0,85838,712
Bangui M%27Poko International Airport,2008,6,0,34510,47
Geography of the Central African Republic,2008,6,0,42881,131
General Union of Central African Workers,2006,3,0,25697,35
University of Bangui,2011,1,0,31580,51
Bouca Airport,2013,10,2,53083,160
Central African Republic,2012,8,35,285726,864
List of Governors General of French Equatorial Africa,2009,2,0,42483,173
History of the Central African Republic,2013,1,17,98796,271
Central African Republic Bush War,2014,3,18,93026,174
Saint Sylvestre coup d%27%C3%A9tat,2012,2,35,108879,236
List of football clubs in the Central African Republic,2011,3,0,40501,106
Outline of the Central African Republic,2010,7,2,107083,248
Central African Republic,2004,5,0,90885,176
Kresh languages,2015,4,1,48205,165
Bank of Central African States,2009,7,1,66551,269
Polygamy in the Central African Republic,2014,12,1,40137,148
Central African Empire,2005,7,0,29097,42
House of Bokassa,2012,10,1,33113,53
Roman Catholic Diocese of Bouar,2007,8,0,29446,45
Geography of the Central African Republic,2010,3,0,45492,135
University of Bangui,2012,12,0,34773,54
L%C3%B6nd%C3%B6 Association,2011,2,0,39189,89
United Nations Mission in the Central African Republic and Chad,2013,5,19,57473,84
List of heads of state of the Central African Republic,2012,11,22,121427,398
Alindao Airport,2007,11,0,30881,49
Bank of Central African States,2008,1,1,37095,77
L%C3%B6nd%C3%B6 Association,2008,9,0,37370,91
Social Democratic Party (Central African Republic),2005,9,0,33161,61
Central African Republic,2014,2,76,352126,1014
Koumala Airport,2009,8,0,30622,49
.cf,2008,10,0,65434,398
Social Democratic Party (Central African Republic),2013,3,1,40239,91
Bambari Airport,2007,8,0,29435,48
History of the Central African Republic,2008,4,0,55811,208
List of heads of state of the Central African Republic,2012,5,22,120495,396
Central African Republic,2005,7,0,112221,244
Gordil Airport,2013,1,0,31902,50
L%C3%B6nd%C3%B6 Association,2006,1,0,32176,61
Mobaye Mbanga Airport,2012,8,0,31274,50
M%27Boki Airport,2008,4,0,28368,42
Mandja people,2006,4,0,24686,34
Ouadda Airport,2007,6,0,29125,46
Transport in the Central African Republic,2004,9,0,25900,33
Economy of the Central African Republic,2009,1,0,80915,421
Saint Sylvestre coup d%27%C3%A9tat,2009,5,35,91789,176
List of diplomatic missions of the Central African Republic,2010,5,2,55877,137
