filename,year,month,num_citations,file_size,forward_links
Polygamy in Chad,2010,11,1,36833,102
2010 West African floods,2011,8,29,157253,716
Rally of Democratic Forces in Chad,2008,1,0,32912,61
Sport in Chad,2011,4,0,41074,101
Bidiyo language,2012,5,1,32059,49
April 8 Humanitarian Ceasefire Agreement,2006,7,0,28185,56
EUFOR TchadRCA,2011,10,30,78832,121
Njimi,2009,12,0,26667,53
Kanem Empire,2010,8,3,50361,123
Chadian Association for the Promotion and Defense of Human Rights,2006,2,0,29127,52
Ouadda%C3%AF highlands,2010,6,2,29646,55
French Equatorial Africa,2005,10,0,87632,323
Law enforcement in Chad,2012,10,0,37031,81
Sao civilisation,2014,12,9,33645,56
List of Chadians,2005,8,0,23322,43
2010 Sahel famine,2011,5,178,454971,1416
Liberation Front of Chad,2006,8,0,26326,50
Christoph Staewen,2010,8,1,29161,56
Chad,2003,12,0,71593,121
Breidjing Camp,2011,5,0,27462,48
Coat of arms of Chad,2006,2,0,31949,42
Bir I of Kanem,2008,5,0,27573,49
History of Chad,2008,6,6,117571,507
People%27s Movement for Democracy in Chad,2005,9,0,31239,68
CFA franc,2008,8,0,62288,226
Second Congo War,2014,6,38,188120,522
Kanem Empire,2013,1,3,52533,152
Miltu language,2013,3,1,31040,58
CIA activities in Chad,2009,12,4,49155,102
Second Congo War,2008,9,20,176992,570
Military of Chad,2002,2,0,23301,25
Bornu Empire,2012,4,5,75290,347
Gadang language,2011,7,1,31254,53
Pala Airport,2012,6,0,33978,88
Cotontchad,2009,4,0,26874,44
Operation Mount Hope III,2006,2,0,22952,27
Chadian Air Force,2013,1,5,36432,69
Fishing in Chad,2013,5,0,49858,178
Geography of Chad,2007,10,0,64351,166
Njimi,2006,3,0,24367,44
Chad,2005,8,0,98904,254
List of diplomatic missions of Chad,2012,12,0,58017,160
National Union (Chad),2006,5,0,31162,65
Aouzou Strip,2005,12,0,31489,56
French Equatorial Africa,2011,10,2,86247,245
Kingdom of Baguirmi,2008,4,0,33401,64
East Chadic languages,2013,10,6,37034,94
Buso language,2008,3,1,27172,44
Op%C3%A9ration Tacaud,2012,3,1,30098,60
Philippe Leclerc de Hauteclocque,2008,4,5,56408,152
Wadai Empire,2007,10,0,34596,67
List of ecoregions in Chad,2012,10,0,60175,195
Malgbe language,2013,10,2,32835,64
Borkou,2012,5,0,28984,57
Djurab Desert,2012,4,0,42701,181
"Chadian presidential election, 2001",2008,2,0,45245,126
Kera language,2015,4,2,42708,109
French Equatorial Africa,2013,4,2,86644,250
Transport in Chad,2004,9,0,24381,34
Second Congo War,2007,10,11,139537,417
Roman Catholic Diocese of Gor%C3%A9,2010,12,0,30016,50
List of diplomatic missions in Chad,2011,1,0,46518,110
Economic Community of Central African States,2009,10,6,103876,330
%C3%89mile Gentil,2013,3,0,65620,229
Military of Chad,2007,3,0,41077,127
List of ethnic groups in Chad,2007,10,0,30002,60
Tibesti Jebel Uweinat montane xeric woodlands,2015,4,1,58012,183
%C3%89mile Gentil,2005,8,0,26533,54
Donald Yamamoto,2008,4,6,36519,70
Dj%C3%A9daa Airport,2009,8,0,32282,87
Girgam,2010,5,0,25841,45
Elections in Chad,2006,7,0,54619,175
Patriotic Salvation Movement,2007,3,0,36036,85
East Saharan montane xeric woodlands,2012,9,0,33307,68
Kanem Empire,2010,9,3,50721,129
Abouna,2009,3,2,39613,72
"Chadian presidential election, 1996",2012,6,2,48485,128
List of diplomatic missions in Chad,2014,5,39,91608,157
Rally for Democracy and Liberty,2007,2,0,33530,80
Free Confederation of Chadian Workers,2009,5,0,30400,50
Dawud of Kanem,2010,10,0,28442,59
Roman Catholic Diocese of Pala,2010,7,0,30701,52
Chadian Air Force,2009,10,5,43214,96
2010 Sahel famine,2015,2,165,416729,1158
Rabih az Zubayr,2010,2,0,43563,114
Education in Chad,2012,6,4,53162,127
Rabih az Zubayr,2009,9,0,43885,121
Idris I of Kanem,2009,2,0,27802,51
Nzakambay language,2011,11,0,30099,58
Rally for Democracy and Progress (Chad),2011,3,1,34570,66
Bornu Empire,2014,2,5,76375,355
Chad,2003,7,0,57217,37
Chad,2008,2,80,199632,543
Geography of Chad,2013,8,3,94423,353
Transport in Chad,2004,12,0,24724,35
FROLINAT,2005,11,0,26054,51
List of Chadians,2006,7,0,35956,119
Organization for Community Supported Sustainable Agriculture in Chad,2009,12,0,34004,70
Njimi,2010,1,0,26786,53
Ibrahim IV of Bornu,2007,11,0,25768,45
Ahmad (Kanem Bornu king),2014,8,0,28239,54
Nzakambay language,2012,1,0,30143,56
Ndam language,2012,6,1,31702,56
Ad%C3%A9 Airport,2009,8,0,32226,87
Massa language,2013,7,1,33133,62
Begon,2012,8,1,25242,32
Kanem Bornu Empire,2011,11,4,53000,191
Othman II,2010,4,0,29052,54
