filename,year,month,num_citations,file_size,forward_links
Javiera Carrera,2009,1,1,31310,64
Matilde Urrutia,2014,11,0,32806,63
Pedro de Valdivia,2005,12,0,42678,78
Sergio Ortega,2009,10,0,32087,68
San Jer%C3%B3nimo de Millapoa,2012,7,0,25801,44
Geography of Chile,2013,10,2,112173,355
"Thomas Cochrane, 10th Earl of Dundonald",2005,7,0,38758,113
Military dictatorship of Chile (1973%E2%80%9390),2014,5,92,210483,507
Rucamanque,2008,10,0,30303,41
Andean Geology,2011,7,1,35692,79
Zona Austral,2007,4,0,54018,148
Los Galos,2011,5,1,31223,66
Chilean Civil War of 1891,2013,10,2,85633,193
Roberto Torretti,2013,3,2,41863,86
Federico Santa Mar%C3%ADa,2007,11,0,27017,48
Villa Baviera,2014,9,10,62200,162
Cayancura,2013,3,1,40065,131
Cosmic Background Imager,2008,8,0,40677,117
Carmen Weber,2009,6,1,28005,55
Immigration to Chile,2011,10,47,158561,537
Magellan Telescopes,2008,4,0,31487,58
Tottus,2011,7,1,34124,67
Licor de oro,2009,12,0,35940,126
Central Chile,2012,6,0,48118,132
Electrodom%C3%A9sticos,2013,5,0,32438,57
Project Cybersyn,2012,11,3,46512,90
Count of La Conquista,2008,9,0,27462,48
Martin Gusinde,2011,6,0,31547,50
Chilean tug Colo Colo (1931),2012,1,2,37217,67
Demographics of Chile,2002,8,0,28092,31
Timeline of Chilean history,2011,4,2,74424,320
Huilliche people,2007,10,0,27816,44
Rehue,2013,4,0,40128,127
List of hospitals in Chile,2014,4,0,31851,66
Arauco War,2013,4,19,210409,641
Atacama Pathfinder Experiment,2005,10,0,28329,42
Magellanic subpolar forests,2008,8,1,41050,100
Antonio Llid%C3%B3,2010,8,1,33594,71
Estadio Nacional Julio Mart%C3%ADnez Pr%C3%A1danos,2010,6,8,72216,223
List of tallest buildings in Chile,2010,5,0,55052,216
Julio Olalla,2009,6,0,27397,52
Mapuche,2012,5,30,115814,306
Unidad Anti Terrorista,2012,6,0,30728,56
Outline of Chile,2012,10,7,107438,362
Juan Perez de Zurita,2009,5,0,30511,68
List of diplomatic missions in Chile,2011,9,0,92350,197
Santiago Stock Exchange,2008,1,0,29675,46
Chilean nationalization of copper,2006,6,0,36604,97
Immigration to Chile,2013,11,52,180769,597
Berberis negeriana,2009,1,0,30736,59
Judiciary of Chile,2008,6,2,46858,51
Fulano (band),2014,6,0,37357,61
Luc%C3%ADa Pinochet,2008,10,2,29584,58
List of cities in Chile,2007,6,0,61491,289
Chilean salad,2012,7,0,39462,142
Chapalele,2010,12,0,29323,59
Maria Graham,2009,5,2,51883,139
Birmingham Solar Oscillations Network,2006,6,0,26680,49
Geography of Chile,2011,6,2,102722,323
Public holidays in Chile,2006,4,0,30840,83
Immigration to Chile,2010,5,47,152940,568
Estadio Nacional Julio Mart%C3%ADnez Pr%C3%A1danos,2013,10,16,98659,308
Hydrographic and Oceanographic Service of the Chilean Navy,2011,6,1,28831,47
Guillermo %22Willy%22 Odd%C3%B3,2006,7,0,27765,55
