filename,year,month,num_citations,file_size,forward_links
Union of Chinese Nationalists,2010,12,3,40152,118
Chinese people in Turkey,2014,3,5,61338,215
Corv%C3%A9e,2010,8,5,62212,156
List of manhua,2013,11,1,77660,110
Chengbao system,2013,9,1,61038,263
Chinese economic reform,2013,2,85,135448,236
Legalism (Chinese philosophy),2004,11,0,34650,53
Chengbao system,2012,11,1,60675,268
The Coming China Wars,2011,10,1,30321,54
Heihe%E2%80%93Tengchong Line,2011,10,1,32395,57
List of traditional Chinese medicines,2012,10,116,168654,248
Grass Mud Horse,2010,7,19,56191,87
Chairman of the Communist Party of China,2007,11,0,30757,57
College English Test,2014,5,7,51289,120
State General Administration of Sports,2012,4,5,55084,156
Timeline of Chinese history,2011,2,1,285487,1949
Haigui,2014,8,6,37695,76
China,2006,10,69,263745,747
China News Service,2012,2,0,30616,61
Hukou system,2015,4,34,93367,168
Dayi method,2006,5,0,30044,60
Chinese skepticism of democracy,2014,7,11,71409,253
Greater China,2008,11,1,41213,92
China Council for the Promotion of International Trade,2010,10,0,65925,251
Paramount leader,2005,8,0,27016,47
Early Spring (painting),2012,10,0,32480,55
Portal:China,2006,6,0,397655,1680
Rural society in China,2009,12,0,95529,334
"One country, two systems",2005,2,0,41570,100
List of Chinese inventions,2010,6,560,681879,2300
List of Chinese administrative divisions by GDP per capita,2010,2,0,46106,118
Twenty Four Histories,2014,5,4,48269,166
"One country, two systems",2009,7,8,94973,326
Sport in China,2009,11,7,111148,451
Cross Strait Tourism Exchange Association,2013,11,5,35095,60
Outline of China,2011,3,17,114779,388
United Front (People%27s Republic of China),2011,5,2,62822,197
Old Turkic alphabet,2014,8,26,216625,967
Institute of Biophysics,2009,2,0,36346,54
List of Chinese animated films,2007,5,0,59959,108
Template:China stub,2011,4,0,37122,50
Square dancing (China),2012,5,2,44507,109
Grass Mud Horse,2013,3,24,65621,102
Transport in China,2003,4,0,29317,68
Guan Zhong,2013,7,2,38466,76
Sport in China,2009,8,5,108396,434
Chinese Society of International Law,2012,3,1,30843,48
Sport in China,2010,2,7,111314,445
Hukou system,2013,1,22,79677,161
Ten star household,2007,4,0,26797,46
China,2009,11,224,581240,1786
Chinese skepticism of democracy,2015,3,11,75218,252
Chinese law,2008,12,13,91728,194
Dalian Greenland Center,2012,8,2,93352,459
Counting rods,2005,6,0,26816,35
Collected Statutes of the Ming Dynasty,2009,10,0,30806,47
Execution van,2008,10,4,39244,72
Qing conquest theory,2010,11,15,63245,105
Taixinan Basin,2014,10,6,32268,40
Chinese alchemy,2008,8,4,43453,106
Chinese units of measurement,2010,9,3,85133,288
No Car Day,2008,3,0,23430,33
Geography of China,2014,1,4,155801,612
Hukou system,2006,1,0,29317,54
Environment of China,2014,10,4,91390,356
Taiwan,2008,6,58,389027,1373
List of ethnic groups in China,2012,12,4,127628,557
Ministry of Education of the People%27s Republic of China,2012,6,0,62726,166
Post 80s,2011,12,9,53798,120
List of political parties in the People%27s Republic of China,2012,2,4,86984,313
Production brigade,2010,3,0,28835,46
Wooden ox,2008,3,0,26257,43
Three Represents,2014,2,2,68851,193
List of Chinese military texts,2014,2,9,67147,178
Taxation in China,2013,6,2,145455,519
"Commission for Science, Technology and Industry for National Defense",2012,11,1,106238,305
Chinese records in Olympic weightlifting,2013,10,8,83432,231
Work unit,2006,10,0,26778,40
New Conservatism (China),2004,1,0,23736,36
Ferghana horse,2015,3,7,41823,74
Chinese candy box,2011,1,0,29741,57
Libraries in China,2010,5,3,82662,267
Kaihuang Code,2010,9,4,37714,74
Naming laws in the People%27s Republic of China,2010,6,23,49093,75
Chinese units of measurement,2013,8,17,129220,371
Free area of the Republic of China,2012,3,2,134249,577
Jixia Academy,2012,2,4,41733,77
Daopao,2009,6,2,31129,49
History of the Ryukyu Islands,2004,5,0,40910,98
China Compulsory Certificate,2010,7,26,102559,346
Buke,2015,4,16,37299,34
Daopao,2010,2,2,32350,55
Constitution of the Republic of China,2003,4,0,25141,31
Five Black Categories,2008,12,0,27996,48
Transport in China,2010,3,13,192458,964
Politics of Liaoning,2008,10,0,64414,256
Timeline of Chinese history,2006,9,0,88008,399
Work unit,2010,5,0,59920,257
Murder (People%27s Republic of China law),2010,11,1,24757,37
Economy of China,2007,8,29,169265,622
Chunxilu,2011,5,0,33006,59
S3 Asia MBA,2009,6,0,33217,64
Beijing Consensus,2013,12,5,37499,73
Beijing Municipal Public Security Bureau,2014,11,3,33582,55
Chinese academic dress,2010,2,1,32986,52
History of China,2013,9,44,310626,1071
Rod calculus,2012,5,8,110912,230
Xiaozi,2007,10,0,27152,50
Orders of precedence in the People%27s Republic of China,2009,1,0,93853,361
Timeline of Chinese history,2011,8,1,285211,1948
Cathay,2015,1,14,74404,234
List of Chinese discoveries,2014,4,81,152455,516
Orders of precedence in the People%27s Republic of China,2006,9,0,32173,51
Ping pong diplomacy,2014,3,4,99058,449
List of Chinese administrative divisions by GDP per capita,2006,8,0,39298,100
Scientific Outlook on Development,2007,11,0,60420,202
Environment of China,2006,4,0,35234,64
International rankings of China,2008,8,7,96464,467
Baixing,2012,5,1,33639,62
Feminism in China,2011,10,12,76631,259
Politics of China,2012,12,18,206742,920
Chinese law,2008,2,16,78902,221
Chinese jade,2007,7,0,29002,69
Chinese people,2007,9,0,31544,53
School attacks in China (2010%E2%80%9312),2011,9,24,75589,138
Socialist market economy,2010,9,27,111413,369
History of the Republic of China,2014,2,11,217590,820
CERNET,2007,2,0,31143,58
History of China,2006,9,0,143128,546
List of Chinese dishes,2013,6,1,66037,196
China Theater Awards,2011,4,2,33779,46
Project 211,2007,9,0,39464,139
Dalian Software Park,2007,10,0,59275,170
"One country, two systems",2011,6,8,107063,374
Index of China related articles (0%E2%80%93L),2006,10,0,181425,1743
The Book of Lord Shang,2011,2,5,36753,43
Hephthalite Empire,2007,3,12,62118,137
Legalism (Chinese philosophy),2009,10,2,62548,149
List of World Heritage Sites in China,2008,10,0,58793,230
China%27s reaction to the 2008 Kosovo declaration of independence,2012,12,6,77631,269
Corv%C3%A9e,2007,4,0,35894,76
China Film Performance Art Academy,2012,3,1,40230,118
Daigou,2014,8,6,62545,255
International Research and Training Centre for Rural Education,2012,11,0,31274,55
Beishanyang,2014,3,0,30351,60
Traditional Chinese law,2012,5,5,66078,112
BPM (time service),2009,6,0,86621,391
List of Chinese wars and battles,2005,11,0,32603,90
Orders of precedence in the People%27s Republic of China,2007,4,0,40666,116
Taixue,2011,1,4,46469,136
History of China,2004,2,0,85013,294
Macao Science Center,2012,6,2,34194,61
National Southwestern Associated University,2008,3,0,30085,50
Five Punishments,2011,5,18,67097,92
The Book of Lord Shang,2008,9,4,35442,44
Taiwan Strait Tunnel Project,2008,2,0,28712,39
Politics of Guangdong,2007,2,0,23569,35
Abortion in China,2011,5,14,67951,241
"One country, two systems",2008,4,8,57922,144
Dalian Software Park,2010,4,1,72770,238
List of Chinese flags,2007,10,0,108597,297
Telecommunications in China,2005,1,0,27474,40
Mainland China,2003,5,0,31566,37
Politics of China,2015,1,22,212174,948
History of the Ryukyu Islands,2009,11,21,74643,157
Orders of precedence in the People%27s Republic of China,2005,11,0,28816,43
Liuqiu,2006,7,0,24246,42
The Coming China Wars,2007,12,1,31266,55
China Concepts Stock,2015,2,1,57540,130
Beiguan (music),2007,11,0,24829,37
Ministry of Education of the People%27s Republic of China,2008,3,0,31745,49
Greater China,2006,9,0,34486,84
Anti Chinese violence in Washington,2010,12,3,42965,137
Beiguan (music),2009,10,0,26170,47
Chinese units of measurement,2011,3,3,85639,288
List of Chinese cultural relics forbidden to be exhibited abroad,2012,12,66,158139,392
Chinese Century,2009,4,0,55039,161
Paramount leader,2009,7,1,46419,153
Lifestyle China,2009,10,0,25517,52
Real estate in China,2010,6,14,109758,407
Cizhou ware,2012,11,2,28293,43
Legalism (Chinese philosophy),2009,1,2,62225,153
Prostitution in China,2012,8,102,222234,458
Suicide in China,2014,1,7,81020,343
Auto Guangzhou,2010,11,0,46054,190
Index of China related articles (M%E2%80%93Z),2010,12,0,148358,1450
Union of Chinese Nationalists,2010,2,6,48757,137
China%E2%80%93Lithuania relations,2011,11,0,64969,262
Sex toy industry in China,2012,3,6,67099,260
International rankings of China,2014,8,17,134450,555
Lifestyle China,2009,5,0,28328,62
Corv%C3%A9e,2008,4,2,51349,128
Willow Palisade,2014,6,10,48930,89
Hukou system,2006,2,0,31316,56
Boxer Indemnity Scholarship Program,2011,2,6,39443,75
South pointing chariot,2010,12,11,88138,179
List of traditional Chinese medicines,2013,7,123,174677,247
Timeline of Chinese history,2014,3,2,326657,2204
History of the Republic of China,2013,8,10,211951,790
Geography of China,2006,6,0,69940,285
Tiao kuai,2008,2,0,28422,56
Chinese New Left,2014,5,13,57154,136
Kao Gong Ji,2011,8,0,22681,29
Guotai Junan Futures,2012,8,1,30691,57
Geography of China,2006,10,0,70447,291
9th National Congress of the Communist Party of China,2014,11,2,54917,144
Timeline of Chinese history,2012,1,1,286326,1952
Mainland Chinese,2012,4,1,60900,155
Legalism (Chinese philosophy),2009,5,2,62791,155
Taiwan,2008,10,62,405861,1436
Chinese economic reform,2002,9,0,28857,36
The Chinese Language Institute,2012,7,8,38583,67
Chinese jade,2011,6,3,40080,102
Abortion in China,2009,10,6,43886,80
Index of China related articles (0%E2%80%93L),2008,2,0,180417,1742
Dayi method,2007,2,0,30103,50
Legal Daily,2007,4,0,23593,37
Timeline of Chinese history,2011,11,1,285275,1945
List of Chinese cultural relics forbidden to be exhibited abroad,2012,10,66,158031,397
Tim Clissold,2010,5,4,24969,37
Greater China,2009,8,8,45412,88
Project 211,2010,1,2,98773,435
Democracy in China,2010,11,1,41612,102
China,2010,4,246,620873,1836
Social issues in China,2012,10,9,74242,262
Taxation in China,2008,6,1,185933,414
Chinese philosophy,2012,11,12,183230,908
Mainland and Macau Closer Economic Partnership Arrangement,2008,5,0,66360,271
Candareen,2013,3,4,48952,130
All China Lawyers Association,2013,4,4,40015,86
E7 (countries),2012,9,5,53728,155
List of Chinese dishes,2014,12,1,138754,501
Chinese emigration,2013,12,66,180365,444
United States of China,2014,10,0,30447,57
Illegal drug trade in China,2008,12,0,127213,573
Timeline of Chinese history,2006,1,0,83109,571
Chinese Unification,2008,3,1,69969,216
Five Punishments,2012,8,17,66771,108
Public Notary Office of People%27s Republic of China,2010,10,4,55097,150
Guanxi,2008,9,2,36303,63
Mainland China,2011,9,24,94693,200
Chinese units of measurement,2012,2,11,95444,300
Five Dynasties and Ten Kingdoms period,2008,1,0,121356,760
Lingchi,2007,10,11,71781,174
Chinese philosophy,2012,10,12,195988,928
Roman Catholic Diocese of Baoding,2012,11,0,36814,62
List of Chinese discoveries,2008,10,26,71616,234
Sport in China,2011,11,14,125638,536
Illegal drug trade in China,2008,5,0,125755,564
2008 FINA Diving World Cup,2010,10,0,55336,107
Telecommunications in China,2011,6,14,203667,959
History of the Republic of China,2003,10,0,65893,197
Commentary on the Water Classic,2011,1,0,32696,55
History of the Republic of China,2013,12,10,210627,782
Counting rods,2013,10,11,113548,355
State Administration of Foreign Exchange,2008,6,5,70439,273
Names of China,2007,6,10,91863,418
Weiquan lawyers,2014,9,8,51889,112
State Administration of Foreign Exchange,2010,12,11,109286,419
"Commission for Science, Technology and Industry for National Defense",2012,12,2,106479,299
Wife selling,2013,9,345,427686,1113
Taiwan,2001,11,0,59796,25
School attacks in China (2010%E2%80%9312),2013,2,28,76445,133
All China Federation of Industry and Commerce,2007,11,0,27328,32
Contents of the United States diplomatic cables leak (People%27s Republic of China),2011,11,12,95655,344
Beijing Consensus,2013,1,4,34403,52
Names of China,2015,1,42,214321,794
Geography of Macau,2006,8,0,44732,147
List of Chinese inventions,2015,4,586,730209,2137
Free area of the Republic of China,2007,2,0,37263,80
Prostitution in China,2009,2,63,117766,281
Legal history of China,2012,5,1,122075,305
Public Notary Office of People%27s Republic of China,2009,2,4,54426,145
Rules of the road in China,2007,2,0,37449,69
Five Black Categories,2006,7,0,26052,40
Chinese law,2013,12,24,99941,192
List of Chinese military texts,2010,10,9,65078,167
China%E2%80%93Egypt relations,2013,8,7,77835,292
Ping pong diplomacy,2007,12,0,42528,89
Chinese alchemy,2010,4,0,55253,87
Suanpan,2007,6,0,39488,73
Liuqiu,2014,1,4,33211,63
Economy of China,2014,3,189,584838,1817
Four occupations,2014,12,30,106402,429
Imperial examination,2007,11,1,49316,104
Five Punishments,2012,5,17,65767,96
Western Taiwan Straits Economic Zone,2013,3,13,69334,262
Taxation in China,2009,10,1,187139,420
China%E2%80%93Cyprus relations,2012,10,2,71870,276
List of traditional Chinese medicines,2013,1,116,168791,244
Beiji Ge,2012,10,0,28964,55
Renminbi currency value,2011,3,36,113334,288
Telecommunications in China,2008,5,16,168621,811
Chengdu Golden Apple Child Education,2014,9,0,32687,47
Rule of avoidance,2006,11,0,27241,39
Template:Education in China,2013,9,0,36449,110
ShenWei,2013,3,9,45102,98
Dynasties in Chinese history,2007,7,0,58489,199
Lingchi,2010,1,23,111043,326
China Digital Times,2014,9,2,36150,63
Chinese emigration,2011,2,11,99154,368
Harmonious Society,2006,9,0,26183,35
Rules of the road in China,2010,5,0,58752,178
Chinese Unification,2009,8,1,95477,365
Six Dynasties,2011,11,3,51600,150
Index of China related articles (M%E2%80%93Z),2009,9,0,147512,1449
Dynasties in Chinese history,2012,5,0,66404,191
Mainland and Macau Closer Economic Partnership Arrangement,2006,11,0,30159,54
Outline of China,2010,2,17,115451,369
Institute of Biophysics,2009,8,0,34262,57
National Key Disciplines,2013,3,1,44495,136
List of Chinese flags,2013,5,4,118257,400
Republic of China on Taiwan,2007,12,0,22516,31
Income inequality in China,2014,9,18,68579,82
Scholar official,2007,9,0,33405,51
Inter University Program for Chinese Language Study,2011,7,0,32295,67
Tiger hunting,2012,2,17,72915,132
List of Chinese flags,2013,12,5,175815,481
Liuqiu,2007,12,0,24608,44
Guan Zhong,2009,6,0,33557,80
Mainland and Hong Kong Closer Economic Partnership Arrangement,2009,1,0,67904,277
China Central Chinese Orchestra,2010,9,1,34253,63
Chinese settlements in Tibet,2009,8,2,32532,65
Left communism in China,2011,9,4,52351,154
Mainland China,2006,8,0,40470,78
Poverty in China,2011,3,25,144636,491
Institute of Biophysics,2013,2,0,29434,43
Chinese jade,2010,2,2,39385,97
Politics of China,2011,4,19,198324,905
Central Military Commission (China),2006,1,0,67029,233
New Conservatism (China),2008,12,0,27353,53
Chess in China,2011,10,25,127549,490
Chinese units of measurement,2005,3,0,29905,42
Standing Committee of the National People%27s Congress,2006,7,0,59855,176
China Investment Corporation,2008,6,13,94153,360
Chinese Century,2007,9,0,45769,133
Celestial (Chinese),2007,4,2,27093,47
Constitution of the Republic of China,2003,9,0,28703,55
National Museum of History,2011,2,1,35416,66
Libraries in China,2012,11,4,84441,281
Canon of Laws,2010,9,0,34824,75
Sport in China,2011,4,15,125970,531
Comets in Chinese culture,2006,1,0,25117,37
China Council for the Promotion of International Trade,2007,12,0,60743,242
China Perspectives,2010,10,0,32174,61
National Museum of History,2013,7,1,36938,76
Twenty Four Histories,2006,5,0,39308,128
List of Chinese administrative divisions by GDP per capita,2008,5,0,38850,98
Jixia Academy,2011,7,4,41729,77
Mainland Chinese,2013,7,1,59940,143
Guangdong model,2012,9,5,33946,47
Federal Republic of China,2014,9,2,37763,79
"One country, two systems",2008,12,8,96253,332
Qiu Shi Science and Technology Prize,2012,8,0,36792,62
Supreme Military Command of the People%27s Republic of China,2012,11,0,74596,263
Urbanization in China,2009,2,5,104542,504
Imperial examination,2005,1,0,34461,48
Taxation in China,2009,3,1,186937,416
List of Chinese discoveries,2009,7,58,108337,377
Chinese economic reform,2011,7,85,137925,239
Greater China,2015,3,13,60988,125
Execution van,2014,8,6,37069,53
Chinese Century,2010,2,15,69053,204
Princelings,2004,4,0,28315,55
Chairman of the Communist Party of China,2009,7,0,35710,125
Chinese Domain Name Consortium,2008,5,0,34902,72
CERNET,2009,12,1,40380,102
Chinese economic reform,2012,2,85,135404,225
Hukou system,2007,7,0,34162,68
Qing conquest theory,2011,7,15,63412,105
Old Turkic alphabet,2001,5,0,31232,31
Counting rods,2005,11,0,26845,35
Old Turkic alphabet,2009,1,6,117679,378
Twenty Four Histories,2006,3,0,36241,119
Chinese law,2010,8,22,97069,208
"One country, two systems",2007,1,3,56114,145
Changchun Film Festival,2008,5,0,41792,133
Education in China,2006,3,0,120151,304
Environment of China,2007,3,1,43692,99
UFO sightings in China,2014,3,7,60610,208
Sport in China,2012,11,15,138521,557
Three Represents,2011,11,1,67448,193
Production brigade,2013,12,0,26097,41
Chinese alchemy,2011,3,1,55352,83
Hephthalite Empire,2013,5,30,165006,588
Chinese economic reform,2014,3,85,136459,232
Transport in China,2011,1,14,203869,1012
Comets in Chinese culture,2005,11,0,23782,28
Haigui,2010,7,6,37646,72
Geographic information systems in China,2009,12,2,40445,70
List of Chinese flags,2009,2,0,113222,403
History of China,2007,12,13,187777,704
List of Chinese desserts,2014,9,5,93658,448
Five Dynasties and Ten Kingdoms period,2011,1,1,116831,453
Chinese philosophy,2004,12,0,45648,88
New Conservatism (China),2007,4,0,26686,49
Constitution of the Republic of China,2012,12,11,111543,344
BPM (time service),2011,9,6,99886,415
Zomia (geography),2013,4,12,67217,163
China,2010,9,245,653200,1912
Social issues in China,2009,8,0,65065,263
Deng Xiaoping Theory,2007,3,0,57864,180
China,2002,8,0,82420,76
Rod calculus,2013,4,8,111495,226
List of Jurchen inscriptions,2011,2,31,73796,101
Geography of China,2011,12,2,145186,659
Index of China related articles (0%E2%80%93L),2004,8,0,169826,1635
Qingji,2015,3,5,31675,48
China News Service,2005,8,0,25136,38
Roman Catholic Diocese of Caozhou,2009,6,0,33851,60
Taiwan Strait Tunnel Project,2013,2,5,34277,49
Taiwan,2013,3,236,679725,1668
