filename,year,month,num_citations,file_size,forward_links
List of Presidents of Colombia,2013,2,0,191560,414
Template:Colombian people,2007,11,0,25503,37
Immigration to Colombia,2014,3,12,103640,307
Caja vallenata,2011,5,0,33403,76
Esguerra B%C3%A1rcenas Treaty,2013,8,1,32853,63
Cisneros station,2015,3,1,41697,94
Jos%C3%A9 Antonio Gal%C3%A1n,2012,10,0,27188,37
Gaspar de Rodas,2008,8,1,28380,51
Politics of Colombia,2013,5,0,118490,449
List of diplomatic missions of Colombia,2008,1,0,71312,207
Children%27s rights in Colombia,2007,11,5,41150,72
Arriero,2010,8,0,28946,66
Office of the Inspector General of Colombia,2008,4,0,29939,36
Jos%C3%A9 Celestino Mutis,2007,11,0,39504,81
Cali Fair,2008,3,0,30251,50
Transport in Colombia,2013,2,1,81718,292
Colombian Air Force,2007,8,1,60552,132
List of diplomatic missions in Colombia,2014,7,2,118200,233
Water privatization in Colombia,2014,4,8,50843,70
New Andalusia Province,2013,4,0,40933,103
Colombians,2010,2,11,91013,379
Dendropsophus padreluna,2012,8,0,32518,62
Jos%C3%A9 Antonio Gal%C3%A1n,2012,1,0,26370,38
Demographics of Colombia,2014,10,12,109806,404
Education in Colombia,2006,6,0,29645,44
United States%E2%80%93Colombia Free Trade Agreement,2012,2,12,66944,87
Congress of Angostura,2009,3,0,59481,189
Sim%C3%B3n Bol%C3%ADvar,2007,6,4,107766,365
Bol%C3%ADvar%27s campaign to liberate New Granada,2010,9,14,40094,78
Fruko y sus Tesos,2011,5,0,30189,56
Postal codes in Colombia,2014,10,0,39137,66
Colombia,2004,3,0,91403,257
Gran Colombia,2008,3,0,85587,274
Cacique Nutibara Bloc,2008,5,1,27070,46
Cantando (Diomedes D%C3%ADaz album),2011,10,0,30098,55
Outline of Colombia,2008,5,0,65616,162
Concordat of 1928,2010,7,1,32861,64
Battle of Punta Quemada,2006,2,0,34438,76
Burning of Col%C3%B3n,2012,7,7,42633,87
Jos%C3%A9 Celestino Mutis,2011,7,0,47740,95
Tinigua,2013,3,5,27687,38
Colombian conflict (1964%E2%80%93present),2012,12,86,321571,731
Sim%C3%B3n Bol%C3%ADvar,2011,5,28,227345,816
Kola Rom%C3%A1n,2008,1,0,36557,140
Revolt of the Comuneros (New Granada),2010,2,4,41081,65
Cromos,2009,9,0,29111,59
Colombian passport,2007,12,0,90333,363
Colombian National Police executive rank insignia,2007,5,0,34886,53
United Provinces of New Granada,2009,2,2,69302,286
Andean Trade Promotion and Drug Eradication Act,2013,12,16,46583,64
Festival y Reinado Nacional del Carb%C3%B3n,2013,8,1,28838,48
Demographics of Colombia,2008,3,1,70830,271
Council of Ministers of Colombia,2006,10,0,38721,72
Coffee production in Colombia,2007,9,3,40591,85
General Archive of the Nation (Colombia),2014,1,4,46209,97
President of Colombia,2008,1,0,53803,132
Congress of C%C3%BAcuta,2007,4,0,46779,117
Indice General de la Bolsa de Valores de Colombia,2013,7,1,35175,68
Chiva bus,2013,7,4,46320,100
Gran Colombia,2010,5,11,128154,464
Bon Ice,2008,9,0,28029,57
Government of Colombia,2013,5,0,229503,1374
La Gabarra Massacre,2012,5,2,35393,80
National Federation of Coffee Growers of Colombia,2012,11,25,72828,85
Colombian Air Force,2015,4,30,183538,491
United Fruit Company,2007,4,4,68349,165
Fruko y sus Tesos,2007,4,0,27791,42
Council of Ministers of Colombia,2009,6,0,66419,218
Spanish reconquest of New Granada,2007,9,0,33231,86
List of wars involving Colombia,2012,1,0,30340,64
Carta de Jamaica,2008,5,0,28194,55
Climate of Colombia,2012,4,10,214271,297
Colombian Air Force,2011,5,28,167501,438
Rodrigo Granda affair,2010,2,0,57306,179
Bogotazo,2014,4,10,58589,119
Race and ethnicity in Colombia,2013,11,10,50397,102
Climate of Colombia,2007,9,10,191853,143
List of people on stamps of Colombia,2011,10,0,51873,124
Paulo Laserna Phillips,2009,4,1,29215,60
Antonio Ricaurte,2009,9,4,37846,84
Poverty in Colombia,2010,8,6,70747,247
Panela,2012,10,3,43295,108
Flag of La Guajira Department,2012,12,1,37916,60
History of Colombia,2003,1,0,38459,86
Sopo Archangels,2007,10,0,33157,52
Quimbaya artifacts,2014,9,2,32264,46
List of festivals in Colombia,2011,5,0,42786,111
List of festivals in Colombia,2006,12,0,34552,91
Muisca religion and mythology,2008,2,0,43779,114
Leahy Law,2006,8,24,52003,56
Constitutional history of Colombia,2011,1,10,121197,352
United Fruit Company,2014,9,26,128206,271
Caldo de costilla,2013,1,0,31804,73
Panela,2013,9,3,46108,124
National Army of Colombia,2009,12,4,164809,412
Transport in Colombia,2008,9,1,76089,249
Military career of Sim%C3%B3n Bol%C3%ADvar,2009,12,8,131286,481
Sergio Angulo,2015,1,1,34115,65
Portal:Colombia,2010,3,0,98716,227
Bon Ice,2008,6,0,27772,58
Colombia,2012,11,124,541243,1545
Sim%C3%B3n Bol%C3%ADvar,2008,11,6,151733,492
India Catalina,2007,9,0,29582,57
National Electoral Council (Colombia),2007,10,0,29166,48
Legislative Branch of Colombia,2009,4,1,49366,180
List of people on stamps of Colombia,2013,4,0,53023,127
Apostolic Nuncio to Colombia,2013,3,0,31339,61
Escuela Colombiana de Ingenier%C3%ADa,2010,10,3,39389,55
Ministry of Transport (Colombia),2007,8,0,30948,46
Vargas Swamp Battle,2013,11,4,50143,133
Taxation in Colombia,2008,1,0,42856,138
List of films depicting Colombia,2006,8,0,25611,52
1948 Pan American Students Conference,2010,10,0,29646,50
Colombia,2007,9,30,257987,771
Bestiario del bal%C3%B3n,2007,10,1,29765,46
Sim%C3%B3n Bol%C3%ADvar,2006,4,3,87955,197
Government of Colombia,2009,10,0,53422,209
Colombia,2004,11,0,93734,260
Colombians,2012,9,21,122313,454
Coffee production in Colombia,2007,12,3,43232,93
Insular region of Colombia,2013,2,0,30419,56
List of films depicting Colombia,2007,3,0,27058,61
Colombian peso,2010,7,1,102036,360
History of Colombia,2004,10,0,52542,133
Bogotazo,2011,12,10,57284,115
Geography of Colombia,2011,8,6,114051,357
Marquetalia Republic,2008,5,0,75809,194
Military Forces of Colombia,2013,2,5,112994,367
Directorate of Criminal Investigation and Interpol,2008,7,0,38352,81
Race and ethnicity in Colombia,2012,5,9,49194,101
Deforestation in Colombia,2011,5,8,54344,107
Demographics of Colombia,2014,4,11,106297,406
Separation of Panama from Colombia,2011,2,5,89435,350
Separation of Panama from Colombia,2009,5,3,70070,249
Spanish conquest of the Chibchan Nations,2013,4,5,84506,358
Viceroyalty of New Granada,2004,1,0,33217,45
Cubeo people,2011,9,1,32008,48
Politics of Colombia,2012,1,0,115549,444
List of films depicting Colombia,2006,7,0,25310,51
Claro Colombia,2008,11,0,32699,70
ICFES Examination,2014,1,0,29677,46
Provinces of Colombia,2013,6,8,135999,387
De Frente,2007,10,0,28990,55
Colombian peso,2009,5,1,101483,357
Panela,2008,2,3,32960,69
Sim%C3%B3n Bol%C3%ADvar,2014,5,43,239364,781
Environmental issues in Colombia,2010,9,0,54665,197
Colombian military decorations,2011,5,0,65826,163
Communism in Colombia,2006,1,0,75171,106
Colombian peso,2009,9,1,102175,360
Timeline of Colombian history,2007,12,0,183527,825
Jamund%C3%AD massacre,2012,5,3,51462,139
Killing Pablo,2005,5,0,24615,40
Carta de Jamaica,2012,9,0,30443,49
Geographic Institute Agust%C3%ADn Codazzi,2013,8,6,40290,61
Colombian nationality law,2010,10,3,52851,195
Bah%C3%ADa Portete massacre,2012,12,3,59466,171
Geography of Colombia,2005,11,0,59400,125
Academia Colombiana de la Lengua,2008,10,0,42361,87
Outline of Colombia,2008,7,11,87503,226
History of Colombia,2004,8,0,51644,129
Timeline of Colombian history,2008,2,0,185111,837
India Catalina,2009,10,0,30758,60
National Army of Colombia,2007,3,1,52870,110
Vargas Swamp Battle,2010,10,4,49618,134
Flag of Boyac%C3%A1 Department,2009,6,0,30504,51
Demographics of Colombia,2012,6,3,101260,416
Arab diaspora in Colombia,2008,10,2,39373,133
Hacienda,2011,5,0,45194,124
Politics of Colombia,2008,12,0,114297,449
Politics of Colombia,2007,8,0,80381,249
G%C3%A9nesis (band),2012,1,3,30873,48
