filename,year,month,num_citations,file_size,forward_links
Demographics of the Cook Islands,2012,6,0,34858,97
Economy of the Cook Islands,2011,11,0,30314,52
ISO 3166 2:CK,2012,5,0,78843,685
Cook Islands at the 2004 Summer Olympics,2012,8,0,67410,276
Realm of New Zealand,2012,6,7,91405,236
Amai te rangi,2010,11,0,26897,46
Kurt Meyer (High Commissioner),2005,10,0,24788,39
Telecommunications in the Cook Islands,2011,6,2,34387,66
Cook Islands at the 1996 Summer Olympics,2008,7,0,65710,265
Cook Islands national rugby league team,2006,3,0,45558,166
Chief Justice of the Cook Islands,2010,6,5,33683,66
Macdonald hotspot,2014,2,3,33335,60
Education in the Cook Islands,2010,10,2,38953,89
Jack Buckland,2015,4,30,87549,233
Politics of the Cook Islands,2006,11,0,72170,172
Parliament of the Cook Islands,2011,2,50,88348,187
Tapere,2012,4,11,45210,73
Tuanaki,2010,4,4,30959,51
The Aitutaki Lagoon Resort %26 Spa,2011,1,3,30223,36
Cook Islands,2012,2,24,205757,734
Te Atua Mou E,2014,8,1,41347,99
House of Ariki,2011,10,12,43196,94
Macdonald hotspot,2010,4,2,29521,49
Mewing kingfisher,2010,3,0,33953,64
Cook Islands,2011,10,23,201409,717
Pukapukan language,2007,10,1,28325,44
Imene tuki,2007,3,0,24178,39
Cook Islands women%27s national football team,2010,1,0,45845,125
Cook Islands,2014,4,31,224242,766
Cook Islands,2010,12,20,184678,657
List of diplomatic missions of the Cook Islands,2009,9,0,35806,65
Prime Minister of the Cook Islands,2007,8,0,31774,95
Auparu,2007,4,0,28744,50
Tapere,2012,12,11,45254,71
Politics of the Cook Islands,2008,8,4,76482,181
Cook Islands,2008,2,7,154588,566
Parliament of the Cook Islands,2009,4,33,62406,101
Realm of New Zealand,2006,11,0,60374,157
Cook Islands at the 1988 Summer Olympics,2007,10,0,64397,232
Geography of the Cook Islands,2003,6,0,25258,28
Cook Islands national rugby league team,2007,2,0,48322,177
Cook Islands at the 2004 Summer Olympics,2011,5,0,66815,273
Auraka,2005,2,0,23727,35
Official Information Act 2008,2009,10,13,35173,47
Cook Islands,2011,12,23,208168,730
Capital punishment in the Cook Islands,2008,3,0,48119,178
Te Kura O Te %E2%80%98Au People%27s Movement,2010,6,4,36335,58
Human rights in the Cook Islands,2013,9,19,54030,77
Tumu Enua,2007,7,0,28290,49
"Cook Islands general election, 1965",2010,9,2,42267,94
Cook Islands Football Association,2014,6,3,68352,160
Politics of the Cook Islands,2005,1,0,32918,58
History of the Cook Islands,2014,8,12,107091,421
Parliament of the Cook Islands,2011,3,50,88708,192
Index of Cook Islands related articles,2011,2,0,42274,52
.ck,2014,1,0,71319,408
Realm of New Zealand,2006,1,0,54963,130
Cook Islands national handball team,2014,8,0,53253,126
List of diplomatic missions of the Cook Islands,2014,7,5,46282,81
Monarchy in the Cook Islands,2012,12,5,69759,223
History of the Cook Islands,2013,12,12,106363,415
Kingdom of Rarotonga,2007,8,0,29975,40
Pukapukan language,2012,1,0,40628,97
Political status of the Cook Islands and Niue,2014,10,25,96264,156
Nukutere College,2015,3,18,51252,77
Cook Islands at the 2000 Summer Olympics,2009,7,0,65675,264
List of birds on stamps of Aitutaki,2007,10,0,75206,407
Papa (mythology),2012,3,2,28353,52
Mewing kingfisher,2012,5,0,35397,69
List of non marine molluscs of the Cook Islands,2011,2,2,39072,71
Miru,2002,9,0,20842,25
LGBT rights in the Cook Islands,2015,4,10,53957,97
List of political parties in the Cook Islands,2010,1,0,44155,113
Vaitakere,2002,9,0,21100,25
Imene tuki,2008,9,0,25807,44
Cook Islands national netball team,2009,7,0,30121,33
Economy of the Cook Islands,2006,7,0,26993,43
Outline of the Cook Islands,2008,12,2,78107,126
List of birds on stamps of Aitutaki,2011,2,0,74665,384
Pacific Islands Rugby Alliance,2008,3,0,30650,65
The Girl Guides Cook Islands Association,2010,1,0,39966,91
Telecommunications in the Cook Islands,2014,8,12,120355,480
Cook Islands at the 1992 Summer Olympics,2010,5,0,61958,237
Realm of New Zealand,2008,8,3,71626,184
Cook Islands,2003,8,0,47361,41
Motoro,2006,6,0,23832,40
Cook Islands national rugby union team (sevens),2008,12,0,31298,46
United Cook Islanders,2012,4,5,33907,57
Cook Islands,2009,3,14,223919,898
Cook Islanders,2010,8,3,31325,51
List of people on stamps of the Cook Islands,2010,10,0,36886,95
History of the Cook Islands,2009,1,7,79602,354
Cook Islands National Party,2012,3,8,39316,55
Jack Buckland,2014,11,26,83413,234
Cook Islands Football Association,2013,3,0,59584,153
Prime Minister of the Cook Islands,2004,7,0,31208,78
Cook Islands at the Olympics,2010,3,0,61457,282
Realm of New Zealand,2007,12,3,71177,182
History of the Cook Islands,2015,1,12,107397,425
Prime Minister of the Cook Islands,2013,8,0,39641,96
Coat of arms of the Cook Islands,2008,7,0,37473,97
Realm of New Zealand,2014,9,7,78671,212
Pukapukan language,2014,7,2,57710,102
Cook Islands national rugby league team,2010,7,2,84160,336
Lilac crowned fruit dove,2009,1,0,34294,62
.ck,2005,10,0,62319,392
List of diplomatic missions of the Cook Islands,2012,10,5,48627,85
Cook Islands national rugby league team,2010,3,2,84852,340
Transport in the Cook Islands,2008,7,0,33422,88
Monarchy in the Cook Islands,2007,1,5,71110,236
Cook Islands national rugby league team,2009,7,14,81152,316
List of mammals of the Cook Islands,2009,12,1,47948,115
Realm of New Zealand,2011,2,6,90603,240
LGBT rights in the Cook Islands,2013,7,10,47488,97
List of people on stamps of the Cook Islands,2011,11,0,35743,97
Realm of New Zealand,2007,9,3,66353,163
Outline of the Cook Islands,2011,6,3,89444,188
Index of Cook Islands related articles,2011,4,0,45664,56
Mewing kingfisher,2012,2,0,35440,69
Cook Islands national handball team,2013,3,0,52839,127
Politics of the Cook Islands,2010,12,9,87949,199
Cook Islands,2004,3,0,55445,85
Parliament of the Cook Islands,2008,1,0,34417,66
Cook Islands national rugby league team,2014,7,1,132939,410
Prime Minister of the Cook Islands,2014,7,0,39410,96
