filename,year,month,num_citations,file_size,forward_links
Agrarian Labour Action Party,2009,2,0,31843,68
Juan Santamar%C3%ADa,2009,4,1,32179,68
Junta de Administraci%C3%B3n Portuaria y de Desarrollo Econ%C3%B3mico de la Vertiente Atl%C3%A1ntica de Costa Rica,2009,3,0,38664,77
Economy of Costa Rica,2009,3,15,72186,158
Captaincy General of Guatemala,2008,4,0,38896,116
Economy of Costa Rica,2008,9,14,68619,115
Economy of Costa Rica,2012,6,21,82971,145
Guayabo de Turrialba,2009,12,1,29119,43
History of Costa Rica,2012,2,5,54045,155
List of radio stations in Costa Rica,2006,1,0,27563,38
Legislative Assembly of Costa Rica,2013,2,0,57729,189
Popular Democratic Action,2014,2,1,26727,42
La Naci%C3%B3n (San Jos%C3%A9),2010,8,0,33322,57
Politics of Costa Rica,2014,3,11,70568,177
Central del Movimiento de Trabajadores Costarricenses,2006,11,0,31485,53
United People (Costa Rica),2007,11,0,34157,78
Stone spheres of Costa Rica,2013,10,12,56947,97
Worker Peasant Party,2008,6,1,32840,71
History of Costa Rica,2013,9,5,60064,159
List of festivals in Costa Rica,2013,10,1,55942,58
Legislative Assembly of Costa Rica,2009,3,0,45079,115
Universidad Cristiana del Sur,2014,7,0,32524,61
Costa Rican Confederation of Workers,2009,5,0,31747,51
Tabac%C3%B3n,2010,10,0,24762,38
Costa Rica,2008,11,64,236463,614
List of Presidents of Costa Rica,2008,2,0,56693,251
United Fruit Company,2007,4,4,68349,165
Guayabo de Turrialba,2014,12,1,40197,60
Social Christian Unity Party,2008,11,0,33332,66
Mexican immigration to Costa Rica,2015,1,1,45683,117
Battle of Santa Rosa,2007,9,0,34318,91
List of radio stations in Costa Rica,2004,12,0,22291,21
Ca%C3%B1as%E2%80%93Jerez Treaty,2012,4,1,33058,55
Costa Rica at the Olympics,2009,12,0,70842,318
Outline of Costa Rica,2012,10,8,100924,265
National Insurance Institute,2009,2,0,31969,65
Juan Santamar%C3%ADa,2010,11,1,33261,59
Geography of Costa Rica,2003,7,0,27570,44
United Fruit Company,2014,9,26,128204,271
Union for Change Party,2009,9,0,30615,55
Legislative Assembly of Costa Rica,2006,2,0,37774,82
Military of Costa Rica,2009,2,2,44002,104
