filename,year,month,num_citations,file_size,forward_links
Habsburg Monarchy,2011,10,6,110870,402
Independent Trade Unions of Croatia,2014,7,0,31344,52
Hrvatski autoklub,2012,5,3,32602,56
Croats,2012,7,37,184685,643
List of computer systems from Croatia,2009,2,0,28651,48
Nikola III Zrinski,2012,5,0,29464,54
Danube Swabians,2011,1,16,97678,392
"Academy of Fine Arts, University of Zagreb",2013,2,0,68209,255
Kingdom of Slavonia,2010,5,0,39358,89
Church of St. Donatus,2010,11,5,40603,71
Memorandum of the Serbian Academy of Sciences and Arts,2009,8,8,46478,105
Economy of Croatia,2011,8,13,154117,730
Picigin,2005,12,0,24030,34
Naftalan (Croatia),2013,1,3,35473,67
Ugrin Cs%C3%A1k,2013,12,0,39679,79
%C4%8Ce%C5%BEnja,2013,5,0,44207,123
Croatian National Bank,2013,2,2,84258,363
Ljubljanska Avenue,2010,5,0,28089,50
Croats,2012,9,37,186388,651
List of Croatian mottos,2008,3,0,26738,45
Austrian Empire,2005,12,0,52087,113
Danube Swabians,2008,9,2,79425,352
Krofne,2014,2,3,52905,223
List of rulers of Croatia,2015,3,4,121399,297
Military Frontier,2011,9,5,93609,341
Order of Saint George (Kingdom of Hungary),2010,7,0,29625,41
Austria Hungary,2011,9,31,303347,1033
Croatia%E2%80%93Slovenia border disputes,2009,11,84,152010,213
Military of Croatia,2014,11,16,140151,449
Croats,2012,6,37,184388,636
Treaty of London (1915),2010,5,2,50892,150
Roman Catholic Diocese of Gospi%C4%87 Senj,2013,12,0,40770,83
Croats in New Zealand,2012,5,3,34453,62
HRT 1,2015,3,0,48726,94
Politics of Croatia,2003,4,0,39103,92
Hrvatske ceste,2010,9,4,33098,54
Kingdom of Hungary (1526%E2%80%931867),2008,9,0,46882,98
Telecommunications in Croatia,2007,1,1,40076,125
Magyarization,2006,3,3,43761,93
Krofne,2007,7,0,28912,58
Croatian Navy,2012,3,1,96146,309
R%C3%BCstem Pasha,2014,8,7,108794,430
Treaty of London (1915),2014,2,3,56038,151
Croatian nobility,2011,11,0,36515,103
House of Crnkovi%C4%87,2012,2,0,49968,130
Hvat,2014,11,2,37427,61
Croatian studies,2008,10,0,26905,53
Privatization in Croatia,2007,11,7,40408,65
TIGR,2007,5,0,25913,47
Ivan I Nelipac,2011,2,0,34603,91
