filename,year,month,num_citations,file_size,forward_links
LGBT rights in Cuba,2013,10,49,153681,435
Cuban passport,2010,3,1,80019,351
Geography of Cuba,2009,4,9,113242,285
Cuban Revolutionary Armed Forces,2008,6,8,74003,186
Jose Azel,2010,4,2,32220,36
Cuban Libertarian Movement,2007,10,0,26531,40
Elections in Cuba,2009,8,15,86658,185
List of Ta%C3%ADnos,2009,4,41,72993,127
Battle of Rio Manimani,2006,10,0,36391,85
History of Cuba,2011,10,129,291371,572
Meli%C3%A1 Cohiba Hotel,2008,2,0,38696,104
United States embargo against Cuba,2005,7,0,58904,200
Transport in Cuba,2007,1,1,47895,120
Sport in Cuba,2013,2,16,40358,37
List of diplomatic missions of Cuba,2009,10,0,132189,393
Geography of Cuba,2009,8,9,113331,287
Afro Cuban,2012,2,20,104881,403
Batey (sugar workers%27 town),2013,11,0,33795,73
Quinta de Bellamar,2009,3,0,32671,56
Cubavision International,2011,6,1,35641,62
People%27s Supreme Court of Cuba,2006,7,0,33703,76
J. P. Arencibia,2010,7,3,41523,111
United States Protectorate over Cuba,2013,1,0,39162,79
Cuba%E2%80%93Namibia relations,2008,4,2,46905,130
Benito Mart%C3%ADnez,2014,1,4,36401,63
Quinta de Bellamar,2010,9,0,32129,56
Radio Progreso,2013,6,2,39823,88
Federacion de Radioaficionados de Cuba,2012,12,2,34346,67
Economy of Cuba,2008,5,8,106586,392
"CUBA: Defending Socialism, Resisting Imperialism",2014,1,4,39337,58
President of Cuba,2006,9,0,35987,73
Manuel Fern%C3%A1ndez Silvestre,2012,4,1,33054,63
Varadero,2006,2,0,33468,48
Platt Amendment,2010,4,8,46471,93
List of Cubans,2005,1,0,52613,222
La Demajagua (newspaper),2012,4,0,34580,91
Cuban cactus scrub,2006,2,0,39929,159
History of Cuba,2006,8,10,124948,343
Public holidays in Cuba,2008,3,0,38543,106
Monedas al Aire,2007,4,0,29592,49
List of Presidents of Cuba,2014,4,0,67081,176
Transport in Cuba,2003,7,0,23800,41
1940 Constitution of Cuba,2009,5,0,42747,100
Economy of Cuba,2007,11,5,102074,391
Elections in Cuba,2010,10,31,110989,234
