filename,year,month,num_citations,file_size,forward_links
Index of Cyprus related articles,2012,6,0,44926,113
Timeline of Cypriot history,2010,9,0,59120,262
President of Cyprus,2010,9,0,114928,446
Nomiza,2006,7,0,27711,58
History of Kyrenia,2006,1,0,43622,119
Cyprus Air Forces,2014,5,4,71596,201
Cyprus,2005,3,0,119127,392
Music of Cyprus,2005,9,0,30975,69
Officers of the Kingdom of Cyprus,2007,7,0,30362,95
Kamares Aqueduct,2012,3,5,34815,50
Modern history of Cyprus,2010,4,4,94541,355
President of Cyprus,2008,8,0,108171,462
Buffavento Castle,2012,12,0,32474,60
Tsamarella,2011,10,0,24952,37
Capital punishment in Cyprus,2009,6,0,66104,305
Demographics of Cyprus,2008,8,4,83062,279
Public holidays in Cyprus,2007,9,0,26389,56
.cy,2013,1,0,69864,406
Economy of Cyprus,2011,3,8,88471,272
Cypriot passport,2007,8,0,134598,439
Cypriot National Guard,2013,10,3,99467,320
Military exercises of the Republic of Cyprus,2012,4,0,36352,59
Tombs of the Kings (Paphos),2009,11,0,31864,52
Central Bank of Cyprus,2011,8,0,72845,297
Central Bank of Cyprus,2014,3,0,88109,391
Timeline of Cypriot history,2012,5,0,67812,203
Security Forces Command,2007,3,0,39238,109
Modern history of Cyprus,2006,12,0,87044,371
Georgios Karayiannis,2006,1,0,36458,115
Simerini,2013,3,1,29969,57
Conscription in Cyprus,2008,1,0,53974,91
Murat Reis the Elder,2008,4,0,40918,108
Cypriot National Guard,2012,2,2,81116,199
Latin archbishop of Nicosia,2012,8,12,35936,52
My Mall Limassol,2010,10,0,34519,46
Alexis Marcou,2015,2,4,47609,92
The Cherry Orchard (1999 film),2010,12,1,56848,270
List of Cypriots,2005,9,0,39668,81
Cyprus Observer,2006,8,0,26837,45
Cyprus Weekly,2013,1,0,31749,47
LGBT rights in Cyprus,2014,7,26,112949,342
Sti Fotia,2012,4,0,45895,141
Cyprus Weekly,2015,1,0,33375,59
Economy of Cyprus,2013,2,34,131323,399
List of military equipment of Cyprus,2010,9,54,71182,229
Cyprus dispute,2005,10,0,143567,384
Great Madrasah,2013,9,2,27243,46
Politics of Cyprus,2006,1,0,62668,271
My Mall Limassol,2013,3,0,32717,50
Kantara Castle,2009,11,0,32641,55
Cyprus Weekly,2008,4,0,28171,47
Security Forces Command,2010,8,6,62099,206
Cyprus Investment Promotion Agency,2013,2,14,40969,51
List of diplomatic missions in Cyprus,2007,9,0,87740,156
Telephone numbers in Northern Cyprus,2010,9,0,45646,179
History of medicine in Cyprus,2010,1,20,54128,159
Ottoman%E2%80%93Venetian War (1570%E2%80%9373),2013,6,64,119624,240
Woolworths (Cyprus),2007,3,0,29353,52
History of medicine in Cyprus,2009,6,20,54110,161
Coat of arms of Cyprus,2008,12,0,59058,193
Idol of Pomos,2009,5,0,30231,56
Cypriot National Guard,2014,12,3,102405,338
Potima,2012,6,0,29822,52
Nomiza,2012,12,0,48617,155
Saint Hilarion Castle,2012,4,0,42799,78
Future Worlds Center,2014,1,15,41174,73
Abortion in Cyprus,2014,11,2,60667,291
CS Salamis Glory,2011,3,2,29747,49
List of diplomatic missions of Cyprus,2013,2,0,92919,310
Central Bank of Cyprus,2007,9,0,35094,66
List of military equipment of Cyprus,2012,7,55,98414,283
Larnaca Synagogue,2008,2,1,29646,54
Ottoman%E2%80%93Venetian War (1570%E2%80%9373),2009,6,43,89158,173
Islam in Cyprus,2010,10,0,84900,468
Turkish invasion of Cyprus,2013,10,105,227245,486
Economy of Cyprus,2008,10,2,81731,271
Cyprus University of Technology,2013,10,3,55023,147
Demographics of Cyprus,2011,7,16,127294,322
Modern history of Cyprus,2010,12,4,95635,349
Ministry of Justice and Public Order (Cyprus),2014,11,5,37135,43
Hellenic Force in Cyprus,2013,1,0,105218,231
Treaty of Guarantee (1960),2008,6,1,30835,42
Economy of Cyprus,2009,11,4,88182,272
Larnaca Synagogue,2011,1,1,29984,51
Politics of Cyprus,2006,7,0,75707,313
Cypriot National Guard,2008,3,0,54332,116
List of newspapers in Cyprus,2010,12,0,50165,169
Modern history of Cyprus,2007,9,1,87286,363
Republic of Venice,2013,4,21,136093,438
Hellenic Force in Cyprus,2007,12,1,29604,55
Cypriot passport,2008,3,0,130371,435
.cy,2005,7,0,62685,390
Tombs of the Kings (Paphos),2013,9,0,40139,70
Telephone numbers in Northern Cyprus,2011,2,0,43811,175
Cyprus dispute,2015,1,94,344486,961
List of Cypriots,2006,10,0,59024,152
History of Cyprus,2012,12,10,114609,428
List of richest Cypriots,2010,3,0,29583,40
Cyprus Classic Motorcycle Museum,2010,9,0,31671,64
Kingdom of Cyprus,2012,12,5,87537,272
Modinos v. Cyprus,2006,7,0,23897,34
Pygmalion (mythology),2011,9,9,84138,264
Template:Cyprus stub,2007,11,0,27028,33
Cyprus,2006,5,0,183748,683
Template:Cyprus school stub,2008,12,0,22343,33
Music of Cyprus,2010,1,5,100856,320
Islam in Cyprus,2012,3,1,87177,472
Economy of Cyprus,2011,11,18,98400,287
Turkish invasion of Cyprus,2010,7,65,192923,434
History of Cyprus,2004,8,0,94974,337
Conscription in Cyprus,2006,3,0,28856,53
Cyprus Mail,2011,4,3,36482,59
Modern history of Cyprus,2014,6,12,121208,460
Districts of Northern Cyprus,2010,10,0,33113,43
Central Bank of Cyprus,2008,3,0,34924,61
Ledra Street,2011,4,16,64637,84
Vehicle registration plates of Cyprus,2008,9,0,41070,96
List of diplomatic missions of Cyprus,2011,5,0,89964,288
Coat of arms of Cyprus,2006,7,0,34503,41
Modern history of Cyprus,2013,11,12,121492,462
Cyprus warbler,2012,4,0,38164,83
Template:Cuisine of Cyprus,2013,1,0,28458,96
Cyprus Air Forces,2010,9,2,77331,228
Modern history of Cyprus,2010,6,5,95373,358
Kingdom of Cyprus,2011,3,1,63000,180
PrimeTel PLC,2009,6,5,32938,48
Higher Technical Institute of Cyprus,2009,8,1,30439,49
Akrotiri and Dhekelia,2007,12,3,84553,161
Cyprus dispute,2014,8,98,346684,948
Pygmalion (mythology),2008,12,3,57663,158
I Agapi Akoma Zi,2014,9,0,42713,119
Geography of Cyprus,2011,4,6,103592,438
