filename,year,month,num_citations,file_size,forward_links
Nejv%C4%9Bt%C5%A1%C3%AD %C4%8Cech,2005,8,0,38022,145
Czech national identity card,2009,12,1,48075,147
Czech Hydrometeorological Institute,2012,3,5,47694,132
Roman Catholic Diocese of Litom%C4%9B%C5%99ice,2011,3,0,44644,69
Roman Catholic Archdiocese of Prague,2010,9,1,48988,102
Demographics of the Czech Republic,2004,5,0,30001,48
Upper Silesian Coal Basin,2010,7,2,64622,189
First Lady of the Czech Republic,2010,9,0,25618,38
Parliament of the Czech Republic,2012,6,1,66365,214
Jun%C3%A1k,2014,7,1,69325,177
Chamber of Deputies of the Parliament of the Czech Republic,2011,3,1,67283,155
Czech Air Force,2010,7,9,88803,273
List of diplomatic missions in the Czech Republic,2009,6,0,133754,280
Kunratick%C3%BD les,2009,1,1,29274,46
Name of the Czech Republic,2012,8,8,55965,177
Czech Silesia,2011,2,1,55261,140
Military of the Czech Republic,2012,5,12,145001,463
Jun%C3%A1k,2004,12,0,30429,53
Telecommunications in the Czech Republic,2002,1,0,23448,26
Prague Stock Exchange,2010,5,4,35538,50
Transport in the Czech Republic,2012,9,2,58778,204
Czechization,2006,4,0,26977,44
List of diplomatic missions of the Czech Republic,2008,4,0,98353,287
Maroboduus,2007,7,0,28372,49
Guma guar,2011,1,4,32351,55
Czech Space Office,2007,10,0,30166,32
Klonk,2012,8,1,30704,61
Gabreta Forest,2013,3,0,32626,73
List of tallest buildings in the Czech Republic,2008,4,4,61069,225
Okres,2007,12,0,31753,90
Jun%C3%A1k,2009,5,2,56505,98
Transport in the Czech Republic,2004,9,0,26198,41
Moravia,2013,8,26,164095,503
Jakub Auguston,2015,1,2,30039,47
Demographics of the Czech Republic,2006,2,0,34195,60
Battle of Doma%C5%BElice,2013,2,0,39993,99
Military of the Czech Republic,2009,7,7,78802,274
Eger Graben,2014,2,0,27206,45
CzechInvest,2008,10,2,30202,45
Demographics of the Czech Republic,2005,2,0,31179,52
Konec star%C3%BDch %C4%8Das%C5%AF,2013,3,0,34656,61
List of Bohemian monarchs,2003,10,0,42235,100
Czech Republic at the Olympics,2009,11,0,122894,514
List of Bohemian monarchs,2009,3,0,103931,235
Czech Space Office,2007,5,0,29448,45
Macedonians in the Czech Republic,2013,3,4,57303,168
Czech Air Force,2011,6,9,90320,276
Ji%C5%99%C3%AD Paroubek%27s cabinet,2010,8,0,35585,83
Czech Air Force,2014,12,23,109100,267
Outline of the Czech Republic,2009,6,2,97201,254
United States Ambassador to the Czech Republic,2007,8,0,35476,69
Geography of the Czech Republic,2004,4,0,31736,43
Rail Safety Inspection Office,2009,5,0,26530,47
Jan%C3%A1%C4%8Dek Philharmonic Orchestra,2011,11,1,31588,64
Chamber of Deputies of the Parliament of the Czech Republic,2012,4,1,67505,157
Czech Republic men%27s national volleyball team,2009,9,0,51792,115
Elbe Cycle Route,2013,3,0,32753,76
Moravian Library,2013,9,0,31367,64
Kunratick%C3%BD les,2008,11,1,29286,46
Public holidays in the Czech Republic,2013,4,0,50072,184
Czech Hydrometeorological Institute,2011,6,5,46859,119
Sport in the Czech Republic,2013,7,5,84799,323
List of diplomatic missions in the Czech Republic,2008,8,0,126640,231
Outline of the Czech Republic,2012,10,0,95605,294
Hody (Moravia),2014,5,2,33911,48
Prvn%C3%AD parta,2010,8,0,30459,55
Liberalism in the Czech lands,2004,9,0,32553,50
Nejv%C4%9Bt%C5%A1%C3%AD %C4%8Cech,2011,1,2,53426,199
The End of Agent W4C,2009,1,0,34408,65
Banknotes of the Czech koruna,2009,11,0,42392,104
Office for the Documentation and the Investigation of the Crimes of Communism,2010,8,0,30681,39
Jun%C3%A1k,2006,4,0,49765,94
Outline of the Czech Republic,2012,6,0,95108,292
RKS Liblice 1,2009,9,0,28279,45
Vehicle registration plates of the Czech Republic,2007,8,0,58148,133
Guma guar,2007,1,0,24740,40
Transport in T%C5%99eb%C3%AD%C4%8D,2010,5,0,32825,83
National Marionette Theatre,2011,9,2,31892,52
United States Ambassador to Czechoslovakia,2010,6,12,84872,320
Czech Republic,2011,1,75,359312,1163
Moravia,2005,6,0,44525,66
Czech Republic,2012,3,88,416617,1389
Nov%C3%A1 Role concentration camp,2014,7,0,35663,76
United States Ambassador to the Czech Republic,2015,4,0,74743,297
2006 Prague terror plot,2007,11,2,28167,49
Czech Silesia,2015,4,2,66398,167
Parliament of the Czech Republic,2009,1,1,64571,208
Mirek Topol%C3%A1nek%27s Second Cabinet,2009,3,1,42405,107
Ukrainians in the Czech Republic,2011,9,3,45640,90
Czech Republic at the Olympics,2014,11,0,259664,858
Abraxas (Czech band),2007,3,0,28070,43
LGBT history in the Czech Republic,2015,4,1,49097,163
Orel (movement),2008,5,0,27920,55
Czech Silesia,2015,1,2,64942,165
Designblok,2012,7,5,32075,45
Czech Air Force,2009,5,6,79794,246
Moravia,2007,6,0,69864,209
Military of the Czech Republic,2015,3,21,179724,568
21st Century Soldier,2009,7,0,32068,56
Vehicle registration plates of the Czech Republic,2013,10,0,63982,159
Support Lesbiens,2005,5,0,29187,38
Transport in the Czech Republic,2014,9,3,60183,197
Czech Movie Heaven,2009,2,0,31520,56
Military of the Czech Republic,2008,11,3,75933,269
Maroboduus,2012,1,6,49672,174
Economy of the Czech Republic,2004,7,0,40647,63
Research Library in Olomouc,2013,5,0,28904,50
Drunk tank,2010,7,0,23237,27
Czech lands,2007,7,0,40080,65
Temno (novel),2010,9,0,31773,60
Moravia,2005,8,0,48807,100
Template:CzechRepublic stub,2011,5,0,34426,47
Coat of arms of Czechoslovakia,2012,8,0,53598,87
Academy of Performing Arts in Prague,2010,1,2,40496,71
Tyssaer W%C3%A4nde,2013,9,0,36334,65
First Lady of the Czech Republic,2012,10,0,37476,101
Macedonians in the Czech Republic,2013,11,4,57694,171
Czech Air Force,2011,8,9,82525,234
Name of the Czech Republic,2012,7,7,56738,180
Josef Hl%C3%A1vka,2013,7,0,40347,84
Kladivo na %C4%8Darod%C4%9Bjnice,2013,3,0,34703,62
Transport in T%C5%99eb%C3%AD%C4%8D,2012,3,0,32361,74
Outline of the Czech Republic,2008,7,2,82208,207
Ore Mountain passes,2012,7,1,43587,96
Academy of Sciences of the Czech Republic,2015,2,0,81791,182
Geography of the Czech Republic,2014,11,1,62665,226
Josef Hl%C3%A1vka,2013,5,0,39902,84
Nov%C3%A1 Louka,2008,11,0,26857,46
"St. George%27s Convent, Prague",2013,2,2,31509,53
Sport in the Czech Republic,2011,7,4,69356,250
Chodov%C3%A9,2010,6,0,27027,45
Nejv%C4%9Bt%C5%A1%C3%AD %C4%8Cech,2014,3,7,60414,196
Academy of Performing Arts in Prague,2007,11,0,32209,47
Bukov%C3%A1 hora TV Tower,2007,12,0,27856,41
Union of Czech mathematicians and physicists,2011,5,0,27433,39
Czech Space Office,2012,4,0,31440,35
Banjo Band,2011,6,1,31093,51
Extreme points of the Czech Republic,2012,10,0,55468,119
Zbra%C5%A1ov aragonite caves,2014,8,24,102980,154
Ukrainians in the Czech Republic,2010,11,3,46097,90
Provincial Reconstruction Team Logar,2011,9,20,47624,69
Template:CzechRepublic stub,2008,5,0,27257,29
Transport in the Czech Republic,2011,11,2,60862,210
List of Bohemian monarchs,2008,6,0,90424,210
Bohemia,2005,7,0,58678,147
Drunk tank,2011,9,0,28173,43
List of Czech Republic related topics,2006,4,0,37769,92
Zbra%C5%A1ov aragonite caves,2015,1,20,95130,143
Thanks for Every New Morning,2008,11,1,32476,56
List of Bohemian monarchs,2006,12,0,48362,133
Moravia,2006,9,0,66023,188
Outline of the Czech Republic,2014,4,0,97651,316
Tyssaer W%C3%A4nde,2011,4,0,35725,61
Sport in the Czech Republic,2010,8,0,51701,177
Czech Republic,2002,12,0,88790,166
History of the Czech lands,2005,3,0,46043,101
Academy of Performing Arts in Prague,2006,3,0,30886,42
Support Lesbiens,2013,12,3,37877,54
Olga pozn%C3%A1v%C3%A1 %C5%BEivot,2013,3,0,32913,56
Transport in the Czech Republic,2009,10,1,48966,145
Battle of Doma%C5%BElice,2013,3,0,38247,83
Football tennis,2013,7,6,71929,295
Roman Catholic Diocese of Ostrava Opava,2009,12,0,35869,59
Millennium Theatre (Prague),2010,7,0,23968,35
Lekce tv%C5%AFr%C4%8D%C3%ADho psan%C3%AD,2012,3,0,30833,48
Telecommunications in the Czech Republic,2009,3,0,41119,115
Pardubice Airport,2011,1,3,43165,81
Politics of the Czech Republic,2004,3,0,42433,143
Demographics of the Czech Republic,2009,4,11,67833,188
Geography of the Czech Republic,2010,9,0,58878,224
Geography of the Czech Republic,2013,2,1,54545,163
Obec,2013,6,2,39457,105
Coat of arms of Czechoslovakia,2014,2,0,54692,87
Senate of the Parliament of the Czech Republic,2008,6,0,58653,153
"St. George%27s Convent, Prague",2012,5,2,31197,49
Supreme Audit Office (Czech Republic),2008,5,3,36190,73
Demographics of the Czech Republic,2003,5,0,28165,27
Drunk tank,2005,10,0,27237,39
Academy of Sciences of the Czech Republic,2014,4,0,77503,178
Czechization,2011,4,1,38182,121
Thanks for Every New Morning,2008,8,1,32544,55
Ostrava metropolitan area,2013,8,2,28991,51
Clou,2012,7,0,32316,55
Czech Centres,2012,9,6,53450,122
Lovci orchidej%C3%AD,2013,9,0,31952,56
Prague Conservatory,2012,3,0,40563,107
Senate of the Parliament of the Czech Republic,2008,1,0,58998,158
Young Conservatives (Czech Republic),2014,5,2,58460,119
St%C5%99eveln%C3%A1,2012,6,0,32932,58
Office for the Documentation and the Investigation of the Crimes of Communism,2007,11,0,31263,42
Coat of arms of Czechoslovakia,2010,5,0,48822,80
Czech Republic,2012,2,89,415238,1383
Prague Conservatory,2010,2,0,36278,92
Support Lesbiens,2008,9,0,33269,48
Czech Republic,2010,9,74,345792,1136
Prostitution in the Czech Republic,2009,10,14,61128,94
Highways in the Czech Republic,2010,4,0,38653,95
Academy of Sciences of the Czech Republic,2012,7,0,77347,183
Battle of Doma%C5%BElice,2008,11,0,35446,79
Abortion in the Czech Republic,2007,3,2,62926,294
Okres,2007,4,0,32242,98
Radio 1 (Czech Republic),2006,2,0,26793,53
Bohemia,2011,8,4,93448,251
Czech Biomass Association,2012,4,0,23710,34
Czech national identity card,2012,4,2,49859,149
List of Bohemian monarchs,2010,8,0,113076,261
Dobrov%C3%ADz,2013,11,0,36652,117
Have Some Fun,2009,12,1,32683,56
Summer Shakespeare Festival,2006,3,0,29538,59
Sport in the Czech Republic,2008,4,0,47746,139
Nejv%C4%9Bt%C5%A1%C3%AD %C4%8Cech,2007,11,0,49425,195
