filename,year,month,num_citations,file_size,forward_links
Order of the Dannebrog,2011,12,7,72220,189
Peace of Travendal,2007,11,0,28428,39
Negerhollands,2005,9,0,28062,42
Greenland,2003,4,0,57613,52
Principality of R%C3%BCgen,2012,5,4,89956,358
Defence Command (Denmark),2007,4,0,29052,55
%C3%98resund Region,2007,8,9,47563,79
Economy of Denmark,2008,1,15,109111,433
Stolen Spring,2007,11,0,27821,47
Helle Frederiksen,2010,10,3,37853,46
Thy (district),2014,1,7,56055,181
Prince (cigarette),2012,3,0,53860,178
House of Pomerania,2010,1,9,106057,342
Bes%C3%A6ttelse (play),2012,12,0,34017,64
General Trade Company,2013,2,2,29661,71
Rescue of the Danish Jews,2011,7,33,89737,198
Thrige (automobile),2012,7,1,30144,53
Danish Meteorological Institute,2012,1,0,46487,121
%C3%98rsted (satellite),2011,9,4,53697,120
Edinburgh Agreement (1992),2009,1,0,54381,172
Reric,2015,1,8,49107,128
Danish Defence agreement 2005%E2%80%9309,2007,3,0,28317,50
Schleswig Holstein Sonderburg,2010,12,0,44554,115
History of Denmark,2005,7,0,80902,298
Danish Defence Intelligence Service,2010,12,2,132412,610
Pomerania during the Early Modern Age,2015,3,46,174815,688
Telecommunications in Denmark,2005,8,0,25748,58
Rescue of the Danish Jews,2011,10,32,90655,207
List of legendary kings of Denmark,2005,7,0,29015,62
First League of Armed Neutrality,2010,8,4,107267,479
Danish Royal Family,2008,5,0,52080,137
Royal Danish Navy,2011,7,16,143683,443
Ven (Sweden),2009,5,0,32296,57
NORDEFCO,2011,12,2,33390,42
King%27s Artillery Regiment,2012,2,0,33124,54
Kransekake,2006,7,0,25941,39
Chali,2010,7,0,28525,48
Swedish riksdaler,2013,2,5,72753,223
Line of succession to the Danish throne,2008,6,3,46477,110
Danish longball,2005,3,0,24221,32
Cabinet of Denmark,2009,11,0,66195,214
Danish Artillery Regiment,2009,12,0,38887,75
Danish records in Olympic weightlifting,2012,7,0,46382,101
Poul Henning Kamp,2006,3,0,28674,44
Rescue of the Danish Jews,2010,4,17,77838,182
Home Guard (Denmark),2008,12,1,68279,140
Principality of R%C3%BCgen,2010,10,3,86555,349
Danish resistance movement,2013,1,7,103480,461
Peace of Prague (1866),2015,3,1,57165,161
"Minister for Refugees, Immigrants and Integration (Denmark)",2011,7,0,45066,105
Hanherred,2007,7,0,27888,54
Niels Juel class corvette,2006,12,0,29965,47
Folketing,2013,4,21,177972,617
Danmarks Nationalbank,2013,3,2,105535,444
Folketing,2011,4,7,128600,463
Defence Command (Denmark),2006,3,0,27617,48
Fifty %C3%B8re (Danish coin),2009,3,1,37720,79
ICEpower,2009,3,0,41473,57
Nielsine Paget,2012,3,1,29363,49
List of concerts at Parken Stadium,2009,4,0,44479,107
DanconIrak,2006,2,0,40664,90
Elgiganten,2014,12,1,30204,58
Danevirke,2009,12,0,52850,132
"%C3%98, Denmark",2008,3,0,26718,42
Pornography in Denmark,2010,8,1,26902,43
History of Pomerania,2007,6,1,103775,487
Geography of Denmark,2011,11,2,64075,232
Jens Blauenfeldt,2011,7,0,35227,76
Danish Realm,2012,2,1,42024,86
Peace of Travendal,2008,3,0,28664,41
Pomerania during the High Middle Ages,2011,1,106,277932,1048
Danevirke,2013,11,4,56834,137
Public holidays in Denmark,2011,5,1,47166,143
Extreme points of Denmark,2007,3,0,46903,108
History of Pomerania,2010,3,203,296718,1176
Denmark,2014,11,201,627979,2258
Duke of Holstein Gottorp,2014,7,3,65921,197
Generalkommandoen,2007,1,0,28000,58
ICEpower,2010,6,6,34478,54
%C3%98re,2008,10,2,37788,88
Danish krone,2008,10,4,130701,471
Royal Danish Navy,2012,8,16,147830,470
Hymner til natten,2012,3,0,32378,54
Holstein,2007,4,0,45914,138
OIOXML,2008,7,0,26326,39
History of Denmark,2002,6,0,33818,72
FUTOP,2007,4,1,24051,40
Middelgrunden,2010,6,2,42983,104
Duke of Halland,2008,7,1,35942,85
Military history of Denmark,2009,12,0,55431,169
Danevirke,2006,2,0,29742,58
Vehicle registration plates of Denmark,2012,10,6,57991,142
2012 ESF Men%27s Super Club Championship,2013,2,2,109777,148
List of Prime Ministers of Denmark,2008,4,6,81427,458
List of Danish monarchs,2014,7,17,205551,921
Duchy of Schleswig,2014,3,7,72418,174
Monarchy of Denmark,2009,4,9,92413,411
List of Danish monarchs,2006,5,0,69883,355
Count%27s Feud,2010,6,5,44850,97
Flag of Greenland,2006,1,0,36667,48
Det Centrale Personregister,2009,6,0,27021,39
Dybb%C3%B8l,2008,3,0,28822,59
Danish Defence,2006,2,0,53895,130
Elgiganten,2010,2,0,31409,77
Danish order of precedence,2009,6,0,70058,210
Danish resistance movement,2007,9,3,41719,87
Gammel Dansk,2010,10,1,35476,77
Brodir and Ospak of Man,2008,6,0,25719,42
Vehicle registration plates of Denmark,2013,10,7,64096,137
Count%27s Feud,2012,7,5,58059,136
Medicon Valley Alliance,2008,9,0,29064,55
Haandf%C3%A6stning,2006,4,0,27407,40
Folketing,2010,12,7,106610,351
Royal Danish Academy of Sciences and Letters,2005,12,0,30431,43
Transport in the Faroe Islands,2003,12,0,24970,35
Outline of Greenland,2012,12,2,93167,267
H%C3%A6rvejen,2007,2,0,30214,49
Pomerania during the High Middle Ages,2012,5,129,299656,1001
Hartwig of Uthlede,2008,9,10,39466,70
Line of succession to the Danish throne,2014,10,19,74273,124
King%27s Artillery Regiment,2006,10,0,27463,48
Flag of the Faroe Islands,2012,8,3,71435,213
Borremose,2014,12,3,43905,62
Denmark and the euro,2011,3,61,122278,274
Lands of Schlawe and Stolp,2011,1,11,65490,231
"%C3%98, Denmark",2010,10,0,26908,39
Template:Denmark stub,2011,10,0,34390,47
Ministry of Defence (Denmark),2009,12,0,32385,53
Werner Best,2012,6,11,66162,219
Greenland,2006,7,2,135151,427
Bj%C3%B8rn Lomborg,2006,5,14,59806,146
