filename,year,month,num_citations,file_size,forward_links
History of Djibouti,2010,4,7,96670,374
Eritrean coastal desert,2012,10,0,31818,63
Telecommunications in Djibouti,2004,10,0,24700,47
Economy of Djibouti,2007,2,0,67123,332
Operation Magic Carpet (Yemen),2013,1,17,54619,122
Mahamoud Ali Youssouf,2015,4,6,36660,62
Djiboutian franc,2006,1,0,45162,135
List of cities in Djibouti,2007,2,0,43700,126
List of people on stamps of Djibouti,2006,7,0,27687,59
Transport in Djibouti,2009,12,3,51001,144
.dj,2010,2,0,70077,417
Yacin Yabeh Galeb,2009,8,6,26752,40
Djibouti passport,2010,1,0,72741,335
Energy in Djibouti,2012,7,0,50008,140
Abdallah Mohamed Kamil,2011,9,2,34072,59
Radio Television of Djibouti,2013,7,1,33631,64
Public holidays in Djibouti,2013,3,0,43990,155
Banque Indosuez Mer Rouge,2011,7,0,27790,45
Yacin Elmi Bouh,2008,11,0,32214,52
Sultanate of Ifat,2013,3,12,60437,150
National Assembly (Djibouti),2012,5,0,59552,209
Energy in Djibouti,2009,7,0,51016,140
List of football clubs in Djibouti,2011,4,0,36286,94
Roman Catholicism in Djibouti,2013,4,0,41290,124
Islam in Djibouti,2011,2,0,64942,341
Mahamoud Ali Youssouf,2013,11,5,35860,64
Djiboutian Civil War,2014,2,7,53710,133
Ta%27izzi Adeni Arabic,2011,9,1,56006,152
Eritrean coastal desert,2010,12,0,30906,61
Djiboutian Army,2013,10,5,59872,108
French Somaliland in World War II,2013,4,0,81341,374
Sagallo,2009,1,0,28233,46
Banque pour le Commerce et l%27Industrie %E2%80%93 Mer Rouge,2011,3,1,32857,58
Operation Magic Carpet (Yemen),2008,1,0,38901,110
Economy of Djibouti,2008,12,7,84271,373
Djibouti,2006,4,1,101489,245
Geography of Djibouti,2012,3,1,68409,287
Sagallo,2013,3,3,35414,62
Bridge of the Horns,2009,9,5,36472,68
Djibouti Air,2011,2,2,41709,105
Sagallo,2014,7,6,43358,79
Sultanate of Ifat,2014,7,12,112833,538
Daher Ahmed Farah,2013,10,4,35525,56
List of heads of state of Djibouti,2009,4,0,42851,81
Djiboutian Army,2012,7,5,59120,104
Djibouti Armed Forces,2011,1,4,118155,308
University of Djibouti,2015,3,0,30885,46
Ta%27izzi Adeni Arabic,2011,11,1,55972,152
Mahamoud Ali Youssouf,2012,3,5,33087,53
Djibouti,2011,9,36,252973,861
Outline of Djibouti,2009,6,0,85211,198
List of cities in Djibouti,2010,8,0,60927,220
Ta%27izzi Adeni Arabic,2009,10,1,56104,151
List of universities in Djibouti,2011,5,1,37788,98
Eritrean coastal desert,2011,7,0,31225,60
.dj,2004,11,0,36270,36
Politics of Djibouti,2010,11,2,72706,262
Economy of Djibouti,2013,5,3,102102,456
Emblem of Djibouti,2008,11,0,45847,121
Djibouti at the Olympics,2013,2,0,80961,364
Djiboutian Navy,2011,11,0,31349,39
Polygamy in Djibouti,2011,2,1,34494,88
List of Somalis,2006,5,0,25568,28
Djiboutian Army,2014,11,16,96154,124
Economy of Djibouti,2007,6,0,73098,303
.dj,2008,7,0,69836,417
Central Bank of Djibouti,2011,5,0,60630,244
Districts of Djibouti,2008,4,0,41705,121
Bernard Borrel,2013,3,3,33789,46
Djiboutian Army,2012,9,5,59117,104
List of Somalis,2012,12,0,81348,443
Union of Reform Partisans,2009,5,3,34574,67
Independence Day (Djibouti),2014,12,0,28759,53
List of heads of state of Djibouti,2010,7,0,44987,88
Front for the Liberation of Djibouti,2013,2,0,28593,52
History of Djibouti,2009,6,2,93029,371
List of diplomatic missions of Djibouti,2011,10,0,59869,167
Djibouti,2013,1,36,275989,940
Yacin Elmi Bouh,2009,12,0,31937,53
Ali Djamah,2011,10,0,27155,45
History of Djibouti,2002,9,0,31487,48
Transport in Djibouti,2008,7,3,44225,125
Hamoudi Mosque,2013,2,0,29499,56
Economy of Djibouti,2009,6,7,97675,432
Djiboutian franc,2007,8,0,64830,221
List of Somalis,2011,5,0,75455,426
Template:Djibouti stub,2011,5,0,32960,47
Islam in Djibouti,2014,11,0,65189,342
Djibouti,2011,1,32,240776,873
List of Somalis,2011,11,0,77216,434
National Assembly (Djibouti),2009,12,0,46949,147
Economy of Djibouti,2007,1,0,67405,328
University of Djibouti,2013,1,0,30118,43
Template:Djibouti struct stub,2009,5,0,22702,34
Yacin Yabeh Galeb,2006,6,0,26218,44
Education in Djibouti,2012,12,45,100196,164
Mahmoud Harbi,2014,3,9,38799,75
Sagallo,2008,2,0,28241,46
Djibouti Telecom,2013,11,0,28003,45
Operation Magic Carpet (Yemen),2008,4,0,38503,104
Sagallo,2009,2,0,30805,57
Djibouti Union for Democracy and Justice,2006,6,0,33528,69
Djibouti Armed Forces,2015,1,12,95860,249
List of heads of state of Djibouti,2009,12,0,41286,77
Moucha Airport,2014,8,1,34605,62
Economy of Djibouti,2005,5,0,55582,248
