filename,year,month,num_citations,file_size,forward_links
Miss Dominica,2015,3,4,70679,381
List of Governors of the Windward Islands,2009,10,0,29845,69
Dominica,2009,10,23,249327,959
Area code 767,2009,12,0,40107,153
The Orchid House (novel),2008,11,0,29530,56
Agostino Brunias,2012,3,9,53751,80
Transport in Dominica,2010,2,0,28501,41
Battle of the Saintes,2010,1,1,55466,178
Transport in Dominica,2006,3,0,32697,73
Gloria Shillingford,2011,10,3,33288,54
History of Dominica,2004,11,0,33129,93
Patrick John,2008,8,1,37747,95
Flag of Dominica,2006,6,0,51332,57
Roseau Cathedral,2011,7,16,62307,100
Battle of the Saintes,2008,12,1,53360,183
List of Governors of the Leeward Islands,2012,12,1,36037,69
Islam in Dominica,2009,8,0,35233,84
Crispin S. Gregoire,2010,11,0,37477,75
Transport in Dominica,2011,5,0,37384,104
.dm,2005,2,0,34028,30
Foreign relations of Dominica,2005,9,0,25632,45
Alvin Bernard,2012,10,4,34512,58
Demographics of Dominica,2004,9,0,27100,51
Dominica,2013,2,37,300994,1123
Dominica passport,2009,10,0,89538,366
Agostino Brunias,2012,1,9,53417,80
Brother Matthew Luke,2005,9,0,24260,36
Battle of the Saintes,2011,11,3,94355,271
Patrick John,2012,12,2,41814,91
Battle of the Saintes,2014,8,11,102009,290
Melody Gudzowaty,2014,10,3,36159,47
Coat of arms of Dominica,2011,11,1,42515,89
Dominica Freedom Party,2005,5,0,32259,71
Ryan Edgar,2009,6,0,28224,47
Battle of the Saintes,2007,9,0,49281,152
Cissie Caudeiron,2010,2,0,28138,46
Dominica,2009,12,23,248679,952
List of Speakers of the House of Assembly of Dominica,2011,5,0,34215,62
Flag of Dominica,2012,8,0,52555,117
Grayson Shillingford,2008,6,0,29820,58
.dm,2008,1,0,65619,396
Foreign relations of Dominica,2009,10,0,40471,109
Template:Politics of Dominica,2007,7,0,23427,37
Politics of Dominica,2007,2,0,42409,115
Edward Oliver LeBlanc,2004,10,0,25449,52
List of people from Dominica,2014,2,0,30655,85
Hermin Joseph,2007,3,3,27465,47
Dominica Freedom Party,2009,5,1,35892,80
The Independent (Dominica),2005,9,0,24639,38
Garraway Hotel,2011,10,4,37823,59
Charles Marsh Schomberg,2012,4,0,36076,87
Dominica at the Olympics,2008,3,0,34816,56
Outline of Dominica,2008,3,0,41973,56
Dominica,2003,3,0,55566,47
Ronnie Gustave,2014,11,1,33904,55
Edward Oliver LeBlanc,2011,10,0,36744,72
Flag of Dominica,2014,10,1,54828,122
ISO 3166 2:DM,2010,2,0,82738,696
Patrick John,2008,10,1,37341,89
Dominica,2006,5,0,106095,281
Invasion of Dominica (1761),2008,9,0,31647,59
Chris Lloyd,2011,2,2,34651,68
Patrick John,2009,12,1,37335,80
Hector John,2010,11,6,38605,61
House of Assembly of Dominica,2014,7,10,92094,354
Geography of Dominica,2008,2,0,45370,107
The Wizzard,2011,1,0,28162,47
People%27s Democratic Movement (Dominica),2014,7,1,34386,66
Postage stamps and postal history of Dominica,2012,1,2,44292,134
Template:Dominica stub,2009,1,0,24424,29
Area code 767,2010,7,0,40648,154
Terry Dyer,2013,6,2,30598,46
Louis Cools Lartigue,2015,2,7,44877,74
Flag of Dominica,2012,9,0,52295,120
Flag of Dominica,2010,6,0,50148,114
Flag of Dominica,2006,8,0,51874,61
The Orchid House (novel),2006,8,0,29359,56
Dominica,2004,11,0,63759,93
LGBT rights in Dominica,2009,1,3,44769,97
Clarence Seignoret,2014,2,1,35368,72
Alix Boyd Knights,2011,10,2,32077,45
Woodrow Lawrence,2008,8,0,29316,53
Template:Dominica bio stub,2010,11,0,30477,51
Atherton Martin,2014,3,1,28727,41
People%27s Democratic Movement (Dominica),2009,3,0,26965,42
.dm,2007,12,0,65643,396
Flag of Dominica,2004,12,0,36995,43
Islam in Dominica,2009,5,0,34346,84
Frederick Newton,2013,3,0,31251,73
"Dominican general election, 2014",2014,12,4,52644,111
Alix Boyd Knights,2010,8,0,28785,47
Premier of Dominica,2010,11,0,27535,49
West Indies Associated States,2010,1,4,30593,69
Garraway Hotel,2011,6,4,37527,59
"Dominican general election, 2009",2010,7,1,61983,133
Charles Marsh Schomberg,2010,11,0,36269,87
.dm,2006,9,0,65447,396
Battle of the Saintes,2009,1,1,53253,185
History of Dominica,2010,4,0,80392,349
Index of Dominica related articles,2011,5,2,86791,285
.dm,2006,2,0,65259,396
Dominica,2014,8,43,318549,1165
Patrick John,2006,7,0,27930,55
Edward Oliver LeBlanc,2007,12,0,34995,76
Michael Douglas (politician),2012,1,0,29649,59
List of people from Dominica,2007,8,0,56703,81
Battle of the Saintes,2009,12,1,56042,182
Template:Dominica athletics bio stub,2009,3,0,22489,33
The Independent (Dominica),2009,11,0,26970,43
Invasion of Dominica,2011,9,4,37750,90
Foreign relations of Dominica,2008,3,0,31814,75
Daniel Lugay,2011,10,3,32730,49
Index of Dominica related articles,2009,3,2,80471,288
The Orchid House (novel),2015,3,4,34467,61
Dominica Freedom Party,2008,11,1,35660,78
List of people from Dominica,2011,2,1,63543,101
Charles Marsh Schomberg,2008,10,0,34864,96
Erison Hurtault,2013,5,3,35215,57
Lennard Remy,2012,11,5,33896,54
Outline of Dominica,2015,4,1,94633,251
Geography of Dominica,2008,9,0,49886,116
Template:Dominica topics,2012,12,0,31000,75
Template:Dominica politician stub,2011,8,0,31631,49
Cissie Caudeiron,2009,12,0,28329,52
Flag of Dominica,2009,12,0,50566,110
Ryan Edgar,2013,6,11,50723,85
Dominica,2010,3,23,249227,962
Patrick John,2007,8,0,30445,61
