filename,year,month,num_citations,file_size,forward_links
Dominican Restoration War,2009,11,0,33942,56
Dominican Air Force,2011,6,2,60288,122
List of Ta%C3%ADnos,2009,4,41,72993,127
Christian People%27s Party (Dominican Republic),2011,11,1,34969,77
List of Miss Dominican Republic editions,2013,2,0,54676,228
Telephone numbers in the Dominican Republic,2009,12,2,55676,208
Batey (sugar workers%27 town),2013,11,0,33795,73
Moca FC,2011,4,0,70282,118
Prostitution in the Dominican Republic,2009,9,3,37011,61
Revolutionary Social Democratic Party,2008,9,0,32370,70
Dominican Social Alliance,2009,8,0,32238,64
Dominican Republic%E2%80%93Central America Free Trade Agreement,2010,7,11,90845,200
Senate of the Dominican Republic,2006,12,0,43224,89
Antihaitianismo,2008,5,4,58969,251
Copyright in the Dominican Republic,2013,7,1,28030,45
List of Dominican Republic flags,2007,5,0,78199,231
Dominican War of Independence,2007,2,0,25842,38
Dominican Army,2012,3,1,57169,109
Military of the Dominican Republic,2004,6,0,26620,28
Dominican War of Independence,2009,10,0,36285,78
La Voz Dominicana,2006,8,0,26783,45
Telephone numbers in the Dominican Republic,2012,4,4,55026,207
Cabinet of the Dominican Republic,2008,9,0,39292,42
Dominican Republic at the 2008 Summer Olympics,2009,12,3,125522,420
Asociaci%C3%B3n de Gu%C3%ADas Scouts Dominicanas,2009,9,0,33502,47
Franjul (family),2014,8,0,29442,38
Cabinet of the Dominican Republic,2011,11,0,63873,106
Institutional Social Democratic Bloc,2006,6,0,32454,66
Ta%C3%ADno,2005,6,0,49761,119
Asociaci%C3%B3n de Gu%C3%ADas Scouts Dominicanas,2011,1,0,40591,88
Dominican Humanist Party,2011,4,0,33255,69
Republic of Spanish Haiti,2013,12,6,46861,77
Ta%C3%ADno,2008,6,38,86102,173
.do,2006,8,0,65297,392
Dominican Republic at the 1992 Summer Olympics,2010,5,0,71354,255
Bolsa de Valores de la Rep%C3%BAblica Dominicana,2006,4,3,35422,59
Dominican Civil War,2012,9,0,33255,57
History of the Dominican Republic,2005,7,0,37855,96
Outline of the Dominican Republic,2010,6,3,105264,266
Batey (sugar workers%27 town),2012,5,0,33139,70
Duarte Square,2012,9,5,34226,55
Ta%C3%ADno,2015,2,53,148873,362
Toros del Este,2010,10,0,45056,100
History of the Dominican Republic,2006,11,34,129497,394
Asociaci%C3%B3n de Gu%C3%ADas Scouts Dominicanas,2007,1,0,31173,48
National Renaissance Party (Dominican Republic),2008,11,0,32062,63
List of people from the Dominican Republic,2003,12,0,30052,71
Enriquillo,2012,7,0,37324,76
Dominican Navy,2012,8,1,68896,129
Mi novia est%C3%A1 de madre,2007,4,3,30598,50
Antihaitianismo,2010,12,7,70205,318
Claro Rep%C3%BAblica Dominicana,2007,3,3,31267,64
Dominican Civil War,2009,1,0,33653,68
Royal Audiencia of Santo Domingo,2012,5,1,49024,156
