filename,year,month,num_citations,file_size,forward_links
Oecusse Airport,2008,1,0,22888,31
Galoli language,2006,4,0,29197,53
Timorense football league system,2012,3,0,68751,271
Falintil,2006,12,3,32323,44
Prime Minister of East Timor,2008,12,0,51826,157
Pro Indonesia militia,2008,2,0,31259,58
List of airports by ICAO code: W,2006,3,0,79294,416
Economy of East Timor,2006,1,0,39419,74
List of East Timorese people,2012,9,0,25304,52
Timorense football league system,2011,10,0,68618,271
Indonesian invasion of East Timor,2013,1,81,131851,243
Fataluku language,2006,10,0,32282,51
East Timor Football Federation,2006,11,0,51038,167
"List of cities, towns and villages in East Timor",2014,3,0,59240,200
Timor Leste at the Olympics,2010,7,0,67333,293
Serious Crimes Unit,2006,12,0,25315,44
List of Ambassadors of the United Kingdom to East Timor,2006,8,0,55983,207
Portuguese Timor,2006,5,0,66740,198
St Theresina%27s Church,2012,6,2,30510,48
National Parliament (East Timor),2009,2,0,52725,165
Timor Gap Treaty,2010,4,1,33031,56
Special Representative of the Secretary General for East Timor,2008,3,0,29778,48
Indonesian invasion of East Timor,2011,2,70,121498,247
Timor Leste Defence Force,2009,7,75,156096,241
Districts of East Timor,2012,2,1,59858,156
Topasses,2014,3,3,38573,71
East Timor Football Federation,2012,12,4,70656,208
Suai Airport,2012,10,3,33813,64
Timor Leste Defence Force,2007,11,53,123425,156
"List of cities, towns and villages in East Timor",2006,3,0,35107,94
Uni%C3%A3o Nacional dos Escuteiros de Timor Leste,2006,2,0,28343,40
.tl,2007,3,0,67477,408
.tl,2008,8,0,70559,417
East Timor centavo coins,2009,10,1,50528,147
History of East Timor,2004,8,0,55276,168
Christian Democratic Party (East Timor),2007,5,0,33707,69
Timorese Nationalist Party,2005,9,0,31281,64
Fataluku language,2013,2,1,44958,103
Indonesian invasion of East Timor,2015,3,86,137723,248
List of football clubs in East Timor,2011,5,0,62526,188
Wetarese language,2011,12,0,33732,67
List of diplomatic missions of East Timor,2012,1,0,58978,155
Timor Leste Defence Force,2006,2,0,31286,43
East Timor,2009,7,49,287746,883
Outline of East Timor,2015,4,2,97839,250
Wetarese language,2013,9,1,35529,73
Timor Leste at the 2004 Summer Olympics,2015,2,2,67836,272
Pal%C3%A1cio de Lahane,2012,7,2,31061,44
Ta%C3%A7a Digicel,2011,3,0,49158,116
Indonesian invasion of East Timor,2007,10,6,55851,123
Bidau Creole Portuguese,2006,4,0,24814,41
Tocodede language,2011,12,0,34833,61
History of East Timor,2008,7,19,113060,406
Mambai,2006,3,0,27318,47
Indonesian invasion of East Timor,2010,9,40,94300,203
LGBT rights in East Timor,2015,4,3,52925,138
Falintil,2006,5,2,30771,41
Mambai,2015,3,7,41117,74
International Force for East Timor,2009,5,3,41789,92
List of political parties in East Timor,2005,6,0,33459,60
East Timor centavo coins,2007,4,0,30905,45
Super Liga Timorense,2012,4,2,64110,168
East Timorese patrol boat Atauro,2007,11,0,24383,35
Districts of East Timor,2008,11,1,59006,168
Arte Moris,2006,6,0,23734,37
History of East Timor,2011,3,24,117488,380
History of East Timor,2009,4,19,112790,406
Law of East Timor,2010,7,0,43399,95
Politics of East Timor,2006,2,0,44330,100
List of political parties in East Timor,2011,10,0,50363,161
List of diplomatic missions in East Timor,2012,7,2,71957,165
"List of cities, towns and villages in East Timor",2004,6,0,34425,89
Politics of East Timor,2015,2,5,92341,276
Ambeno,2009,12,0,25889,44
Indonesian invasion of East Timor,2013,12,85,138612,258
Suai Church massacre,2007,12,0,30615,55
List of East Timor related topics,2013,10,0,60834,206
Prime Minister of East Timor,2007,6,0,39630,87
Gaspar da Costa,2008,10,3,29090,43
Transport in East Timor,2009,6,1,43007,135
"List of members of the parliament of East Timor, 2001%E2%80%9307",2010,8,0,46219,50
Timor Leste at the 2004 Summer Olympics,2006,2,0,60122,255
Timor Leste Defence Force,2010,2,74,153092,223
Telephone numbers in East Timor,2009,4,0,39594,139
List of diplomatic missions in East Timor,2008,7,0,52440,85
Falintil,2008,5,4,47364,72
Waimoa language,2008,5,0,35731,82
United Nations Office in East Timor,2005,11,0,23283,21
United Nations Mission of Support to East Timor,2013,2,7,39737,67
People%27s Party of Timor,2007,9,0,33063,69
International Force for East Timor,2009,12,6,46787,99
Timorese Social Democratic Association,2009,3,2,38028,83
Outline of East Timor,2009,3,2,82123,183
Millennium Democratic Party (East Timor),2007,11,1,30121,58
List of political parties in East Timor,2006,5,0,34210,73
LGBT rights in East Timor,2011,9,2,44268,126
Social Democratic Party (East Timor),2007,3,0,32710,60
Timor Leste at the 2004 Summer Olympics,2005,8,0,56979,244
"List of cities, towns and villages in East Timor",2015,2,0,58639,193
Waimoa language,2011,8,0,36018,79
Economy of East Timor,2011,3,14,55485,141
2011 Ta%C3%A7a Digicel,2011,7,1,81487,251
Laksaur,2012,2,0,30092,52
List of diplomatic missions in East Timor,2008,1,0,51137,80
Pro Indonesia militia,2008,10,0,33310,65
