filename,year,month,num_citations,file_size,forward_links
Ecuadorian Army,2006,1,0,27239,34
Treasure of the Llanganatis,2009,11,0,28864,44
Juan de Salinas y Zenitagoya,2012,3,0,32590,48
Isabel Godin des Odonais,2014,5,3,41878,104
Seco (food),2015,3,1,30567,53
Flag of Ecuador,2009,1,1,59594,104
Battle of Mullihambato,2008,8,0,28028,51
NEE 01 Pegaso,2011,6,9,39430,46
Sarayaku,2008,3,0,30944,59
Ecuadorian Army,2014,3,17,86232,227
Congress of Angostura,2009,3,0,59481,189
Sim%C3%B3n Bol%C3%ADvar,2007,6,4,107766,365
Indigenous peoples in Ecuador,2014,4,26,128121,300
Gran Colombia,2008,3,0,85587,274
French Geodesic Mission,2008,12,0,37005,73
Roman Catholic Diocese of Azogues,2011,4,0,33650,51
Cenepa War,2007,7,15,81025,119
Shrunken head,2009,10,6,44413,82
Alegro PCS,2008,10,1,29728,54
Sim%C3%B3n Bol%C3%ADvar,2011,5,28,227347,816
Roman Catholic Diocese of Babahoyo,2012,2,0,34916,64
Telecommunications in Ecuador,2012,3,0,98878,452
Ts%C3%A1chila people,2013,7,0,33178,52
Andean Trade Promotion and Drug Eradication Act,2013,12,16,46575,64
Ecuadorian sucre,2005,12,0,28102,36
Catamayo Canton,2014,9,1,61336,301
History of the Ecuadorian%E2%80%93Peruvian territorial dispute,2013,6,29,166737,349
Ecuadorian sucre,2005,2,0,27889,35
Prostitution in Ecuador,2009,1,0,29595,50
Chiva bus,2013,7,4,46320,100
Ecuadorian%E2%80%93Peruvian War,2005,3,0,28342,47
Battle of Pichincha,2011,5,0,58501,87
Religion in Ecuador,2011,11,13,67929,193
Gran Colombia,2010,5,11,128154,464
Geography of Ecuador,2006,11,0,63633,159
Transport in Ecuador,2013,2,0,46271,131
Confederaci%C3%B3n Ecuatoriana de Organizaciones Clasistas Unitarias de Trabajadores,2010,10,1,34654,52
Geography of Ecuador,2012,6,2,96379,269
History of Ecuador,2004,8,0,39226,61
.ec,2005,2,0,34436,30
Inca Empire,2015,4,72,266011,881
Ecuadorian Air Force,2012,4,26,105715,221
Economy of Ecuador,2010,5,1,79789,357
Ecuadorian Army,2010,11,25,73240,191
Ecuador,2003,10,0,70744,111
Battle of Chimborazo,2013,12,0,34834,96
Rights of Nature,2013,11,17,67796,63
List of wars involving Ecuador,2012,12,0,30391,61
Military of Ecuador,2008,11,0,53330,74
Inca Empire,2004,1,0,71016,122
History of Ecuador,2013,2,15,132112,364
Spanish conquest of the Inca Empire,2009,3,15,135823,376
Inca Empire,2008,1,12,120823,409
Ecuadorian%E2%80%93Peruvian War,2009,1,3,53828,103
Spanish conquest of the Inca Empire,2013,2,17,171492,619
Unidad de Valor Constante,2004,11,0,23603,32
Ecuador,2012,6,70,337626,840
Flag of Gran Colombia,2013,10,0,36395,62
Religion in Ecuador,2008,10,13,51595,87
Flag of Ecuador,2004,9,0,39876,51
Military career of Sim%C3%B3n Bol%C3%ADvar,2009,12,8,131277,481
Shrunken head,2008,7,5,40702,63
La Hora,2009,8,0,28091,49
Battle of Mullihambato,2009,10,0,33144,72
Geography of Ecuador,2013,9,2,100778,276
Water privatization in Guayaquil,2008,4,1,23546,30
Royal Audiencia of Quito,2010,10,1,54041,161
Sim%C3%B3n Bol%C3%ADvar,2008,11,6,151733,492
History of Ecuador (1830%E2%80%9360),2012,7,18,75436,152
Cenepa War,2006,8,16,79385,107
Tetet%C3%A9 people,2006,2,0,26206,43
History of Ecuador,2011,10,15,132193,358
Geography of Ecuador,2005,2,0,40282,103
Museo Antropologico y de Arte Contemporaneo,2008,7,0,32241,54
History of the Ecuadorian%E2%80%93Peruvian territorial dispute,2012,2,23,167804,358
Sim%C3%B3n Bol%C3%ADvar,2006,4,3,87955,197
.ec,2007,6,0,70116,411
National Congress (Ecuador),2006,3,0,40936,85
Ecuadorian War of Independence,2010,6,0,46430,96
Direcci%C3%B3n de la Industria Aeron%C3%A1utica,2009,5,0,24731,25
Battle of Pun%C3%A1,2006,5,0,33294,75
List of heads of state of Ecuador,2006,3,0,118245,770
Sea Shepherd Conservation Society operations,2015,1,219,332307,352
French Geodesic Mission,2010,9,0,37983,84
Viceroyalty of New Granada,2004,1,0,33217,45
Military of Ecuador,2009,2,0,98661,293
El Empalme,2006,1,0,24259,58
List of Ambassadors of the United Kingdom to Ecuador,2011,9,2,61920,216
Spanish conquest of the Inca Empire,2005,1,0,42207,71
Battle of Pichincha,2014,8,0,62367,103
Sim%C3%B3n Bol%C3%ADvar,2014,5,43,239389,781
Cabinet of Ecuador,2013,6,4,51673,85
Sebasti%C3%A1n de Belalc%C3%A1zar,2004,10,0,30713,28
Museo Antropologico y de Arte Contemporaneo,2006,6,0,26621,35
SAEREO,2005,8,0,31425,76
"Ratas, Ratones, Rateros",2013,3,0,31699,60
Economy of Ecuador,2009,9,0,75662,328
Alegro PCS,2008,12,1,29613,52
Vachellia aroma var. huarango,2008,8,1,31707,62
Portal:Ecuador,2008,7,2,99342,240
Indigenous peoples in Ecuador,2009,4,17,92275,218
Social class in Ecuador,2010,5,4,68233,77
Outline of Ecuador,2015,4,1,113327,363
Pre Columbian Ecuador,2008,11,9,59301,105
Ecuadorian sucre,2006,5,0,28186,39
Inca Empire,2014,5,73,266642,886
Battle of Mullihambato,2009,2,0,32760,67
Vicariate Apostolic of San Miguel de Sucumb%C3%ADos,2013,4,2,44379,93
