filename,year,month,num_citations,file_size,forward_links
Bowab,2012,3,0,25489,40
Egyptian Navy,2015,1,21,117741,237
Sa%27idi people,2008,4,0,29226,51
Sinai insurgency,2014,1,140,280342,430
List of 2006 human rights incidents in Egypt,2010,2,84,150075,173
"Hu, Egypt",2012,1,2,32088,61
Index of Egypt related articles,2007,1,0,103638,976
Zabbaleen,2012,4,57,146764,93
Egypt,2009,2,93,383382,1415
Brotherhood Without Violence,2014,8,6,33102,44
Canal of the Pharaohs,2007,9,0,29001,56
Egyptian Revolution of 1952,2014,1,5,127194,434
Egyptian protest law,2015,3,12,36959,35
Cabinet of Egypt,2008,7,0,52410,105
Template:Egyptian diaspora,2012,7,0,23421,39
Egyptian Revolution of 2011,2011,6,250,611501,1330
Economy of Egypt,2007,6,6,97824,408
Malak Hifni Nasif,2014,11,33,64522,39
Arab Network for Quality Assurance in Higher Education,2011,6,10,34331,65
Great Pyramid of Giza,2013,6,58,188579,384
Interpretatio graeca,2008,10,1,57616,249
Postage stamps and postal history of Egypt,2012,1,7,58695,185
Caliadne,2013,9,1,27626,56
Operation Sinai (2012),2014,6,28,84247,86
"Centre d%27%C3%A9tudes et de documentation %C3%A9conomiques, juridiques et sociales",2012,11,1,28403,35
Human rights in Egypt,2012,10,65,179826,388
Telecommunications in Egypt,2013,6,1,133895,606
Kefaya,2011,12,32,120830,424
History of Egypt,2007,5,0,61013,187
Alexandria Sporting Club,2013,4,0,28289,35
Economy of Egypt,2008,12,20,152997,499
Helen (play),2005,8,0,28658,51
Blasphemy law in Egypt,2010,4,32,85770,98
Baggush Box,2009,8,0,27119,48
Judiciary of Egypt,2009,12,0,45675,92
Human rights in Egypt under the Supreme Council of the Armed Forces,2015,2,63,200981,526
Template:History of Egypt,2006,12,0,29084,36
List of supermarket chains in Egypt,2013,2,0,51624,124
Louis Maurice Adolphe Linant de Bellefonds,2005,10,0,33192,62
Abu Ageila,2010,4,0,27009,46
Copts,2015,3,80,260331,825
Coptic literature,2009,2,4,39037,98
Sa%CA%BFada and Murabtin,2012,1,0,25968,49
Io (mythology),2002,9,0,32555,35
"Hu, Egypt",2008,10,0,28528,52
Water politics in the Middle East,2008,7,11,41621,78
Template:Al Azhar,2012,2,0,26609,44
Egyptian Revolution of 1952,2008,11,1,76849,232
Sharm el Sheikh International Airport,2014,3,4,94668,426
List of Speakers of the House of Representatives (Egypt),2010,9,0,27363,37
Egyptian pound,2012,12,4,127136,476
Fellah,2006,7,0,31328,48
Conscription in Egypt,2010,8,2,31127,44
Shayfeencom,2012,11,9,53687,86
Egyptian Armed Forces,2006,1,0,48860,70
Template:Patriarchs of Alexandria,2012,1,0,51687,255
As Salih Ayyub,2014,9,14,51427,140
Years in Egypt,2015,1,0,104577,107
Shayfeencom,2013,7,9,94075,360
Capital punishment in Egypt,2014,5,11,76494,267
Al Ahram Center for Political and Strategic Studies,2010,9,0,34613,49
Old Cairo,2015,3,2,47203,126
April 6 Youth Movement,2013,3,18,102505,375
Egyptian Navy,2009,12,8,50896,100
Masr (domain name),2010,10,4,63597,419
Template:Egypt stub,2009,9,0,34332,47
Shooting Club Egypt,2010,2,0,27279,38
Egyptian Trade Union Federation,2012,5,1,34512,57
Speed ball,2010,3,0,33464,57
Sharq Al Owainat,2010,8,0,29730,65
Economy of Egypt,2009,7,25,172516,591
Egyptian Revolution of 2011,2014,11,383,795397,1350
Helen (play),2007,2,0,37780,95
Saladin in Egypt,2010,5,23,65045,113
Infitah,2013,9,9,36014,70
Suez Canal overhead powerline crossing,2009,11,0,31295,55
Canal of the Pharaohs,2008,4,0,29922,60
Post coup unrest in Egypt (2013%E2%80%9314),2014,12,182,413811,978
Fellah,2006,6,0,31986,54
Egypt and weapons of mass destruction,2014,2,12,48048,112
Tahtib,2008,12,2,52233,174
Egyptian Exchange,2013,3,6,52729,163
Zabbaleen,2012,11,58,151192,104
Sherden,2008,4,6,41447,74
Via Maris,2008,12,0,35472,102
Egyptian Media Production City,2006,11,0,31794,27
Centre for Sinai,2008,1,0,27329,52
Telecommunications in Egypt,2006,10,0,38981,125
Aswan Dam,2005,4,0,54745,78
Egyptian pound,2006,3,0,52077,159
Tibesti Jebel Uweinat montane xeric woodlands,2015,4,1,58012,183
Economy of Egypt,2013,4,51,244922,749
Ministry of Communications and Information Technology (Egypt),2011,7,7,60064,95
Egyptian nationality law,2007,12,0,40961,52
Academy of the Arabic Language in Cairo,2012,8,0,32763,44
Northern coast of Egypt,2008,8,0,29347,70
Egyptian Navy,2008,2,0,41081,70
Egyptian Scientific Institute,2012,5,3,28626,47
Egyptian Armed Forces,2010,11,7,90293,245
Egyptian pyramids,2007,4,4,75038,162
Nilus (mythology),2006,11,0,25130,36
Egyptian Centre for Women%27s Rights,2009,4,3,33844,56
Assassination of Anwar Sadat,2012,4,6,42967,87
Danaus,2011,4,31,148289,197
Egyptian pyramids,2013,6,19,129592,369
Suez Canal,2007,4,1,97908,220
Capital punishment in Egypt,2010,10,1,55677,125
Index of Egypt related articles,2008,5,0,104497,979
Egyptian pyramids,2014,11,22,131715,372
Post coup unrest in Egypt (2013%E2%80%9314),2015,1,191,425347,980
Suez Canal,2009,6,37,150278,377
Fraser Tombs,2007,4,0,25452,43
Interpretatio graeca,2005,1,0,28276,46
Egypt,2014,4,191,621305,1797
Academy of the Arabic Language in Cairo,2009,8,0,30077,40
Egyptian Financial Supervisory Authority,2011,7,0,33763,55
Amany Rashad,2009,4,0,27305,45
Baltagiya,2012,2,4,33238,53
June 2013 Egyptian protests,2015,3,229,464794,738
Modern Arab Association,2007,12,0,27754,49
Egyptian pyramids,2004,9,0,63765,110
Sa%27idi Arabic,2009,7,4,62750,163
Template:History of Egypt,2007,8,0,29126,32
Misr Flying Institute,2006,11,0,27791,47
Portal:Ancient Egypt,2008,5,0,63558,130
Egyptian pyramids,2010,6,15,105731,266
Orascom Group,2009,11,0,25058,34
Speed ball,2009,9,0,32475,50
Transport in Egypt,2005,5,0,33525,70
Parliament of Egypt,2009,8,0,56330,184
Khaled El Hagar,2010,5,0,29195,32
Abu Ageila,2006,1,0,24991,43
Interpretatio graeca,2007,11,0,52178,225
Old Cairo,2013,2,2,46695,132
Muslim Brotherhood,2010,1,81,223263,639
Baltagiya,2014,9,4,31333,48
Egyptian Navy,2010,1,8,51326,96
Template:Egypt stub,2006,12,0,27009,31
Sherden,2004,6,0,30595,40
Climate of Egypt,2010,8,0,46269,181
Botanical gardens in Egypt,2013,3,7,51265,85
Capital punishment in Egypt,2006,12,0,25574,47
El Gorah,2006,4,0,25608,36
History of Egypt,2009,2,2,73862,275
"Centre d%27%C3%A9tudes et de documentation %C3%A9conomiques, juridiques et sociales",2012,12,1,29149,35
Voice of the Arabs,2014,1,8,56037,84
Template:Life in Egypt,2006,8,0,22466,35
Saladin in Egypt,2010,9,23,64817,113
Egyptian Army,2010,2,10,132476,385
As Salih Ayyub,2013,12,14,51617,142
List of wars involving Egypt,2014,11,8,127373,322
Egyptian pound,2009,7,4,115720,472
Microsoft Egypt,2007,3,0,24300,36
Egyptian Revolution of 1952,2007,1,0,67159,133
Young Men%27s Muslim Association,2013,4,1,30035,54
Tahtib,2006,2,0,26946,40
Badawiyya,2010,11,0,30138,63
.eg,2008,2,0,66593,397
Water politics in the Middle East,2009,2,31,67138,124
Egypt Supra Constitutional Principles Document,2011,12,0,26465,45
List of diplomatic missions of Egypt,2013,12,0,166942,577
Gaza Strip smuggling tunnels,2008,10,0,43056,115
Template:2011 Egyptian protests Death Toll,2014,4,17,78530,210
Sa%27idi Arabic,2008,9,4,63417,168
Achiroe,2011,10,5,118904,111
Sa%27idi people,2009,8,4,37061,80
Public holidays in Egypt,2014,5,1,58166,232
Egyptian Public Works,2009,10,6,59773,205
Human rights in Egypt,2006,10,13,78318,227
Louis Maurice Adolphe Linant de Bellefonds,2008,10,0,38789,82
Superjet Lines,2006,11,0,27037,46
Population history of Egypt,2013,7,74,110357,192
Egyptian Armed Forces,2012,2,12,103387,258
Revolution Day (Egypt),2007,5,0,25615,51
Template:History of Egypt,2011,4,0,39895,79
Aswan Dam,2007,10,1,70628,113
Tahtib,2009,5,2,57737,186
Operation Eagle,2013,1,36,91929,130
History of Egypt,2002,9,0,59416,157
.eg,2007,6,0,66709,397
Egypt,2010,8,110,463071,1637
Template:Egypt topics,2010,8,0,32190,90
List of wars involving Egypt,2013,4,8,83990,191
Egyptian Air Defense Forces,2008,11,0,32913,59
Sharm el Sheikh International Airport,2011,11,3,64674,172
Galala Marble,2010,10,0,27915,53
Muslim Brotherhood,2013,1,127,315855,891
Tahtib,2007,1,0,35247,65
Muslim Brotherhood,2008,4,61,179529,445
Copts,2009,1,55,148004,424
Tamarod,2014,10,42,129063,356
Protestantism in Egypt,2010,6,1,56695,139
Great Pyramid of Giza,2003,3,0,49332,52
Suez Canal,2011,1,60,190083,484
Kheti,2006,6,0,24806,37
Template:Egypt topics,2010,10,0,31763,88
Copts,2006,6,0,48780,86
Copyright law of Egypt,2011,9,9,86786,179
Egyptian law,2013,2,0,24887,43
Tibesti Jebel Uweinat montane xeric woodlands,2008,3,1,30904,61
Cabinet of Egypt,2013,12,11,94574,224
Template:Egypt topics,2011,6,0,34175,103
Supreme Council of the Armed Forces,2014,6,16,98877,294
Muslim Brotherhood,2006,9,2,75211,177
Geography of Egypt,2007,6,0,78209,327
Egyptian Exchange,2013,4,6,53092,172
Egyptians,2013,6,100,237495,690
Template:Religion in Egypt,2014,5,0,29122,58
Human rights in Egypt,2011,2,37,118570,337
Economy of Egypt,2012,2,44,242372,776
Egyptian constitutional review committee of 2011,2011,2,9,62595,183
Danaus,2009,2,9,129419,135
Feminism in Egypt,2012,7,16,98069,266
Prostitution in Egypt,2010,3,5,51866,170
Qualifying Industrial Zone,2009,1,8,65315,107
Assassination of Anwar Sadat,2012,1,6,37860,72
Liberalism in Egypt,2005,10,0,43079,143
Tamarod,2014,6,41,129627,362
Economy of Egypt,2006,8,1,89976,400
Egyptian Navy,2006,7,0,29012,44
Suez Canal overhead powerline crossing,2010,11,0,41240,103
Economy of Egypt,2013,12,57,260490,764
Emergency law in Egypt,2011,12,7,34592,53
Parliament of Egypt,2010,12,0,65132,240
Population history of Egypt,2010,8,69,117144,192
Sa%27idi Arabic,2013,1,4,68511,198
Al Ayal Kibrit,2013,1,0,29313,58
Shooting Club Egypt,2014,6,0,29634,46
Egyptian Revolution of 1952,2006,12,0,65569,110
Transport in Egypt,2013,5,2,59195,198
Egyptian Revolution of 1952,2014,4,5,127308,432
Index of Egypt related articles,2005,7,0,67360,549
Voice of the Arabs,2013,3,8,55833,82
Infitah,2005,7,0,25078,50
Muqawqis,2005,8,0,28352,51
Template:Airlines of Egypt,2014,1,0,28546,48
Kheti,2009,3,8,28979,53
Template:Religion in Egypt,2013,12,0,27828,55
Human rights in Egypt,2008,5,34,100735,274
Egyptian police casualties since 2011,2014,12,2,40771,68
Template:Muhammad Ali Dynasty,2011,5,0,30042,67
Water politics in the Middle East,2012,5,27,84222,153
Transport in Egypt,2010,12,2,63249,205
Muslim Brotherhood,2008,5,62,196345,541
Public holidays in Egypt,2009,12,0,55184,219
Telephone numbers in Egypt,2008,7,0,27789,61
Caliadne,2008,4,1,26858,53
Template:History of Egypt,2014,7,0,61555,173
North Saharan steppe and woodlands,2012,9,0,32142,77
Assassination of Anwar Sadat,2012,3,6,42122,83
Egyptian Revolution of 2011,2015,1,388,802469,1354
Suez Canal,2015,3,82,359265,609
Aswan Dam,2010,10,20,104082,207
Gaza Strip smuggling tunnels,2009,6,14,103338,387
Coptic literature,2007,8,6,41693,100
Egypt,2013,7,160,558657,1653
Sa%27idi Arabic,2008,8,4,62811,166
Transport in Egypt,2010,8,2,63211,195
Taba International Airport,2009,4,2,40100,74
Jose Bartolo,2012,11,0,24313,33
Emergency law in Egypt,2014,1,10,39994,58
Assassination of Anwar Sadat,2015,4,19,74007,150
Aswan Dam,2010,3,11,82777,159
Human rights in Egypt,2012,6,42,122294,320
Great Pyramid of Giza,2009,9,43,126863,205
Egyptian Constitutional Declaration of 2011,2012,3,0,65433,191
Template:Airlines of Egypt,2010,7,0,27869,48
Egyptian Armed Forces,2006,12,0,56384,164
Aswan Dam,2013,12,33,136289,240
Great Pyramid of Giza,2010,1,37,134238,187
Template:Egypt Protests and Revolutions,2013,7,0,30617,49
Water politics in the Middle East,2009,10,31,67537,120
Danaus,2011,5,32,148866,202
Template:Life in Egypt,2013,5,0,21468,27
Egyptian Navy,2010,5,8,61993,132
Modern Arab Association,2013,3,0,27972,50
Public holidays in Egypt,2014,3,1,58228,233
Infitah,2007,5,0,25815,52
Egyptian military industry,2014,8,1,33608,60
Memphis (mythology),2012,1,0,114186,92
Environmental issues in Egypt,2014,6,27,103203,201
Sharm el Sheikh International Airport,2012,6,3,66415,181
List of cities in Egypt,2013,11,0,81723,331
Nilus (mythology),2014,1,0,117113,111
2014 Aswan tribal clashes,2014,4,18,54308,55
4 Deserts,2014,3,16,77072,97
Template:Egypt stub,2011,5,0,34385,47
Transport in Egypt,2008,3,1,49164,166
List of historical capitals of Egypt,2010,12,0,30921,76
Template:World Heritage Sites in Egypt,2012,7,0,33789,45
"Hu, Egypt",2005,10,0,24969,39
Saladin in Egypt,2009,3,25,55867,79
Egyptian Armed Forces,2012,3,12,103741,268
List of 2006 human rights incidents in Egypt,2010,7,84,151731,174
Sa%27idi people,2013,10,5,41662,97
Public holidays in Egypt,2006,1,0,35798,92
4 Deserts,2013,4,14,74928,96
Arab Network for Quality Assurance in Higher Education,2011,5,10,34518,65
Helen (play),2009,2,0,39079,101
Egyptian Army,2007,10,5,70873,261
Aswan Dam,2013,8,33,135489,232
Orascom Group,2012,4,0,25371,30
List of cities in Egypt,2013,8,0,81219,335
4 Deserts,2009,12,0,39264,69
Egyptian Armed Forces,2010,9,7,86470,220
Egyptian law,2012,12,0,24873,43
Ministry of Communications and Information Technology (Egypt),2010,9,0,42877,43
Tibesti Jebel Uweinat montane xeric woodlands,2012,8,1,57659,188
Suez Canal,2011,5,71,191977,422
Egypt%27s reaction to the 2008 Kosovo declaration of independence,2012,10,25,72978,177
New Valley Project,2006,1,0,29040,41
Template:Egyptian Royal Family,2006,9,0,23181,30
Muqawqis,2006,7,0,37071,58
Telecommunications in Egypt,2006,7,0,44036,139
Index of modern Egypt related articles,2009,6,0,67920,538
International reactions to the Egyptian Revolution of 2011,2011,1,91,246379,620
Fellah,2008,2,2,34049,57
Northern coast of Egypt,2006,9,0,25834,43
Great Pyramid of Giza,2011,10,43,158093,274
Egyptian Exchange,2009,11,1,30775,40
List of wars involving Egypt,2012,12,8,70479,169
Canal of the Pharaohs,2011,11,16,42908,83
List of historical capitals of Egypt,2013,5,0,30680,72
Sherden,2005,12,0,29921,27
Outline of Egypt,2010,7,2,110791,433
Capital punishment in Egypt,2006,3,0,23025,23
Pakistanis in Egypt,2011,2,5,46983,143
Muslim Brotherhood,2010,5,86,221919,618
History of Egypt,2002,10,0,56946,157
Aswan Dam,2013,1,32,134105,238
Egyptians,2011,7,110,239152,680
Great Pyramid of Giza,2014,6,51,181712,360
Third Square,2013,12,11,135606,666
Coptic literature,2008,5,4,38787,94
Aswan Dam,2003,10,0,44833,47
Transport in Egypt,2007,1,0,47204,149
International reactions to the Egyptian Revolution of 2011,2012,8,195,479853,1149
Egyptian Army,2012,1,11,73932,120
Egyptian Army,2010,5,39,146086,384
Infitah,2007,3,0,25590,53
Egyptian Revolution of 1952,2012,8,3,92176,242
As Salih Ayyub,2009,1,0,33556,84
History of Egypt,2005,1,0,37601,65
Fesikh,2014,8,2,42142,139
Water politics in the Middle East,2014,2,27,87874,174
The Bottler,2009,6,2,32478,69
Aswan Dam,2004,11,0,50023,59
Great Pyramid of Giza,2004,4,0,58341,99
Copyright law of Egypt,2009,8,8,50808,85
Sa%27idi people,2014,7,6,39811,91
Via Maris,2013,10,1,42031,132
Postage stamps and postal history of Egypt,2011,4,6,56700,181
Tibesti Jebel Uweinat montane xeric woodlands,2010,11,1,32411,66
Yehia El Gamal (pediatrician),2013,4,26,42285,40
Interpretatio graeca,2012,6,13,78115,297
Salvation from Hell,2009,2,1,29878,52
History of Egypt under Gamal Abdel Nasser,2013,3,12,82510,191
EGX 30 Index,2010,4,1,24296,31
Muslim Brotherhood,2009,4,81,192320,422
Busiris (Greek mythology),2005,2,0,30245,37
Imbaba Bridge,2014,3,4,32292,46
Jihan El Tahri,2011,8,0,29528,68
Template:Egypt topics,2012,11,0,34465,100
Domestic responses to the Egyptian Revolution of 2011,2012,1,130,303842,753
Template:Egyptian diaspora,2009,8,0,23743,39
"Al Ashraf Musa, Sultan of Egypt",2015,4,3,42840,118
Egyptian Army,2014,3,14,132886,263
Template:Languages of Egypt,2015,2,0,27272,43
Revolution Day (Egypt),2013,9,0,29809,60
Economy of Egypt,2014,5,59,272311,832
Egyptian piastre,2009,9,0,26502,42
Kefaya,2007,6,66,74472,132
Egypt,2010,11,110,473311,1671
Via Maris,2015,3,1,43820,129
Mustafa Abdel Wadood,2014,12,6,41639,79
Microsoft Egypt,2007,2,0,24195,31
Capital punishment in Egypt,2009,2,1,52145,111
Egyptian Scientific Institute,2011,12,3,28536,47
Capital punishment in Egypt,2008,10,1,52765,115
Assassination of Anwar Sadat,2011,6,6,37994,74
Abu Ageila,2014,2,1,31205,59
North Saharan steppe and woodlands,2008,5,0,29075,53
Environmental issues in Egypt,2011,3,0,43868,73
Al Ahram Center for Political and Strategic Studies,2011,3,0,34489,49
Template:Egyptian Royal Family,2006,8,0,23139,28
Suez Canal,2014,9,82,358086,605
Aswan Dam,2009,9,11,82327,144
Sa%27idi Arabic,2011,8,4,67158,197
Cairo Conservatoire,2008,5,4,30520,61
Egyptians,2010,6,106,240138,688
Diocese of Philae,2010,8,0,29870,52
Sa%27idi people,2010,3,4,36709,77
Taba International Airport,2011,10,2,47187,92
Baltagiya,2013,9,4,31772,46
Cairo Conservatoire,2011,7,4,32971,63
Portal:Egypt,2007,5,0,89855,230
As Salih Ayyub,2011,8,0,44058,144
Tahtib,2014,7,7,52779,159
Egyptian Navy,2014,11,21,117354,236
Muqawqis,2010,12,1,39116,64
Marmarica,2012,5,0,32601,70
Danaus,2013,5,21,136478,175
Danaus,2013,6,21,137467,172
Template:2011 Egyptian protests Death Toll,2012,5,17,79108,212
List of cities in Egypt,2010,8,0,68556,315
List of wars involving Egypt,2012,11,8,70592,167
Cabinet of Egypt,2010,9,1,56451,117
Egyptian pyramids,2009,9,15,106046,272
Liberalism in Egypt,2009,7,0,71176,177
List of diplomatic missions of Egypt,2013,4,0,166708,576
Egyptian Air Defense Forces,2007,6,0,31483,77
Egypt%E2%80%93Uruguay relations,2015,3,10,67889,206
Revolution Day (Egypt),2009,12,0,27855,59
Smart Village Egypt,2012,6,0,30268,55
Arab Organization for Industrialization,2012,7,17,94442,306
Liberalism in Egypt,2013,3,6,84807,229
Social Fund for Development (Egypt),2009,9,0,29282,44
Ahmed Mohammed Ali,2013,9,2,34951,58
Interpretatio graeca,2005,2,0,28321,47
Pakistanis in Egypt,2011,3,5,50962,161
Flags of the Egyptian Armed Forces,2011,10,0,32852,56
Telecommunications in Egypt,2008,5,0,61471,210
Aswan Dam,2004,3,0,47468,56
Via Maris,2004,6,0,27081,43
Domestic responses to the Egyptian Revolution of 2011,2013,11,130,327158,886
Portal:Ancient Egypt,2007,4,0,76549,126
Muslim Brotherhood,2015,4,211,429838,835
Abu Ageila,2005,9,0,22010,29
List of Ministers of Defence of Egypt,2013,2,0,39795,83
Egypt,2012,5,138,524219,1783
Taba International Airport,2011,4,2,47093,94
Cabinet of Egypt,2007,1,0,51373,109
Economy of Egypt,2010,10,31,222789,728
"Template:Egyptian Shura Council election, 2010",2010,10,0,25711,38
Index of Egypt related articles,2006,11,0,103393,973
Economy of Egypt,2013,11,57,260459,754
Portal:Ancient Egypt,2006,8,0,76041,126
Louis Maurice Adolphe Linant de Bellefonds,2009,3,0,38939,82
Egypt,2009,12,109,431613,1512
Great Pyramid of Giza,2005,2,0,70137,133
Economy of Egypt,2012,12,52,246414,758
Northern coast of Egypt,2010,1,0,37724,112
Kefaya,2008,11,28,71768,141
Copts,2010,7,74,169326,438
Modern Arab Association,2007,4,0,27946,48
Tanoura (dance),2008,3,0,26553,44
Interpretatio graeca,2014,7,14,75267,304
Index of Egypt related articles,2003,10,0,58336,454
Great Pyramid of Giza,2012,4,46,174724,348
Fellah,2012,11,10,40300,58
Geography of Egypt,2006,10,0,75842,308
Telephone numbers in Egypt,2011,7,0,51298,209
Zabbaleen,2012,9,58,150377,97
Hinduism in Egypt,2010,7,1,26579,42
East Mediterranean Gas Company,2011,2,1,31042,49
Fellah,2006,2,0,30443,47
.eg,2006,12,0,66557,397
2014 in Egypt,2014,12,7,71003,175
Al Mayd%C4%81n,2014,8,2,26591,43
History of the Egyptian parliament,2007,11,0,60732,137
Muslim Brotherhood in post Mubarak electoral politics of Egypt,2013,6,70,200707,162
Economy of Egypt,2004,4,0,39723,78
Egyptian Navy,2014,4,21,106889,231
Ruweisat Ridge,2012,9,0,28533,54
Aswan Dam,2006,3,0,56407,86
Jihan El Tahri,2007,4,0,25938,60
East Mediterranean Gas Company,2011,7,1,31607,50
Sharm el Sheikh International Airport,2009,4,2,50694,130
Great Pyramid of Giza,2013,1,58,188619,384
Index of modern Egypt related articles,2009,5,0,68199,538
Index of modern Egypt related articles,2008,2,0,68179,540
Gender inequality in Egypt,2014,4,39,88984,75
Domiati,2009,11,0,26092,51
Template:Bishops of Egypt,2012,11,0,24272,42
Telecommunications in Egypt,2005,8,0,29698,67
Via Maris,2007,11,0,35606,104
Zaffa,2008,4,0,26450,49
Interpretatio graeca,2012,9,13,80487,299
4 Deserts,2009,1,0,39267,70
Kefaya,2010,8,28,73289,127
Egyptian Public Works,2010,2,6,60315,209
Egypt Post,2014,2,0,43655,148
Sa%27idi Arabic,2011,10,4,67199,195
Old Cairo,2009,10,2,46162,126
Egyptian military industry,2008,5,0,32115,55
Judiciary of Egypt,2013,1,0,57522,111
Egyptian pound,2009,1,3,83754,232
North Saharan steppe and woodlands,2010,2,0,28628,53
Federation of Egyptian Trade Unions,2011,2,7,35431,48
Geography of Egypt,2007,1,0,77057,323
Danaus,2006,2,0,35345,66
