filename,year,month,num_citations,file_size,forward_links
List of television stations in Latin America,2012,2,0,91250,247
Captaincy General of Guatemala,2008,4,0,38916,116
National Guard (El Salvador),2010,2,2,52669,117
Supreme Court of El Salvador,2009,7,3,36962,66
Legislative Assembly of El Salvador,2009,1,0,38277,72
%C3%93scar Osorio,2012,9,0,49328,158
List of diplomatic missions of El Salvador,2012,10,0,69667,197
1986 San Salvador earthquake,2010,7,2,36697,61
Democratic Change (El Salvador),2015,2,0,36539,78
Cuzcatlan,2007,10,0,37310,58
National Guard (El Salvador),2011,6,2,58313,118
1932 Salvadoran peasant massacre,2013,12,13,58894,97
List of newspapers in El Salvador,2014,12,0,36717,67
National Liberal Party (El Salvador),2009,12,0,34833,74
Salvadoran passport,2007,12,0,96024,374
Museum of the Revolution (El Salvador),2013,3,1,30742,59
Maya civilization,2008,7,18,194732,739
1932 Salvadoran peasant massacre,2013,4,9,53518,84
Atlacatl,2013,10,0,33142,64
Salvadoran real,2010,6,0,26355,36
Pipil people,2012,11,5,90230,289
Ad Hoc Commission,2009,8,1,26476,44
List of A.D. Isidro Metapan records and statistics,2012,3,0,73793,168
Cutumay Camones,2014,2,5,36911,55
Flag of El Salvador,2012,12,0,52875,117
United States Ambassador to El Salvador,2009,7,1,80214,332
"San Jose Ojos de Agua, El Salvador",2011,12,0,45694,52
List of diplomatic missions of El Salvador,2009,9,0,73159,195
Farabundo Mart%C3%AD,2010,5,1,39609,73
Abortion in El Salvador,2007,6,4,34936,79
Air Force of El Salvador,2010,2,3,53360,91
List of Salvadorans,2007,5,0,38886,109
Willie Maldonado,2010,6,0,37849,49
List of Roman Catholic dioceses in El Salvador,2013,3,0,26899,49
Template:ElSalvador university stub,2014,8,0,31297,53
Pipil people,2005,12,0,45325,97
List of massacres in El Salvador,2012,12,3,43660,143
Salvadoran Civil War,2012,5,102,205493,203
1932 Salvadoran peasant massacre,2014,2,13,58985,102
Democratic Change (El Salvador),2008,11,0,32537,67
Municipalities of El Salvador,2015,3,0,70623,357
Geography of El Salvador,2013,4,0,62320,211
Politics of El Salvador,2005,10,0,48381,114
Flag of El Salvador,2008,9,0,53275,125
Salvadoran passport,2014,1,2,89879,360
Legislative Assembly of El Salvador,2013,7,0,58949,142
Economy of El Salvador,2008,2,0,88792,394
Central America 4 passport,2013,1,0,88691,413
Farabundo Mart%C3%AD,2012,8,1,39820,66
Pipil people,2006,9,0,71757,274
Pipil people,2010,5,3,73997,257
Ad Hoc Commission,2010,4,1,26964,46
Radio Venceremos,2012,11,1,29671,50
Battle of Acajutla,2013,3,0,28367,54
History of El Salvador,2012,2,3,60651,151
Maya civilization,2010,8,24,203282,702
People%27s Liberation Movement (El Salvador),2008,4,3,28222,37
History of El Salvador,2002,5,0,33446,41
Battle of Acajutla,2009,2,0,27945,55
Farabundo Mart%C3%AD,2008,4,0,33615,54
El Mozote massacre,2005,12,0,49849,94
Battle of Acajutla,2010,11,0,29393,63
Recurso de amparo,2009,6,17,71360,300
Salvadoran passport,2014,5,2,89895,363
List of Salvadoran Americans,2009,8,4,42764,153
List of Salvadorans,2011,5,0,36782,121
El Calabozo massacre,2014,4,5,38864,62
Salvadoran Army,2008,7,0,30211,52
List of Salvadoran Americans,2011,11,4,51467,188
Transportes A%C3%A9reos de El Salvador,2009,12,0,36450,91
Federal Republic of Central America,2006,9,0,54922,147
Transport in El Salvador,2008,6,2,36134,70
Salvadoran passport,2009,8,0,106198,408
Flag of El Salvador,2006,11,0,56644,69
Col%C3%B3n (currency),2014,7,0,36666,102
History of the west coast of North America,2005,12,0,36414,111
Pipil people,2006,4,0,45342,104
Mesoamerica,2006,7,0,190209,501
Maya civilization,2009,5,23,202287,699
Judiciary of El Salvador,2010,4,0,27143,45
History of the west coast of North America,2006,5,0,36383,107
Comando Especial Anti Terrorista,2014,4,0,30256,50
History of El Salvador,2009,3,7,59278,135
List of Salvadoran Americans,2015,3,2,59998,212
List of diplomatic missions of El Salvador,2012,1,0,73862,196
El Salvador,2014,4,102,380800,885
Central de Trabajadores Democr%C3%A1ticos,2006,10,0,28291,45
Battle of Acajutla,2009,7,0,27673,53
Economy of El Salvador,2007,9,0,88921,400
Mesoamerica,2012,6,18,230783,886
El Salvador: Another Vietnam,2011,6,1,31079,43
President of El Salvador,2008,8,0,59872,389
Recurso de amparo,2011,4,17,73049,299
Mesoamerica,2010,4,21,203525,813
Constitutions of El Salvador,2011,10,1,48292,112
Real Audiencia of Guatemala,2011,10,1,47920,142
Farabundo Mart%C3%AD,2014,8,1,63801,221
Outline of El Salvador,2008,11,0,72230,151
Flag of El Salvador,2009,9,0,52695,117
1811 Independence Movement,2014,10,0,60738,225
Commission on the Truth for El Salvador,2010,1,2,33054,66
Salvadoran Army,2013,4,11,107609,180
Christian Reformed Church in El Salvador,2013,4,3,29657,48
.sv,2008,7,0,66778,402
Salvador (book),2006,12,0,28766,59
1932 Salvadoran peasant massacre,2012,9,8,54478,89
History of El Salvador,2011,3,3,59670,139
United Democratic Centre (El Salvador),2012,5,1,33639,69
Universidad Gerardo Barrios,2009,1,0,26762,41
List of television stations in Latin America,2013,2,0,104592,306
Externado San Jos%C3%A9,2005,11,0,25880,43
Transport in El Salvador,2006,10,0,32791,55
Outline of El Salvador,2009,7,1,94939,251
Maya civilization,2006,1,0,109386,332
History of the west coast of North America,2006,4,0,36413,107
Battle of Acajutla,2013,8,0,28707,52
Torre Cuscatl%C3%A1n,2009,11,0,31538,53
National Coalition Party (El Salvador),2013,3,6,49560,86
Revolutionary Government Junta of El Salvador,2014,7,0,45994,104
Plus Ultra Brigade,2008,3,0,27311,58
Geothermal power in El Salvador,2013,3,2,32734,48
Geography of El Salvador,2005,9,0,29181,54
National Guard (El Salvador),2012,8,2,58315,118
Municipalities of El Salvador,2010,1,0,67508,359
El Salvador,2004,5,0,85081,196
Salvadoran passport,2013,5,1,85133,361
Popular Action (El Salvador),2006,4,0,32675,73
List of television stations in Latin America,2011,8,0,89990,255
El Salvador,2007,1,1,139548,393
Armed Forces of El Salvador,2003,9,0,24640,30
Salvadoran Army,2014,3,11,144444,258
Cuzcatlan,2007,7,0,37264,54
History of the west coast of North America,2008,11,26,105628,335
Minister of Foreign Affairs (El Salvador),2014,12,0,29610,38
List of television stations in Latin America,2009,8,0,81712,225
1986 San Salvador earthquake,2009,8,3,35075,56
La Capilla 515,2010,5,0,23998,32
Farabundo Mart%C3%AD,2011,5,1,38121,62
Geography of El Salvador,2005,3,0,28901,52
El Mozote massacre,2008,10,7,68840,132
Revolutionary Government Junta of El Salvador,2005,5,0,29124,52
Salvadoran Army,2011,11,11,75993,146
Farabundo Mart%C3%AD,2014,1,1,44780,86
List of diplomatic missions in El Salvador,2011,10,0,57021,95
Organizaci%C3%B3n Democr%C3%A1tica Nacionalista,2013,3,19,46903,70
"Salvadoran legislative election, 2009",2009,1,4,55284,145
Economy of El Salvador,2002,6,0,41435,49
Template:ElSalvador church stub,2015,3,0,30642,48
1932 Salvadoran peasant massacre,2009,8,9,52717,93
List of Salvadoran Americans,2011,3,4,50812,187
National Action Party (El Salvador),2009,12,0,33159,68
History of the west coast of North America,2011,1,25,115026,394
List of diplomatic missions of El Salvador,2007,8,0,38005,113
1932 Salvadoran peasant massacre,2011,2,9,56910,105
Battle of La Arada,2014,2,0,41503,73
El Diario de Hoy,2009,2,0,26292,38
National Coalition Party (El Salvador),2009,1,0,35950,75
Social Democratic Party (El Salvador),2006,2,0,33025,72
History of the west coast of North America,2013,12,28,118227,388
El Mozote massacre,2007,5,3,56702,108
February 2007 Salvadoran congressmen killings,2009,1,5,36701,63
Prostitution in El Salvador,2008,2,1,33992,53
National Coalition Party (El Salvador),2006,1,0,35662,80
President of El Salvador,2004,6,0,49475,346
Salvadoran col%C3%B3n,2006,8,0,40894,120
Flag of El Salvador,2012,4,0,53197,118
Municipalities of El Salvador,2007,4,0,43159,79
Index of El Salvador related articles,2011,6,3,85450,241
Telecommunications in El Salvador,2011,7,0,105243,485
Salvadoran Departments by HDI,2011,7,1,35294,68
List of diplomatic missions of El Salvador,2010,8,0,73105,196
El Diario de Hoy,2007,1,1,25616,36
El Calabozo massacre,2012,12,5,36521,52
Telecommunications in El Salvador,2012,3,0,106023,491
List of television stations in Latin America,2014,1,0,103452,317
Armed Forces of El Salvador,2009,1,1,47580,120
Pipil people,2008,3,0,73800,274
Pipil people,2007,12,0,72078,267
Salvadoran Civil War,2013,7,138,276220,543
United Nations Security Council Resolution 791,2012,3,0,53993,147
Willie Maldonado,2011,7,1,27153,43
.sv,2007,10,0,68089,401
List of Salvadorans,2007,9,0,39252,117
Revolutionary Democratic Front (2006),2010,3,0,27321,47
Transport in El Salvador,2006,12,0,40920,97
List of Salvadoran Americans,2015,2,2,54537,212
Gonzalo de Alvarado,2012,1,2,85939,61
Coffee production in El Salvador,2013,3,6,83243,239
Geography of El Salvador,2007,3,0,51847,149
Maya civilization,2004,9,0,75769,188
Maya civilization,2007,7,14,160315,596
Democratic Change (El Salvador),2013,3,0,36015,78
Civil Aviation Authority (El Salvador),2013,1,3,122451,312
History of the west coast of North America,2008,2,25,102833,316
Willie Maldonado,2011,6,0,40251,52
History of the Jews in El Salvador,2014,6,0,76288,311
Comando Especial Anti Terrorista,2013,1,0,26848,48
Legislative Assembly of El Salvador,2006,3,0,36328,70
Revolutionary Party of Democratic Unification,2008,11,0,26531,41
105 Campestre Torre B,2010,7,3,26909,36
Atlacatl,2009,12,0,30811,60
National Liberal Party (El Salvador),2009,2,0,33269,69
Legislative Assembly of El Salvador,2012,3,0,56634,139
Geography of El Salvador,2014,10,0,74524,267
Salvadoran passport,2013,3,0,82000,366
Captaincy General of Guatemala,2012,11,5,61242,191
Maya civilization,2004,7,0,75572,192
National Coalition Party (El Salvador),2014,9,7,51777,83
President of El Salvador,2015,2,0,135672,457
Scouting and Guiding in El Salvador,2009,12,0,39275,104
Consuelo de Saint Exup%C3%A9ry,2007,3,0,27896,49
Legislative Assembly of El Salvador,2014,3,0,71208,203
Flag of El Salvador,2008,6,0,52560,116
Geography of El Salvador,2007,2,0,52293,153
Torre Cuscatl%C3%A1n,2013,3,0,32494,56
Salvadoran col%C3%B3n,2007,4,0,32318,46
Federal Republic of Central America,2007,10,2,73338,237
Index of El Salvador related articles,2010,7,3,82144,240
Maya civilization,2003,5,0,56145,133
1932 Salvadoran peasant massacre,2008,8,4,46557,106
National Guard (El Salvador),2013,3,2,58512,125
United Nations Security Council Resolution 784,2010,4,1,55294,153
Mesoamerica,2005,11,0,42296,66
1811 Independence Movement,2010,12,0,37038,82
Salvadoran col%C3%B3n,2011,4,4,53962,88
Maya civilization,2013,2,33,240291,857
Constitution of El Salvador,2009,7,0,25797,35
Flag of El Salvador,2011,2,0,51086,114
Telecommunications in El Salvador,2008,6,0,33492,84
Atlacatl,2007,8,0,25569,46
"San Jose Ojos de Agua, El Salvador",2007,12,0,48534,39
Template:ElSalvador struct stub,2010,6,0,30687,55
List of diplomatic missions of El Salvador,2008,12,0,58000,157
List of Salvadorans,2012,12,0,36824,117
El Salvador,2010,6,61,242297,533
Captaincy General of Guatemala,2007,8,0,38515,109
Maya civilization,2002,12,0,49818,75
Consuelo de Saint Exup%C3%A9ry,2006,1,0,27319,45
Renewal Movement,2012,5,1,31922,62
.sv,2007,3,0,64532,396
List of Salvadorans,2011,12,0,38523,138
Salvadoran Civil War,2014,12,131,244731,560
Farabundo Mart%C3%AD,2013,8,1,43217,83
Politics of El Salvador,2004,3,0,38832,29
President of El Salvador,2013,4,0,131855,453
Cuscatl%C3%A1n Formation,2014,7,0,34879,64
Central Reserve Bank of El Salvador,2008,7,0,59806,248
Navy of El Salvador,2014,6,3,40358,75
%C3%93scar Osorio,2012,11,0,50375,167
1811 Independence Movement,2009,12,0,36938,80
Salvadoran Army,2013,1,11,82225,157
History of the west coast of North America,2007,12,24,101728,316
1986 San Salvador earthquake,2008,7,2,31199,56
History of El Salvador,2015,1,6,99704,332
List of diplomatic missions of El Salvador,2008,7,1,60040,159
History of the Jews in El Salvador,2013,4,0,74260,307
Liceo Salvadore%C3%B1o,2011,8,2,32424,50
Captaincy General of Guatemala,2010,3,2,57743,178
History of El Salvador,2005,3,0,44001,84
Comunidad Israelita de El Salvador,2009,3,0,28852,45
Salvadoran passport,2013,11,2,91851,368
Universidad Aut%C3%B3noma de Santa Ana,2013,8,0,35556,52
Geography of El Salvador,2007,12,0,53018,149
Fuerzas Armadas de la Resistencia Nacional,2013,4,1,29902,45
List of A.D. Isidro Metapan records and statistics,2015,3,0,99951,253
Mesoamerica,2010,7,21,203113,809
United States Ambassador to El Salvador,2010,11,1,81439,330
Pipil people,2011,6,5,78849,273
El Calabozo massacre,2013,3,5,38918,66
Democratic Change (El Salvador),2014,4,0,36712,83
Comunidad Israelita de El Salvador,2013,4,0,31428,50
Col%C3%B3n (currency),2005,1,0,24198,39
Atlacatl,2009,8,0,30917,60
History of El Salvador,2006,4,0,61482,179
Maya civilization,2013,1,33,238485,849
Scouting and Guiding in El Salvador,2009,3,0,37685,99
Municipalities of El Salvador,2011,3,0,66880,355
El Salvador,2002,12,0,60462,44
Consuelo de Saint Exup%C3%A9ry,2009,10,0,28483,47
List of Salvadoran Americans,2008,12,3,40246,135
Template:ElSalvador stub,2013,7,0,31846,51
Index of El Salvador related articles,2011,4,3,85418,242
El Salvador,2010,10,63,256039,561
Abortion in El Salvador,2013,5,8,79706,280
Greater Republic of Central America,2013,8,0,39423,68
Col%C3%B3n (currency),2008,5,0,34088,94
Party of Salvadoran Workers,2005,3,0,22810,28
Maya civilization,2010,11,23,202437,706
%C3%93scar Osorio,2011,3,0,47462,147
Maya civilization,2012,10,28,230219,831
Pipil people,2012,7,5,90320,293
El Salvador: Another Vietnam,2010,11,1,30154,41
Salvadoran Army,2011,4,11,90276,179
President of El Salvador,2005,6,0,50115,352
President of El Salvador,2008,11,0,58881,374
List of diplomatic missions in El Salvador,2008,8,0,41624,70
Ranked list of Salvadoran departments,2006,4,0,28579,57
Maya civilization,2003,7,0,56075,133
History of El Salvador,2006,8,0,60992,172
Geography of El Salvador,2007,7,0,52002,152
History of El Salvador,2005,8,0,51567,130
Coffee production in El Salvador,2014,5,6,95272,299
Roman Catholic Archdiocese of San Salvador,2007,6,0,35287,90
Willie Maldonado,2011,3,0,40357,52
List of television stations in Latin America,2005,7,0,33551,91
1811 Independence Movement,2009,5,0,36726,83
Recurso de amparo,2009,7,17,71908,305
Recurso de amparo,2013,3,17,73928,306
History of the west coast of North America,2012,7,26,115370,393
Air Force of El Salvador,2010,10,3,53119,96
Central Reserve Bank of El Salvador,2007,5,0,30695,54
Radio Venceremos,2009,7,0,28395,53
History of El Salvador,2008,5,0,58548,165
Cuzcatlan,2009,7,0,44702,85
List of television stations in Latin America,2007,6,0,55852,109
"San Jose Ojos de Agua, El Salvador",2008,5,0,44534,48
Empresas ADOC,2013,2,3,28854,50
Politics of El Salvador,2007,4,0,57103,157
History of El Salvador,2009,10,3,55392,142
105 Campestre Torre A,2011,12,3,32824,42
Salvadoran Civil War,2012,11,222,345303,259
List of earthquakes in El Salvador,2014,7,4,45737,60
Radio Venceremos,2007,4,0,27434,45
List of diplomatic missions in El Salvador,2009,1,0,43025,68
El Diario de Hoy,2009,4,0,26277,42
Geothermal power in El Salvador,2009,6,0,26940,42
Recurso de amparo,2008,8,2,30761,44
Maya civilization,2009,8,25,204878,713
List of Salvadorans,2012,6,0,37662,127
United Nations Security Council Resolution 991,2012,4,2,54060,142
Revolutionary Government Junta of El Salvador,2007,11,0,32708,74
List of diplomatic missions in El Salvador,2015,4,0,54405,99
History of El Salvador,2014,7,6,75862,204
Pipil people,2006,8,0,60440,234
Revolutionary Government Junta of El Salvador,2014,3,0,43617,89
.sv,2006,1,0,62569,392
Geography of El Salvador,2007,4,0,52283,147
Consuelo de Saint Exup%C3%A9ry,2013,8,9,63212,157
Flag of El Salvador,2005,4,0,38732,44
Cutumay Camones,2014,5,5,36158,51
Party of Salvadoran Workers,2008,5,0,29263,48
Transport in El Salvador,2013,4,3,49280,129
Maya civilization,2006,4,0,132082,493
Consuelo de Saint Exup%C3%A9ry,2012,3,0,37896,69
El Salvador,2003,11,0,62422,53
Geography of El Salvador,2008,4,0,53879,157
National Guard (El Salvador),2010,3,2,52567,121
Federal Republic of Central America,2010,2,2,77256,158
Greater Republic of Central America,2007,2,0,27583,40
