filename,year,month,num_citations,file_size,forward_links
Equatorial Guinean peseta,2006,8,0,27770,43
Economy of Equatorial Guinea,2004,9,0,51959,92
John Beecroft,2005,7,0,27306,68
Outline of Equatorial Guinea,2010,4,2,101630,256
List of colonial governors of Fernando P%C3%B3o,2009,12,0,56797,70
Military of Equatorial Guinea,2011,8,5,63346,170
Fern%C3%A3o do P%C3%B3,2009,8,0,32371,65
Black Beach,2010,12,3,34639,56
Culture of Equatorial Guinea,2013,3,2,44694,129
"Elobey, Annob%C3%B3n and Corisco",2006,12,0,33476,64
Pablo Ndong Esi,2011,2,5,36789,68
Spanish Guinea,2013,1,3,50734,120
List of diplomatic missions of Equatorial Guinea,2009,5,1,62021,162
2004 Equatorial Guinea coup d%27%C3%A9tat attempt,2007,9,19,83391,176
List of heads of government of Equatorial Guinea,2013,1,0,77229,280
Culture of Equatorial Guinea,2007,8,0,41736,125
Elections in Equatorial Guinea,2005,1,0,35390,85
Air Guinea,2008,2,1,34534,92
.gq,2006,5,0,62675,389
Economy of Equatorial Guinea,2005,6,0,52434,98
Pichinglis,2013,5,1,52161,100
Coat of arms of Equatorial Guinea,2011,10,1,53925,131
Equatorial Guinea,2009,1,25,201042,617
List of diplomatic missions of Equatorial Guinea,2012,10,0,62803,168
Postage stamps and postal history of Equatorial Guinea,2013,1,1,56555,186
List of heads of state of Equatorial Guinea,2011,4,0,72429,230
R%C3%ADo Muni,2009,7,0,38728,84
Pichinglis,2011,9,0,41874,58
Fernandino peoples,2008,12,0,34120,85
Juan Jos%C3%A9 Lerena y Barry,2013,3,0,27782,61
Demographics of Equatorial Guinea,2007,12,0,45036,157
Equatorial Guinea at the Olympics,2011,7,0,65382,291
William Vivour,2010,7,2,32486,72
Spanish Guinea,2005,9,0,27841,38
History of Equatorial Guinea,2015,2,21,77404,200
Economic Community of Central African States,2009,10,6,103889,330
Economy of Equatorial Guinea,2009,11,6,74428,191
"Elobey, Annob%C3%B3n and Corisco",2005,1,0,27412,50
Ecuato Guineana,2011,6,1,39019,103
Ceiba Intercontinental Airlines,2013,2,7,50462,137
Progress Party of Equatorial Guinea,2005,11,0,33494,67
Culture of Equatorial Guinea,2008,12,1,43818,129
Equatorial Guinea,2010,3,39,236253,687
John Beecroft,2007,5,0,28822,72
Pichinglis,2015,4,2,58226,104
2004 Equatorial Guinea coup d%27%C3%A9tat attempt,2008,1,19,80319,124
Bioko,2006,7,0,76407,224
Transport in Equatorial Guinea,2014,1,2,47652,141
Bata Airport,2013,9,0,42894,88
Elections in Equatorial Guinea,2012,11,2,67135,197
Music of Equatorial Guinea,2013,12,3,46150,155
History of Equatorial Guinea,2011,10,6,55939,153
Geography of Equatorial Guinea,2012,8,0,58054,223
Bioko,2004,10,0,32029,43
Bata Airport,2010,4,0,35891,61
Military of Equatorial Guinea,2004,9,0,27128,32
Bank of Central African States,2009,7,1,66550,269
Oyala,2014,4,14,56266,82
Politics of Equatorial Guinea,2014,4,7,88159,276
Template:EquatorialGuinea stub,2012,8,0,33467,47
Telephone numbers in Equatorial Guinea,2010,7,0,38879,113
Equatorial Guinea,2013,6,69,274447,722
Equatair,2006,9,0,26119,42
Equatorial Guinean peseta,2006,1,0,25027,41
Chamber of Deputies (Equatorial Guinea),2011,5,1,53606,158
List of heads of state of Equatorial Guinea,2008,8,0,47793,109
R%C3%ADo Muni,2014,6,0,42276,78
Fernandino peoples,2012,5,6,47486,134
Military of Equatorial Guinea,2007,6,1,44259,121
Template:EquatorialGuinea airport stub,2010,5,0,31609,55
Black Beach,2008,5,3,27867,34
Hijas del Sol,2008,9,0,30624,54
List of colonial governors of Fernando P%C3%B3o,2010,4,0,53080,57
Treaty of El Pardo (1778),2015,1,0,31176,58
R%C3%ADo Muni,2007,4,0,32863,66
