filename,year,month,num_citations,file_size,forward_links
National Agricultural Research Institute (Eritrea),2007,7,0,28127,36
Eritrean coastal desert,2012,10,0,31818,63
National Union of Eritrean Youth and Students,2009,6,0,26345,38
List of Eritreans,2014,5,0,43404,155
Eritrean Telecommunications Corporation,2007,7,5,33157,44
Negus,2015,3,2,37125,75
History of Eritrea,2007,7,12,93388,289
Nakfa Corporation,2009,12,1,26486,42
Transport in Eritrea,2002,2,0,23397,24
G 15 (Eritrea),2007,11,2,30051,49
National Agricultural Research Institute (Eritrea),2013,3,0,33328,57
List of Eritreans,2009,5,0,46631,80
National Scout Association of Eritrea,2008,8,2,34867,54
Bilen people,2010,8,3,33156,72
Battle of Adwa,2013,3,45,113277,235
Eritrean Ascari,2009,1,6,40614,91
Addi,2006,9,0,25408,44
Italian Eritrea,2012,11,18,106918,320
Hawulti (monument),2005,8,0,23417,30
National Scout Association of Eritrea,2007,2,0,30504,49
Regions of Eritrea,2010,12,1,52510,163
LGBT rights in Eritrea,2013,12,19,83466,141
Masenqo,2013,12,3,37874,81
Eritrean Investment and Development Bank,2011,8,1,29109,44
LGBT rights in Eritrea,2011,5,4,49300,135
List of Eritreans,2008,5,0,45145,79
Eritrea,2007,2,32,204190,570
History of Eritrea,2014,5,30,145009,451
Luyet,2009,4,0,27296,46
Red Sea Air,2009,3,0,35553,91
Ras Alula,2009,10,12,50652,98
Ministry of National Development (Eritrea),2013,8,1,35094,74
Assab International Airport,2009,7,0,34856,57
Transport in Eritrea,2014,6,1,53616,180
Asmara Massawa Cableway,2013,10,1,29664,47
Ras Alula,2014,11,13,56680,120
Eritrean Army,2008,7,0,32135,65
Housing and Commerce Bank,2009,4,1,32118,56
List of earthquakes in Eritrea,2008,7,0,25952,40
Economy of Eritrea,2006,12,0,45289,148
Eritrea%E2%80%93Yemen relations,2013,8,1,42975,101
Health in Eritrea,2006,3,0,26918,47
CIA activities in Eritrea,2010,6,1,35438,79
Italian Eritrea,2015,4,27,129690,445
"St. Joseph%27s Cathedral, Asmara",2008,12,0,33767,57
Asmara Synagogue,2011,9,3,35144,64
Eritrean coastal desert,2010,12,0,30906,61
