filename,year,month,num_citations,file_size,forward_links
Extreme points of Estonia,2010,10,0,63479,230
Forest Brothers,2012,7,32,108194,253
Balthasar Russow,2012,1,3,33206,58
Singing Revolution,2004,4,0,29270,32
List of diplomatic missions of Estonia,2007,7,0,34661,95
Scouts Battalion,2010,7,0,31670,51
Duchy of Estonia (1561%E2%80%931721),2005,7,0,27644,69
Latvian War of Independence,2009,2,2,71154,209
German occupation of Estonia during World War II,2007,10,30,102658,293
List of Estonian exile and %C3%A9migr%C3%A9 organizations,2009,12,5,38464,65
Kalev (mythology),2014,8,0,38469,87
Estonian Land Board,2010,10,1,26992,41
Hinduism in Estonia,2012,5,0,56300,255
Livonia,2004,6,0,37843,98
Baltic Germans,2007,10,1,93334,351
Reichskommissariat Ostland,2003,11,0,29303,36
Eesti Energia Kaevandused,2011,2,2,36206,68
Estonia,2010,1,165,550555,2370
Leyen Spiegel,2013,3,1,25844,42
Livonian Rhymed Chronicle,2008,10,1,36660,64
Airest,2011,10,0,34256,69
Institute of the Estonian Language,2009,2,0,25665,34
Russians in Estonia,2011,11,21,92807,325
Estonian Institute of Zoology and Botany,2013,1,0,42295,105
Reichskommissariat Ostland,2011,1,9,141934,592
M%C3%A4ek%C3%BCla piimamees,2012,1,0,32421,60
Lante,2010,8,0,34509,94
Gauja Estonians,2010,3,2,29722,48
Hinduism in Estonia,2007,1,0,36017,92
MicroLink,2013,3,0,30727,59
Vehicle registration plates of Estonia,2009,1,0,45025,127
Estonian LGBT Association,2014,1,1,35001,67
Sport in Estonia,2012,11,2,95372,433
Bishopric of Dorpat,2013,9,1,51033,129
EENet,2004,10,0,23854,41
Baltic Germans,2004,3,0,37579,106
Kingdom of Livonia,2007,9,0,50543,193
Operation Priboi,2009,12,10,62059,120
Prime Minister of Estonia,2005,4,0,42606,151
Treaty of Nystad,2009,12,2,42833,88
Politics of Estonia,2007,5,2,88178,350
Estonia%E2%80%93Finland relations,2009,4,1,48377,126
J%C3%A4gala concentration camp,2014,8,10,53188,119
Kosmikud,2012,10,1,34306,65
Ugandi County,2007,7,2,33778,106
Erna Raid,2009,6,13,184040,349
Ugandi County,2008,10,4,44637,137
Bishopric of Dorpat,2008,8,1,46735,118
Muuga Harbour,2014,12,1,69660,175
Gammalsvenskby,2006,12,0,36017,71
Kuressaare Airport,2013,2,0,51851,115
T%C3%B5nism%C3%A4gi,2011,11,6,55976,172
Baltic Air Policing,2012,2,33,89115,170
EMT (mobile operator),2012,12,0,26716,40
Serov Instructions,2007,5,3,30434,62
Seto dialect,2008,6,1,30560,48
Military of Estonia,2008,1,1,87078,241
Learned Estonian Society,2008,9,1,25281,37
Tallinn Stock Exchange,2006,7,0,29443,48
Serov Instructions,2007,6,3,30462,58
Index of Estonia related articles,2011,3,0,41861,79
Autonomous Governorate of Estonia,2007,5,0,40319,94
Latvian War of Independence,2015,3,15,109706,334
Telecommunications in Estonia,2004,11,0,25160,42
Oil Shale (journal),2009,9,6,39469,48
Electronic voting in Estonia,2007,2,2,31744,37
Estonian Sign Language,2011,5,0,30515,55
Gammalsvenskby,2009,9,0,46371,101
Greater Finland,2005,8,0,32188,67
Estonian Border Guard,2011,12,0,39711,70
Estonia,2008,9,127,427023,1829
V%C3%B5ro language,2009,3,3,83300,230
Oeselians,2013,9,17,66286,230
MicroLink,2006,3,0,23026,25
Histrodamus,2013,5,0,30561,62
Dag%C3%B6 (album),2010,7,0,27731,49
Liis Lemsalu,2012,2,2,45171,111
Livonia,2008,5,10,127835,550
Eesti Gaidide Liit,2007,3,0,30797,44
Livonia,2010,11,12,133414,510
Flags of Estonian counties,2015,4,1,69582,212
MMA Raju,2012,2,8,57606,123
Orze%C5%82 incident,2007,12,2,30648,67
Treaty of Nystad,2010,9,2,47301,113
Estonian Auxiliary Police,2011,3,4,40986,81
20th Waffen Grenadier Division of the SS (1st Estonian),2007,3,0,71064,177
German occupation of Estonia during World War II,2011,7,34,129655,370
List of German exonyms for places in Estonia,2011,12,0,59335,374
Estonian Malacological Society,2013,12,3,26081,39
Kreisiraadio,2012,12,0,34882,61
Kuressaare Airport,2012,5,0,47655,92
Airest,2008,3,0,31968,61
List of Estonians,2005,2,0,46021,169
Soopoolitse,2008,11,0,28293,55
Gammalsvenskby,2007,6,0,43798,99
BLRT Grupp,2015,1,6,35695,49
Tapa Airfield,2008,12,0,31359,52
Estonian national awakening,2014,8,6,67339,265
Estonian anti German resistance movement 1941%E2%80%9344,2006,3,0,31612,54
Phosphorite War,2012,5,10,60673,117
Estonian Soviet Socialist Republic,2011,5,101,250589,637
Politics of Estonia,2006,9,0,79878,309
