filename,year,month,num_citations,file_size,forward_links
Antonio Baldissera,2013,3,0,30325,51
List of heads of government of Ethiopia,2011,8,0,90344,351
Absame,2013,12,0,33998,66
Yeha,2006,11,1,29792,56
Emperor of Ethiopia,2007,8,0,46469,121
Rosa Dainelli,2015,3,2,32563,56
Mitmita,2011,1,1,47900,250
List of Presidents of Ethiopia,2011,10,0,95496,353
Nine Saints,2012,12,4,36148,80
National Bank of Ethiopia,2006,12,0,32501,60
Foreign aid to Ethiopia,2008,8,4,70504,190
Anuak language,2012,11,3,35326,67
List of rulers of the Gibe state of Gera,2013,3,0,29488,44
Kingdom of Gumma,2006,11,5,29044,54
Ethiopian National Defense Force,2007,11,21,98256,298
Deforestation in Ethiopia,2013,4,27,72406,129
Zemene Mesafint,2013,7,11,63157,148
Zeila,2010,5,10,52148,125
Shewa,2014,6,3,45267,127
Ogaden,2006,10,3,34400,60
Battle of Adwa,2013,3,45,113276,235
People of Ethiopia,2010,7,38,100368,261
Ethiopian Reporter,2008,6,2,26098,39
Istifanos Monastery,2006,6,0,27797,51
Mesqan language,2011,11,1,30997,58
Addi,2006,9,0,25408,44
Bambassi language,2011,4,2,33700,67
Basketo language,2010,8,2,34385,62
Hawulti (monument),2005,8,0,23417,30
Debre Damo,2010,9,4,35887,60
Dullay languages,2013,1,2,31867,66
Ometo languages,2013,10,3,33637,84
Famines in Ethiopia,2012,9,0,33393,65
Masenqo,2013,12,3,37873,81
Jamaicans in Ethiopia,2014,1,5,49764,83
Burji language,2013,3,3,38221,75
Ethiopian News Agency,2007,3,0,25347,35
Resettlement and villagization in Ethiopia,2008,2,1,31098,37
Adal Sultanate,2015,2,31,175690,706
Azmari,2014,1,1,28921,51
Sultanate of Ifat,2013,3,12,60443,150
Ogaden National Liberation Front,2007,10,36,78711,119
Kingdom of Garo,2006,4,4,29475,50
Timeline of Addis Ababa,2014,5,30,94925,172
Economy of Ethiopia,2011,4,15,103765,367
Akele Guzai,2012,9,7,32902,71
Adal Sultanate,2008,6,8,39769,90
Kingdom of Jimma,2010,3,10,37192,69
Borgu,2006,8,0,27818,51
Ethiopia at the Olympics,2010,11,0,105899,433
Kitfo,2007,9,0,29618,61
Monarchies of Ethiopia,2008,12,0,37531,80
Shita people,2006,12,0,28784,55
Akele Guzai,2011,4,7,32120,64
List of Emperors of Ethiopia,2012,7,0,98737,410
List of diplomatic missions of Ethiopia,2007,7,0,34387,82
Jebena,2009,2,2,28552,42
List of Abunas of Ethiopia,2013,11,4,55875,126
Ethiopian National Defense Force,2004,9,0,28009,39
Muluemebet Girma,2007,11,0,31080,55
Dawit Fekadu,2014,2,6,35334,52
Ethiopian highland hare,2008,5,0,53503,169
Zay people,2011,3,0,29088,61
List of Ethiopians,2008,12,0,33709,120
Adwa (film),2013,1,0,28947,52
Argobba language,2013,8,3,36612,73
List of Abunas of Ethiopia,2014,12,4,55620,128
Muher language,2007,11,2,28079,45
List of Presidents of Ethiopia,2007,7,0,41162,92
Ethiopian Civil War,2012,3,6,72305,177
Gojjam,2006,6,0,34770,91
Baiso language,2014,6,3,33538,64
Ethiopian Highlands,2006,11,3,46361,102
Ethiopian Civil War,2014,8,45,224016,606
Garre,2008,11,0,36106,85
Karo language,2013,1,3,33884,62
Ahmad ibn Ibrahim al Ghazi,2014,2,35,75721,140
Karo language,2008,12,1,30134,55
Zeila,2010,1,7,48281,109
Ethiopia,2006,10,32,198791,661
Health in Ethiopia,2012,7,18,76409,235
Western Omo%E2%80%93Tana languages,2014,4,2,32347,64
Land reform in Ethiopia,2011,6,4,73368,97
Italian East Africa,2007,2,0,37352,72
Nayi language,2011,2,2,34472,70
Xamtanga language,2005,12,0,38987,67
Adwa (film),2010,2,0,29095,51
Ometo languages,2011,7,2,32271,69
Kunama language,2011,7,2,35787,68
Ga%27at,2009,10,0,30730,62
Komo language,2009,1,1,31580,59
Agame,2010,2,9,32092,61
List of kings of Axum,2006,3,0,32134,96
Carla Maria Puccini,2015,3,3,28337,46
Italians of Ethiopia,2015,3,14,94741,297
Ethiopia at the Olympics,2011,11,0,106427,433
University of Gondar,2014,1,7,33011,43
Zemene Mesafint,2009,9,0,37855,96
Rhamnus prinoides,2012,5,2,36139,68
List of Ethiopians,2012,5,97,94846,175
Birhan Woldu,2005,11,0,26106,48
Water supply and sanitation in Ethiopia,2009,6,19,76314,92
Ethiopian National Defense Force,2007,8,20,98849,332
Ethiopia Scout Association,2007,2,0,31250,46
Bolel,2006,4,0,24878,43
Geography of Ethiopia,2011,7,2,126873,587
Water supply and sanitation in Ethiopia,2012,7,33,106840,143
People of Ethiopia,2008,8,25,58205,189
Kingdom of Aksum,2005,1,0,45418,108
Arbore language,2015,4,3,45805,136
Shewa,2004,11,0,27424,38
University of Gondar,2013,3,7,33111,50
LGBT rights in Ethiopia,2012,1,6,61735,205
Kaifa Records,2008,11,0,25901,48
Koore language,2011,7,1,31746,58
Kingdom of Kaffa,2009,4,8,34064,71
Crown Council of Ethiopia,2007,7,1,27961,44
Second Italo Ethiopian War,2004,4,0,39521,75
.et,2006,2,0,65570,397
Battle of Adwa,2004,12,0,32841,52
Saho language,2007,6,0,30006,47
Kitcha,2012,6,0,35084,77
Komo language,2009,9,1,32118,59
Ethiopia at the Olympics,2012,9,0,166554,575
Sultanate of Ifat,2014,7,12,112851,538
Shinasha people,2008,4,0,25573,44
