filename,year,month,num_citations,file_size,forward_links
Japanese settlement in the Federated States of Micronesia,2009,10,97,116857,219
ISO 3166 2:FM,2012,6,0,83051,693
Sebastian Anefal,2007,1,0,25579,41
Saudeleur Dynasty,2011,3,1,36632,62
Federated States of Micronesia,2010,4,9,213825,672
List of airports by ICAO code: P,2011,1,0,96967,601
Music of the Federated States of Micronesia,2004,12,0,26971,48
Federated States of Micronesia,2006,1,0,93029,178
Continental Micronesia,2008,1,9,59080,222
Jacob Nena,2008,4,0,31769,67
Geography of the Federated States of Micronesia,2002,6,0,27223,31
Leo Falcam,2008,4,0,34746,75
Leo Falcam,2013,4,1,44928,88
Visa requirements for Micronesian citizens,2014,9,83,292483,819
Outline of the Federated States of Micronesia,2009,1,1,86130,126
.fm,2007,11,0,66591,406
Operation Hailstone,2009,10,2,73658,141
Aquaculture in the Federated States of Micronesia,2013,4,3,35707,63
Constitution of the Federated States of Micronesia,2010,12,0,69663,45
Spanish East Indies,2010,6,3,92786,295
Continental Micronesia,2007,5,1,56127,240
Micronesia Challenge,2007,4,0,23245,34
List of airports by ICAO code: P,2007,4,0,80092,461
Tosiwo Nakayama,2005,5,0,25280,26
Demographics of the Federated States of Micronesia,2008,1,0,27426,39
Trust Territory of the Pacific Islands,2005,6,0,37935,73
Federated States of Micronesia,2010,7,9,212537,670
Roman Catholic Diocese of Caroline Islands,2014,1,0,39713,80
Bailey Olter,2011,3,0,38716,78
Operation Hailstone,2009,3,2,61657,138
.fm,2006,6,0,66363,402
Continental Micronesia,2011,2,29,111894,438
Leo Falcam,2004,12,0,27209,43
Federated States of Micronesia,2005,5,0,90963,171
Bailey Olter,2013,5,0,39123,78
.fm,2012,3,0,70850,417
Federated States of Micronesia,2005,9,0,91702,179
Federated States of Micronesia,2009,10,9,211265,653
Trust Territory of the Pacific Islands,2006,4,0,41503,102
Tosiwo Nakayama,2010,9,2,39746,66
Vice President of the Federated States of Micronesia,2008,10,0,35553,84
Trust Territory of the Pacific Islands,2008,12,0,54524,138
Fyodor Litke,2013,6,4,102261,618
.fm,2008,2,0,66802,406
Leo Falcam,2006,8,0,28764,50
Aquaculture in the Federated States of Micronesia,2011,1,3,35277,59
Weriyeng,2007,10,0,23778,32
Continental Micronesia,2004,12,0,38284,129
President of the Federated States of Micronesia,2014,6,0,53074,99
"Japanese Lighthouse (Poluwat, Chuuk)",2014,3,5,56629,139
Masao Nakayama,2011,9,3,32034,64
Trade unions in the Federated States of Micronesia,2007,5,0,35021,50
Administrative divisions of the Federated States of Micronesia,2010,6,2,58319,195
Bailey Olter,2013,4,0,39135,78
Operation Hailstone,2010,6,2,92220,249
Compact of Free Association,2014,5,25,63625,92
Rai stones,2013,3,7,47535,96
Compact of Free Association,2013,8,24,61445,89
German%E2%80%93Spanish Treaty (1899),2012,1,0,45357,132
Federated States of Micronesia,2004,4,0,87891,163
Economy of the Federated States of Micronesia,2005,11,0,31554,50
Demographics of the Federated States of Micronesia,2004,2,0,25537,30
Transport in the Federated States of Micronesia,2010,5,0,38001,98
German%E2%80%93Spanish Treaty (1899),2013,7,0,43796,130
List of diplomatic missions of the Federated States of Micronesia,2014,7,0,44978,86
Spanish East Indies,2010,11,3,93100,296
Spanish East Indies,2012,9,3,100367,324
Rai stones,2012,2,7,47409,93
Alik L. Alik,2009,12,0,35147,79
Administrative divisions of the Federated States of Micronesia,2007,1,0,38699,109
List of airports by ICAO code: P,2005,10,0,26953,54
Congress of the Federated States of Micronesia,2007,2,0,35803,64
Administrative divisions of the Federated States of Micronesia,2009,5,2,57691,194
Japanese settlement in the Federated States of Micronesia,2010,2,97,118325,222
Hiroshi Ismael,2010,8,2,36740,72
List of diplomatic missions of the Federated States of Micronesia,2011,6,0,41161,73
.fm,2006,11,0,66424,407
Trust Territory of the Pacific Islands,2008,4,0,50844,125
President of the Federated States of Micronesia,2007,7,0,37277,74
Redley A. Killion,2008,12,0,31504,67
Geography of the Federated States of Micronesia,2009,8,0,39514,99
Leo Falcam,2008,12,0,38848,89
History of the Federated States of Micronesia,2005,9,0,29062,45
List of airports by ICAO code: P,2008,10,0,96284,576
Flag of the Federated States of Micronesia,2008,5,0,52566,104
German%E2%80%93Spanish Treaty (1899),2014,8,0,45479,139
Pingelapese language,2011,3,0,35636,74
Weriyeng,2012,7,3,31225,53
Federated States of Micronesia,2011,4,10,214930,677
Index of Federated States of Micronesia related articles,2011,12,0,80741,219
Ngatikese Creole,2015,3,5,49257,135
Federated States of Micronesia,2010,1,9,211251,652
Redley A. Killion,2008,11,0,29153,60
Geography of the Federated States of Micronesia,2004,11,0,29161,44
"Micronesian presidential election, 2007",2007,11,0,33834,71
Continental Micronesia,2015,4,28,120610,475
Economy of the Federated States of Micronesia,2009,12,0,34966,68
"Micronesian presidential election, 2011",2011,5,2,35392,70
Flag of the Federated States of Micronesia,2006,11,0,52384,68
Vice President of the Federated States of Micronesia,2009,3,0,36193,89
Weriyeng,2006,9,0,22775,29
Geography of the Federated States of Micronesia,2014,8,0,50913,151
Law enforcement in the Federated States of Micronesia,2012,6,0,35116,81
Micronesia at the 2010 Summer Youth Olympics,2014,12,2,70694,266
List of diplomatic missions in the Federated States of Micronesia,2008,7,0,33078,48
Transport in the Federated States of Micronesia,2008,6,0,32893,82
Flag of the Federated States of Micronesia,2009,1,0,56069,114
Federated States of Micronesia,2004,7,0,88423,167
List of football clubs in the Federated States of Micronesia,2013,4,0,44545,72
Operation Hailstone,2011,8,3,99754,276
Geography of the Federated States of Micronesia,2009,1,0,39470,93
Tosiwo Nakayama,2011,10,2,39835,65
Pingelapese language,2010,12,0,35606,72
Trust Territory of the Pacific Islands,2009,8,0,57567,141
Continental Micronesia,2004,9,0,38173,128
Operation Hailstone,2014,9,4,109965,299
Tosiwo Nakayama,2008,9,1,36719,62
President of the Federated States of Micronesia,2008,10,0,45569,80
Continental Micronesia,2013,4,28,117637,468
History of the Federated States of Micronesia,2010,8,0,37107,90
