filename,year,month,num_citations,file_size,forward_links
Blackbirding,2008,11,9,45950,111
Arya Pratinidhi Sabha of Fiji,2011,2,3,34773,52
Template:Fiji stub,2007,12,0,25320,33
Great Council of Chiefs,2005,4,0,43522,131
ISO 3166 2:FJ,2008,5,0,25794,37
Demographics of Fiji,2010,4,2,49515,119
Fiji Sun,2008,6,0,25161,43
Senate (Fiji),2010,7,0,59173,244
Second Fiji Expedition,2011,9,3,48809,89
Geography of Fiji,2013,4,1,48959,171
Military%E2%80%93church relations in Fiji,2006,5,0,34172,65
Fiji Girl Guides Association,2008,8,1,32375,46
"Fijian presidential election, 2000",2009,8,0,28093,59
Grand Pacific Hotel (Fiji),2011,3,3,28146,38
Fiji,2009,7,23,188701,542
Politics of Fiji,2009,4,9,114029,330
List of diplomatic missions in Fiji,2008,7,0,54460,87
"People%27s Charter for Change, Peace and Progress",2013,3,49,89216,123
Economy of Fiji,2013,5,4,59238,153
Sugar Cane farmers unions in Fiji,2007,2,0,28032,63
Indian Imperial Association (Fiji),2009,11,0,33990,59
Roman Catholicism in Fiji,2008,12,0,35142,76
Chief Minister (Fiji),2009,8,0,35894,88
Legislative Council (Fiji),2011,12,0,50849,129
Blackbirding,2012,1,22,69608,176
Chief Justice of Fiji,2013,12,68,82833,108
Metrosideros ochrantha,2009,12,0,31904,63
List of festivals in Fiji,2007,12,0,26571,59
Fiji Sun,2008,11,0,25395,44
Bar winged rail,2013,3,1,37530,79
Tui Vuda,2009,10,0,24105,37
History of Fiji,2015,2,1,70472,229
Roman Catholicism in Fiji,2007,3,0,33738,60
Taveuni beetle,2013,1,1,33107,61
Handball (school),2014,12,0,27144,42
Fiji,2004,5,0,97360,323
Colo Wars,2015,2,1,27834,40
Governor of Fiji,2009,10,0,41961,175
"Foreign reaction to the Reconciliation, Tolerance, and Unity Bill (Fiji)",2005,11,0,50538,119
Adi (title),2010,4,0,29931,66
Fiji,2013,11,71,275882,778
Kanaka (Pacific Island worker),2008,4,3,36136,88
United Nations Security Council Resolution 287,2012,10,0,43696,74
"Fijian general election, 1966",2005,10,0,39182,108
Alipate Qetaki,2012,8,3,31674,58
Sport in Fiji,2013,10,0,44769,145
Republic of Fiji Military Forces,2006,4,0,37998,99
Viti Levu rail,2014,7,2,31924,62
Battle of the Giants (Fiji),2007,10,0,42644,65
Fiji at the Olympics,2012,8,2,67129,306
Reserve Bank of Fiji,2014,9,1,63636,244
Chairman of the Great Council of Chiefs (Fiji),2006,1,0,45586,162
Dudley High School,2014,12,2,32121,52
Outline of Fiji,2008,9,0,65523,146
"Government Buildings, Suva",2010,12,0,27625,49
Civil Aviation Authority of the Fiji Islands,2011,12,12,148090,320
List of Fijians,2011,4,0,66685,381
Roman Catholicism in Fiji,2006,11,0,33285,57
Sky Pacific,2008,7,0,30786,69
Parliament of Fiji,2013,3,0,47539,143
Military%E2%80%93church relations in Fiji,2013,4,0,36618,70
Governor General of Fiji,2011,9,0,41702,123
Sport in Fiji,2011,8,1,47330,123
Open constituencies (Fiji),2005,9,0,35635,92
List of High Commissioners of the United Kingdom to Fiji,2009,7,1,60009,205
Fiji petrel,2010,10,1,37735,66
Fiji Village,2007,10,0,24481,38
Arya Samaj in Fiji,2009,7,2,45704,103
List of Fijians,2009,3,0,71212,395
Queen Elizabeth Barracks (Fiji),2007,4,0,26977,44
Arya Pratinidhi Sabha of Fiji,2007,1,0,24676,35
Fiji Water,2009,2,7,35699,58
Chief Justice of Fiji,2015,4,68,85739,108
Battle of Kaba,2009,2,0,31353,69
Fiji,2015,3,78,292696,837
Local government in Fiji,2006,12,0,62113,197
Fiji Meteorological Service,2006,12,2,29916,56
Economy of Fiji,2008,1,0,79841,377
Parliament of Fiji,2005,4,0,39229,100
Fiji Democratic Party,2013,10,0,50172,160
"Government House, Suva",2009,12,0,30457,57
"Counter Revolutionary Warfare Unit Court Martial, Fiji",2006,2,0,71937,197
Index of Fiji related articles,2005,1,0,53826,253
"People%27s Charter for Change, Peace and Progress",2008,1,14,39684,50
Fiji Scouts Association,2010,3,1,40741,95
Fiji Scouts Association,2008,8,1,32914,48
Index of Fiji related articles,2008,6,0,137876,1112
Template:Fiji stub,2005,12,0,24631,31
Thomas Baker (missionary),2013,6,3,34158,62
Rosiloa,2014,4,1,29513,45
Indian Cane Growers Association (Fiji),2008,10,0,25877,46
Coqeloa,2011,6,0,22222,31
Alipate Qetaki,2009,7,0,28217,50
Namosi Naitasiri Serua language,2010,12,0,32434,58
Senate (Fiji),2006,10,0,50239,163
Municipal elections in Fiji,2007,5,0,41626,137
National Council for Building a Better Fiji,2012,12,4,30449,52
List of heads of state of Fiji,2011,2,0,46750,136
Politics of Fiji,2007,5,8,115822,365
National Farmers Union (Fiji),2006,11,0,31125,61
George Thomas Michael O%27Brien,2010,11,0,32726,64
Monarchy of Fiji,2010,6,18,80564,233
Christian Democratic Alliance (Fiji),2015,3,0,61212,211
Fiji Football Association Cup Tournament,2013,6,0,58991,110
