filename,year,month,num_citations,file_size,forward_links
Kansallisbiografia,2011,6,2,41707,101
Academy of Finland,2007,2,0,28093,49
Karelianism,2007,5,0,28351,52
ICIUM,2013,2,4,39586,74
1999 Finlandia Trophy,2014,4,0,61716,178
Kingdom of Finland (1918),2010,7,1,45473,118
Driving licence in Finland,2013,1,1,51827,149
Altia,2009,5,2,31063,57
Transport in Finland,2011,8,4,83532,348
Finnish Union of Practical Nurses,2010,6,0,32471,57
Little Saturday,2013,1,0,30807,62
Finland in the Eurovision Dance Contest,2007,7,0,36774,69
Helsinki City Transport,2004,10,0,27771,43
Intti,2008,7,0,24277,36
Minna M%C3%A4ki Kala,2007,3,0,24228,37
Treaty of Stolbovo,2006,7,0,34310,73
M%C3%A4ntyniemi,2005,9,0,28388,46
Pitted Ware culture,2014,11,9,86785,466
Historical provinces of Finland,2007,9,0,38830,78
Finlandization,2004,6,0,42489,115
Russification of Finland,2005,1,0,29033,50
Finnish War,2014,11,23,130460,425
Red Guard%27s March,2011,5,0,28524,44
Karelian Isthmus,2006,10,0,48947,159
Finland,2008,8,132,501053,1876
Finnish Defence Forces,2007,9,2,80315,241
ICIUM,2012,9,4,39310,68
Diet of Finland,2015,3,2,51238,123
NORDEFCO,2011,12,2,33390,42
King of Kvenland,2007,9,4,27938,44
List of Ambassadors from Finland,2012,6,0,177534,666
Terra Feminarum,2013,3,3,33023,55
Kingdom of Finland (1918),2012,4,0,60199,157
Federation of Green Youth and Students,2006,7,0,26114,39
Finnfight,2008,1,0,28899,59
Grand Duchy of Finland,2012,8,1,79665,214
Temperance movement in Finland,2013,3,0,22694,31
Anna rakkaudelle tilaisuus,2006,9,0,27169,52
Diocese of Espoo,2011,7,0,26308,42
A Little Bit (Nina %C3%85str%C3%B6m song),2008,11,0,32369,63
S%C3%A1pmi,2005,10,0,52124,115
Counties and baronies in Finland,2012,11,0,39012,102
Sweden%E2%80%93Finland,2007,9,0,39963,103
Laiskotellen,2012,5,0,40222,106
Cap of the North,2012,5,0,36744,85
Diocese of Mikkeli,2008,12,0,26241,44
Finland%27s language strife,2006,12,0,41229,126
Kingdom of Finland (1918),2013,3,1,60830,163
2009 Finlandia Trophy,2010,10,0,81896,263
National Defence University (Finland),2009,12,0,32754,52
Heikki Mikkola,2012,8,2,53564,192
Suuret suomalaiset,2009,9,0,54830,236
History of Sweden (1772%E2%80%931809),2004,9,0,60349,193
Finnish flood myth,2010,9,3,32841,57
Finland%27s language strife,2006,1,0,37201,118
Economy of Finland,2013,3,62,188309,608
Finnishness,2014,12,2,44578,154
Finnish Socialist Workers%27 Republic,2009,7,1,38616,71
Finland,2005,7,0,152496,534
Estonia%E2%80%93Finland relations,2009,4,1,48364,126
Finnish Communication and Internet Exchange,2006,8,0,26934,48
Scandinavian prehistory,2006,9,0,53505,175
Finnish War,2014,9,23,130419,429
Barents Region,2006,10,0,28430,69
Mandatory Swedish,2011,3,9,67203,171
Nordic walking,2005,3,0,28955,32
Anna rakkaudelle tilaisuus,2007,7,0,26612,49
Swedish speaking population of Finland,2006,12,6,64086,100
Age of Liberty,2010,1,0,74930,225
Scandinavian prehistory,2006,4,0,52687,166
Swedish speaking population of Finland,2013,3,79,185376,355
Vyborg Castle,2011,10,0,56538,140
Beer classification in Sweden and Finland,2009,10,1,35903,72
Flag days in Finland,2011,9,2,31406,62
History of Sweden (1772%E2%80%931809),2006,2,0,60606,198
Down by the Laituri,2007,6,0,26018,44
%C3%96sterland,2009,9,0,37248,73
Bonk Business,2009,1,2,23815,30
Koff (beer),2007,10,0,31263,62
Finnish Communication and Internet Exchange,2013,3,2,31513,56
Confederation of State Employees%27 Unions %E2%80%93 Pardia,2006,10,0,31038,50
Koff (beer),2006,8,0,29359,54
Grand Duchy of Finland,2013,3,1,93613,308
History of Finland,2010,3,28,188218,723
Grand Duchy of Finland,2005,10,0,48829,145
Fire fighting in Finland,2006,7,1,38382,47
Red Guards (Finland),2014,1,2,51632,113
History of Finland,2009,8,30,172036,651
Greater Finland,2005,8,0,32188,67
Valtiollinen poliisi,2008,6,3,27549,40
Aava,2008,9,0,34052,79
Prime Minister of Finland,2008,4,0,113140,460
Scandinavian coastal conifer forests,2009,11,16,55168,151
Revolution of 1905,2007,1,1,75681,246
2002 Finlandia Trophy,2011,9,0,66356,195
Swedish speaking population of Finland,2008,12,27,104925,178
Finnish maritime cluster,2007,1,0,38286,119
Age of Liberty,2004,10,0,72204,244
Moscow Armistice,2014,1,4,36985,75
Transport in Finland,2014,9,6,87991,365
%C3%85land crisis,2009,8,0,42162,99
Swedish speaking population of Finland,2011,6,67,171782,334
Flag days in Finland,2005,10,0,28882,71
Finnish maritime cluster,2011,1,0,39074,114
Scandinavian Montane Birch forest and grasslands,2007,9,0,34278,76
Swedish Empire,2012,4,5,135480,452
Diet of Finland,2004,4,0,30716,65
Finnish Border Guard,2006,11,0,40133,95
Laurea University of Applied Sciences,2013,1,1,47259,118
"Pechenga (urban type settlement), Murmansk Oblast",2005,7,0,31589,69
Strength athletics in Finland,2013,3,7,85645,174
Second Swedish Crusade,2007,12,10,44736,107
Kiss FM (Finland),2007,7,0,26964,47
Juha Suoranta,2007,2,0,31369,63
Anton incident,2011,11,50,103107,140
Finnfight,2010,11,0,28600,61
Suuret suomalaiset,2014,4,0,42179,125
Age of Liberty,2013,7,0,94933,335
Commemoration Day of Fallen Soldiers,2014,11,1,30275,53
Grand Duke of Finland,2005,6,0,30767,73
Finnish war children,2014,4,1,35286,59
Joukahainen,2009,6,0,26525,44
Scandinavian Montane Birch forest and grasslands,2010,10,2,41175,107
Finlandization,2010,2,3,52986,129
Flag days in Finland,2006,7,0,29605,74
Lapplandsender,2011,2,0,28311,55
Great Fire of Turku,2011,6,0,33868,75
Anjala conspiracy,2009,5,0,38371,91
Laiskotellen,2010,8,0,29326,58
Parliament of %C3%85land,2008,5,0,48050,147
Heureka (science center),2008,6,0,30714,56
Antti Malin,2010,11,3,53536,156
Finnish Literature Society,2006,5,0,28511,42
%C3%85land crisis,2005,6,0,34890,64
Prime Minister of Finland,2012,2,1,102741,397
Scandinavian prehistory,2010,12,0,60549,196
East Karelia,2007,2,0,29421,59
Monsieur Mosse,2010,10,0,33735,69
History of Finland,2004,1,0,65006,242
Suuret suomalaiset,2011,2,0,54860,240
Fri%3F,2006,9,0,25641,46
Finlandization,2013,4,3,51846,129
Transport in Finland,2003,6,0,24970,33
Hiisi,2010,7,0,30815,62
Finlandization,2002,8,0,27272,35
Confederation of Unions for Academic Professionals in Finland,2008,1,0,34036,64
Finland,2010,10,145,487451,1483
J%C3%A4ger Movement,2012,1,0,37650,80
Matkahuolto,2013,1,0,29528,39
Forest Finns,2009,8,0,39038,81
Svetogorsk,2012,8,8,72864,162
Forest Guerrillas,2009,10,0,29643,65
Br%C3%A4nnvin,2008,1,0,56647,235
S%C3%A1pmi,2011,3,10,109238,273
King of Kvenland,2006,7,4,26914,41
Suuret suomalaiset,2008,3,0,54480,244
Finnishness,2009,4,2,26135,36
MS J.L.Runeberg,2013,3,0,29775,50
Finland%27s language strife,2009,8,0,50093,183
Catherine Jagiellon,2014,9,13,142168,288
Karelo Finnish Soviet Socialist Republic,2012,8,4,105454,274
Coat of arms of the Province of Karelia,2010,3,0,33952,64
Helsinki Stock Exchange,2007,5,0,48009,159
Treaty of Stolbovo,2004,8,0,32816,63
Porkkala,2009,1,0,32493,66
Karvalakki,2011,8,0,26571,52
Left Youth (Finland),2006,4,0,26565,47
Alexander Theatre,2009,12,0,30377,48
Red Guards (Finland),2010,8,1,46079,98
Finnish Socialist Workers%27 Republic,2013,2,1,39500,79
List of Ambassadors of Russia to Finland,2011,1,0,28907,44
Finland in the Eurovision Dance Contest,2013,5,0,40369,80
Johan Helsingius,2006,5,0,26487,53
Finland in the Eurovision Young Dancers,2015,4,0,55021,154
1949 Kemi strike,2014,4,3,32814,52
Helsinki Stock Exchange,2015,2,2,89831,390
White Guard (Finland),2011,4,7,67047,149
List of diplomatic missions in Finland,2011,12,0,139557,331
Historical provinces of Finland,2011,2,0,42839,88
World Sauna Championships,2011,10,14,63067,88
Kven people,2004,10,0,27492,44
Ancient kings of Finland,2006,11,0,29730,59
History of Finland,2011,12,56,214378,685
Anders Mickelson,2013,3,0,25157,41
Karelo Finnish Soviet Socialist Republic,2012,12,4,104947,276
J%C3%A4ger Movement,2009,6,0,37736,74
A Little Bit (Nina %C3%85str%C3%B6m song),2012,12,0,45931,134
27th J%C3%A4ger Battalion (Finland),2014,5,18,68693,89
Politics of Finland,2003,6,0,52761,194
Origin of the name Kven,2007,3,6,31487,49
Helsinki Stock Exchange,2004,1,0,34649,78
Lapponia (song),2008,1,0,28421,58
Subarctic,2011,10,0,39302,113
List of ambassadors to Finland,2012,3,157,242634,615
Finland in the Eurovision Dance Contest,2009,5,0,39909,80
Swedish Empire,2013,10,5,150657,549
Revolution of 1905,2013,6,50,160514,278
27th J%C3%A4ger Battalion (Finland),2010,11,0,33470,68
Actuarial Society of Finland,2008,10,0,26014,43
Deputy Prime Minister of Finland,2013,3,0,78360,248
Walhalla orden,2007,7,1,28399,56
Arvid St%C3%A5larm the Younger,2013,1,16,60572,112
Finland%E2%80%93Sweden relations,2013,11,0,54871,154
Vihan Veljet,2005,7,0,24187,38
Elterngeld,2007,4,2,32070,60
Scandinavian defence union,2007,10,0,41286,120
Second Swedish Crusade,2006,12,8,33983,59
Military of %C3%85land,2013,8,0,29139,53
M%C3%A4ntyniemi,2015,4,1,36592,62
Sortavala,2011,12,3,55148,130
%C3%85land crisis,2011,8,3,44111,92
Historical provinces of Finland,2010,9,0,40992,82
Finnish Infantry Division Generic Organisation,2007,2,0,27592,64
Finnish Evangelical Lutheran Church of America,2008,12,0,29071,47
Finnish startup scene,2013,2,13,56833,170
Finland%E2%80%93Kosovo relations,2009,12,9,59962,155
Finnish maritime cluster,2011,4,0,39060,114
Finland%27s language strife,2015,1,0,53516,175
El%C3%A4k%C3%B6%C3%B6n el%C3%A4m%C3%A4,2009,3,0,29070,54
Antero Alli,2010,2,0,37558,88
Konemets%C3%A4,2015,1,0,40290,73
Finland at the Olympics,2009,8,0,83707,393
Diet of Finland,2007,11,2,48262,159
Karelian Isthmus,2009,9,17,140963,639
Finnish Defence Forces,2004,4,0,41089,105
Ihmeellinen Joosef,2011,7,0,31600,61
Vrouw Maria,2009,7,0,32971,58
Finland in the Eurovision Song Contest 2008,2014,11,3,118790,386
History of Finland,2003,6,0,49946,152
Grand Duchy of Finland,2012,4,1,79961,214
List of banks in %C3%85land,2009,5,0,33525,95
Elections in Finland,2014,8,9,107476,401
Osakeyhti%C3%B6,2013,2,0,40476,125
Prime Minister of Finland,2005,7,0,55096,179
Vyborg Castle,2012,9,0,57585,149
Anjala conspiracy,2008,8,0,36365,82
Parliament of %C3%85land,2011,5,0,51555,158
SS John Grafton,2010,4,0,28258,49
H%C3%B6yryklubi,2009,2,0,27430,52
Economy of Finland,2004,6,0,35559,44
Catherine Jagiellon,2009,10,1,73479,134
%C3%84kr%C3%A4s,2010,12,0,26672,51
Sword Scabbard Declaration,2009,12,0,33706,75
Finlandization,2006,8,0,44566,128
Suuret suomalaiset,2012,3,0,40690,117
History of Finland,2011,11,58,211369,680
Minister for Foreign Affairs (Finland),2007,7,0,39187,176
Telecommunications in Finland,2005,7,0,25168,50
Mandatory Swedish,2013,2,9,68562,183
Geography of Finland,2008,3,0,58979,159
List of flags of Finland,2010,12,0,66048,188
JunaCon,2014,6,0,29569,60
Mandatory Swedish,2014,11,9,68622,178
Aalto University School of Business,2006,11,0,35152,69
