filename,year,month,num_citations,file_size,forward_links
History of France,2002,1,0,53549,80
Le D%C3%A9bat,2012,11,3,26454,38
D%C3%A9fense de la France,2013,6,0,34699,66
Cougnou,2010,8,0,32871,73
SOMB Boulogne sur Mer,2012,9,0,32914,66
Gauche caviar,2004,9,0,23454,31
Prince of Canino and Musignano,2006,9,0,35851,83
Charolais cattle,2009,4,0,37707,64
%C3%89cole nationale sup%C3%A9rieure des industries agricoles et alimentaires,2010,9,0,34578,62
Blonde d%27Aquitaine,2006,10,0,26268,37
List of French political scandals,2011,6,1,48892,157
List of 2012 box office number one films in France,2013,1,0,93362,333
French pyramids,2006,11,0,25508,47
Conseil national du patronat fran%C3%A7ais,2010,12,0,25910,34
France and weapons of mass destruction,2004,6,0,38410,102
Social situation in the French suburbs,2007,4,3,91613,266
National Gendarmerie,2010,12,8,115994,285
National Gendarmerie,2010,10,8,115508,302
Mesures usuelles,2005,12,0,28342,57
2005 French riots,2009,11,36,106869,218
72nd Infantry Regiment (France),2013,1,0,25799,34
French people,2010,12,96,264032,838
Sailing at the 1924 Summer Olympics %E2%80%93 8 Metre,2011,1,1,58961,128
German toponymy,2014,2,0,53213,233
Souverainism,2013,3,0,51160,161
French people,2009,9,85,216713,723
List of French cheeses,2013,4,4,74625,344
Science and technology in France,2014,1,4,50176,107
List of diplomatic missions of France,2011,2,13,187022,622
Parliamentary Commission on Cults in France,2007,3,8,60166,201
7th Armoured Brigade (France),2011,2,0,34553,77
French Navy,2011,11,19,194786,729
Sailing at the 1924 Summer Olympics %E2%80%93 6 Metre,2014,3,1,63947,129
ALM %C3%89vreux Basket,2012,3,0,22847,29
List of French cheeses,2008,6,1,43085,128
List of extreme temperatures in France,2013,8,5,91894,179
Politics of France,2007,4,0,100075,365
French people,2015,1,109,301714,927
The Plain,2014,7,0,29849,52
Daube,2011,8,3,43862,103
Portal:France,2007,9,0,182030,1059
Tripartisme,2007,2,0,41328,122
Buda Musique,2014,10,1,26611,36
Politics of France,2004,5,0,74138,203
Timeline of French history,2013,11,1,124510,785
D%C3%A9fense de la France,2009,9,0,29581,53
French Navy,2010,3,10,163973,607
Damien Saez,2012,7,0,42032,59
List of French inventions and discoveries,2011,11,172,251119,689
Politics of France,2012,3,2,140940,659
History of France,2003,8,0,71721,311
Hoare%E2%80%93Laval Pact,2007,9,2,29971,58
Units of measurement in France,2006,8,0,56539,65
Units of measurement in France,2006,1,0,43867,63
Social class in France,2006,1,0,24391,28
Cerise (satellite),2005,6,0,25408,37
2005 French riots,2015,3,66,184308,425
Ceux de la R%C3%A9sistance,2008,8,0,28496,55
Minister of Commerce and Industry (France),2014,4,0,51473,125
Cacolac,2011,4,0,31959,64
Murder of Ibrahim Ali,2004,8,0,23520,36
Ni Putes Ni Soumises,2004,4,0,31211,61
Gardens of Alsace,2009,2,1,39819,110
Charolais cattle,2003,12,0,27671,32
French school holidays,2011,10,1,34707,83
French nationalism,2015,3,3,55137,221
Parliamentary Commission on Cults in France,2013,3,30,100450,246
Geography of France,2002,8,0,36148,56
11th Hussar Regiment (France),2013,3,0,36851,69
Units of measurement in France before the French Revolution,2013,5,11,89906,231
French Army,2008,9,3,59421,160
France,2008,10,55,405871,1591
Clearstream,2010,5,36,164483,332
Foundation for Strategic Research,2011,7,0,25383,37
Bec du Gave,2013,5,2,26175,35
Jean Fran%C3%A7ois Gravier,2008,11,0,24459,34
Occitania,2011,10,13,77046,247
Occitania,2010,10,12,75527,241
I%C3%B1aki Kijera Zelarain,2011,9,0,36979,86
Geography of France,2008,6,0,83694,321
Corporation des Menuisiers %C3%89b%C3%A9nistes,2010,9,1,25438,34
Baronnies,2007,12,0,32951,106
Yevgeny Miller,2008,12,3,36772,98
President of the General Council,2013,3,4,72785,321
Timeline of French history,2014,1,1,127578,786
French Armed Forces,2014,10,9,143916,686
History of France,2002,11,0,64073,270
Senegalese people in France,2014,12,5,48325,150
Service d%27Action Civique,2012,7,7,49823,124
Abbaye de Belloc,2007,4,0,28367,47
Maison de la chimie,2005,3,0,23896,36
Pa%C3%AFsos Catalans,2005,9,0,35628,57
Cumul des mandats,2011,3,6,44289,97
R%C3%A9aumur scale,2008,1,1,38378,77
List of French cheeses,2003,7,0,29542,51
INSEP,2014,12,8,54923,163
List of diplomatic missions of France,2008,12,0,157607,514
French Air Force,2011,10,5,151264,365
French school holidays,2013,7,2,34770,71
Banque de France,2013,9,5,96811,394
Cohabitation (government),2010,12,1,50283,102
Berrichon dialect,2012,7,0,32466,76
R%C3%A9aumur scale,2015,1,8,50572,85
French Parliament,2009,6,0,67737,234
Baronnies,2013,7,0,33239,97
Canton of Belmont de la Loire,2014,12,0,39865,107
Minitel,2005,11,0,35393,60
Coat of arms of Cher,2009,10,0,28522,55
Blancs d%27Espagne,2009,1,0,26337,45
Patalione Kanimoa,2010,1,1,57410,204
Azerbaijanis in France,2013,7,2,55423,210
%C3%89cole nationale sup%C3%A9rieure des industries agricoles et alimentaires,2013,8,0,32178,56
Presidents of the Regional Council of French Guiana,2011,5,0,30474,54
Republic of Saugeais,2010,8,0,41364,133
Les Apaches,2013,3,0,28882,53
Seuil du Poitou,2008,12,0,23478,40
Ultramontanism,2008,10,0,40328,99
Units of measurement in France before the French Revolution,2011,8,10,89564,239
Timeline of the French Revolution,2007,6,0,134922,723
Clearstream,2009,1,58,225687,442
Dormeuil,2014,9,4,52338,232
Minister of Youth Affairs and Sports (France),2006,3,0,37001,139
Le bruit et l%27odeur,2012,6,2,28833,46
De Verley,2010,8,0,27781,52
Daube,2006,7,0,24514,41
Timeline of the French Revolution,2009,1,0,146343,801
2005 French riots,2008,10,38,113197,337
The Bridge at Narni,2009,5,1,31186,59
French Parliament,2009,9,0,68708,238
Units of measurement in France before the French Revolution,2011,5,10,87931,235
Jacobin (politics),2003,7,0,25178,43
Yevgeny Miller,2011,1,2,39732,108
Comme un coup de tonnerre,2007,10,0,28722,62
Pa%C3%AFsos Catalans,2004,10,0,33456,45
Brigade La Fayette,2013,3,0,31059,66
Caisse des d%C3%A9p%C3%B4ts et consignations,2013,7,1,31105,42
German toponymy,2009,2,0,44889,177
Sensitive urban zone,2015,4,54,58843,89
Zone rouge,2010,3,0,80046,318
Caisse des d%C3%A9p%C3%B4ts et consignations,2010,11,0,31149,51
Caisse des d%C3%A9p%C3%B4ts et consignations,2012,8,1,30841,40
Frenchelon,2009,8,0,28425,46
%C3%89cole des ponts ParisTech,2007,6,0,36194,75
Cohabitation (government),2013,7,2,53547,113
National Gendarmerie,2011,11,12,136361,330
1st Cavalry Brigade (France),2005,12,0,26535,41
Paris meridian,2008,10,0,40716,80
L%27Amour %C3%A0 la fran%C3%A7aise,2011,2,1,36705,72
List of French cheeses,2007,8,0,41634,127
John Law (economist),2007,4,0,48345,158
Occitania,2011,5,13,75504,241
Ultramontanism,2005,7,0,29575,47
List of Finance Ministers of France,2013,2,0,89375,249
Count of Vannes,2009,5,0,26747,42
Berrichon dialect,2015,4,1,36265,83
Canton of Monthureux sur Sa%C3%B4ne,2009,6,0,32281,68
Timeline of French history,2004,8,0,34096,199
C%C3%B4te Bleue,2012,9,0,25975,42
History of France,2006,7,0,95679,346
Army of the Interior,2014,5,0,31132,55
David %26 Bourgeois,2007,4,0,27305,43
Italian irredentism,2012,11,20,107020,398
Transport in France,2009,11,13,80707,282
John Law (economist),2004,5,0,32702,57
Sinistrisme,2009,7,1,32940,81
Yevgeny Miller,2008,4,0,34054,97
Roman Catholicism in France,2011,1,5,74277,311
Pierre Besnard,2012,6,0,29435,50
PAMELA Project,2012,8,2,27718,35
Italian irredentism,2014,1,37,128545,445
Lebanese people in France,2009,12,0,64909,270
Sailing at the 1900 Summer Olympics,2004,8,0,45631,93
The Dukes of the Bourbon castle in Montlu%C3%A7on,2014,12,5,33839,41
Institut national de la statistique et des %C3%A9tudes %C3%A9conomiques,2007,7,0,48525,89
Blonde d%27Aquitaine,2009,2,1,29545,50
Local law in Alsace Moselle,2005,6,0,27859,76
List of French possessions and colonies,2013,7,12,138845,638
Politics of France,2003,9,0,73509,208
Aiguille des Arias,2015,2,0,28614,46
Economy of Rh%C3%B4ne Alpes,2013,1,1,30752,47
Parliamentary Commission on Cults in France,2015,3,30,113547,299
Le Dernier qui a parl%C3%A9...,2007,5,0,30075,56
Jean Jacques Blaise d%27Abbadie,2007,6,0,30708,60
