filename,year,month,num_citations,file_size,forward_links
List of heads of government of Gabon,2009,7,0,52888,207
Libreville,2013,10,8,99053,282
Natural nuclear fission reactor,2008,3,5,52519,102
Libreville,2008,12,0,73917,228
French Equatorial Africa,2005,10,0,87632,323
Battle of Gabon,2010,8,2,46909,94
Tsaangi language,2013,8,2,37559,106
Sky Gabon,2014,1,1,47425,132
Roman Catholic Diocese of Kankan,2007,7,0,30819,47
Jet Express,2010,11,3,45345,129
Postage stamps and postal history of Gabon,2004,11,0,32413,70
Demographics of Gabon,2008,3,0,39947,127
Sky Gabon,2013,3,0,49103,137
Air Max Africa,2007,4,1,34332,90
Makokou Airport,2009,5,0,26633,42
Myene language,2010,10,0,38352,102
United States Ambassador to Gabon,2008,12,3,78362,314
Outline of Gabon,2008,8,0,67556,150
Military of Gabon,2007,2,1,51302,145
LGBT rights in Gabon,2008,8,0,45293,142
Telephone numbers in Gabon,2014,10,1,46407,117
Yasa language,2013,7,2,38691,114
History of Gabon,2013,3,1,94171,365
Economy of Gabon,2004,8,0,34632,96
French Equatorial Africa,2011,10,2,86245,245
National Woodcutters%27 Rally %E2%80%93 Democratic,2009,1,2,36284,70
Gabon,2007,5,0,148224,509
Transport in Gabon,2006,9,0,43306,133
"Gabonese legislative election, 2001",2006,9,0,36543,77
.ga,2007,12,0,66413,404
Gabon,2005,9,0,90862,200
French Equatorial Africa,2013,4,2,86644,250
List of cities in Gabon,2008,5,0,45130,168
Economic Community of Central African States,2009,10,6,103876,330
%C3%89mile Gentil,2013,3,0,65620,229
German Congo Expedition,2014,9,1,24262,38
Transport in Gabon,2012,12,3,67315,241
%C3%89mile Gentil,2005,8,0,26533,54
Foreign relations of Gabon,2006,4,0,32775,75
List of Presidents of the Senate of Gabon,2010,1,0,26875,50
Ibhili language,2013,1,1,29947,57
Battle of Gabon,2011,8,2,47086,93
History of Gabon,2008,9,0,86571,351
Battle of Gabon,2013,11,2,49870,102
Kota language (Gabon),2009,6,1,33394,66
Gabon women%27s national football team,2013,6,5,88029,229
Mbama people,2008,11,2,26020,35
Geography of Gabon,2005,3,0,30850,66
Sangu language (Gabon),2011,7,0,38581,103
List of people on stamps of Gabon,2004,7,0,47627,193
List of Governors General of French Equatorial Africa,2009,2,0,42483,173
Fang language,2006,6,0,29653,47
Gabon Airlines,2010,2,4,47234,136
List of political parties in Gabon,2005,9,0,34413,71
Oyem Airport,2008,4,0,25883,42
Fang language,2009,4,0,42413,92
Myene language,2009,3,0,30922,47
Education in Gabon,2008,3,0,36767,111
Outline of Gabon,2008,6,0,66201,125
Sangu language (Gabon),2011,8,0,38193,104
Bank of Central African States,2009,7,1,66551,269
Roman Catholic Diocese of N%E2%80%99Z%C3%A9r%C3%A9kor%C3%A9,2010,12,0,33418,54
United Nations Security Council Resolution 153,2008,9,0,28355,35
Transport in Gabon,2013,1,3,67047,243
Centre International des Civilisations Bantu,2006,12,0,31006,63
Port Gentil International Airport,2014,12,3,39832,60
ISO 3166 2:GA,2010,8,0,82375,700
List of colonial governors of Gabon,2009,2,0,67258,239
LGBT rights in Gabon,2006,4,0,45807,100
Air Max Africa,2005,12,0,31973,81
List of cities in Gabon,2010,12,0,56548,236
Cola lizae,2007,10,0,29486,50
List of political parties in Gabon,2004,7,0,25282,38
Gamba Airport,2007,8,0,26401,44
List of heads of government of Gabon,2006,7,0,41673,146
List of Presidents of the National Assembly of Gabon,2011,3,0,25304,35
History of Gabon,2005,10,0,54817,188
Sake language,2013,8,2,30355,55
List of cities in Gabon,2004,12,0,27725,40
1964 Gabon coup d%27%C3%A9tat,2013,7,95,168326,233
List of people on stamps of Gabon,2006,2,0,47821,195
Bank of Central African States,2008,1,1,37095,77
1964 Gabon coup d%27%C3%A9tat,2010,6,95,167908,215
Njebi language,2013,9,2,37544,108
Yasa language,2011,11,0,37685,111
Military of Gabon,2006,2,0,25152,30
Beti language,2012,3,2,50777,164
Geography of Gabon,2010,6,0,70247,288
Circle of Liberal Reformers,2008,9,1,33756,76
Nationale Regionale Transport,2009,2,0,29191,50
Natural nuclear fission reactor,2007,1,0,43497,83
.ga,2007,8,0,66543,400
List of places in Gabon,2008,8,0,36372,124
Foreign relations of Gabon,2009,6,1,60826,228
History of Gabon,2004,10,0,28248,54
Senate of Gabon,2007,9,0,31596,67
Postage stamps and postal history of Gabon,2013,7,0,60874,206
Nationale Regionale Transport,2012,6,4,45840,115
Sky Gabon,2015,2,2,48553,125
Roman Catholicism in Gabon,2007,2,0,38409,109
Economic Community of Central African States,2009,11,6,103200,314
Libreville,2011,8,7,96294,268
Gabon,2006,10,0,133203,420
Mayombe,2012,3,0,36102,55
Military of Gabon,2008,2,1,53845,151
French West Africa in World War II,2007,5,1,95550,447
Gabon,2012,7,13,225577,709
Gabon,2014,10,15,236302,746
Myene language,2011,3,0,39106,106
Gabon,2013,10,15,231814,739
Iwindo,2011,3,0,29056,55
Roman Catholicism in Gabon,2014,6,0,43659,128
Port Gentil International Airport,2010,12,0,34083,51
History of Gabon,2012,10,1,93551,358
Oyem Airport,2007,8,0,26407,44
Template:Gabon struct stub,2010,11,0,29978,50
Coat of arms of Gabon,2006,11,0,53454,59
.ga,2004,10,0,36398,34
History of Gabon,2010,1,0,88365,343
Natural nuclear fission reactor,2006,4,0,36750,72
Mbama people,2011,7,2,26237,37
Central African mangroves,2012,11,1,43343,116
List of diplomatic missions of Gabon,2009,4,0,66055,181
Beti language,2014,4,4,53449,171
Port Gentil International Airport,2012,3,3,38282,55
List of people on stamps of Gabon,2008,5,0,48217,196
List of people on stamps of Gabon,2004,10,0,48003,196
List of heads of state of Gabon,2010,6,0,56317,132
Roman Catholic Diocese of Kankan,2007,8,0,31198,47
Geography of Gabon,2008,6,0,47388,151
French Equatorial Africa,2011,11,2,86304,241
Gabonese Progress Party,2008,9,0,33327,77
Sangu language (Gabon),2013,1,1,37951,102
Military of Gabon,2011,9,2,137623,415
ISO 3166 2:GA,2008,5,0,27162,45
Demographics of Gabon,2004,8,0,28365,54
%C3%89mile Gentil,2007,5,0,27986,59
Samay language,2013,8,1,30262,56
Telephone numbers in Gabon,2011,9,5,45040,113
Air Max Africa,2008,9,1,36001,98
.ga,2008,11,0,66453,404
Battle of Gabon,2010,9,2,46889,91
National Woodcutters%27 Rally %E2%80%93 Rally for Gabon,2008,9,0,35354,80
Libreville,2010,11,7,95099,266
Template:Gabon airport stub,2008,4,0,22961,33
List of heads of state of Gabon,2004,8,0,28734,40
Circle of Liberal Reformers,2005,9,0,30597,64
Natural nuclear fission reactor,2006,11,0,42879,80
Gabon,2008,2,7,157435,527
Mbama people,2009,2,2,26588,41
Gabon,2010,8,14,190759,646
List of heads of state of Gabon,2010,1,0,51824,107
List of diplomatic missions in Gabon,2012,4,25,92304,176
Geography of Gabon,2006,8,0,43964,144
Outline of Gabon,2009,9,1,95943,256
Military of Gabon,2011,8,2,137865,415
Libreville,2009,7,0,75840,231
Foreign relations of Gabon,2005,9,0,26980,50
