filename,year,month,num_citations,file_size,forward_links
Georgia (country),2014,9,182,461527,1209
Khmeli suneli,2010,11,0,51252,266
Jiajak Jaqeli,2009,2,15,40592,83
Patriot camps,2007,11,6,33517,61
Mamluk,2012,9,19,138073,406
Treaty of Adrianople (1829),2009,8,3,70947,277
List of newspapers in Georgia (country),2006,7,0,27016,40
Treaty of K%C3%BC%C3%A7%C3%BCk Kaynarca,2010,6,1,52170,145
St George%27s Day,2010,11,6,92692,333
Freedom Monument (Tbilisi),2010,3,1,32364,53
President of Georgia,2012,11,3,106147,374
United Nations Observer Mission in Georgia,2008,11,9,60425,163
Dmitry Gulia,2008,4,0,28470,41
St George%27s Day,2011,11,17,110878,357
Bagramyan Battalion,2009,8,4,43205,113
Georgians,2005,12,0,43765,103
First Channel (Georgian TV channel),2009,8,0,29057,43
Georgian Land Forces,2014,3,26,187321,463
List of diplomatic missions of Georgia,2011,10,0,92882,319
Didgori: Land of Sacrificed Knights,2013,2,0,29746,52
History of Georgia (country),2003,12,0,34678,59
Template:Joseph Stalin,2012,8,0,41867,130
April 9 tragedy,2010,11,11,98149,411
Kekhvi,2009,6,1,29669,36
Blind Dates,2013,8,2,32149,50
Kartvelian studies,2007,7,0,31470,67
Byzantine%E2%80%93Sasanian War of 602%E2%80%93628,2011,8,181,250524,495
The World Congress of the Nations of Georgia,2011,8,3,35462,42
Diauehi,2010,3,2,32536,68
11th Army (Soviet Union),2014,12,7,67222,200
Georgian lari,2014,5,3,115289,338
Peter the Iberian,2012,5,3,41170,88
Somkhiti,2013,3,4,29002,56
Lourdes Formation,2014,11,0,34440,60
Society for the Spreading of Literacy among Georgians,2009,3,2,30881,46
Tbilisi TV Broadcasting Tower,2007,4,0,30127,45
Flag of the Georgian Soviet Socialist Republic,2005,6,0,36730,63
Georgia (country),2010,3,122,463343,1598
Adarnase II of Tao Klarjeti,2006,11,0,26851,43
Mining in Georgia (country),2009,9,1,45220,104
Transcaucasian Democratic Federative Republic,2011,7,3,58947,113
Economy of Georgia (country),2004,9,0,38589,85
Arian Kartli,2009,6,3,29823,56
List of Georgians,2006,6,0,64950,228
April 9 tragedy,2012,1,10,113842,496
List of Georgians,2009,9,0,85607,320
Giuli Gegelia,2012,5,3,33507,61
St George%27s Day,2007,10,3,63778,193
Sukhumi massacre,2015,1,17,69499,157
Rose Revolution,2006,1,0,59919,156
Treaty of Brest Litovsk,2014,3,14,196388,681
Georgians in Russia,2013,4,1,30093,63
Gregory Pakourianos,2010,3,7,43430,94
Kartli,2004,9,0,29081,32
List of Georgians,2012,10,0,66580,339
International recognition of Abkhazia and South Ossetia,2010,12,258,414368,713
History of Georgia (country),2011,3,51,215464,815
Diauehi,2007,1,0,42081,136
"Bagrat, son of Constantine I of Georgia",2013,12,2,28482,52
Rose Revolution,2011,1,1,78049,248
Georgia (country),2006,7,4,197934,771
Portal:Georgia (country),2015,2,0,212398,472
Lekianoba,2008,1,0,28078,67
The Literature of Georgia: A History,2007,11,3,30388,59
Kmara,2010,6,0,38776,81
St George%27s Day,2012,10,16,101251,271
Khachapuri,2007,1,0,32623,45
Tao Klarjeti,2010,7,0,72766,279
Georgian National Academy of Sciences,2004,4,0,37628,57
Tsq%27altubo,2011,2,0,25808,39
Khridoli,2010,6,0,53889,154
Air Batumi,2012,6,0,45035,126
Tayk,2013,7,0,44441,130
Freedom of religion in Georgia (country),2006,4,0,34875,61
Georgia for Georgians,2015,4,29,83477,159
Transcaucasian Democratic Federative Republic,2007,6,0,50499,96
Russo Turkish War (1877%E2%80%9378),2013,4,66,267319,702
Battle of Aspindza,2006,12,0,25289,33
Foreign relations of Georgia,2014,4,103,257177,591
List of Georgian dukes (eristavs),2013,8,0,28821,44
Mamluk,2012,6,19,138735,413
History of Georgia (country),2008,11,34,177400,748
German Caucasus Expedition,2008,4,7,35266,76
Kartli,2012,2,9,53010,145
Georgia for Georgians,2011,9,29,80781,178
Chakapuli,2013,10,0,28919,59
Tao Klarjeti,2007,4,0,71555,344
Trialeti culture,2009,1,6,33581,56
List of Georgians,2004,12,0,40947,153
Tayk,2008,9,0,38984,118
Peace of Nisibis,2013,12,2,29771,66
List of Georgians,2014,2,0,75101,386
Public holidays in Georgia,2009,12,2,50771,192
Phasis (town),2013,7,10,45892,112
Coast Guard of Georgia,2008,1,4,42194,101
Andria Dadiani,2005,7,0,26824,50
Politics of Georgia (country),2012,1,10,105896,447
Georgians,2014,11,59,193693,624
Georgian Land Forces,2011,9,8,136190,368
Revenue stamps of Batum,2014,11,1,60566,181
Ethnic cleansing of Georgians in Abkhazia,2010,1,81,118774,190
Patriot camps,2011,2,6,34547,62
In Bloom (2013 film),2013,11,2,39519,57
Economy of Georgia (country),2010,10,37,131959,502
Kharcho,2011,10,0,31042,50
Khachapuri,2012,4,3,55229,164
Women in Georgia (country),2013,9,1,47518,159
Byzantine%E2%80%93Sasanian War of 602%E2%80%93628,2010,12,144,222213,452
Politics of Georgia (country),2006,11,0,77302,365
Kubdari,2008,3,0,21755,25
Peace of Amasya,2015,2,4,56028,173
Law enforcement in Georgia (country),2008,7,4,48884,169
Politics of Georgia (country),2005,10,0,52162,239
Parliament of Georgia,2012,12,5,89289,287
Mamluk,2009,8,12,103705,289
2004 Adjara crisis,2013,12,0,44589,119
Ajapsandali,2010,10,1,27264,38
Mushki,2006,7,2,39637,127
Geography of Abkhazia,2010,3,0,54197,219
Yusef Khan e Gorji,2010,7,14,31864,51
Georgia (country),2012,9,175,511432,1571
Abkhaz%E2%80%93Georgian conflict,2009,10,15,73655,196
Tsq%27altubo,2006,7,0,24415,36
Georgian passport,2011,9,0,76058,335
Sport in Georgia,2011,3,2,49882,186
Kharcho,2010,7,0,29967,51
Blue Bluff Formation,2014,6,0,34852,65
List of Georgians,2005,3,0,42092,164
Hereti,2007,12,0,38615,125
History of Abkhazia,2010,12,44,155983,599
Karachayevsk,2006,6,0,39882,62
Third Perso Turkic War,2010,5,17,62095,204
Line of succession to the former Georgian throne,2008,2,1,37594,72
