filename,year,month,num_citations,file_size,forward_links
New states of Germany,2013,5,31,112999,188
CHAMP (satellite),2011,12,2,60228,207
Social issues in Germany,2008,2,2,42068,81
List of German proverbs,2003,6,0,25834,33
Evangelical Church of Westphalia,2009,6,0,33135,76
Bund Deutscher Jugend,2013,3,3,34229,54
German toponymy,2014,2,0,53213,233
List of German flags,2007,9,0,130383,343
Coat of arms of Mecklenburg Vorpommern,2007,7,0,32307,54
List of terms used for Germans,2009,1,10,92177,247
"Baar, Swabia",2005,1,0,26910,28
"Embassy of Germany, Prague",2014,1,0,40082,74
List of terms used for Germans,2012,5,22,135843,324
Hornbach (hypermarket),2008,5,0,38904,79
"Baar, Swabia",2007,4,0,34685,68
Abendmusik,2012,6,0,28120,51
Federal Germans,2006,4,0,22546,31
Deutscher Michel,2006,8,0,25101,48
Economy of Germany,2014,11,91,267713,860
Hinduism in Germany,2012,5,0,59717,267
CHAMP (satellite),2013,5,2,61182,215
Federal Ministry for Economic Affairs and Energy,2012,12,0,59031,147
Eyachtal Span,2006,8,0,23468,36
Hausmalerei,2015,3,3,33893,75
German Trade Register,2007,5,0,27200,59
German Council of Economic Experts,2009,4,0,26658,39
Names of Germany,2006,9,0,62228,229
List of German expressions in English,2010,12,14,135167,612
List of German expressions in English,2013,2,16,150069,706
Germany,2013,8,219,738687,2356
List of cultural icons of Germany,2015,3,0,77167,396
Social market economy,2013,3,65,117329,312
F%C3%BCr alle,2015,3,0,44001,132
Battle of Rudniki Forest,2013,8,1,26823,43
Ifo Business Climate Index,2010,5,1,29297,27
Names of Germany,2010,10,11,95356,386
Johnny Blue,2008,10,0,31534,66
Fritz Bauer Prize,2013,9,0,30932,46
Index of Germany related articles,2008,11,0,58412,324
Hunting dagger,2007,7,0,25480,36
History of Germany,2002,9,0,77807,206
"Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety",2007,8,0,39935,66
Zivildienst,2010,5,1,34272,50
KammerChor Saarbr%C3%BCcken,2013,8,1,27702,44
Deutsche Fotothek,2012,10,2,37449,61
The Ghost Seer,2013,5,0,50044,122
Evangelical Reformed Church in Bavaria and Northwestern Germany,2013,10,0,37456,79
The Forsythe Company,2010,3,0,31405,54
German Trade Register,2013,5,4,31257,51
Haddekuche,2014,1,1,29978,49
Politics of Germany,2014,1,21,135599,450
Frauen regier%27n die Welt,2008,4,0,31655,52
I Can%27t Live Without Music,2008,10,0,32533,64
I Can%27t Live Without Music,2013,11,0,47448,145
