filename,year,month,num_citations,file_size,forward_links
Ghana Navy,2010,10,10,60646,113
Treaty of Butre,2009,2,7,49347,82
Eastern Regional Hospital,2011,12,1,27607,46
List of Mills government ministers,2013,4,22,96641,255
Alpha Beta Christian College,2014,12,0,32177,54
Royal African Company,2008,10,2,47458,140
War of the Golden Stool,2010,7,0,51861,107
Yendi,2006,8,1,26386,36
Index of Ghana related articles,2010,7,0,55956,220
Danish Gold Coast,2010,2,0,47277,133
Tiger Shadow,2012,12,3,41233,75
National Liberation Council,2009,2,3,38768,94
War of the Golden Stool,2006,11,0,39842,72
Kufuor government,2012,3,16,126890,272
Manufacturing in Ghana,2010,1,3,46960,123
Ashanti%E2%80%93Akim%E2%80%93Akwapim War,2006,12,0,31330,62
Yakubu II,2013,11,0,32078,57
Acherensua,2011,9,3,30226,42
Agona East District,2011,12,1,34500,90
Swedru Sports Stadium,2008,1,0,25304,37
Takoradi Airport,2013,3,3,41889,85
AmalBank,2014,11,5,32390,62
Archbishop Porter Girls High School,2013,1,1,34031,59
"Abomosu, Ghana",2011,6,0,30319,45
Atebubu,2007,4,0,24853,35
Gold Coast (region),2007,5,0,39591,104
Achiasi,2012,6,1,69364,419
Constitution of Ghana,2012,5,2,48383,131
List of diplomatic missions of Ghana,2012,8,0,81136,223
Agricultural Development Bank of Ghana,2010,8,3,45993,130
List of rulers of the Akan state of Akyem Kotoku,2009,6,0,28454,39
National Liberation Council,2014,3,3,50612,123
Agbozume,2014,1,1,32736,60
George Maclean,2008,1,2,32502,58
List of Ghanaian regions by area,2006,4,0,25207,42
Abidji people,2010,4,0,25404,37
Asamankese,2006,8,0,25424,33
List of hospitals in Ghana,2009,11,0,50742,76
Dutch Gold Coast,2011,8,7,114040,335
Languages of Ghana,2009,5,0,48002,173
Akwamu,2010,4,4,48025,114
Okomfo Anokye,2007,10,0,30933,61
Dutch Gold Coast,2009,1,0,59959,191
Ankaful,2014,5,2,29090,43
Amidaus Professionals FC,2013,7,3,37002,73
Akyempimhene,2008,1,0,26756,43
Ghana Army,2012,7,14,72858,186
Akuapim Mampong,2012,12,3,35207,61
MicroQuips,2015,2,2,49382,92
List of abbreviations in Ghana,2013,12,0,187055,234
Dagbani language,2013,12,2,45318,95
Ghana (Commonwealth realm),2014,10,2,53431,171
Cape Three Points,2014,8,2,33079,63
St. Augustine%27s College (Ghana),2010,1,0,32351,59
University Of Energy And Natural Resources,2014,5,2,44194,97
Alfa (title),2014,1,1,28162,50
Swedish Gold Coast,2006,9,0,26219,33
Ghana Stock Exchange,2009,5,1,43431,106
Anum,2010,6,1,25771,45
Kpalime Traditional Area,2008,6,1,26213,43
National Museum of Ghana,2012,5,1,31289,66
Ghanaian Times,2014,6,3,32185,59
Atimpoku,2009,4,0,29027,51
Chale Wote Street Art Festival,2014,11,6,39552,51
Peter Poreku Dery,2007,4,0,28347,55
National Health Insurance Scheme (Ghana),2014,10,6,71424,224
Health in Ghana,2009,1,1,34998,94
Amansie West District,2007,12,0,35537,100
Rawlings government,2012,8,6,64673,132
Kofi Annan International Peacekeeping Training Centre,2013,10,1,32471,64
List of rulers of the Northern state of Dagomba,2010,2,0,100777,56
Ankobra River,2011,7,0,31731,58
ISO 3166 2:GH,2006,3,0,26183,45
Transport in Ghana,2008,2,10,61146,199
Union of African States,2008,1,0,40181,87
Markets in Ghana,2013,1,3,44013,136
List of Mills government ministers,2011,5,12,79427,232
List of diplomatic missions in Ghana,2009,5,0,71243,171
Bugum Chugu,2014,5,1,40188,54
Bia River,2006,2,0,27664,42
Culture of Ghana,2008,1,1,72367,233
Akuse,2012,8,1,31406,55
Ghanaian Sign Language,2012,5,2,57962,252
Bia District,2012,8,0,33622,63
Takoradi Airport,2012,9,3,40228,75
Antrak Air,2005,7,0,33009,81
Asamankese,2012,7,2,73318,424
List of largest Settlements in Ghana (by population),2007,8,0,43162,141
The Sanitary Branch (Ghana),2015,1,48,91236,66
Sekondi Takoradi Stadium,2006,10,0,27436,40
Kwame Gyekye,2012,11,0,33676,71
British Togoland,2009,7,2,44036,86
"Armed Forces Revolutionary Council, Ghana",2013,3,3,57635,121
List of rulers of the Akan state of Akuapem Guan,2012,4,0,35329,45
Agortime Kpetoe,2008,11,1,32506,47
Manhyia Palace,2011,5,5,46668,133
Gyandu Park,2013,8,1,30509,56
Axim,2008,4,0,28800,57
Gold Coast (region),2008,9,0,43109,125
George Maclean,2010,11,2,34001,58
Agriculture in Ghana,2012,2,3,76187,176
Esme Mends,2008,10,0,27557,41
Upper East Regional Museum,2013,4,1,25577,45
Accra Polytechnic,2011,8,1,41426,130
Agona Swedru,2013,10,3,44071,106
Politics of Ghana,2010,6,0,63701,248
KNUST Faculty of Law,2012,12,4,48484,68
Akyem Kotoku,2006,11,0,24349,42
"Fort Goede Hoop, Ghana",2012,12,1,40351,100
"Abor, Ghana",2013,3,2,33592,66
Swedish Gold Coast,2013,7,1,56942,164
Markets in Ghana,2012,9,3,44482,136
Ghana Internet Exchange,2006,4,0,29916,30
Atakora River,2013,7,1,32589,62
Kwame Nkrumah University of Science and Technology,2012,9,18,104297,162
Provisional National Defence Council,2007,5,1,34642,66
Eye care in Ghana,2014,4,16,71685,167
Fort Vredenburgh,2011,1,0,27409,34
HIVAIDS in Ghana,2010,1,1,69612,229
Asutsuare,2011,12,3,30302,47
Kojo Boakye Djan,2014,12,2,31508,48
University of Mines and Technology,2013,4,3,45941,97
Atakora River,2010,5,0,32496,74
Osei Kofi Tutu I,2011,2,0,35305,69
Gold Coast (British colony),2009,6,7,146616,406
Public holidays in Ghana,2013,8,0,50753,201
"Fort Goede Hoop, Ghana",2014,4,1,40587,102
Tamale Stadium,2006,10,0,26982,40
University of Mines and Technology,2012,1,1,45064,101
Ghana Air Force,2009,3,8,63345,147
List of slums in Ghana,2013,5,0,23329,39
Ghana Technology University College,2008,10,1,43915,109
Boankra Inland Port,2008,3,1,27611,38
Adansi,2009,12,0,26891,47
Assin Darmang,2013,1,3,29347,42
University for Development Studies,2014,2,2,54216,128
Metro Mass Transit Company Limited,2008,4,2,37498,44
Bunkpurugu,2008,3,0,28434,41
Denkyira,2011,3,5,40308,92
Buduburam,2006,5,0,26533,52
Ga%E2%80%93Fante War,2007,9,0,23568,39
Transport in Ghana,2006,7,1,46535,152
Dadease,2011,8,3,29695,49
Agriculture in Ghana,2011,7,3,76160,178
Geography of Ghana,2008,7,0,75647,219
National Museum of Ghana,2006,12,0,25078,36
Gold Coast (British colony),2006,4,0,32115,41
Regent University College of Science and Technology,2008,10,9,54314,113
Gonja people,2009,1,0,27972,64
Antrak Air,2008,10,1,40812,116
Gyandu Park,2006,8,0,23866,37
The Beautyful Ones Are Not Yet Born,2008,7,0,28741,46
Korle Bu Nurses Training College,2013,6,5,42312,86
Tema Sports Stadium,2013,7,0,29350,62
Builsa,2014,1,3,30124,44
Tema International School,2013,8,0,27547,50
Agona Swedru,2008,3,0,43629,208
List of Ghanaians in the United Kingdom,2012,6,65,161975,526
"Nurses Training College, Koforidua",2011,8,5,41516,80
Three Town Senior High School,2014,2,2,27858,41
List of radio stations in Central Region,2014,4,3,31127,45
Petronia City,2014,2,0,39966,45
Akyem Kotoku,2007,11,0,26760,50
Ghana National Agricultural Export,2010,4,0,26488,45
Anglo Dutch Gold Coast Treaty (1867),2014,3,2,41042,71
Assin South District,2007,7,0,32368,79
Bissa people,2007,12,1,34589,62
Template:Ghana museum stub,2009,4,0,22072,28
Awutu Breku,2013,1,1,36771,91
AjumakoEnyanEssiam District,2014,5,0,43961,96
Bissa people,2011,2,3,40024,80
List of Ghanaians,2012,7,0,100743,457
List of rulers of Asante,2009,10,0,42768,96
Alhaji Grunshi,2014,5,8,40004,80
All Nations University,2011,12,3,43549,92
United States Ambassador to Ghana,2009,8,4,72738,274
Portuguese Gold Coast,2014,1,0,87643,280
Asante dialect,2004,9,0,26714,31
United States Ambassador to Ghana,2011,11,4,77314,287
Berlin FC,2014,1,1,30967,54
Union of African States,2006,2,0,28778,45
Biadan,2011,12,3,30311,46
Wesley College of Education (Ashanti),2006,7,0,27544,47
Commission on Human Rights and Administrative Justice,2013,9,3,35364,60
Ahanta people,2012,7,2,34934,61
History of Ghana,2009,2,21,192494,266
National Museum of Ghana,2008,6,0,30275,68
Adelaide Abankwah,2006,12,0,27025,59
American International School of Accra,2013,7,1,33457,65
