filename,year,month,num_citations,file_size,forward_links
Doric hexapolis,2011,7,0,33420,66
Illyrians,2008,2,29,79308,248
Kiato,2009,12,0,31659,68
Greek refugees,2012,11,8,90690,421
Cleisthenes,2014,10,11,64546,147
Conscription in Greece,2009,6,1,81498,144
Sfakians,2014,12,2,85237,298
Illyria,2008,2,11,56255,144
Minorities in Greece,2008,1,19,73805,201
List of postal codes in Greece,2012,8,3,122416,1032
Kantharos,2010,1,1,45541,129
Pamphylia,2014,8,27,152460,551
Cleisthenes,2010,8,8,50333,121
Tsakonians,2005,11,0,28955,51
Solon,2007,6,52,101912,221
Demographic history of Macedonia,2010,3,86,277412,735
Griko people,2011,2,71,249749,673
Conscientious Arsonists,2010,5,3,60944,317
History of Greece,2005,5,0,46277,99
Aegean dispute,2009,6,13,118828,443
Fakelaki,2012,4,5,32586,49
List of postal codes in Greece,2015,1,9,129880,1053
Lists of rulers of Greece,2014,4,0,27749,56
History of Greece,2008,4,2,145540,718
ISO 3166 2:GR,2008,8,0,39005,141
"Katherine, Crown Princess of Yugoslavia",2006,10,0,31465,41
Kantharos,2005,10,0,29826,40
Alexandra of Yugoslavia,2014,9,10,143550,246
Cicones,2014,10,7,46376,128
Pamphylia,2013,3,21,97636,380
Asine (Laconia),2015,3,0,27265,52
Tenedos,2011,1,13,107719,424
List of radio stations in Greece,2011,2,0,101186,182
"Roman Catholic Archdiocese of Corfu, Zakynthos and Cephalonia",2013,12,0,46436,105
Hippopotamus creutzburgi,2007,10,2,34911,67
Thessaloniki Science Center and Technology Museum,2010,12,0,36933,50
Artemisia I of Caria,2008,3,2,37940,64
List of research institutes in Greece,2011,7,0,31547,35
"Roman Catholic Archdiocese of Naxos, Andros, Tinos and Mykonos",2009,9,0,33368,53
Military of Greece,2007,5,0,49440,119
Greece,2014,12,241,841823,2520
Idou o anthropos,2009,10,1,28692,48
Pontus,2010,3,3,102887,417
Sfakians,2010,4,0,54245,93
Centre of Planning and Economic Research,2014,11,1,29497,48
Solon,2008,5,130,138406,267
List of Greek sports teams,2013,5,13,128690,763
Praxiteles,2008,5,13,66908,154
List of diplomatic missions of Greece,2009,5,0,110625,363
Phanariotes,2011,6,27,107400,330
History of Crete,2003,6,0,25219,41
Aegean dispute,2012,8,18,126555,472
The Sanatorium of the deported at Ikaria,2015,3,3,52532,50
