filename,year,month,num_citations,file_size,forward_links
Grenada at the 1988 Summer Olympics,2011,10,0,60273,229
Grenada League,2011,9,0,57145,123
Parishes of Grenada,2006,4,0,26254,39
Area code 473,2013,8,0,48911,212
Grenadian Creole,2015,3,8,47373,125
Grenada at the 1984 Summer Olympics,2007,5,0,55144,205
Invasion of Grenada,2013,8,29,191027,683
"Charles A. Gillespie, Jr.",2009,11,2,44438,108
History of Grenada,2003,11,0,32773,82
Invasion of Grenada,2012,12,30,178942,670
Grenadan patrol boat Tyrrel Bay (PB 01),2009,12,0,26737,43
Leo de Gale,2010,10,0,30546,63
List of colonial governors of Grenada,2010,4,0,44432,83
George Middlemore,2011,9,0,28442,49
Parishes of Grenada,2008,7,0,39951,96
Elections in Grenada,2007,4,0,41829,97
Grenada League,2007,5,0,40222,98
Economy of Grenada,2011,3,1,75335,332
Minister of Foreign Affairs (Grenada),2014,12,0,29041,49
List of heads of government of Grenada,2007,7,0,38746,99
Capture of Grenada (1779),2010,10,7,41020,91
Grenada 17,2007,10,0,29903,34
Grenadian Creole,2015,1,8,47015,124
Demographics of Grenada,2012,10,0,39009,104
List of political parties in Grenada,2011,2,0,45681,130
Member of Parliament of Carriacou and Petite Martinique,2010,11,0,51793,112
"Charles A. Gillespie, Jr.",2008,4,2,44790,116
Economy of Grenada,2012,3,2,76756,338
Grenada,2005,7,0,86262,226
Demographics of Grenada,2013,2,0,41812,121
Telephone numbers in Grenada,2011,9,0,22298,26
Grenada at the 1996 Summer Olympics,2009,8,0,63648,267
Parliament of Grenada,2013,8,3,48331,143
History of Carriacou,2011,6,0,40787,111
Grenada League,2008,11,0,44284,99
Invasion of Grenada,2011,2,27,170806,664
Grenada at the Olympics,2010,6,0,71054,308
Area code 473,2006,9,0,25726,52
Grenada,2013,3,20,259867,917
History of Grenada,2007,3,0,85667,371
Grenada at the 1996 Summer Olympics,2010,5,0,64211,268
Grenada at the 2004 Summer Olympics,2014,4,4,75441,285
Vibert Jackson,2010,6,9,38135,96
Battle of Grenada,2006,11,0,35854,93
.gd,2007,5,0,66855,399
The Girl Guides Association of Grenada,2009,3,0,31932,48
Monarchy of Grenada,2012,10,3,93497,355
Law enforcement in Grenada,2010,7,1,36691,73
List of diplomatic missions of Grenada,2007,7,0,32338,53
Parliament of Grenada,2009,12,0,36957,79
St Patrick%27s and Carriacou,2010,10,1,44089,95
List of Speakers of the House of Representatives of Grenada,2014,8,2,28577,28
Grenada at the 2004 Summer Olympics,2006,11,0,61252,260
Denron Daniel,2011,4,5,42262,86
Sauteurs,2013,5,1,55275,97
Outline of Grenada,2013,12,1,85165,226
Parliament of Grenada,2012,1,0,47939,144
National Democratic Congress (Grenada),2008,3,0,36756,69
Sauteurs,2009,10,0,32716,48
Redlegs,2009,12,0,43904,166
Battle of Grenada,2006,10,0,35929,93
Saint Andrew North East (Grenada),2010,9,0,45307,94
Grenadians in the United Kingdom,2011,12,3,44945,106
Grenada Football Association,2013,2,0,52708,172
.gd,2011,1,0,68693,406
Grenadian Creole,2011,8,5,39307,105
Grenada at the Olympics,2012,9,1,76552,320
Saint Andrew South East (Grenada),2015,1,0,50697,117
James Baillie (c. 1737%E2%80%931793),2015,1,28,72744,139
Vibert Jackson,2014,3,9,40626,105
Chalon head,2014,6,16,59153,106
People%27s Labour Movement,2014,9,1,39497,95
Politics of Grenada,2005,1,0,36794,67
Grenada,2005,8,0,85873,230
Grenadian Creole,2014,6,7,42043,107
Grenada,2004,2,0,79292,219
Harold Piggott,2011,9,4,36251,95
.gd,2008,4,0,66531,401
Southern Caribbean,2007,7,0,61539,241
Scouting and Guiding in Grenada,2010,6,0,39381,101
Grenada,2013,5,21,262124,922
Grenada,2005,5,0,84699,214
Index of Grenada related articles,2011,5,2,97323,335
Grenada League,2010,6,0,45606,101
Independence Day (Grenada),2014,5,1,28438,51
Politics of Grenada,2004,8,0,28811,39
LGBT rights in Grenada,2013,11,3,43185,92
Economy of Grenada,2009,12,0,73653,326
Grenada at the 1984 Summer Olympics,2006,11,0,54775,204
Grenada League,2011,6,0,57582,116
West Indies Associated States,2010,1,4,30593,69
Grenada,2010,7,14,226066,808
List of diplomatic missions of Grenada,2009,4,0,44238,84
List of colonial governors of Grenada,2008,8,0,42641,103
Elections in Grenada,2008,10,0,46884,104
Sauteurs,2007,2,0,27358,39
Outline of Grenada,2011,12,1,86606,223
Telecommunications in Grenada,2007,4,0,28411,47
Grenada at the 2000 Summer Olympics,2010,7,0,66353,273
Coat of arms of Grenada,2009,10,1,42849,100
Demographics of Grenada,2013,8,0,41294,115
Economy of Grenada,2005,10,0,54249,266
People%27s Labour Movement,2008,7,1,38797,92
Coat of arms of Grenada,2010,1,1,44444,108
Saint Patrick East (Grenada),2013,3,0,47151,112
Coat of arms of Grenada,2007,3,0,48696,62
Economy of Grenada,2012,11,2,77825,342
.gd,2006,7,0,64439,399
Redlegs,2006,8,0,28711,63
Redlegs,2014,1,3,71497,354
MV Bianca C,2011,10,3,39351,81
Parishes of Grenada,2012,1,1,62124,163
History of Grenada,2011,8,17,114322,423
People%27s Revolutionary Army (Grenada),2011,3,0,38437,81
"Charles A. Gillespie, Jr.",2005,7,0,21935,22
