filename,year,month,num_citations,file_size,forward_links
National Unity of Hope,2013,9,0,42131,83
Guatemala,2011,7,58,275999,732
Dos Erres massacre,2012,12,15,49459,64
Cervecer%C3%ADa Centro Americana,2007,7,0,29100,48
President of Guatemala,2011,9,2,119105,402
Consejo Nacional de Areas Protegidas,2011,6,2,29628,40
Transport in Guatemala,2004,9,0,23654,29
Sacatep%C3%A9quez,2010,3,0,34593,80
President of Guatemala,2013,4,2,107516,349
Chuj language,2011,11,6,53146,164
Revolutionary Movement 13th November,2007,7,0,37094,83
Flag of Los Altos,2008,7,0,37635,115
"Los Altos, Central America",2011,12,0,42256,93
Guerrilla Army of the Poor,2008,9,0,59313,288
Consejo Nacional de Areas Protegidas,2011,8,2,30124,40
Asociaci%C3%B3n Nacional de Muchachas Gu%C3%ADas de Guatemala,2009,3,1,34072,48
Asociaci%C3%B3n Nacional de Muchachas Gu%C3%ADas de Guatemala,2010,5,1,40885,84
Prostitution in Guatemala,2008,2,0,35270,57
Conservative Party (Guatemala),2012,2,0,26145,36
Chuj language,2012,7,6,53088,166
National Committee of Defense Against Communism,2006,10,0,27887,48
Luna de Xelaj%C3%BA,2010,12,0,30922,52
Outline of Guatemala,2012,9,2,86573,274
Aviones Comerciales de Guatemala (Avcom),2005,10,0,32657,82
TGN (AM),2013,1,0,23602,38
Maya civilization,2008,7,18,194732,739
Ron Botran,2010,9,0,26296,40
United Fruit Company,2007,4,4,68349,165
Tikal Temple III,2012,4,9,72376,305
Universidad Mariano Galvez,2009,6,0,27252,42
List of Maya sites,2010,5,2,98440,445
Geography of Guatemala,2002,6,0,26304,34
Tecun Uman,2013,10,19,70732,116
.gt,2007,12,0,66091,401
Luna de Xelaj%C3%BA,2008,9,0,30300,47
Spanish conquest of Yucat%C3%A1n,2010,12,14,76959,210
Aviones Comerciales de Guatemala (Avcom),2012,9,2,39529,98
1902 Guatemala earthquake,2007,4,0,26730,44
History of Guatemala,2011,8,23,118480,319
Guatemala,2004,1,0,73962,139
United Fruit Company,2014,9,26,128206,271
1902 Guatemala earthquake,2012,3,2,34920,56
1993 Guatemalan constitutional crisis,2011,2,5,44847,116
Maya Bridge at Yaxchilan,2009,12,2,34676,56
Immigration to Guatemala,2015,2,20,88685,273
NamasteDirect,2006,6,0,28525,22
List of Guatemalans,2010,3,0,40322,103
Asociaci%C3%B3n Nacional de Muchachas Gu%C3%ADas de Guatemala,2007,2,1,32270,45
"Ayutla, San Marcos",2010,12,1,35989,91
Universidad del Valle de Guatemala,2007,4,0,30174,50
INTECAP %E2%80%93 Instituto de Capacitacion,2013,6,0,28040,40
List of Guatemalans,2011,3,1,46866,132
Tikal Temple II,2012,4,36,86209,324
Guatemalan passport,2009,6,0,166461,456
Central America 4 passport,2013,1,0,88691,413
List of Guatemalans,2004,3,0,22373,29
Mayan World Airlines,2012,7,2,39029,100
Miguel Rosales,2013,8,0,53637,101
Outline of Guatemala,2011,12,2,86548,270
Q%27eqchi%27 people,2008,6,4,39471,74
Maya civilization,2010,8,24,203282,702
Nojpet%C3%A9n,2014,3,15,78235,284
Dos Erres massacre,2013,6,16,51400,62
Kayb%27il B%27alam,2015,3,3,35495,71
Spanish conquest of Guatemala,2012,6,206,362589,687
Tikal Temple I,2012,9,23,93822,350
