filename,year,month,num_citations,file_size,forward_links
Pidjiguiti massacre,2012,3,0,34603,74
Mining industry of Guinea Bissau,2008,6,1,40608,103
Economy of Guinea Bissau,2009,1,4,69605,324
Portuguese Guinea,2009,4,4,94725,322
Guinea Bissau,2007,5,1,202994,708
Economy of Guinea Bissau,2007,4,0,62164,307
Revolutionary Armed Forces of the People,2011,12,0,26437,49
List of cities in Guinea Bissau,2007,11,0,43402,134
Foreign relations of Guinea Bissau,2007,7,0,45612,160
Socialist Party of Guinea Bissau,2006,4,0,31464,64
List of governors of Portuguese Guinea,2010,2,0,41023,44
National Union for Democracy and Progress (Guinea Bissau),2007,11,0,35775,79
Regions of Guinea Bissau,2013,2,0,46807,152
Kasanga language,2011,9,0,26998,35
Bijago language,2015,1,2,40199,95
History of Guinea Bissau,2006,11,0,48730,171
Regions of Guinea Bissau,2008,7,0,43952,138
Bayot language,2015,4,2,39219,97
Outline of Guinea Bissau,2008,5,0,71842,118
Economy of Guinea Bissau,2006,7,0,62650,311
LGBT rights in Guinea Bissau,2010,6,4,45090,129
.gw,2006,12,0,66548,403
Badyara language,2013,2,0,37329,91
Military of Guinea Bissau,2012,4,8,58464,177
Super Mama Djombo,2012,8,6,36739,56
Guinea Bissauan passport,2013,5,1,208676,1178
List of cities in Guinea Bissau,2006,8,0,43028,133
Guinea Bissau peso,2007,11,0,37044,89
Foreign relations of Guinea Bissau,2009,2,0,46172,164
United Platform,2009,7,0,33777,77
List of Prime Ministers of Guinea Bissau,2015,1,0,84632,322
List of Presidents of the National People%27s Assembly of Guinea Bissau,2009,5,8,29799,36
Template:GuineaBissau stub,2009,6,0,24724,31
Union for Change,2012,10,0,36142,88
United Nations Integrated Peacebuilding Office in Guinea Bissau,2013,1,0,29468,47
List of fish on stamps of Guinea Bissau,2012,7,0,35286,101
United Nations Peacebuilding Support Office in Guinea Bissau,2011,11,9,34423,49
List of Presidents of Guinea Bissau,2006,4,0,51335,133
Badyara language,2013,3,0,37127,89
Roman Catholic Diocese of Bafat%C3%A1,2011,1,0,33496,54
Outline of Guinea Bissau,2008,6,0,73067,124
List of cities in Guinea Bissau,2009,8,0,43564,135
Politics of Guinea Bissau,2014,11,11,127974,425
Politics of Guinea Bissau,2010,11,6,78234,249
Portuguese Colonial War,2007,10,1,135196,527
Portuguese Guinean escudo,2012,6,0,34387,63
Guinea Bissau Civil War,2006,10,0,45161,110
Guinea Bissau,2012,9,31,285536,920
Osvaldo Vieira International Airport,2011,2,0,38162,60
Portuguese Guinea,2009,12,5,102196,363
Guinean Democratic Movement,2007,11,0,34445,79
Portuguese Colonial War,2009,6,46,221273,745
Guinea Bissau at the Olympics,2010,9,0,63606,291
List of Captains Major of Bissau,2006,4,0,40531,110
Kaabu,2014,6,0,52292,114
Osvaldo Vieira International Airport,2007,6,0,35007,54
Public holidays in Guinea Bissau,2012,12,1,47512,162
Geography of Guinea Bissau,2009,11,2,49145,136
Guinea Bissau Civil War,2012,8,1,50617,101
Bank of West Africa (BAO),2009,8,7,68786,217
Osvaldo Vieira International Airport,2015,2,7,52085,111
.gw,2008,7,0,69136,410
Democratic Socialist Party (Guinea Bissau),2014,4,1,41897,102
List of fish on stamps of Guinea Bissau,2009,4,0,28798,57
African Party for the Independence of Guinea and Cape Verde,2010,8,21,85843,209
Politics of Guinea Bissau,2004,4,0,28940,34
Workers%27 Party (Guinea Bissau),2014,4,1,43540,109
Portuguese Colonial War,2010,7,54,244722,786
African Party for the Independence of Guinea and Cape Verde,2007,7,9,63985,175
Index of Guinea Bissau related articles,2012,9,0,85219,232
Tiramakhan Traore,2013,7,4,32952,58
Socialist Party of Guinea Bissau,2009,2,0,35219,83
Portuguese Colonial War,2011,10,96,303278,876
List of Captains Major of Cacheu,2005,9,0,30700,65
List of diplomatic missions of Guinea Bissau,2012,6,0,53402,143
Military of Guinea Bissau,2006,4,0,25065,31
.gw,2009,8,0,69338,410
Guinean People%27s Party,2007,9,0,34811,78
Regions of Guinea Bissau,2006,5,0,33593,71
.gw,2006,9,0,66332,405
Nalu language,2015,4,2,37674,89
Demographics of Guinea Bissau,2007,11,0,39568,124
Operation Green Sea,2012,11,10,59566,117
Geography of Guinea Bissau,2013,4,2,71197,276
List of Captains Major of Cacheu,2009,10,0,30932,65
List of diplomatic missions of Guinea Bissau,2013,8,0,53845,151
Bijago language,2011,8,0,36795,85
Guinea Bissau Civil War,2010,10,1,49537,99
Portal:Guinea Bissau,2013,8,1,87495,122
United Nations Peacebuilding Support Office in Guinea Bissau,2011,4,9,34766,52
Military of Guinea Bissau,2009,3,1,43634,136
List of cities in Guinea Bissau,2007,1,0,43342,133
.gw,2007,7,0,68610,410
Portuguese Colonial War,2014,11,105,358680,1151
Portuguese Colonial War,2014,5,153,373434,1142
Military of Guinea Bissau,2014,11,12,72456,221
African Party for the Independence of Guinea and Cape Verde,2007,5,8,62017,167
Foreign relations of Guinea Bissau,2014,12,1,62201,207
Transport in Guinea Bissau,2010,9,2,54105,188
List of Guinea Bissauans,2010,3,0,26687,41
Portuguese Guinea,2012,8,5,104454,368
Guinea Bissauan passport,2012,12,1,208618,1174
Portuguese Guinea,2011,11,5,104308,368
Sectors of Guinea Bissau,2011,2,0,50436,187
Guinea Bissau,2005,1,0,85954,221
Assimilado,2012,10,26,58329,70
Guinea Bissau Civil War,2007,7,0,47655,119
Regions of Guinea Bissau,2004,5,0,25669,40
List of birds on stamps of Guinea Bissau,2012,1,0,59301,269
ISO 3166 2:GW,2011,6,0,84196,699
List of cities in Guinea Bissau,2005,10,0,29176,42
Corpo Nacional de Escutas da Guin%C3%A9 Bissau,2006,4,0,28182,40
List of Presidents of Guinea Bissau,2012,4,4,96176,334
Military of Guinea Bissau,2010,1,1,46128,136
List of buildings and structures in Guinea Bissau,2011,3,0,52291,60
2014 in Guinea Bissau,2014,12,1,51175,97
Portuguese Guinea,2011,9,5,104139,369
Mankanya people,2009,12,0,32344,67
Guinea Bissau peso,2008,9,0,38304,89
Guinea Bissau,2012,11,69,304998,935
List of political parties in Guinea Bissau,2009,6,0,53800,174
History of Guinea Bissau,2013,3,2,65456,222
.gw,2015,3,0,69397,406
Guinea Bissau,2008,6,5,213656,770
History of Guinea Bissau,2005,8,0,36566,91
Geography of Guinea Bissau,2010,3,2,49249,137
2010 Guinea Bissau military unrest,2012,4,5,51199,101
Guinea Bissau,2004,2,0,73151,118
Transport in Guinea Bissau,2003,6,0,23776,36
Guinea Bissau,2005,3,0,87401,224
Guinea Bissau at the Olympics,2014,11,1,65737,297
Osvaldo Vieira International Airport,2011,12,0,40470,66
Assimilado,2011,10,26,57567,65
Mandjak language,2015,3,2,43470,109
.gw,2007,3,0,68741,410
Economy of Guinea Bissau,2013,12,16,126418,517
Guinea Bissau Civil War,2011,7,1,49932,105
Demographics of Guinea Bissau,2006,1,0,37863,111
Military of Guinea Bissau,2007,8,1,42834,118
Nuno Trist%C3%A3o,2008,12,0,31591,62
African Party for the Independence of Guinea and Cape Verde,2006,8,0,52637,142
Nuno Trist%C3%A3o,2010,11,0,32218,62
Operation Green Sea,2009,12,9,54894,100
Pidjiguiti massacre,2011,6,0,34134,70
Bafat%C3%A1 Airport,2014,9,3,37757,57
List of Presidents of the National People%27s Assembly of Guinea Bissau,2011,5,7,36017,60
Regions of Guinea Bissau,2005,12,0,27293,43
List of Presidents of the National People%27s Assembly of Guinea Bissau,2009,11,7,29329,36
Mankanya language,2011,10,0,40374,105
Roman Catholic Diocese of Bissau,2009,7,0,35711,63
Bank of West Africa (BAO),2009,2,7,69817,228
Portuguese Colonial War,2005,7,0,30997,45
History of Guinea Bissau,2004,4,0,32726,71
Pidjiguiti massacre,2009,2,0,33504,70
Osvaldo Vieira International Airport,2013,2,0,42091,82
Badyara language,2012,5,0,27859,44
History of the Soninke people,2010,6,6,44544,48
Workers%27 Party (Guinea Bissau),2007,9,0,36057,87
2010 Guinea Bissau military unrest,2013,3,5,51257,105
List of Prime Ministers of Guinea Bissau,2004,11,0,31329,96
African Youth Am%C3%ADlcar Cabral,2011,1,0,31715,66
Transport in Guinea Bissau,2009,9,2,57775,192
National Union for Democracy and Progress (Guinea Bissau),2006,4,0,32518,64
List of Captains Major of Bissau,2006,8,0,40578,111
Portuguese Colonial War,2009,3,36,212483,720
2014 in Guinea Bissau,2014,9,1,48221,88
Operation Green Sea,2010,12,10,58880,110
United States Ambassador to Guinea Bissau,2012,1,5,80778,289
Guinea Bissau Civil War,2013,4,1,61806,160
Guinea Bissau peso,2009,10,0,37475,85
Resistance of Guinea Bissau Bafat%C3%A1 Movement,2012,7,0,39560,96
List of political parties in Guinea Bissau,2014,4,0,55334,178
Regions of Guinea Bissau,2010,5,0,48867,153
Pidjiguiti massacre,2009,8,0,34240,74
Portuguese Colonial War,2013,3,108,353700,1119
Guinea Bissau Civil War,2014,1,10,68681,162
Pidjiguiti massacre,2007,12,0,30361,63
List of Captains Major of Bissau,2004,11,0,39820,110
Demographics of Guinea Bissau,2005,10,0,27758,42
Bayot language,2011,11,0,36694,92
